"start","end","text"
"17560","22580"," It's almost like you forget how to do this stuff for a week and you're like, what do I do"
"22580","22800"," here?"
"23780","25280"," How do I produce my own show?"
"32740","36020"," Join our research and send me."
"50900","51940"," Check one too!"
"66260","67980"," So you got going on here."
"68080","69000"," Good morning, everybody. "
"70680","75480"," Hope you all had a wonderful holiday."
"78550","79710"," Sort by newest."
"80950","81710"," Good morning. "
"82470","84410"," Hope you all had a great holiday out there."
"86290","87690"," Welcome back up here."
"88170","88750"," Members only. "
"90730","91170"," Save."
"94410","95610"," Look at this right here."
"98470","99090"," Good morning. "
"99350","100250"," How are y'all doing out there?"
"101190","101850"," Ted Deli?"
"102530","102950"," Ted Deli?"
"103070","104390"," Thank you for subscribing."
"105010","105650"," Appreciate it, brother."
"105830","106210"," We're going to member. "
"112010","114730"," Let's go right into the stream here on the opening bell."
"114850","116130"," I'll be trying to be quick with you here."
"116570","119210"," Hopefully you sold yesterday. "
"120350","122030"," So I did make a post."
"122370","124770"," I made the rounds, I think, on social media."
"125970","126770"," I went over to Reddit. "
"127729","132110"," Then late night, I think, on the third and said, now you probably have one more gap up and then"
"132110","133690"," we'll sell the fifth."
"135190","137410"," Hopefully, I think I put that on Twitter at some point."
"137550","139010"," I hope you sold the fifth as well. "
"140030","144710"," I think I even said sell it into likely middle of the month."
"145190","146430"," I think it even gave some dates."
"147510","149130"," And there's likely two cells in there. "
"149410","154930"," I should have wrote that, but there's likely two cell signals, or hold on a second here."
"155610","156750"," We put this on Twitter too."
"159790","164670"," We'll get back to vacation here in just a minute, but just for this opening bell, there's a few"
"164670","165930"," things to look at here too. "
"166070","171070"," If you're wondering if we gap up on the opening bell, probably not."
"172450","173550"," We have a little bit."
"173730","174730"," We have some stuff to fill. "
"174990","178550"," I'll show you that here."
"178870","179930"," I'm just a moment here."
"182550","183670"," I'm a little late here. "
"184210","185270"," I came back, right?"
"185510","186970"," I got all kinds of fun stuff to fill you."
"187770","188950"," We got a lot to talk about."
"191290","196730"," So when you get back from these vacations, man, it's like everything is going to take longer than"
"196730","197510"," you expect, right?"
"199390","200370"," Okay, so there we go. "
"200610","202330"," I just posted a link to the live stream."
"203130","208970"," So just start with the market itself."
"210130","211890"," Let's look where real demand is. "
"212450","213950"," So we've got some hang tight one second here."
"219600","226640"," So just off the bell here, there's a little bit of demand right on the bell this morning, next"
"226640","227280"," minute or so."
"227600","228920"," So you might get a quick gap up here. "
"229860","233340"," But there isn't really, let's look back in time here."
"235640","237120"," Let's sneak that in right there."
"238420","245600"," It's kind of, you know, when you're moving up like this, this is six o'clock in the morning right"
"245600","246160"," where we are. "
"246860","248580"," So here my cursor is right here."
"248860","253560"," This is, there should be some support here, believe it or not."
"253720","255160"," But this is all garbage down here. "
"256000","256899"," This is all fake."
"257579","263520"," When I talk about returning to the scene of the crime, when we sell off like this, same thing going"
"263520","263800"," up."
"264100","271060"," You don't want to see like a bunch of these moves that take place in low liquidity environments. "
"271680","273760"," They get, they get erased eventually."
"273960","278580"," Normally they get erased quicker than you can leave gaps behind, but stuff like this that happens,"
"279080","282220"," you know, stuff like this right here, it's kind of suspect."
"283680","289060"," So there is though, this is right at, this is the, this tag right here is at six a.m."
"289820","291740"," back on the 30th. "
"291960","300100"," So it's a little bit stronger right here, but even so, like we have some stuff to close down here."
"300100","306760"," So if you want to like get out of your short or whatever your puts you can, we're close to"
"306760","316160"," some kind of a, close to some kind of a, I don't know what you guys like to call it."
"316300","317920"," Like we'll catch a bounce here shortly. "
"317920","321600"," So I'll show you why we're going to catch a bounce and then we're going to get a second leg"
"321600","324480"," down, hopefully, into the middle of July."
"324920","325260"," We need one."
"325460","327640"," So we need to cool off a little bit. "
"327640","328800"," We need a correction."
"329340","330980"," We got a bunch of stuff to go over this morning."
"331220","334340"," So we do have the gap, the big gap down here. "
"334460","335520"," I'd like to see that get closed."
"336780","340660"," We also have the daily trigger that's racing up in the background."
"341420","344540"," That's right now trading for 33, 10. "
"345400","346680"," So you've got one more."
"346820","353260"," It'd be really nice to see like the gap get close, then come back up and then hit that daily"
"353260","356080"," trigger in about two or three days at four thirty five."
"356720","358320"," Right now it's at four thirty three. "
"358440","361640"," So if it was at four thirty five and make a nice place to actually bounce."
"363040","366540"," If we can do that, I don't know, but we'll talk about that."
"367260","369460"," So I'd like to see at least that to start. "
"371320","375500"," And then catch a bounce and then catch a big bounce and maybe even go down and catch the weekly"
"375500","377860"," if we can for July."
"379600","380580"," It's a good morning to all of you."
"380680","381340"," Hopefully you sold this. "
"382560","386020"," I said it's possible one more gap up before we roll over on the fifth."
"386480","389480"," We got the one last gap up, but it wasn't like a new high or anything."
"390040","395480"," That failure should have given you some information as to expect to sell the fifth. "
"396700","397740"," Hopefully you're in a trade."
"398060","400960"," If you were trading, hopefully you're in a trade to sell the fifth."
"400960","403280"," I saw Miro come out and he said the same thing. "
"403740","407500"," He said he was going to sell the fifth as well or he was ready to sell the fifth."
"408080","409800"," I think everybody else was too."
"410800","413480"," Now we'll rebalance this entire move. "
"414400","419840"," We'll take the window dressing trade for the quarter and then you're probably looking for a nice"
"419840","421340"," dip to buy."
"421340","430620"," What's fascinating here is I have not paid much attention to the market, to social media."
"431500","438380"," And I mean in terms of the big data that comes out, the big smart guys out there talking all"
"438380","438920"," that kind of stuff. "
"439540","441860"," I haven't paid any attention to them."
"442340","446800"," And you can kind of foresee this stuff without paying attention to them."
"446800","448720"," And that's a big thing. "
"449300","452700"," The trigger is telling me you got to do this and you got to do that and we're going to"
"452700","453300"," come back to this."
"453920","455260"," We're going to do this and we're going to do that."
"455600","457560"," So I find that fascinating. "
"458280","459840"," I found that fascinating."
"460760","463740"," Over this past week, it was pretty clear as day."
"464200","473320"," And I'm wondering how much of an effect paying attention to some of the news and some of the social"
"473320","476640"," media and all that stuff really does cloud your judgment. "
"476640","480000"," As a trader or an investor."
"480680","483120"," So is it really clouded for you?"
"483200","483680"," Does it not?"
"485080","489880"," Is it like a lot of swaying of opinion when there shouldn't be?"
"490820","494220"," Are you actually selling when you should be?"
"496060","500320"," You know, you have people say I lost half a million dollars trying to short this market."
"500540","503600"," It's pretty easy to see that we should have sold. "
"503600","506480"," Hold on a second here."
"508380","510080"," Can you guys hear me?"
"513080","514559"," Shit, you guys wind up able to hear me."
"518039","522400"," I've got a you can't hear me. "
"522400","522900"," Okay, cool, cool."
"524200","529700"," I was hearing some other noise in the background and I had some of my sound board wasn't routed."
"530800","532140"," Oh, yeah, baby. "
"532580","534000"," Keep on gapping it down."
"534100","535480"," Close that gap down there, big boy."
"536640","538440"," Close that gap down there. "
"543290","548070"," So the idea here is are you selling when you should be selling?"
"548090","549990"," Are you buying when you should be buying?"
