"id","start","end","text"
"FPDyqiwn46w","0","7000"," as to complete adjustment of focus and sound level before the film"
"FPDyqiwn46w","30000","37000"," if that's even live"
"FPDyqiwn46w","60000","67000"," it's going on what's going on"
"FPDyqiwn46w","67000","74000"," all right well I think that we're just second here"
"FPDyqiwn46w","74000","81000"," all right it's going to be a quick market update for you"
"FPDyqiwn46w","81000","83000"," give me just a second here"
"FPDyqiwn46w","83000","88000"," get something I don't know why this is all wonky in the background"
"FPDyqiwn46w","94000","97000"," some weirdness here thanks for not real quick"
"FPDyqiwn46w","97000","99000"," just want to give a chance for"
"FPDyqiwn46w","103000","105000"," so just if you don't know already"
"FPDyqiwn46w","105000","109000"," I'm trying to take this week off and part of last week"
"FPDyqiwn46w","109000","112000"," some of you know some of you don't know it seems like"
"FPDyqiwn46w","112000","115000"," well all content will potentially"
"FPDyqiwn46w","115000","117000"," just a second here"
"FPDyqiwn46w","121000","125000"," so I have a bunch of stuff going on the background for"
"FPDyqiwn46w","125000","127000"," any duration"
"FPDyqiwn46w","127000","129000"," save okay"
"FPDyqiwn46w","129000","132000"," so I got a bunch of stuff going on in the background"
"FPDyqiwn46w","132000","134000"," it has to do with the website"
"FPDyqiwn46w","134000","137000"," attorneys and all kinds of other nonsense"
"FPDyqiwn46w","137000","140000"," that I must attend to during the daytime"
"FPDyqiwn46w","140000","144000"," it's been taking place since last Thursday"
"FPDyqiwn46w","144000","146000"," but it's all good"
"FPDyqiwn46w","146000","148000"," but I need to do a market update with you guys"
"FPDyqiwn46w","148000","150000"," for a bunch of reasons here"
"FPDyqiwn46w","150000","151000"," just want to go through"
"FPDyqiwn46w","151000","153000"," put me to post on Twitter today"
"FPDyqiwn46w","153000","154000"," for you"
"FPDyqiwn46w","154000","156000"," by the way first of all thanks for being here"
"FPDyqiwn46w","156000","157000"," over here"
"FPDyqiwn46w","157000","158000"," if anyone else shows up"
"FPDyqiwn46w","158000","160000"," or you want people can see this video later"
"FPDyqiwn46w","160000","162000"," I have to keep it short though"
"FPDyqiwn46w","162000","166000"," can I can't put a live stream up right now"
"FPDyqiwn46w","166000","170000"," I'm going to attempt to run a live stream tomorrow"
"FPDyqiwn46w","170000","173000"," while I work in the background it's hard for me to work"
"FPDyqiwn46w","173000","175000"," I have a lot of technical stuff I have to do"
"FPDyqiwn46w","175000","178000"," while trying to run the live stream as well"
"FPDyqiwn46w","178000","180000"," and it doesn't"
"FPDyqiwn46w","180000","183000"," my other setup is not large enough to run everything"
"FPDyqiwn46w","183000","184000"," like in the background"
"FPDyqiwn46w","184000","186000"," while I'm doing my work here in the office"
"FPDyqiwn46w","186000","188000"," so I think"
"FPDyqiwn46w","188000","190000"," I think I can but I'm not positive"
"FPDyqiwn46w","190000","192000"," my attempts so far have failed"
"FPDyqiwn46w","192000","195000"," but I'm going to attempt to fix it"
"FPDyqiwn46w","195000","197000"," by tomorrow"
"FPDyqiwn46w","197000","199000"," I've run two or three steps"
"FPDyqiwn46w","199000","201000"," I don't even see them here but"
"FPDyqiwn46w","201000","203000"," maybe you can't see my camera"
"FPDyqiwn46w","203000","205000"," but at any rate"
"FPDyqiwn46w","205000","207000"," it's hard to run this kind of stuff"
"FPDyqiwn46w","207000","209000"," before you guys see what's in the background"
