"start","end","text"
"5260","7200"," Alright, let's see if this works."
"13490","14630"," See if you guys can hear me."
"14870","15850"," I've got a new setup this morning. "
"18130","19410"," You guys hear me?"
"30090","31729"," Check one two, check one."
"48770","50530"," Alright, so I've got a new setup this morning."
"51330","59970"," Try to hook up multiple monitors so that I can day trade easier. "
"62430","67830"," Right now I've got trying to run off just a couple monitors but now I've got five setup."
"69010","70030"," Good morning everybody."
"72870","73650"," Let's see everybody. "
"74490","85800"," One nice thing is that I can turn off YouTube on another"
"85800","88060"," monitor here and just go through streamlabs."
"90000","93980"," Morning Liz, Rateesh, Jasmine, Omar, Dan, Angie, Ricardo, Liz."
"94780","95400"," We got Robert. "
"95920","96500"," Good morning everybody."
"100240","108320"," Alright, so this morning I do have the hero indicator working over here."
"109180","110440"," This is the spy feed. "
"111560","115440"," We'll be checking the spy feed today and those are a few things we'll do."
"117260","121920"," We are going to check on the overall market health today."
"124840","131180"," Now I want you all to realize or make a note this morning that. "
"133780","143680"," A spot gammas claiming I think it's four, seven, five, four, seven, five,"
"143680","144060"," zero."
"144720","147620"," I think spot gammas claiming that's support."
"154950","158150"," Maybe adjust your charts today if you're trading. "
"159910","168280"," If you're going to day trade to the spy today, I'm going to adjust your charts so that I think"
"168280","170260"," I've got mine set to four, seven, five, zero."
"171080","177820"," I've got four, seven, six, point three, nine, four, seven, eight, point seven, six, and four,"
"178120","179460"," eight, zero, zero."
"181200","183400"," So that should be the trading range today. "
"186120","191520"," I'll read it off one more time to you four, seven, four, point nine, seven."
"191780","193640"," That's basically four, seven, five, zero."
"195480","205380"," Four, seven, six, point three, nine, four, seven, eight, point seven, six, and then four, eight,"
"205440","205860"," zero. "
"205860","208340"," And that's what I'm going to look at to be day trading."
"211360","216920"," If I trade some spy today, actively trade some spy today, I've got two, I'll put up my brokerage"
"216920","218240"," here and see what I got going on."
"220240","226860"," So I've got some spy calls and I've got some spy puts. "
"227560","234130"," I've got some puts as a hedge at the end of the day yesterday."
"235030","243830"," In case we did experience some weakness now into Friday, as the time whittles away as time moves"
"243830","244170"," on."
"246500","251520"," I was wondering this morning, I think I asked somebody on Twitter earlier this morning if they"
"251520","258959"," thought that they would, if that traders would front run weakness in the market looking towards"
"258959","262120"," banks hedging on Friday or Thursday. "
"262120","266220"," I did have that concern."
"266480","268300"," I was like in some lucid moment this morning."
"268340","272680"," I thought to myself, maybe they'll front run weakness. "
"275160","276480"," People will panic early."
"277460","282720"," Because everybody knows right that there should be some weakness between Friday and Monday."
"285760","293160"," What do I have for put so the puts that I have are about January 3rd for 60 P's. "
"293380","295860"," They were slightly down into the close last night."
"296540","298560"," Not enough, not significant enough."
"299100","301860"," I probably should have made them short, made them short, short or dated. "
"303120","308880"," But I was, I had just gotten home with my kids and I was like, I just wanted to throw"
"308880","311780"," something on just in case."
"312600","316140"," And so we're just trading sideways in the spy at this moment where you guys can see there was a"
"316140","317980"," bounce on the spy."
"321800","322740"," Turn this off. "
"322860","325020"," Sorry, I got some alarms going off just in case I don't."
"325780","327140"," Get on here with you."
"327660","330440"," I'm interested in Tesla this morning. "
"331040","333560"," And possibly trading Tesla today."
"333880","338040"," You saw that bounce off of close to one or to 11 20."
"338580","340540"," That's where resistance was yesterday. "
"341640","345620"," Was at that 11 20 and you can see this morning before we open up."
"346560","349000"," That's moved down to."
"350320","358940"," To 1100 the supply of sellers has moved down so which is interesting. "
"361950","365970"," As you remember yesterday the dip by was at 10 70 and 10 80."
"368780","374260"," And yesterday also the wall was really at 11 20."
"374420","376760"," So you can see that there's a press this morning. "
"377440","381500"," At the bell you can see that there's a push down, right?"
"382080","383060"," They're going to try to that shorts."
"383080","385040"," I'm going to try to make a move into this morning."
"386860","389560"," Just be conscious of that as we open. "
"391600","396180"," Though the sellers and buyers are quite close to each other right now we are it's illiquid still in"
"396180","396720"," pre market."
"397080","403060"," The market really doesn't mean that much at this time, but you can see that there's a wall of"
"403060","404480"," sellers waiting for the bell."
"404480","409620"," On the open now sometimes when I when I day trade the Tesla. "
"410260","412180"," I'll be looking for a day like today."
"412740","415480"," It seems like the news is getting better for Tesla."
"416340","418480"," So and we are in somewhat of a."
"420500","423800"," Of a bearish. "
"425480","429780"," The last three days the slow move up we could have a little bit of weakness here at the open."
"429780","435360"," Now if we did have weakness in the open though it's it's sort of like back when we day trade"
"435360","436620"," I think we day traded this."
"440440","444780"," Back on December 21st or maybe it was back on. "
"446910","452650"," It goes back on December 14th we day traded it and what happened was you saw the you saw people"
"452650","453550"," trying to cover shorts."
"454330","461590"," So I'm hoping that this morning that there are some shorts that will try to try to push down."
"462970","463990"," Tesla briefly. "
"465570","469090"," Then flip ball and ride it up for 70 or 100 points."
"469570","473890"," I don't know if that happens right away this morning when we make a straight up."
"474250","478390"," You can you never can tell you can see the buyers are stepping in right now. "
"481030","487790"," But if you if you see this big dip in Tesla this morning it might open itself to a nice"
"487790","488410"," day trade."
"488410","490890"," So I'm interested in day trade in Tesla today."
"491170","497090"," There's a bunch of great news out there for Tesla right now and if there's panic among shorts they"
"497090","498290"," will try to dump it. "
"498650","503590"," I know that they'll try to so they did try to this morning once we came in I think it"
"503590","504850"," was 4 a.m. they started right."
"505170","510810"," Yeah right at four o'clock we went we went straight up to resistance they tried selling it down."
"511230","515610"," We have seen this too many times that it reminds me of one of those days right. "
"515610","519030"," You start out really strong in the morning look like you're going to be weak at the open."
"519350","525350"," You dump opening bell and then the first 15 20 minutes we grab that bottom you can make 70 to"
"525350","528790"," 90 points by midday or 100 points or so."
"529090","532250"," And we trail off a little bit and everybody panics everybody but top. "
"532650","536110"," I don't know if that's going to happen this morning but I'm watching for it to happen."
"536510","539150"," So if it does happen this morning I want to keep tests on the feed."
"539770","543730"," There's just too much good news coming in right now if you were a call seller right now you would"
"543730","545450"," be doing two things right. "
"545610","550010"," You'd be trying to dump them out and trying to dump Tesla with all this good news coming out."
"550510","557510"," If you're short if you're a short seller or if you're short if you're short the Tesla you don't"
"557510","558230"," want it to go up."
"558890","564830"," And as we head into Friday previous years we've had very good Christmases or holiday rallies for"
"564830","565050"," Tesla. "
"565490","571430"," Sometimes they start after the first of the year the shorts will win but even when the shorts do"
"571430","573870"," win this week into the third of January."
"574550","580050"," It's still usually a very positive this time of year for Tesla so you just have to find where"
"580050","580850"," you're buying in."
"582590","588830"," Yesterday the buy-in was at 1080 1070 we had some buyers at 1090 yesterday that bought that the"
"588830","591350"," 1090 dip at the end of 1080 1070. "
"591870","596530"," And it's still up for buying yesterday at 1090 if anybody got it at 1090 yesterday."
"597250","601370"," So I'm interested in Tesla to see what it's going to do this morning."
