"id","start","end","text"
"GLvTeJQE018","0","8240"," Good evening, traders. This is Captain Jim James with your daily brief. I think I have"
"GLvTeJQE018","8240","12920"," to do them quite frequently for the rest of the week. I'm surprised that on Thanksgiving"
"GLvTeJQE018","12920","19760"," week, that's the case, but so be it. We'll do it live, right? As one of those old guys"
"GLvTeJQE018","19760","26200"," said. I was going to do a daily briefer tonight for what's going to happen tomorrow, but"
"GLvTeJQE018","26200","33640"," I thought it would be better to touch on a subject that's similar to asking someone"
"GLvTeJQE018","33640","41720"," who's been trading a while, what's the difference between a share and a stock? I think off the"
"GLvTeJQE018","41720","47560"," coffee, be surprised that the answers you get from people that know what they're doing"
"GLvTeJQE018","47560","55120"," or think they know what they're doing. And so I think that is important to how today"
"GLvTeJQE018","55120","67280"," played up. Today's market was actually very stable. And a lot of seasoned traders knew"
"GLvTeJQE018","67280","73840"," how to trade today. Yesterday was really rough or the day before, which was what, Monday?"
"GLvTeJQE018","73840","81080"," Oh no, wait a minute. Yeah, Monday was a tough day to trade if you were a seasoned"
"GLvTeJQE018","81160","87600"," trader. You'll probably hear bears say they got the leg up on Monday. I know that's not"
"GLvTeJQE018","87600","96600"," the case. I was active in some places with many seasoned traders on both sides that were"
"GLvTeJQE018","96600","107360"," caught off guard. But Tuesday was a very stable market. And even though it went down, it was"
"GLvTeJQE018","107440","117600"," a stable. Monday was a very weird, tough trade because there were a lot of bears that shorted"
"GLvTeJQE018","117600","123000"," this market right at open. There were a lot of bulls that didn't trade the market right"
"GLvTeJQE018","123000","129240"," at Oak. Monday looked like a trend day. And when you see what happened on Monday at that"
"GLvTeJQE018","129240","135440"," time of the day, it was very unusual. It happens a few times a year, but sometimes"
"GLvTeJQE018","135440","139560"," you'll see it happen and it'll come right back in like 20 minutes. You can't panic."
"GLvTeJQE018","139560","146400"," I think even in a video earlier in the week, I said there may be a drop and don't panic."
"GLvTeJQE018","146400","151800"," It would be a moment for you to get out of your positions or take it long to save your"
"GLvTeJQE018","151800","156800"," ass or whatever. And that actually, I think that was a video or two ago on the main regular"
"GLvTeJQE018","156800","164360"," channel. So my point is this, is that we're going to go right down to the open of a day"
"GLvTeJQE018","164360","168760"," and how the day begins and where it can go. But on a macro level, we're going to look"
"GLvTeJQE018","168760","177480"," at what a year is and or an event, right, a massive event. So we had an event in 2020."
"GLvTeJQE018","177480","185200"," We had the COVID crisis or whatever, right? Dump here. And it was pretty fucking doom"
"GLvTeJQE018","185200","192640"," and gloom. Like when this happened back here, we knew we were topping back here. And when"
"GLvTeJQE018","192640","198440"," it did finally dump, I remember when we were really down low down here, that it was ugly."
"GLvTeJQE018","198440","204840"," I mean, it was, it was ugly. You had like, you had like hardcore bears making, I remember"
"GLvTeJQE018","204840","212480"," some bears were making, like, I don't know, literally like 1000 bucks turned into 50,000."
"GLvTeJQE018","212480","220400"," 20,000 then turned into 100,000. I mean, you talking bank millionaires, retail, small"
"GLvTeJQE018","220400","229760"," time retail traders. And when the announcement was made down here, no one believed it bears,"
"GLvTeJQE018","229760","237440"," bears lost fortunes. I know they did. I know of some of them. And it was like being slapped"
"GLvTeJQE018","237440","247720"," across the face. Now, what's important about that is we were slapped back into a trend and"
"GLvTeJQE018","247720","253320"," this trend has continued for we had two years, right? We come into the end of this year, we had"
"GLvTeJQE018","253320","260200"," a trend of two years in a channel. So what you want to understand is that on a macro level,"
"GLvTeJQE018","260200","274040"," we trade in a channel, in a trend, it's up sideways, it can be down. A good example of a stock that"
"GLvTeJQE018","274040","281880"," trade sideways sometimes is Amazon. I think it wasn't going to save for the last year or so,"
"GLvTeJQE018","281880","291160"," they had a defined trade trading channel. You'll see stocks that only trend flat and make a move"
"GLvTeJQE018","291160","298280"," every once in a while. And so on a grand scale, you can go in these super cycles, you can go in"
"GLvTeJQE018","298280","303880"," cycles that are five years. But if you're going like a year cycle, right, just keeping it simple."
"GLvTeJQE018","305480","310680"," You know that you're in this trend, like you break into this trend here in March, right? And"
"GLvTeJQE018","310680","316840"," you're starting to make yourself a trend. And then there's questions if we're going to keep trending"
"GLvTeJQE018","316840","322040"," up here in 2021, right? And then the next question is we're going to trend like this in 2022,"
"GLvTeJQE018","322600","327880"," say if they start asking yourself questions, right? What's the outlook for 2022? You're going to hear"
"GLvTeJQE018","328440","332440"," news people tell you, you're going to hear the market tell you, you have people lying to you,"
"GLvTeJQE018","333160","339560"," you have narratives. And there's this old trader adage that you trade wherever it's at"
"GLvTeJQE018","340520","346680"," until it doesn't work anymore. So you trade this down until it doesn't work. And then when it starts"
"GLvTeJQE018","346680","353400"," to turn, you take this trade and you trade it until it doesn't work anymore. And that does apply in a"
"GLvTeJQE018","353400","359320"," grand scale to where we are right now. Now there are other factors on a very simple"
"GLvTeJQE018","360200","368360"," basic level. And that is you have to think from where a bank comes from. Now you'll see this on a"
"GLvTeJQE018","368360","375560"," better scale on stocks. If they're an IPO, if you don't know, like I tried to trade one stock at a"
"GLvTeJQE018","375560","382520"," time, you want to get to know that stock, ask people about it. You want to know in a grand"
"GLvTeJQE018","382520","389160"," scale, are they in a growth phase, are they an IPO? How are their earnings, right? How are their"
"GLvTeJQE018","390360","395160"," P's trading? You know, how many times over their profit of their trading year? Anyways,"
"GLvTeJQE018","396440","399400"," things you want to learn about a stock, right? But in a stock on a smaller scale,"
"GLvTeJQE018","400280","404680"," they'll usually trend over the course of a year. You'll see"
"GLvTeJQE018","406520","412200"," stocks typically go up for a year or nine months or so. And then they'll call profits and the stock"
"GLvTeJQE018","412200","419240"," will down trend for nine months or so. And then they'll call profits. The banks will call profits"
"GLvTeJQE018","419240","424840"," that way too. And then they'll buy again, right? And the stock will go back up. You've got that"
"GLvTeJQE018","424840","432280"," up down on a larger scale. Now that's supposed to happen on the spy, right? But the spy is built"
"GLvTeJQE018","433080","438680"," to track the best performing companies in our stock market. It's built to go up. That's what it"
"GLvTeJQE018","438680","446120"," does. That's its job. It's not built to go down. If the spy starts to go down, it infers that the"
"GLvTeJQE018","446120","454040"," market is very unhealthy in general. But the best companies are unhealthy. So, spy can roll over"
"GLvTeJQE018","454040","457560"," here. It might not roll over here. But you have to trade what's in front of you."
"GLvTeJQE018","458760","465800"," So, on a grand scale, let's say you were a swing trader that trades a stock or an option"
"GLvTeJQE018","467160","472360"," for one to three months, right? You're going to be looking on this large scale here and say,"
"GLvTeJQE018","472360","479400"," well, I buy here, I buy here, I buy here, here, here, here, right? I hold a, let's say, hold an"
"GLvTeJQE018","479400","487880"," option or a spread option package for one to three months. They have tended to win"
"GLvTeJQE018","488680","496360"," for two years. And even prior to this, in horrible years, they tend to win. They don't tend to trade"
"GLvTeJQE018","496360","501000"," a lot. They're not on Twitter. They're not on YouTube. They're setting price alerts in this"
"GLvTeJQE018","501000","505960"," trend and saying when it hits this, I'm going to start to go along. And this is the scale that"
"GLvTeJQE018","505960","512280"," they use. Now, this scale is predictable. So, you're looking for certain things to happen"
"GLvTeJQE018","513080","521720"," in this trend channel. And even if you dip below here, you're providing for some space for you to"
"GLvTeJQE018","521720","525960"," make your gains back down the road. You might make them quicker, right? Well, like this, let's"
"GLvTeJQE018","525960","529720"," say you bought this and it went straight up. You could take your profit and say I'm going to wait"
"GLvTeJQE018","529720","537080"," for the next one. This happens on a smaller scale. Now, when you break through in this larger scale,"
"GLvTeJQE018","537720","544280"," let's say you break through here and you're a one to three month option holder, right? You know"
"GLvTeJQE018","544280","549320"," that this here is dangerous. You start to say to yourself, well, we're in a dangerous zone right"
"GLvTeJQE018","549320","554600"," here. How much risk can I put on before it comes back? And you should start to think about that on"
"GLvTeJQE018","554680","561160"," a smaller scale. And this with what this gives a trader is confidence, especially in this large"
"GLvTeJQE018","561160","566680"," scale. You're like, I have confidence that I can buy here, here, and here, and it's going to work."
"GLvTeJQE018","567400","572040"," Now, let's say the one time it doesn't work. Let's say it comes down and never comes back again."
"GLvTeJQE018","572040","579240"," Say we crash and it just crashes for the next five years. It still doesn't matter because you won"
"GLvTeJQE018","580120","588360"," what 20 times before then and you're only risking 10 to 30% at any time, right? And you're only"
"GLvTeJQE018","588360","593960"," taking these trades. This comes down on a smaller scale as you get lower and lower. This is a one"
"GLvTeJQE018","593960","602200"," year, right? So you get to a six month and let's say instead of playing a one to three month trade,"
"GLvTeJQE018","603160","609960"," you're playing just weeklies, right? So this isn't actually help right here, but you can start to put"
