"id","start","end","text"
"GQm6SFiaiww","0","19920"," Alright, let's see if this works."
"GQm6SFiaiww","19920","33920"," This might work."
"GQm6SFiaiww","33920","35920"," Good morning, Angie."
"GQm6SFiaiww","35920","38920"," Good morning, you're a boomer."
"GQm6SFiaiww","38920","43920"," How's this feed?"
"GQm6SFiaiww","43920","46920"," Good morning, Binky."
"GQm6SFiaiww","46920","50920"," It's weird, so I don't have everything set up this morning, but I do."
"GQm6SFiaiww","50920","56920"," I don't have a monitor on to watch the live feed on YouTube."
"GQm6SFiaiww","56920","62920"," But I can see your texts still waiting for some more equipment to arrive in the mail."
"GQm6SFiaiww","62920","68920"," Everything has been coming in slowly."
"GQm6SFiaiww","68920","72920"," Good morning, your wife's boyfriend. Good morning, Al."
"GQm6SFiaiww","72920","79920"," Yeah, so I have a bunch of equipment coming in the mail, right?"
"GQm6SFiaiww","79920","83920"," UPS, post office."
"GQm6SFiaiww","83920","86920"," Half of it's here, half of it's not."
"GQm6SFiaiww","86920","88920"," So I've got some monitor."
"GQm6SFiaiww","88920","91920"," I'm kind of jury rigging some of this stuff right now."
"GQm6SFiaiww","91920","100920"," I've got some webcam set up because I have some interface for three different monitors."
"GQm6SFiaiww","100920","102920"," So we can have a heat map on."
"GQm6SFiaiww","102920","104920"," You can see my face."
"GQm6SFiaiww","104920","107920"," And you can also see the candlestick charts."
"GQm6SFiaiww","107920","115920"," And I also want to live trade with you, but I need this other equipment."
"GQm6SFiaiww","115920","118920"," Good morning to everybody. Good morning, CJ, Chaz."
"GQm6SFiaiww","118920","120920"," Good morning in light productions."
"GQm6SFiaiww","120920","123920"," Raptor, a little big bear."
"GQm6SFiaiww","123920","124920"," Good morning, MA."
"GQm6SFiaiww","124920","129920"," We still have got, so Tesla."
"GQm6SFiaiww","129920","134920"," We were talking about Tesla on Friday that it was kind of do or die, right?"
"GQm6SFiaiww","134920","138920"," We know that if Tesla slips underneath that iceberg,"
"GQm6SFiaiww","138920","145920"," we're going to be seeing the low 900s, possibly 800s, even lower."
"GQm6SFiaiww","145920","147920"," Good morning, Brandy."
"GQm6SFiaiww","147920","152920"," So things should get, the production value should go up in the coming week."
"GQm6SFiaiww","152920","155920"," I guess I've got some stuff still lost in transit."
"GQm6SFiaiww","155920","160920"," This camera that I have on right now is not the camera that I want to be using."
"GQm6SFiaiww","160920","163920"," I've got a Sony A6000 that's coming in."
"GQm6SFiaiww","163920","168920"," So I'll have multiple cameras and multiple displays for you as the week moves forward."
"GQm6SFiaiww","168920","173920"," Good morning, Oliver. Good morning, Chase. Good morning, F-fisted."
"GQm6SFiaiww","173920","180920"," Why aren't you guys able to see my face and then I want to be able to put the heat map up for you,"
"GQm6SFiaiww","180920","182920"," candlestick charts, all that kind of stuff."
"GQm6SFiaiww","182920","191920"," And I'm trying to get, I've got a bunch of light lighting and stuff and some other lighting is missing right now."
"GQm6SFiaiww","191920","194920"," What blew up?"
"GQm6SFiaiww","194920","198920"," Yeah, Tesla blew up like crazy."
"GQm6SFiaiww","198920","200920"," You kind of knew it on Friday. You didn't really have a choice."
"GQm6SFiaiww","200920","204920"," I didn't know if I was talking to Joe Donut."
"GQm6SFiaiww","204920","207920"," I think he stayed in his calls."
"GQm6SFiaiww","207920","209920"," My Tesla calls burned."
"GQm6SFiaiww","209920","214920"," And I had to make a choice in the day. I'm like, am I going to buy Tesla calls or spy calls?"
"GQm6SFiaiww","214920","217920"," And I wound up buying spy calls."
"GQm6SFiaiww","217920","221920"," And those are going to print stupid too anyways. They were like $0.10."
"GQm6SFiaiww","221920","226920"," And then you figure right at the, right at the bell, there are Billy Byers at the bell this morning."
"GQm6SFiaiww","226920","231920"," And you've got low volume last week, low liquidity, low volume."
"GQm6SFiaiww","231920","235920"," This week, of course, everyone's going to get back into the market."
"GQm6SFiaiww","235920","241920"," The premium alone is going to blow up anybody in calls right now."
"GQm6SFiaiww","241920","243920"," Yeah, GM."
"GQm6SFiaiww","243920","245920"," I haven't looked at GM yet."
"GQm6SFiaiww","245920","247920"," Oh, good morning, Mikey."
"GQm6SFiaiww","247920","250920"," Good morning, everybody. Yeah, we're almost getting there."
"GQm6SFiaiww","250920","255920"," The new setup is going to get better. I've got a better camera and I've got some interfaces between displays."
"GQm6SFiaiww","255920","260920"," Right now, I'm just, I just jury rigged a webcam on on book map this morning,"
"GQm6SFiaiww","260920","265920"," but you'll get an actual legit book map display at some point this week."
"GQm6SFiaiww","265920","271920"," I'm just missing a bunch of stuff still in the mail. So everything's kind of, kind of, you know,"
"GQm6SFiaiww","271920","275920"," I don't want to say it, but it's not, it's rigged up right now."
"GQm6SFiaiww","275920","278920"," But we're going to, I'm going to get this started here."
