"id","start","end","text"
"GcqTWLzk_xA","0","13840"," This leader is check one two permit there's the waiting room waiting room ready let's go get it on"
"GcqTWLzk_xA","15360","18600"," Check one two pick one two"
"GcqTWLzk_xA","18600","30960"," Come on come on, let's do it. We got a squeeze coming right now"
"GcqTWLzk_xA","39800","41800"," Gotta reset that shit"
"GcqTWLzk_xA","41800","47320"," Is that thing what was this thing on or no?"
"GcqTWLzk_xA","47320","73400"," There we go get that intro out of the way and go straight into it"
"GcqTWLzk_xA","77320","82840"," Reset all that"
"GcqTWLzk_xA","95320","101520"," Hey, are y'all doing out there? We're gonna switch right over right now. Just check out this squeeze. Let's take a place right now on spooze"
"GcqTWLzk_xA","102520","105640"," See how high we can go at this take a look at"
"GcqTWLzk_xA","106160","108480"," Right in here got a nice squeeze happening"
"GcqTWLzk_xA","108480","113480"," All they're gonna do is break this previous high right here if you're already I posted on fin twit"
"GcqTWLzk_xA","113480","115000"," Just a minute ago, so"
"GcqTWLzk_xA","115000","121400"," You should get that right there and one more pull back and then possibly all the way up right there"
"GcqTWLzk_xA","122520","124520"," So leave that right there for you and"
"GcqTWLzk_xA","125440","128000"," Try to keep that watch that little area right here"
"GcqTWLzk_xA","128400","130640"," Then one more big old move to the upside"
"GcqTWLzk_xA","132280","134280"," Give me one quick second"
"GcqTWLzk_xA","134760","140160"," Are y'all doing people are here fuck yeah, let's go. Sorry apologize to this morning. I"
"GcqTWLzk_xA","141280","148000"," Had a where I've got fiber or internet. I took some pictures and whoever the installer was did not"
"GcqTWLzk_xA","149160","155280"," attach one of the heavy wire and like ran out the fiber wire just like hanging and it broke"
"GcqTWLzk_xA","155280","163800"," That's which is a glass wire in a very small wire and did not did not last what's fucked up to is I got a"
"GcqTWLzk_xA","164640","166640"," I ended up getting a"
"GcqTWLzk_xA","167720","170880"," Woody you call it a guy that came to the house and"
"GcqTWLzk_xA","172000","176720"," my wife was there and he started to mansplain to her and"
"GcqTWLzk_xA","177600","182880"," He was mansplaining her about the wiring and I had to like I had to like"
"GcqTWLzk_xA","183600","185880"," Walk over and be like oh, I'm here now"
"GcqTWLzk_xA","185880","190120"," You're gonna fucking keep mansplaining her or what and it was kind of kind of stupid"
"GcqTWLzk_xA","191120","195200"," That it took that I'll explain the mansplaining that what the dude was doing in just a minute to her"
"GcqTWLzk_xA","195200","200320"," You know like a pure man and you're talking to a woman or something like that. Make sure the dude's not home"
"GcqTWLzk_xA","201640","205320"," And doesn't catch a mansplaining to his wife so"
"GcqTWLzk_xA","206360","208360"," Hello and second air"
"GcqTWLzk_xA","208360","211600"," Well, give me a quick second. I got some stuff. I got to do in the background"
"GcqTWLzk_xA","211600","214160"," So should say a quick pullback right here"
"GcqTWLzk_xA","214560","218560"," And all they have to do is beat this one right here this previous high right here"
"GcqTWLzk_xA","218560","224560"," Which they're doing right now and then you should see a bounce back a check on the one minute trigger and then a quick rip up"
"GcqTWLzk_xA","225000","227920"," Here on spy make sure you can see this in frame"
"GcqTWLzk_xA","232240","234240"," Subscribers any"
"GcqTWLzk_xA","234240","236240"," generation"
"GcqTWLzk_xA","237080","241240"," Members and then let me see what you do in members there"
"GcqTWLzk_xA","242280","244280"," save"
"GcqTWLzk_xA","244280","247160"," And then hold on a couple things you got to do here"
"GcqTWLzk_xA","251600","257080"," Save that and then I got to do a I gotta do a thing that"
"GcqTWLzk_xA","257080","265640"," Is that post this on you on twitch people know that we're here today"
"GcqTWLzk_xA","266600","272040"," Kind of pissed off that I said turn the stream on this morning, right? So I turned the stream on this morning and"
"GcqTWLzk_xA","273800","277000"," It so it went unlisted on YouTube and"
"GcqTWLzk_xA","277840","283440"," I was making so I have a bunch of it. I got a bunch of training films. I have been when I was sick, right?"
"GcqTWLzk_xA","284400","287880"," Oh, yeah, when I was sick. I started making well"
"GcqTWLzk_xA","287880","290960"," I got sick and then I felt better, but my brain didn't feel right"
"GcqTWLzk_xA","291640","296480"," So I did have some time to make training videos. I wind up. I wound up making I think"
"GcqTWLzk_xA","297360","303480"," 30 training videos and I have another five or ten big ones that I haven't filmed yet"
"GcqTWLzk_xA","304720","307440"," But last night I oh I might jump on this here"
"GcqTWLzk_xA","308040","311200"," So see this right here see this pullback right here. See this little"
"GcqTWLzk_xA","311680","313880"," It's a little thing right here. This is gonna be a check"
"GcqTWLzk_xA","315640","320480"," This is gonna be a back check of the let's go over to the trigger chart really quick. So"
"GcqTWLzk_xA","321880","326600"," I apologize for some of my videos here because last night I was doing a bunch of stuff, but"
"GcqTWLzk_xA","328840","330480"," This is a"
"GcqTWLzk_xA","330480","333120"," So this is a strategy that you can use on"
"GcqTWLzk_xA","333960","339280"," This is a strategy you can use with this tool. I want to discuss this strategy really quick. So if"
"GcqTWLzk_xA","340240","346920"," You're watching price underneath the hourly trigger and the hourly trigger, which is the green line is coming down, right? You're bearish"
"GcqTWLzk_xA","348600","350200"," Okay"
"GcqTWLzk_xA","350200","355440"," Now if the green line begins to flatten which it's doing right now"
"GcqTWLzk_xA","356080","358240"," It's becoming a little bit more neutral"
"GcqTWLzk_xA","358960","360960"," If it starts to add higher"
"GcqTWLzk_xA","361640","363640"," becomes more bullish"
"GcqTWLzk_xA","364640","372280"," Now saying that right in a three hour time period one two and three three hour time period"
"GcqTWLzk_xA","372280","380600"," So think about the stock market. We talk about half hour 15 minutes half hours hours days weeks months years all that kind of stuff on a daily basis"
"GcqTWLzk_xA","382360","389160"," Be thinking about three hour periods. So nine thirty ten thirty eleven thirty is your first one your second one is"
"GcqTWLzk_xA","389360","391360"," eleven thirty twelve thirty one thirty"
"GcqTWLzk_xA","391720","395200"," Then think about your next one as one thirty two thirty three thirty"
"GcqTWLzk_xA","395760","400280"," In the stock market then you go three thirty four thirty five thirty and then they close that shit at six"
"GcqTWLzk_xA","400280","402560"," Oh, then you get the nine p.m. Stuff too, but"
"GcqTWLzk_xA","403960","408240"," Start thinking about the stock market like that. So what you want to be doing is back checking"
"GcqTWLzk_xA","408920","411800"," price action the previous three hours and"
"GcqTWLzk_xA","412760","416880"," If you look here right down here, this is two p.m. Right"
"GcqTWLzk_xA","417880","420560"," And this right here is one p.m. This is one thirty"
"GcqTWLzk_xA","420960","427360"," But right around this eleven thirty mark we started to consolidate for this for this three hour period and"
"GcqTWLzk_xA","428080","433280"," You can see the hourly trend is whole is actually flattening and becoming bullish"
"GcqTWLzk_xA","433760","437080"," So as this is taking place if you were to say to yourself"
"GcqTWLzk_xA","438280","441280"," Is this bullish consolidation or bearish?"
"GcqTWLzk_xA","442280","445160"," So far it's bullish consolidation"
"GcqTWLzk_xA","445640","450240"," If you were to see the if you were to see the hourly trigger"
"GcqTWLzk_xA","451200","453200"," Continue to the downside"
"GcqTWLzk_xA","454440","459280"," Let's say price was flat, but you saw this hourly trigger heading down still"
"GcqTWLzk_xA","459720","461720"," It would be giving you bearish"
"GcqTWLzk_xA","462840","468400"," Connotations even if we if price was bouncing like this right now and you saw this happening"
"GcqTWLzk_xA","468560","473360"," It would be bearish connotation, but this is neutral to slightly bullish"
"GcqTWLzk_xA","474360","482840"," With a consolidation, so if you were to run this trade a bunch times you'd find out that it's actually it's actually bullish in the end of the day"
"GcqTWLzk_xA","484040","489600"," For an upside move so and we're starting to see that you actually see this price action right here"
"GcqTWLzk_xA","489600","495920"," You had this previous high right here right and fascinatingly enough probably a dealer came in"
"GcqTWLzk_xA","495920","501360"," I saw this action right here and dealers came swoop like swooped bang bang bang"
"GcqTWLzk_xA","501920","504120"," Right and they took price down on"
"GcqTWLzk_xA","505240","507920"," 457 I think we're like 24 cents up here"
"GcqTWLzk_xA","507920","513240"," They slammed it down to like 10 or 12 cents and sure enough they came right back up and slammed it up"
"GcqTWLzk_xA","513240","519320"," And we actually got we beat we failed the previous high here, but we beat both of these eyes"
"GcqTWLzk_xA","519920","524480"," Right here, so we'll see if we can catch a quick another rip up to the upside"
"GcqTWLzk_xA","525040","529160"," Or at least beat this high right here. Oh do we already do that and see if we beat that one"
"GcqTWLzk_xA","530000","535320"," Let me snap a line and just see if we think it's something more technical here and see if we beat this previous line right here"
"GcqTWLzk_xA","538120","540120"," Yeah, that's close"
"GcqTWLzk_xA","540760","545360"," I'm looking for this. I'm looking for a beat of this previous high right there"
"GcqTWLzk_xA","546000","551840"," That one right there looks like it's almost it's like neutral not beats not not beat"
"GcqTWLzk_xA","551840","554520"," So I've got a neutral stance right now if we're gonna go up there"
"GcqTWLzk_xA","554680","559800"," I would have really liked to have seen like a real small tick maybe one tick one penny higher and"
"GcqTWLzk_xA","560360","561440"," It would be"
"GcqTWLzk_xA","561440","566000"," Approving that upside move. So we'll see what happens. Maybe it is more neutral. I was saying it was bullish, but"
"GcqTWLzk_xA","566680","570840"," This little not beat right here. That just took place kind of gives me some caution"
"GcqTWLzk_xA","571360","574160"," So we might buy this though for this next rip to the upside"
"GcqTWLzk_xA","574160","578720"," We'll check this one out here in just a minute. Either way, this is more neutral than bearish"
"GcqTWLzk_xA","578920","584480"," Definitely not bearish and it is looking like it's turning bullish because of the time the three hours that we spent"
"GcqTWLzk_xA","584520","589560"," On this on this hourly trigger. So bulls a little bit in charge right now"
"GcqTWLzk_xA","589560","592640"," See if we can go up here and try to trade this 447 47"
"GcqTWLzk_xA","592640","598360"," We might have some similar price action today to some of our previous days as well because there are"
"GcqTWLzk_xA","599560","601560"," 420,000"
"GcqTWLzk_xA","602040","608760"," 457 C's on the board right now, so they're not gonna want to print those bad boys this that that'll that'll"
"GcqTWLzk_xA","609840","612880"," Kind of or can pin the market slightly"
"GcqTWLzk_xA","613120","617960"," Well, it's been a lot of prep pay those out for like two three dollars something like that sometimes they do"
"GcqTWLzk_xA","618320","621360"," But they burned them all already they burned all those calls already"
"GcqTWLzk_xA","621360","626520"," And so maybe they'll give us a little bit on the back end of this trade if you're holding those calls"
"GcqTWLzk_xA","626640","628840"," You might get a little bit of back end to the upside"
"GcqTWLzk_xA","630480","633760"," Okay, so hold on one second here. I guess a bunch of stuff I gotta do"
"GcqTWLzk_xA","635520","638040"," I missed you know, why am I missing all this stuff like"
"GcqTWLzk_xA","638800","640800"," I'm missing a bunch of stuff here"
"GcqTWLzk_xA","641640","644560"," You guys see me on I did I can't see me"
"GcqTWLzk_xA","646080","650480"," I don't see any multi-stream chat is anybody inside YouTube"
"GcqTWLzk_xA","652120","655480"," Yeah, there's people in YouTube. Let me say I can refresh the chat, maybe"
"GcqTWLzk_xA","656520","658520"," Can I refresh the chat? Okay"
"GcqTWLzk_xA","660480","662480"," Give me one quick second here"
"GcqTWLzk_xA","663840","667680"," Weird to I got nothing I must be on YouTube and not twitch"
"GcqTWLzk_xA","668160","671760"," I have to be I'm probably logged in on YouTube right now and not twitch"
"GcqTWLzk_xA","675920","678200"," Well, I'm one seconder guys. I got a couple things I got to do"
"GcqTWLzk_xA","679760","681760"," Change the chat settings"
"GcqTWLzk_xA","682680","686400"," Members only on twitch subscriber only bam done"
"GcqTWLzk_xA","687760","689720"," If you do normally if you do want to"
"GcqTWLzk_xA","690840","692800"," Chat with us and you don't want to pay to chat"
"GcqTWLzk_xA","692960","698200"," You can always we only charge to pay chat because of the scammers and stuff like that robots and"
"GcqTWLzk_xA","699200","700600"," Russian"
"GcqTWLzk_xA","700600","702600"," Hooker bots or something and"
"GcqTWLzk_xA","704880","709200"," Matter of fact, we're gonna do away with that very soon. We're gonna be doing we're gonna be doing a switch"
"GcqTWLzk_xA","709200","716800"," So right now what heads up is we're gonna be changing up a bunch of stuff around here. I got Joey donuts working on it"
"GcqTWLzk_xA","716800","718080"," so that"
"GcqTWLzk_xA","718160","722920"," If you're a member you can chat across all platforms and all kinds of other cool stuff"
"GcqTWLzk_xA","724280","728760"," So even the even the membership is gonna change around here in the next couple days next day or so"
"GcqTWLzk_xA","731080","734240"," I can see you guys now sweet. Yes, sex bots"
"GcqTWLzk_xA","735920","741240"," So we're gonna talk about a few things at this point and expectations in the end of the week"
"GcqTWLzk_xA","742080","746160"," Expectations for next week that kind of stuff and we're gonna tell you what some posts that I made on"
"GcqTWLzk_xA","746400","748400"," Finn to it this morning and whoever"
"GcqTWLzk_xA","748800","752000"," Whoever you was in the first stream from this morning"
"GcqTWLzk_xA","752880","754880"," That said in chat"
"GcqTWLzk_xA","755040","758400"," Short this shit down into the dumpster or whatever short the shit to hell"
"GcqTWLzk_xA","758840","763080"," Did you catch me say do not short spy off the bell this morning?"
"GcqTWLzk_xA","763240","768440"," Well before the stream died did anybody catch that this morning anybody that was in the stream"
"GcqTWLzk_xA","768440","775040"," It was only on for like five minutes. I think three or four minutes and I someone said in the chat on Twitch"
"GcqTWLzk_xA","775040","780400"," They said short spy into depths of hell and I was like do not short spy here. Do not short spy"
"GcqTWLzk_xA","781800","786360"," You did catch that. Okay, good. I felt really bad this morning. I was like, oh dude"
"GcqTWLzk_xA","786360","788360"," I don't know if they heard me say that or not"
"GcqTWLzk_xA","789440","797120"," To not short spy on there was a rotation on I have you m this morning into spoos and individual tickers on tech this morning"
"GcqTWLzk_xA","797840","801000"," We're not bearish on I'm not bearish on I have you m, but there was a rotation"
"GcqTWLzk_xA","801600","803920"," this morning for spoos and"
"GcqTWLzk_xA","805200","807520"," Tech I did make a post on Twitter that said"
"GcqTWLzk_xA","808040","812360"," Hey, everybody's on calls. They're all on four fifty sixes or four fifty sevens"
"GcqTWLzk_xA","812720","817260"," Right on the fucking bell and I was like that looks like that when the people that were shorting"
"GcqTWLzk_xA","817760","822560"," The Israeli stock market like somebody knew we were going up and I thought that was kind of fascinating"
"GcqTWLzk_xA","823960","826720"," This morning before or just as we opened or whatever"
"GcqTWLzk_xA","826720","828720"," I"
"GcqTWLzk_xA","832760","840480"," Didn't see this what you wrote. I don't know if you saw this before because the chat issue any feelings towards charting patterns"
"GcqTWLzk_xA","841440","843520"," Yes, we incorporate"
"GcqTWLzk_xA","843520","847160"," Well, yes and no, I don't know if they're the same chart patterns that you're thinking about"
"GcqTWLzk_xA","848160","852320"," The chart patterns that I use are geared towards this tool"
"GcqTWLzk_xA","853480","855960"," And that's the only chart patterns that I use"
"GcqTWLzk_xA","856720","860000"," I I keep on zigzag channels on"
"GcqTWLzk_xA","860960","865440"," Multi-time frames, but that's about it as long as we're staying in channel and stuff like that"
"GcqTWLzk_xA","865440","868840"," I'll pay attention to that stuff, but I don't put a lot of proof into"
"GcqTWLzk_xA","870200","872200"," traditional charting methods"
"GcqTWLzk_xA","872200","875760"," I don't not a fan of them. It's a matter of fact this tool beats"
"GcqTWLzk_xA","876480","879600"," oftentimes I'll go on Twitter and I'll see people"
"GcqTWLzk_xA","880640","882480"," posting a lot of"
"GcqTWLzk_xA","882480","884480"," traditional charting stuff and"
"GcqTWLzk_xA","885160","889480"," They get beat by this tool because of it they get torched because of it"
"GcqTWLzk_xA","890280","894520"," They don't know real support where we're real resistances in the market. So"
"GcqTWLzk_xA","895160","902200"," Do I use it? Yeah, but I'm not I used to I'll say that I used to use traditional charting patterns back in the day"
"GcqTWLzk_xA","902200","908760"," It worked okay for me, but now I wouldn't trade without this in any way shape or form"
"GcqTWLzk_xA","908760","912360"," I would never be caught dead without trade without trading with this tool"
"GcqTWLzk_xA","912360","920360"," But yeah, I guess I use I use he's a little bit of a chart or a little bit of"
"GcqTWLzk_xA","922080","923920"," What do you what are you calling it up there?"
"GcqTWLzk_xA","924760","927080"," Someone did they just delete it with their question or no?"
