"id","start","end","text"
"Gel82SuAHtg","0","4240"," the"
"Gel82SuAHtg","64240","73240"," Oh, yeah, baby. Here we go."
"Gel82SuAHtg","73240","79240"," I've seen the good news. If you have an option, I'll do my comeback."
"Gel82SuAHtg","79240","85240"," Then that one's not what you make up, but I think that the ramen is not a big chin."
"Gel82SuAHtg","85240","87240"," I like it very much."
"Gel82SuAHtg","87240","90240"," Alright, let's talk my daughter wonder placement."
"Gel82SuAHtg","90240","92240"," I'm going to be a feeler."
"Gel82SuAHtg","92240","94240"," We've been a lot of mess."
"Gel82SuAHtg","94240","97240"," You gotta get a break, no we're gettin' in the middle of this one."
"Gel82SuAHtg","97240","100240"," I'm gonna go out busting breaks and talk to me about..."
"Gel82SuAHtg","100240","102240"," Is this the way I'll pretend you're life?"
"Gel82SuAHtg","102240","104240"," Is it the way I'll do this one?"
"Gel82SuAHtg","104240","106240"," We're a neighbor."
"Gel82SuAHtg","106240","108240"," I can't believe you're working with me."
"Gel82SuAHtg","108240","109240"," I'm a smart people network."
"Gel82SuAHtg","109240","110240"," I'm a smart people network."
"Gel82SuAHtg","110240","112240"," I'm a smart people network network."
"Gel82SuAHtg","112240","113240"," That's paraglion."
"Gel82SuAHtg","113240","115240"," Nobody."
"Gel82SuAHtg","115240","123240"," I don't know what's going on out"
"Gel82SuAHtg","123240","125240"," there."
"Gel82SuAHtg","125240","126240"," Whoo."
"Gel82SuAHtg","126240","129240"," Let's do it."
"Gel82SuAHtg","129240","133240"," Oh yeah baby."
"Gel82SuAHtg","133240","137240"," What's going on out there?"
"Gel82SuAHtg","137240","140240"," Happy morning to all of you."
"Gel82SuAHtg","140240","143240"," Who's my voice a little bit already this week?"
"Gel82SuAHtg","143240","145240"," How's everybody doing out there?"
"Gel82SuAHtg","145240","148240"," We've got a what?"
"Gel82SuAHtg","148240","152240"," We've got a squeeze on our hands coming into 930 this morning."
"Gel82SuAHtg","152240","154240"," Hile around, gather in."
"Gel82SuAHtg","154240","157240"," I left the lights on too for you this morning."
"Gel82SuAHtg","157240","160240"," So it really looks like a furu office."
"Gel82SuAHtg","160240","163240"," It's really about exactly like you said."
"Gel82SuAHtg","163240","164240"," Customers."
"Gel82SuAHtg","164240","166240"," I left the stripper lights on and all that."
"Gel82SuAHtg","166240","168240"," I even got the light dildo bars."
"Gel82SuAHtg","168240","171240"," Oh, I said the word in the beginning of the screen."
"Gel82SuAHtg","171240","174240"," Probably demonetized right over here."
"Gel82SuAHtg","174240","177240"," I've got those dildos up this one of the glowing bars."
"Gel82SuAHtg","177240","180240"," Love bars or something."
"Gel82SuAHtg","180240","182240"," Give me a couple seconds here."
"Gel82SuAHtg","182240","186240"," I'm going to get the stream up posted on Twitter."
"Gel82SuAHtg","186240","190240"," So everybody knows that we're up and running."
"Gel82SuAHtg","190240","195240"," And I think we've got a we can get chase in here at some moment."
"Gel82SuAHtg","195240","206240"," Yesterday there was a thesis of cutting that down and IWM being the the easy pick to short into this morning."
"Gel82SuAHtg","206240","209240"," So I'm assuming that's where most of the shorts are."
"Gel82SuAHtg","209240","213240"," I'm going to assume that most people were shorting."
"Gel82SuAHtg","213240","216240"," I am small crackers is specifically."
"Gel82SuAHtg","216240","219240"," So I'm going to expect an even bigger move over there today."
"Gel82SuAHtg","220240","223240"," Tesla was waiting for a squeeze to go up as well."
"Gel82SuAHtg","223240","226240"," They like they have a lot of holdings in small caps as well."
"Gel82SuAHtg","226240","230240"," Small ETFs as well stuff like that around the world."
"Gel82SuAHtg","230240","236240"," So maybe we might see a nice squeeze today in small crappers as Jedi Marcus would say."
"Gel82SuAHtg","236240","239240"," And so we'll take a look at that this morning as well."
"Gel82SuAHtg","239240","242240"," Let me switch over to the market brief for this morning."
"Gel82SuAHtg","243240","250240"," Let's take one second here."
"Gel82SuAHtg","250240","257240"," And we're going to take a look at S&P and pace to score fourth month."
"Gel82SuAHtg","257240","258240"," We turn this off over here."
"Gel82SuAHtg","258240","262240"," Fourth month of consecutive gains history tells us what could come next."
"Gel82SuAHtg","262240","267240"," This is from the pro trader on CNBC."
"Gel82SuAHtg","267240","271240"," After four consecutive months gains it's worth asking what it means for the rest of the year."
"Gel82SuAHtg","271240","275240"," The S&P is ending February with a gain of almost 5%."
"Gel82SuAHtg","275240","282240"," The broad index has now seen four consecutive monthly gains for a total increase of about 20% since the start of November 2023."
"Gel82SuAHtg","282240","287240"," You guys know even if we get a recession right."
"Gel82SuAHtg","287240","291240"," That effect it usually takes about 18 months."
"Gel82SuAHtg","291240","294240"," We're about nine months into that effect."
"Gel82SuAHtg","294240","297240"," Even if you're going to call for one and say here we're getting a hard landing."
"Gel82SuAHtg","297240","302240"," You still have another about nine months left to go."
"Gel82SuAHtg","302240","307240"," Those gains of course bond with a decline in treasury yields which began about the same time."
"Gel82SuAHtg","307240","319240"," Here's your four big months right here 8.9 4.4 1.6 4.6 November gain of 8.9 was one of the 20 best monthly performances in history."
"Gel82SuAHtg","319240","323240"," Some of you remember the October low."
"Gel82SuAHtg","323240","329240"," That morning I came on and did a live stream at 4.30 6.30 in the morning or something insane."
"Gel82SuAHtg","329240","335240"," And we said this is the place to buy you buy this with every not everything but you know a whole ton of it."
"Gel82SuAHtg","335240","343240"," We had another nice bottom in December as well right so it was higher but still not that low from October."
"Gel82SuAHtg","343240","354240"," It's a strong close to one year followed by a strong start to the new year is a very powerful leading indicator since 1930 the S&P has seen 16 cases in which the four month period from November through February."
"Gel82SuAHtg","354240","360240"," We're all positive in the full year has been positive in all all 16 cases."
"Gel82SuAHtg","360240","365240"," I don't even know if this article discusses election years but forget about it."
"Gel82SuAHtg","365240","366240"," You're looking at an election year."
"Gel82SuAHtg","366240","371240"," It's like an effect that lasts into March of the following year."
"Gel82SuAHtg","371240","375240"," With an average gain of 18% for the year according to Steve Starker at BTIG."
"Gel82SuAHtg","375240","377240"," There are even more signs of powerful momentum."
