"start","end","text"
"60540","61580"," Check one two."
"104200","105340"," Good morning out there."
"105420","105880"," How y'all doing?"
"135730","137290"," Y'all doing good out there this morning?"
"150940","156520"," This is a revenge trade Friday, usually free money Friday. "
"172460","173540"," Go right into it."
"175240","176520"," Let's see that there right there."
"180660","181420"," All right. "
"181660","181980"," Good morning."
"182100","182900"," How y'all doing out there?"
"184660","185640"," Everybody's doing well."
"189620","190980"," See what we got going on here. "
"194700","199240"," Going to try to show up early this morning for you."
"200540","202580"," All fresh-faced and bushy tail."
"203340","205060"," Good morning to everybody that's out there. "
"205180","206300"," Spashio, good to see you."
"206380","207540"," Lisa, good to see you."
"209400","210460"," Flat their own risk. "
"210700","211100"," Good morning."
"211320","212640"," A g-dad, gold, good morning."
"212840","214620"," Steve Austin, six milli, baby. "
"214900","215080"," What up?"
"216080","225260"," Peri and cantaloupe, Crosby, Thrills and Hash, g-dad, gold, Winky, Connor Wilson, Bumbledah, and"
"225260","226180"," good to see all of you."
"230730","231610"," All on here."
"232970","240790"," Morning Chaz, Stacy F, DS, Pillowtok, Arushi, Anton, Dilly, Doug, or Derry Doug. "
"240970","241830"," I like that Derry Doug."
"242790","244650"," It's a good ol' good name, like it."
"248790","251090"," So good morning to you all out there. "
"252550","253430"," Just a second here."
"253530","254810"," We're lining this up here for you."
"255950","257209"," Sure got that right. "
"258610","260910"," A little bit higher so you can see the time there."
"263150","269090"," So, let's go and bring this over here."
"270030","270650"," A couple things. "
"273010","275030"," Look at that."
"275150","278190"," You got some supply above this morning."
"283560","284880"," Into yesterday's belt. "
"285180","287960"," This week, I've highlighted a few things for you."
"289400","290400"," Building a narrative."
"293220","296260"," Number one, we come in these OPEXs. "
"297320","300760"," Dealers, banks, institutions love big-ground numbers, right?"
"302160","304620"," Number two, they love big-ground numbers."
"306900","314780"," You also saw, you also, you also see Max Efery, right, in the morning or on these dates, right?"
"315000","319120"," You saw it yesterday at 6 p.m. Just after 6 p.m., right?"
"319300","323260"," You've got spread holders."
"325120","327540"," They're like, I don't want to see that 420 here, right?"
"327700","328480"," And into this close. "
"328940","330540"," And they did it after 6 p.m., right?"
"331220","332440"," 605, I think they did it."
"332640","333300"," Boom, popped it up."
"334560","338640"," And actually yesterday in that close, when I wasn't done, I was here, but I was typing away and"
"338640","338840"," stuff. "
"339420","341940"," I was trying to buy some options."
"341940","347900"," I was hoping to catch this before 6 p.m., this nice round number."
"350820","355700"," And they, I thought they might do it between four and four 15, so I bought zero dates for like"
"355700","357700"," five cents and four cents and three cents. "
