"start","end","text"
"390","11490"," Before the film begins, good"
"86920","87260"," morning."
"88360","92110"," All right, just a second here."
"92150","105040"," I've got a couple things I've got to do, got a"
"105040","106360"," sweet. "
"114370","119270"," We're got some premium kicking in it even with even with the selling on the open bell right now."
"120130","125910"," Some premium kicking in to call side of the world."
"128350","129630"," I'm going to look it out here. "
"129889","130530"," Hold on here."
"136490","146370"," Having some weirdness going"
"146370","146610"," on."
"150920","154440"," Come on, where's subscribers only button. "
"154800","158520"," I've got this still having some monitor issues here this morning."
"158520","167190"," There we go, subscribers."
"171130","171570"," Save. "
"173050","173970"," Squeezing, baby."
"176550","177610"," They're not even waiting."
"177810","179570"," They're buying calls right off the opening bell. "
"179810","181010"," They don't care right now."
"183850","185290"," Let me turn this over here."
"185430","186070"," You got the live stream. "
"187250","188590"," You can just see them right off the bell."
"188750","189250"," They don't even care."
"189990","194170"," Right away, I want you to pay attention above here to 40140. "
"195270","196270"," Watch that number."
"196470","199790"," There could be just a brief reversal up here."
"201510","202530"," 40140 or so. "
"203970","205510"," The yellow box is what's important."
"205870","207130"," I want you to pay attention to this."
"207270","208710"," This is S1 right here. "
"210850","212230"," For R1, excuse me."
"214590","216150"," They've got R2 up here."
"216550","222430"," Specifically, the yellow box right there is going to be a key for you to pay attention to at least"
"222430","223370"," right now. "
"223610","237990"," R1, they don't"
"237990","238430"," even wait."
"238570","239870"," They're just going to take it right up here."
"240050","242490"," They want you to remember this right off the bell this morning. "
"242590","243370"," Remember this, OK?"
"244110","245770"," You got R1 and then you got R2."
"246090","248590"," It's going to come back probably off here at some point."
"248590","252250"," It could come off R1, but I want you to right away. "
"252630","254930"," Just pay attention to this move and this move."
"255769","257589"," They're going to be looking for some consolidation."
"258050","259829"," This is the daily bar right here, OK?"
"260690","262690"," You've got the hourly right underneath you. "
"262770","265390"," It's not showing here in the chart, but there is an hourly right here."
"266050","270630"," So you'll get that push up and then you should get an explosive move over the daily."
"270910","272770"," Now, if we get over that daily, it's going to get violent. "
"272770","276390"," Violent to the upside today, OK?"
"276590","278810"," So just pay attention to this as we move forward."
"279670","281370"," They didn't even wait at this point."
"281870","286350"," I would still like to see us come back and close some of this bullshit down below some pivots. "
"286510","288550"," I don't know if that happens this morning."
"289530","290970"," So just remember R1."
"290970","291770"," Remember R2. "
"291810","293630"," This yellow box is critical here, OK?"
"294150","294890"," As we come above."
"295030","297110"," I can't even have any impose this on fin to it yet."
"297830","298610"," This stream. "
"300170","306170"," I need to I know I mean, I'm not figured, but I'm like I'm like the people aren't even waiting"
"306170","306610"," probably."
"307310","308830"," They're just like I'm long here."
"309350","313010"," I just made money off. "
"313130","313930"," I just took some money off."
"314070","315350"," I was long calls right on that Bell."
"317070","317910"," Fuck yeah. "
"319830","321870"," I was on 401 C's."
"322090","326990"," So I'm looking for a pullback on our one brief maybe and then a rip rip face ramp to this"
"326990","328870"," yellow yellow box above."
"329250","330110"," That's what I'm looking for. "
"330310","331770"," I just made I just made some quick money."
"334170","339250"," Fucking outstanding Thursday Friday is I guess I guess that's how the weeks are going right now."
"340050","355550"," Every Thursday Friday come get your money so you have a green week and then"
"355550","356370"," hold on here. "
"356490","365450"," I'm going to post this for the regular people that don't follow on that captain's alpha."
"367450","368110"," All right."
"368370","371710"," So what are we going to do in a day like today is like before like usual, right?"
"371850","374610"," We're going to come back over here snap ourselves some lines over here. "
"375410","377050"," And we're going to see how this goes."
"377330","379930"," You know, there's I was thinking about this last night and I'm like, you know what?"
"381090","382670"," We'll talk about this this morning."
"382670","387990"," I promised a good friend of the program that I would go over this for him today. "
"388030","390610"," And I got a bunch of stuff for you if you're a bull a bear."
"392850","395230"," What you're going to get not going to get right now."
