"start","end","text"
"37640","44560"," I'm going to switch right over here, the same tight air."
"45860","48020"," I'm not even knowing if you're going to know enough of this morning."
"48920","49980"," Good morning to all of you. "
"50580","51480"," Unless we're open below."
"52260","52920"," We're opening below."
"53240","54560"," I've got a couple of things we've got to do here. "
"57370","59150"," Scrabbers, any duration."
"83690","84670"," Hold on a second here."
"90360","91560"," I'm in puts right now. "
"91660","92300"," I'm going to get out of them."
"100880","112270"," Just call myself over."
"126880","127539"," All right. "
"128440","128919"," Okay."
"148630","151010"," Sorry, I've been very busy this morning."
"151770","152890"," Good morning to all of you out there. "
"154170","155130"," How's everybody doing?"
"155850","157130"," I was a little busy this morning."
"157270","164750"," I've got a bunch of construction work and work trucks and all kinds of craziness, dumpsters, all"
"164750","166550"," kinds of craziness going on this morning."
"167570","171530"," And so I'm trying to make sure that things are going well. "
"171790","172390"," Hold on a second here."
"180400","181460"," Take a look this morning."
"190460","191160"," Come on. "
"205140","206400"," I totally missed that."
"206500","213480"," I put an order in for $0.22 for $3.88. And it jumped up to $0.29. So now"
"213480","214120"," I'm pissed off."
"215340","216360"," It's like a third of their value. "
"216660","218320"," I lost on that trade right there."
"218880","220560"," I'm trying to get in some calls down here."
"221680","224060"," I guess I'm happy now, whatever. "
"225480","228880"," A little pissed off."
"229040","230960"," That was like a 30% trade."
"235180","236900"," Blasting right off on the bell here. "
"245230","246770"," Cranking on the bell right now."
"260079","263380"," I'm not getting fills right now, too, which is kind of pissing me off."
"269700","271280"," Try to be faster than they can be. "
"276350","278290"," So I'm in long calls here."
"279350","280710"," Cranking North right now."
"280970","281970"," Just busting it out. "
"282450","284170"," We should explode higher today."
"284270","285710"," There should be a huge trend day."
"286590","289390"," So I sold puts down here, bought some calls down here. "
"289630","296250"," I'm in $3.88 for $29 on $3.80 for the 29th."
"299550","300650"," No zero dates."
"303290","304310"," But I am in some calls here. "
"304450","306710"," So we'll talk about what should happen today."
"306990","309610"," This is a beautiful buying opportunity down below here this morning."
"309850","311930"," This is an outstanding buying opportunity down here. "
"319810","322690"," Let's try to go as fast as I possibly can to let you guys know."
"329890","332070"," You can see that monster buy this morning."
"332350","333670"," Just blasting off now. "
"334210","335690"," Blasting back into trend."
"337530","338050"," Whoo."
"338810","339570"," Gotta be quick. "
"341570","342990"," You gotta be so fast."
"345230","348190"," Because I knew this wasn't so you knew you knew this wasn't so enough."
"348370","351410"," And just so you know, super duper positive gamma. "
"351750","352510"," We're in it right now."
"352650","356210"," So we should start fucking humming right along this morning."
"356310","361630"," I probably shouldn't have sworn this early, but that was a great dip by this was on mess. "
"361790","364390"," This was for shorts to get out so we can go operate here."
"364870","365590"," In my view, at least."
"366450","369610"," So now we're just humming right along. "
"371290","372570"," This was awesome right here."
"375590","376410"," Hold on a second."
"376530","377930"," I'll bring Brook Book Map up for you. "
"379840","381660"," Trying to be as fast as I possibly can."
"382980","384500"," Hopefully get a nice trend day today."
"384740","385940"," We're we're we're in trend day. "
"386080","392770"," So just so you know, I couldn't make it any clearer."
"393610","394530"," I think we're in trend day."
"394650","395650"," So far we're in trend day. "
"398510","400830"," Uh we can think of the Tesla if you want real quick."
"401030","402330"," Tesla's in trend mode right now."
"402770","404410"," Just so you know if you don't know. "
"405510","406530"," Tesla's in trend mode."
"407970","412300"," They to hold right here."
"412460","414420"," One twelve sixty three or so it is right now. "
"414840","416380"," They can hold start moving this up."
"416520","417940"," They should blast off as well today."
"420910","426070"," Cranking right now right straight to our one and the first first bell of open. "
"426550","427210"," Slap it."
"427530","428470"," Like it's like it's nothing."
"429430","431330"," I'm going to take some profit here and and reenter. "
"444860","445380"," Gorgeous."
"445640","446560"," Absolutely gorgeous."
"446940","447420"," That was amazing. "
"448620","449900"," Hopefully you got out of your puts."
"450060","451920"," You heard me say I saw my puts down here."
"452300","453580"," We went coast to coast. "
"454180","461280"," Uh we went uh we went to pull as they went for the pinpoint up into super positive gamma."
"461640","465440"," Slapped the ask up on our one like it was nothing."
"470160","472880"," We should we should get three or four moves out of this. "
"473700","475320"," So I'm going to try to reenter here."
"475440","476380"," I hope I don't chase again."
"483330","485830"," Get a gap above a three to four fifty. "
"488330","489550"," Just hello ladies."
"490490","492630"," We'll get the five-minute chart real quick here."
"493190","494730"," Just look at that monster move right there. "
"494930","496270"," Just douche."
"497650","500870"," VWAP trying to chase above here like three three two forty."
"501610","503890"," We'll see if we can come back down here and clean some of this up. "
"504050","505250"," That was a big smack right."
"505830","506510"," Huge smack."
"506710","509830"," We'll see if we can come down here and grab it once more. "
"515710","516030"," Sorry."
"516169","517210"," I don't think it's going to be."
"517390","522950"," I don't think I don't think there's any time for uh anytime for slow slowness today. "
"523169","526130"," It needs to be real fast straight and so we'll see what happens here."
"541660","543500"," Let's see if we start cranking it or not today."
"543700","544560"," We should crank it today. "
"545980","548060"," We need to stay above this this line right."
"548160","549420"," I'm going to show you this line once more."
"550920","553180"," Maybe I'll make it a little bit thicker for you so you can see it. "
"553340","555140"," So that yellow line right there you want to stay above."
"561670","563290"," Just monster moves right here."
"564270","564750"," Monster. "
"565650","568350"," You see this big blue lines coming up in the five minute."
"568430","569290"," We are blasting off."
"569550","571510"," So oh hold on a second here. "
"576060","578080"," I'm over here messing with crap over here."
"587760","589960"," Just huge moves right now on the spy."
"591400","593700"," We're trying to we're starting to trap shorts here. "
"593700","600920"," So if there's any shorts out there there's a fair chance if it's if we stay above here on the"
"600920","602900"," five minute we could start trapping some shorts."
"603040","603760"," So we'll see what happens."
"608540","609580"," Man that was awesome. "
"615670","620750"," Uh there were so the three three three eights on Friday were another 29th."
"621210","622970"," Three d eights were 22 cents."
"623330","624530"," They went down to 22 cents. "
"624730","626550"," When we were down here they went down to 22 cents."
"627290","630970"," So just know that anyone that's in them is are in at 22 cents."
"630970","633390"," They're now trading 33 cents right now. "
"635890","637330"," And we should get a trend day."
"637410","638770"," We should get at least a one or two."
"638790","642850"," Even if we trade sideways today, today or tomorrow we should get we should get trend up and at"
"642850","648250"," least try to make an attack for um three to eight at the low of three to eight. "
"648390","652070"," Three ninety would be the with bulls will tell you bulls will tell you four hundred when we're up"
"652070","652290"," there."
"653130","656570"," Probably want to be taking closing those lungs out right around three to eight."
"656570","661550"," Let the FOMO people jump on top and get murdered and come back and stream and bitch and moan about"
"661550","664370"," how to buy now cap that kind of bulls did. "
"666510","671930"," So unless we roll over here and get below uh this five minute we're we're in trend day."
"672030","676090"," We should do two three moves up higher minimum of maybe four."
"678730","681450"," So buckle in time to make some money. "
"685470","686910"," Hopefully, hopefully make some money."
"690110","693450"," Yeah when we enter I got nothing for you if you're asking that question."
"695130","696230"," But it's a great question. "
"696370","696690"," I like it."
"696910","697030"," Thanks."
"697210","697770"," Thanks Ergo. "
"700730","702030"," Good morning stocks anonymous."
"702310","703110"," Good morning sweet hour."
"703250","703990"," Good morning kid time. "
"704570","705130"," Morning Victor."
"705410","708890"," Do you notice the Spacio casino the great or casino the great."
"709010","710270"," I love that name cruising. "
"710430","715770"," Fish with Pan Fish Dan, David Tron, Binky, Dylan, Wickey, Ergo, Sacho."
"716250","716990"," Who else is out there?"
"717330","723650"," Mark A, J-Shops, the Bob Rachepalm, Tony Cheese, Legend X-22X, derivative yield."
"724690","725650"," Who else is out there?"
"726630","727110"," He trading shorts. "
"727690","728630"," Ergo, constant team."
"730390","731630"," Oh it's in the house."
"733230","734130"," Make 54 87. "
"737500","738900"," Who else is in the house this morning?"
"739360","740360"," Tony Cheese, baby."
"740420","740960"," He trading shorts."
"740960","741380"," Row it. "
"741680","745260"," M sheets, Cato, Mackelela, James Rowins."
"745700","746120"," That's right."
"746260","747300"," James knows what's up dude. "
"747400","753340"," James, I got, I grabbed uh I grabbed uh three and eight C's for tomorrow at 22 cents on the"
"753340","754140"," I sold."
"755080","759840"," I sold puts like right on the open and then bought that that straight green bar up."
"759900","760280"," It was beautiful. "
"761240","763980"," It was beautiful."
"764300","765300"," Here's the one minute right here."
"767340","772260"," Here's your, here's your uh here's your beautiful white wine that you guys get from me. "
"776340","777540"," You guys know what that means."
"777720","781780"," It means that I'm looking for some squeeziness here, right?"
"781920","782980"," You know I'm looking for moves today."
"783100","784080"," I'm looking for a trend day. "
"785000","786580"," We'll clean this up a little bit here."
"787280","787800"," A little bit sloppy."
"790620","791680"," But I'm looking for trend. "
"792520","793660"," That's what I'm looking for today."
"793820","794420"," I'm looking for money."
"799340","800380"," In the five minute. "
"801320","803020"," Look at that beautiful attack above."
"806120","807000"," 3 491."
"807240","811140"," 3d8 would be what I'm like if I'm targeting anything next two days 3d8. "
"811440","812400"," You're gonna hear 390."
"812400","813080"," You're gonna hear 400."
"813700","817780"," If we, if we trend like I can't, I'm not a crystal ball running but we start trending up here. "
"818160","826720"," You're gonna hear uh you're gonna hear calls for like 390 uh 388 maybe even 400 uh the trade is"
"826720","827460"," to take it early."
"828580","832940"," And uh and you know so if you get any roll over whatever you're not gonna be fucked up or"
"832940","833160"," whatever."
"837080","839460"," That was a super fast move in here. "
"839820","841040"," This was like five minutes."
"841500","843300"," Anyone that joined early saw this happen."
"843400","843840"," It was wild. "
"845860","846940"," It was wild."
"852980","855060"," Just shorts coming off, closing out shorts."
"858880","860620"," And the air rebalancing. "
"862680","864960"," Selling into strength finally over."
"865140","868700"," It looks like tax loss harvesting finally over."
"872380","874180"," Give me a trend day up please. "
"886300","887780"," How are y'all doing out there?"
"889660","896160"," Hey uh Winky did you see uh TLT this morning made the fucking made the fucking uh fish hook fucking"
"896160","897000"," right on 100."
"897580","898880"," Just rocket shipped up."
"902470","905250"," TLT just bounced this morning at like 4 a.m. or something. "
"905610","906050"," It was awesome."
"906910","907790"," Very constructive."
"915430","918130"," Yeah Tesla should blast Tesla should rip. "
"918870","922890"," Like Tesla did this one rip right here but uh on the five minute here."
"924270","927750"," Now this is the one you want to watch and we might be able to take it right now but"
"927750","928610"," I want you to see this right."
"929410","933410"," As soon as they came off that I think I posted this morning they come off that one 1280 or"
"933410","936430"," something and it was off and running on Tesla. "
"937590","939770"," So we'll look at a 15 minute chart."
"939810","942250"," I'm gonna boot book map right here for you."
"942390","942630"," Hold on. "
"945680","948560"," And take a look at book tell you look at Tesla here for a little bit."
"954270","956310"," It's like on a one hour and look at that."
"959440","963840"," You could do just you could do just uh you do just one day. "
"964320","971800"," You could do just uh you could do just one day right here and uh just tag 78 percent right"
"971800","979740"," on the opening move on a one day and one hour just pinged it like it was nothing above here."
"981520","986400"," The one hour it was beautiful because if we stay above here it could be a monster move higher."
"991550","992830"," Turn baby. "
"994090","994910"," Go love friend."
"997760","998740"," Just smashing."
"1029730","1030950"," That's only 38 percent. "
"1031089","1031450"," They ain't nothing."
"1042710","1044170"," Got the five minute coming up."
"1044290","1046890"," You got the VWAP coming up to match here. "
"1047010","1051370"," We'll see if we can get a nice quick bounce off of off of uh spy here."
"1061030","1062410"," You don't want to see it trend reversed."
"1062570","1067430"," You don't want to see us come down below here. "
"1071620","1077180"," But to be honest we can come all the way back right up here and it would still be still"
"1077180","1078720"," be bullish as all hell."
"1086020","1087300"," Let's see James Rowan."
