"start","end","text"
"19980","20680"," Check one."
"25860","27180"," See if we're live right now."
"37370","41650"," All right. "
"54800","56220"," Let's see if any guys are back here."
"58580","60340"," I'm going to show my studio."
"60840","62040"," Give me a quick quick second. "
"62340","65340"," I had to power surges."
"67300","68180"," It's kind of wild."
"69840","75170"," I'm going to hide this one. "
"80180","80700"," Nope."
"80900","80900"," Nope."
"81900","82420"," Nope. "
"92950","93430"," Unlisted."
"93430","94830"," This one, unlisted."
"97090","97570"," Okay. "
"98570","98950"," So there we go."
"99090","100090"," Make sure you guys are on the right stream."
"100330","104850"," I've got I enlisted the other two streams that apologize for what happened. "
"107250","108730"," I had a two power streams."
"109210","109590"," All right."
"109750","114570"," I had two power surges at two power streams at two power surges that hit my house. "
"115590","117050"," All lights, everything went off."
"119890","120530"," So, okay."
"120790","121890"," Let's get back to where we're at. "
"123390","124090"," Kind of weird."
"125990","126810"," We're back, right?"
"126970","127690"," You guys can see me."
"130190","132230"," Go back to book map real quick for you guys. "
"137640","139120"," That was kind of fucking wonky."
"147390","149050"," I always spooked and that shit happens."
"150310","152630"," I was like, oh shit. "
"153030","153350"," Okay."
"153510","153770"," Here we go."
"154830","155390"," We're back. "
"158680","159960"," My face is frozen."
"163300","164320"," Give me just a second here."
"183680","184600"," Let's see if that's frozen. "
"192920","193900"," Let's see how that goes."
"204510","206930"," Let me check the mainstream and see if."
"209310","209930"," All right. "
"210090","210990"," You guys can see me now, right?"
"211190","211330"," We're good."
"212290","212630"," Oh yeah."
"212790","212990"," Look at that. "
"213110","215030"," I'm reset to a hold on a second here."
"216810","217550"," Hang tight."
"250360","251240"," Come on now. "
"259399","260120"," Hold on a second."
"284220","284800"," All right."
"284940","287960"," This is the best it's going to be for just now. "
"288440","290740"," I've got all my all my shit reset itself."
"291520","292260"," So whatever."
"293340","294460"," This is going to have to work. "
"298660","300980"," Yeah, I've got a Canon A."
"301960","308500"," I've got a Canon A 6000 or 7000 or something with like the back."
"309100","310100"," Yeah, the back."
"310400","313420"," So if you got someone of these days, I do a video where I show you my setup here. "
"313440","314420"," That's pretty cool."
"316360","317320"," Yeah, it's pretty good."
"317680","318720"," It's pretty good setup. "
"322540","323020"," Whatever."
"323340","324400"," I'm not going to fuck with it right now."
"324600","331800"," What I did was I took the camera down and I was taking pictures of my pictures of family. "
"334360","339180"," So I teach my daughters how to use DSLR camera and."
"340680","344080"," I think robbing gangster squad teach the kids and all that kind of stuff."
"347960","350000"," Let's let's look back at spy real quick. "
"353750","355610"," So I was kind of offline here for a minute."
"358940","360360"," Oh yeah, look at that, huh?"
"368580","370020"," You might be getting some rule."
"372820","374220"," We'll keep an eye on the market right now. "
"374240","374860"," I'm not going to buy this."
"376100","376920"," Let's have a look."
"379960","382880"," So we didn't get a chance to look around the market. "
"383040","384000"," So let's look around the market."
"384760","388900"," There's 140,000 calls on four for four zero two."
"389580","391420"," All the puts are now gone on the market. "
"391520","392980"," I want you to know that nobody's got puts."
"394320","397460"," So there's all this money tied up in four zero two."
"401750","402550"," Still more buyers. "
"403050","403470"," Where's my coffee?"
"404770","406310"," Well, let me have a coffee break real quick."
"410680","414820"," Well, I always say that I'm going on a break, but I don't take a break."
"420960","422600"," Jason, I'll answer that question in just a moment. "
"430760","431980"," Hey, Lord, how are you?"
"436720","438020"," Who are you grabbing there, Winky?"
"438220","439080"," You grabbing calls right here?"
"439220","440700"," No, I think it's put time, bro."
"442580","444520"," We'll talk about that, Jason."
"445120","447840"," So Jason, watch the Larry Williams video you shared. "
"448820","449080"," Very good."
"449180","452800"," If Tesla is on that downwards trend, what kind of catalysts can stop that?"
"453440","455680"," Jason's got a really good question here."
"457080","458940"," And we'll give the answer. "
"459560","460800"," There are some simple ways."
"465140","466980"," Jason's asking a very valid question."
"466980","469280"," And people complicate this. "
"472040","473940"," People complicate the answer to this question."
"475940","476780"," All the time."
"479000","481780"," Now, there's a decoupling right now of Tesla from. "
"484330","485890"," From the stack market."
"485910","487210"," Okay, so we'll talk about that."
"488350","489730"," I think we're going to roll over here. "
"491850","494370"," I don't like that everybody's in call on the call side right now."
"494370","496130"," If you're a bear, get ready."
"499050","500070"," This is looking like distribution. "
"500510","501970"," We'll see if it is distribution or not."
"503650","505850"," If you're a bear, you want to know when to start taking this."
"506290","507650"," I'll show you when to start taking this. "
"507810","507930"," Ready?"
"509010","511370"," I'm going to show you when to take this right here, right?"
"512090","513210"," You're going to wait for a breakthrough."
"514830","516350"," And I want you to see where to take this."
"516830","517650"," See this breakthrough?"
"519289","521850"," Little pump, and this is the real money move right here. "
"528310","529390"," So I'll keep my eyes on this."
"529470","530230"," I'll buy some puts with you."
"534230","535590"," We'll keep an eye on this right now. "
"535830","537110"," Everybody's on the call side right now."
"537390","537790"," Not good."
"538610","539450"," Don't like seeing that. "
"542710","544510"," And see this blue line right here?"
"545090","547010"," This is where you would see it would go to something like that."
"549190","550570"," That's what you're looking for if you're a bear."
"556290","558630"," So Jason's asking a very fair question, right?"
"561290","562930"," So this is what we'll look at it. "
"564390","566290"," There's three things you want to be looking for, Jason."
"566790","567730"," You got a downward trend."
"568870","569430"," Hold on. "
"571150","574050"," We're going to downward trend on Tesla, right?"
"577010","578310"," Oh, yeah, look at that."
"579110","579650"," Blood red."
"580510","581730"," Blood red for the bears. "
"583470","584690"," Blood red for the bears."
"586050","591850"," Remember, we have the 100% move down, 50% retracement, 100% move down, 50% retracement, right?"
"594330","596010"," So that's your first indicator, right?"
"596150","603150"," If you break this channel, if you just break out of that downward channel on Tesla, that would be"
"603150","604470"," the first thing you're looking for, right?"
"604470","607370"," So you have blood red, blood red."
"608410","611610"," Remember we talked about break, break Vwap rejection. "
"612850","613630"," Then you take the short."
"614590","616390"," Take the short here."
"617990","618790"," Not here. "
"619930","621330"," Take this one right here."
"624460","629340"," So if there's a short typically right, I'll show you where the, where you usually, usually pick it"
"629340","629460"," up."
"630520","631240"," Break Vwap, right?"
"631920","632540"," It comes back up. "
"634320","635320"," Sometimes it doesn't."
"636220","639200"," If it just starts going, normally I'd like to take it."
"639320","641020"," This is the trade that I like to take us right there. "
"642860","646600"," But only because I don't want to grab the, I don't want that to happen."
"648160","649920"," Blood red in the market right now."
"650560","651520"," Blood red. "
"655990","658610"," Did any of you guys buy those cheap puts?"
"661210","662710"," Did any guys buy cheap puts?"
"663810","664630"," Blood red."
"667470","669470"," Tool look for is right here, right?"
"671650","674850"," This is the part of the trade that's where the money is right there."
"676730","677810"," That's where the money is at. "
"682120","683600"," That's where the money is right here."
"685680","687940"," Well, let's do some price targets down below."
"694310","696890"," There's your first price target right on that blue line right there. "
"701650","709840"," Price target down below, 398.39. First PT right here, second PT right here."
"710900","713080"," Now there's a little bump in the road right here as well."
"715730","716610"," Here's your price targets. "
"718010","718770"," Let's see what happens here."
"727680","732400"," PT1, PT2, PT3."
"735240","736620"," I'll show you guys how to trade a bear trade. "
"737340","739860"," When this snaps back up here, you want to see a failure."
"740440","741680"," This is the actual trade."
"742340","744300"," This is where you actually take the trade, the rejection. "
"745960","748280"," Then we get our first and second and third move down."
"748960","751080"," You guys understand how you trade a bear trade?"
"752440","755600"," So right here you want to see PT1 right here, BAM."
"756660","757500"," You want to see rejection. "
"757500","760640"," This is the meat of the trade right here."
"763100","765700"," The rejection is where the money is right here."
"769220","770480"," That's where the money in the trade is. "
"779230","779850"," Blood red."
"780890","782490"," You don't want to get caught in this though."
"783830","788150"," So if you want to take a bear trade right and let's say you took it right here, and it"
"788150","789510"," bounces back up, you'll get fucked. "
"790090","790870"," That's how you get trapped."
"791350","792570"," It's our bear trap."
"793510","799190"," If you're looking to take the bear trade, you're always looking for the initial down, and then a"
"799190","801270"," rejection for the big move down. "
"802090","805690"," So you take the trade here, not the initial weakness."
"806850","808390"," Always the second move down."
"808850","812390"," If you hold that rule, you might not catch every trade. "
"813890","819010"," Sometimes you'll have a straight down, and you'll miss that trade."
"819010","827510"," But if you have the rule that you wait for the bounce and rejection, you'll win more times than not"
"827510","828030"," if you're a bear."
"828590","829850"," It's not easy being a bear. "
"830530","837310"," So if you have, like my hard and fast rule is that for initial move down, I don't take that"
"837310","837550"," trade."
"838090","840090"," I'm waiting for it to come back up and reject."
"841650","848150"," This is, if it rejects here, you just, you have your finger on the TQ or SQQ TQ or spy"
"848150","851450"," puts, whatever it is, and this is where the real move is. "
"851750","856670"," And pre-plan as it's setting itself up, you start, when you see this initial move, right?"
"857510","861430"," You say to yourself, okay, I'm going to start, I'm going to start a short, or I'm going to start"
"861430","863690"," a put position in spy."
"864090","865610"," So you have all this time right here."
"865990","871630"," And what you're going to do is you're going to look for where, where the bears need to hold, right?"
"872630","878530"," Sometimes you'll miss it, but if it, if it does come back up, starts to fail and come back down. "
"878530","884110"," And then I'm going to set yourself up for some price targets, because you might get like bounces"
"884110","884790"," along the way."
"884790","887750"," You might, what you might get is one move here, right?"
"887970","889270"," Comes back up, another move here."
"889590","890970"," Then it comes back up, keeps moving down. "
"891410","893190"," But you can at least like buy puts or shorts."
"894070","899430"," Take your money, wait, wait for a reset, take your money, wait for a reset as we, as we elevate"
"899430","899930"," it down."
"900830","901610"," Make sense?"
"902770","904010"," Any bears in here?"
"911170","920180"," Let's look on, let's confirm this on, I mean a second, we'll confirm this on look map. "
"935440","937060"," Real support on the spy."
"937660","942840"," If you want to know where real support is, 3970."
"954650","955630"," That's real support. "
"959550","966760"," So 3970, which is even lower than we are."
"967260","970980"," So real support, so you guys know this one, you guys can see this real quick, okay?"
"973420","977440"," 3970, and that would translate to 3970396."
"983220","985080"," It's actually lower, it's like right here, ready?"
"993810","994770"," 3966, right here. "
"999580","1001860"," Right here is real support, right here, we'll show it to you."
"1003280","1004540"," That's real support right there."
"1006560","1007680"," Let me show you where it is. "
"1008700","1009240"," Here we go."
"1009240","1011960"," So this is real support right here."
"1013420","1015080"," We're starting to break this break. "
"1015600","1017080"," Let's see if we can tag it right here."
"1018620","1022120"," Tag it right here, and this is where real support is, down here."
"1028359","1032140"," Blood red, right real support. "
"1040119","1045960"," Save it, change this to green."
"1047460","1048880"," That's real support down here."
"1052240","1061980"," Blood red, blood blood"
"1061980","1062580"," red. "
"1063440","1064340"," We can raise this up."
"1065460","1066840"," This is really where open was right here."
"1071390","1072810"," I guess that was kind of the open. "
"1073090","1074190"," I thought the open was down here."
"1075290","1076870"," I thought the open was right here."
"1079590","1081070"," Oh, that's the previous close. "
"1081890","1083570"," This is the opening price right here."
"1084850","1087350"," We'll snap it to the line for previous close."
"1091930","1093830"," Yeah, that was 39998. "
"1094110","1095350"," So this is the previous close right here."
"1095950","1097350"," This is the opening price."
"1099010","1109880"," Oh, shit. "
"1120640","1122980"," Opening price right here, that just bloodbath at it."
"1123720","1124960"," Oh, yeah, baby."
"1125420","1126260"," Blood, blood red. "
"1126500","1128420"," Hopefully, today you guys getting those puts."
"1129160","1129920"," That didn't buy any."
"1132660","1133440"," Look at that. "
"1133760","1134560"," Oh, yeah."
"1135540","1138260"," Oh, and you can see it right here, right?"
"1138420","1139880"," They went right under that yellow bar."
"1140080","1140820"," Look at this yellow bar. "
"1141600","1142040"," Boom."
"1142640","1143000"," Hit it again."
"1145480","1145920"," Damn. "
"1146200","1147900"," The opening price now, we're right on the printer."
"1148100","1150620"," This is the previous opening price."
"1150900","1152060"," This is yesterday's opening price. "
"1152600","1153400"," Hold on, man."
"1155290","1157530"," Well, bears have some bear town right here."
"1157910","1160290"," The previous closing price just nailed it. "
"1160850","1162730"," This is the opening price right here."
"1163310","1163950"," It's a little bit lower."
"1164290","1165310"," It's like right here. "
"1167250","1168030"," Oh, yeah."
"1168330","1168590"," Blood red."
"1168850","1169930"," Real support down below. "
"1171010","1172050"," Blood red."
"1173390","1174230"," Blood red."
"1174410","1175170"," That whole move erased. "
"1176570","1177270"," Gone, baby."
"1177550","1177770"," Gone."
"1178410","1179790"," Whole move from open. "
"1180850","1181150"," Whoop."
"1181570","1182390"," Gone, baby."
"1184830","1185890"," Thankfully I was flat. "
"1188150","1188890"," Blood red."
"1193200","1193920"," Blood red."
"1194300","1195720"," You guys want to look at the book map real quick?"
"1196140","1197360"," You guys have a snapshot of this?"
"1198520","1199240"," Blood red. "
"1200340","1201080"," There's book map."
"1201260","1202620"," You guys want to see what could happen here?"
"1204080","1205400"," So this is opening, right?"
"1206420","1207720"," Got a pound stop opening."
"1208480","1209140"," Bears want to. "
"1209300","1210620"," Bears want to see this reject."
"1212020","1216880"," Take it down to 398.39. Blood red."
"1218740","1219520"," Blood red. "
"1219520","1220120"," Blood red."
"1221100","1223100"," Hopefully some of you guys bought those cheap puts."
"1223240","1226020"," I saw someone in the chat earlier said they bought some of those cheap puts. "
"1227220","1228440"," I saw someone in the chat."
"1228520","1232160"," Who was it in the chat that said I got some of those puts for $0.10 cap?"
"1234760","1235640"," You savages."
"1236140","1237060"," You animals. "
"1239020","1239720"," Blood red."
"1240980","1241820"," It's like a Tesla."
"1242260","1243220"," Oh, no Tesla. "
"1244080","1245640"," Coming back to test right here."
"1245640","1246820"," Look at Tesla."
"1247200","1247680"," Blood red. "
"1248100","1249540"," Here's VWAP on Tesla though."
"1251420","1252460"," Blood red."
"1253660","1254920"," Tesla's not blood red though. "
"1255120","1256380"," Tesla's fucking up like $9."
"1261030","1261850"," Still buyers."
"1262190","1263810"," Still more buyers than sellers in the market. "
"1264290","1265450"," Everybody's lopsided though."
"1265870","1269010"," Everyone's on 402 C's, like 162,000 calls."
"1269630","1271410"," There's no puts in the market right now. "
"1271650","1271930"," Zero."
"1286460","1287900"," Nice job, bro hit."
"1289580","1290660"," Nice job. "
"1291820","1294180"," Winky had some of those cheap ass puts too."
"1294540","1295520"," Good job."
"1295960","1297520"," Pat Manay had some of those puts. "
"1298780","1300340"," You're welcome, Mike Latham."
"1303600","1304520"," Blood red."
"1308020","1309360"," Pat Man right on. "
"1311980","1313060"," I hope so."
"1313200","1314960"," A few guys are in there on those puts."
"1316660","1317460"," Good job. "
"1318360","1320320"," Be careful of a sideways trade too."
"1320460","1327920"," Heading into 2 p.m. We could we could be range bound from here into 2 p.m. Here it"
"1327920","1328340"," is right here."
"1328420","1328960"," The lead release. "
"1329760","1331840"," So let's look at just look at some."
"1333260","1335100"," Wouldn't shock me to see a range bound trade."
"1337680","1341800"," Sorry, it's 2 p.m. So just be careful. "
"1342000","1343300"," Some kind of range bound bullshit."
"1343520","1344500"," Then a move lower, of course."
"1344720","1345780"," We usually have the initial down. "
"1345960","1348340"," Initial up into."
"1351560","1354040"," So we're going to try to trade this area."
"1354180","1356020"," That might be like this area right here. "
"1356160","1356840"," If you watch my cursor."
"1358680","1361060"," Try to trade this whole zone in here."
"1363180","1367700"," And we're going to so you get a bounce down here on the on the opening price or previous closing"
"1367700","1368120"," price. "
"1369040","1373540"," If you're a bear, you want to be trying to short this blue line right here."
"1374580","1378980"," That's what you're looking to short or half back like this is probably half way."
"1379760","1383360"," So we'll make some will help the bears out here for a minute. "
"1384300","1385480"," Bears want to be defending."
"1387000","1387940"," About half way."
"1389000","1389760"," Right there. "
"1392620","1394020"," We'll do some blood red colors."
"1394780","1395400"," I think the bears happy."
"1397980","1402040"," Bears want to be defending there or thinking about re-entering there and here. "
"1402900","1404140"," This is what bears want to be re-entering."
"1404920","1407020"," Actually this last right here."
"1407900","1408580"," Right here. "
"1408740","1409480"," That last little bar."
"1410340","1411600"," And this little bar right here."
"1415170","1416830"," I should switch that for just a."
"1418250","1419290"," It's the line. "
"1420130","1420970"," The trend line."
"1421350","1422250"," Bears want to be defending."
"1425320","1425880"," Have a look. "
"1426000","1426620"," See right here."
"1427520","1428700"," And we'll make that thick."
"1429680","1430660"," Help the bears out. "
"1431100","1431440"," Oh my."
"1431640","1432320"," I hate bears."
"1433240","1436200"," Dear bear and you think I don't like bears because of my Twitter presence. "
"1436440","1437860"," I'm just I'm just poking at you."
"1441260","1443020"," And why am I drawing these lines here."
"1443160","1443940"," I'll show you here in a minute. "
"1444080","1444880"," I'll blow it up for you."
"1444940","1445500"," See this right here."
"1446360","1447620"," See this bar right here. "
"1448280","1448980"," My cursor is."
"1450320","1451780"," Bears want to defend right here."
"1452480","1453960"," See this bottom bar right here. "
"1455660","1459520"," So bears want to be defending this for down."
"1459900","1460980"," Defending this for down."
"1461220","1463000"," This will be your first short entry right here. "
"1463340","1463960"," My cursor is."
"1464500","1466740"," If you have to add to your position you add to it right here."
"1468900","1471680"," And we still have more buyers in this market than sellers. "
"1471940","1472800"," I want you to be aware of that."
"1473040","1475440"," So this could just be a big dip buy for bulls."
"1475440","1477480"," Could trade sideways in a 230. "
"1477980","1479100"," Keep that in your mind as well."
"1481280","1482200"," We will."
"1485840","1487340"," Price target down below. "
"1488120","1490540"," Especially into what book map is saying at least."
"1491340","1492240"," Is much lower."
"1494200","1495400"," Book map saying. "
"1501440","1505260"," Book map saying that real support is down here."
"1507780","1509720"," Not even the pivot point below."
"1510060","1510540"," S one. "
"1511820","1515120"," Will they take a look at a set of five minute or a five and a 15 minute chart as"
"1515120","1515280"," well."
"1516040","1518320"," So let's look at a five, 15 minute chart."
"1519060","1521020"," We tagged the 200 right here. "
"1521380","1521960"," Almost clean."
"1524040","1525040"," 15 minute chart."
"1530260","1531780"," Pivot point is right here. "
"1532480","1532840"," 200."
"1533680","1535320"," Right where that real support is."
"1536780","1538840"," So if you're looking at a larger time frame. "
"1541420","1542980"," It's easy for us to go down here."
"1543280","1544120"," Absolutely easy."
"1544960","1545980"," For us to go down here. "
"1547940","1548740"," Absolutely easy."
"1554760","1556320"," Absolutely easy for us to go down there."
"1558940","1560180"," You guys got diamond hit. "
"1560540","1561560"," I know how bears are."
"1561720","1562740"," They fucking buy puts man."
"1562880","1564540"," They'll own them until they're fucking penniless. "
"1564700","1564900"," The worthless."
"1564900","1578420"," If you didn't"
"1578420","1578620"," take."
"1578820","1579920"," If you didn't buy any puts earlier. "
"1581300","1584540"," They're going to be looking for some rejection here and here."
"1584700","1585580"," My cursor is."
"1587360","1590780"," Trying to keep the stock price down into the two PM. "
"1596080","1597520"," Into the two PM hour."
"1597820","1601180"," Trying to get it down to the pivot point down a S one."
"1601460","1602800"," Bears love to see that move. "
"1609800","1611680"," Let's get these dip buyers and ride them."
"1614340","1615920"," H tips for learning bookmark."
"1616900","1619180"," H bombs asking for tips for learning book map. "
"1621480","1622600"," Time using it."
"1622840","1625060"," I watched videos book map itself."
"1625660","1628580"," Has a daily live stream, but it's really extensive. "
"1630460","1632040"," I've watched a few of them, but I."
"1632760","1637100"," I've watched people describe how to how to use book map on YouTube."
"1637100","1638260"," Like find tutorials."
"1640400","1641520"," That helped a lot. "
"1646340","1647220"," What I find."
"1648000","1649440"," We'll do a video one day."
"1649640","1651520"," We'll go through and do the settings together. "
"1653560","1655260"," Because the settings really matter."
"1656080","1656580"," I don't have."
"1656860","1657480"," I don't show. "
"1657940","1659820"," I used to show more balls on my chart."
"1661320","1663540"," On my book map chart, and now I."
"1664040","1667440"," I've limited how many like I want just large buy and sell orders."
"1667960","1671740"," So when you see the balls show up on my book map, it's very large orders. "
"1673380","1675880"," Because I thought there was too much noise on it."
