"start","end","text"
"149900","155560"," So we're head of the cache equity open, noting the S&P 500 down around 0 spot 2% of"
"155560","158420"," the dollar as per the Dixie is around flat on the session."
"377130","381930"," So we're looking now to the market on open imbalance 75 million to the buy side."
"383590","393550"," Do you want to stay up to date with the latest and be on the bleeding edge"
"393550","395310"," of news for non-farm payrolls?"
"395890","400890"," Then sign up today and get our special offer or financial use pro for a year's worth of our service"
"400890","404570"," for the price of one month and save 92%. "
"678390","683810"," So in 10 minutes time now at 9.45 a.m. Eastern time we get the US S&P services"
"683810","686050"," PMI final read for the month of December."
"686050","693890"," Forecast 51 spot 3 on the prior 51 spot 3 with a range of 51 spot 5 to 49 spot"
"693890","694250"," 8."
"694810","699190"," You also get the composite PMI December final which saw a prior read of 51."
"701170","984530"," So in"
"984530","990470"," 5 minutes time now at 9.45 a.m. Eastern time we get the US S&P services PMI final"
"990470","991330"," read for December. "
"992180","999330"," Forecast 51 spot 3 on the prior 51 spot 3 with a range of 51 spot 5 to 49 spot"
"999330","999610"," 8."
"1001130","1004730"," We get the composite PMI December final a prior read of 51."
"1006610","1216950"," One minute"
"1216950","1220210"," remaining I'll lead with the US S&P services PMI final."
"1262390","1263330"," 10 seconds. "
"1274140","1281120"," 51 spot 4, 51 spot 4, higher than forecast 51 spot 3 with the composite at 50 spot 9, 50"
"1281120","1282200"," spot 9."
"1311760","1316940"," So looking through the key findings in this report then the fastest upturn in new businesses seen"
"1316940","1319560"," here since June spurs a rise in activity."
"1320420","1326320"," So employment growth joint quickest in six months and price pressures are intensifying but charges"
"1326320","1328500"," rise at a slower pace."
"1328500","1334280"," So Williamson who's the chief economist at S&P says that some new year chair is provided in this"
"1334280","1339580"," PMI signaling an acceleration of growth in the vast services economy which reported its largest"
"1339580","1342160"," rise in output for five months for the month of December. "
"1343000","1347700"," The improvements over shadows a downturn recorded in manufacturing to indicate that the overall"
"1347700","1353280"," pace of US economic growth is likely accelerated slightly at the pace at the end of the year."
"1358400","1363940"," We have posted out the US S&P services PMI December reports on the feed for anybody interested."
"3250500","3257160"," Taking a look at the fear and greed index 77 out of 100 equaling extreme greed and the crypto fear"
"3257160","3263140"," and greed index 68 out of 100 equaling greed and taking a look at the VIX volatility index"
"3263140","3267800"," currently down a 0 spot 5% at 13 spot 96. "
"3270660","3378500"," At 10"
"3378500","3387300"," 30 a.m. Eastern time get our weekly EIA natural gas change forecast minus 35 BCF on the prior minus"
"3387300","3388960"," 87 BCF."
"3398440","3405380"," Protect your trades from macro headline risk with financial use pro now only $99 a year for our"
"3405380","3406280"," real time service."
"3407720","3414660"," Noting the S&P 500 up 0 spot 2% the NASDAQ down 0 spot 1% and the Dow"
"3414660","3416280"," up 0 spot 5%. "
"3678290","3686890"," At 10 30 a.m. Eastern time get our weekly EIA natural gas change forecast minus 35 BCF on the"
"3686890","3689530"," prior minus 87 BCF."
"3692350","3918140"," One minute"
"3918140","3918500"," remaining."
"3963610","3964710"," 10 seconds. "
"3975800","3982580"," Draw 14 BCF a draw of 14 BCF that's lower than the expected draw of 35 BCF."
"3986820","3989760"," Seeing some downside in natural gas after that."
"3991600","4023420"," We have"
"4023420","4027980"," posted the weekly EIA natural gas storage report on the feed for all those interested. "
"4030640","4227980"," The Dixie"
"4227980","4232880"," turns lower last down 0 spot 1% at 102 spot 29."
"4234940","5178590"," At 11"
"5178590","5185050"," a.m. Eastern time get our weekly EIA inventories data crude oil inventories forecast minus 3"
"5185050","5191150"," million on the prior minus 7 spot 1 1 4 million with a range of minus 1 spot 3 million"
"5191150","5193470"," to minus 6 spot 8 3 million."
"5193970","5201630"," Gasoline inventories forecast minus 1 spot 6 7 million on the prior minus 0 spot 6 6 9 million. "
"5202050","5210110"," Distiller inventories forecast minus 1 spot 1 million on the prior 0 spot 7 4 1 million and crude"
"5210110","5214250"," cushing inventories prior 1 spot 508 million."
"5215170","5479370"," At 11 a "
"5479370","5486030",".m. Eastern time get our weekly EIA data crude oil inventories forecast minus 3 million on the prior"
"5486030","5492330"," minus 7 spot 1 1 4 million with a range of minus 1 spot 3 million to minus 6 spot"
"5492330","5493490"," 8 3 million."
"5493750","5500930"," Gasoline inventories forecast minus 1 spot 6 7 million on the prior minus 0 spot 6 6 9"
"5500930","5505570"," million. "
"5505570","5513870"," On the prior 0 spot 7 4 1 million and crude cushing inventories prior 1 spot 508 million."
"5515790","5717080"," One minute"
"5717080","5720040"," remaining I'll lead with EIA crude oil inventories."
"5762270","5763370"," 10 seconds. "
