"start","end","text"
"27200","28600"," Yeah, baby, good morning."
"29100","31700"," Happy Friday Thursday, but happy Friday."
"39380","78860"," The Masters"
"86190","86730"," today. "
"88290","89290"," What am I doing here?"
"89450","89690"," That's wrong."
"105830","109790"," Do do do do do."
"110790","111850"," Good morning, everybody. "
"111850","112810"," How y'all doing out there?"
"115850","116970"," You're right into it."
"118470","119330"," Do do do do."
"119390","122390"," So, Vix, if you look at the Vix real quick before we get going. "
"126310","129150"," It's all the video today is, can we get it unclench?"
"129750","130990"," Can we unclench?"
"131330","132790"," Can the Vix has got a grip?"
"136470","139590"," Pink tighter, I've got a few little things to do here in the background."
"143240","143820"," Oh, come on now."
"146710","148230"," Hold on here. "
"150440","151320"," Turn that on."
"151500","152820"," Turn that on."
"152940","153540"," Turn that on. "
"153820","154100"," Turn that on."
"154100","154480"," Turn that on."
"154940","155480"," Save that. "
"157940","160460"," You know, YouTube is so janky."
"160920","163660"," Well, YouTube's kind of great, but it's also kind of janky."
"166800","170300"," So, you got to click this to get here to do this, do that, then you have to click this"
"170300","171820"," to do this, do that. "
"172820","179800"," And then, like that, close that, where things you should just be able to set up and have them run."
"180120","180960"," You have to do them manually."
"187990","188450"," Pink tighter. "
"200570","201550"," Okay, right."
"201750","202070"," Here we go."
"202890","205730"," And we're going to get that up there. "
"207090","210410"," So, I mean, like the Vix this morning."
"212290","213630"," No, Vix is bad."
"213730","214630"," I'll share the Vix right now. "
"215530","224570"," One big issue we have this morning is that the options market is not priced to go much lower, a"
"224570","226350"," little lower, just not much."
"227590","232510"," Where we're looking for some kind of runaway down move or hoping for some kind of running run away"
"232510","234350"," down move move the past couple days."
"234350","240470"," It's just a slow staircase down rather than elevator down. "
"242550","245930"," You're sort by newest customization."
"247830","251150"," Scribbers, like it should just be subscribers all the time."
"252090","254650"," It shouldn't just be anybody and YouTube should know that. "
"255990","258350"," All right, we got all that done."
"260940","262420"," Let me go on over to Twitch."
"263100","264180"," See how the Twitch gang. "
"269740","270580"," There we go."
"271280","272120"," Which people are up."
"274500","277760"," You know, I got to reset like stream labs has some of these issues as well. "
"281150","282130"," Good morning, everybody."
"282390","282870"," Happy Thursday."
"283190","283610"," Happy Friday. "
"283830","286830"," If you are religious in any sort of way."
"288190","290010"," I hope you have a wonderful weekend."
"291670","296830"," You're able to spend it with family friends, spiritual leaders, advisors in your life. "
"297770","300230"," If you are not, I'm hoping that you're able to get some time to."
"302230","309510"," Some time to regenerate your own batteries, even if it's just in a spiritual way, regardless of"
"309510","310350"," your religious or not."
"311270","314010"," People do need that time for their souls. "
"314730","316350"," I hope you're able to get that this weekend."
"316350","319590"," And then, of course, we have golfers."
"320310","321770"," Go to the church of. "
"323670","324110"," The masters."
"325570","328590"," And even myself, I'm going to, I'm going to."
"329310","330610"," The red socks. "
"332230","334970"," Tonight and then on Sunday."
"336770","342390"," We've been, you know, making our plans for spring and summer and, of course, they're full."
"344250","345530"," Michigan's a weird kind of a place. "
"345530","348790"," I travel in the winter to take ski vacations and stuff, but."
"350170","352910"," One of the best times in Michigan is spring and summer."
"354150","357510"," It's a very, it's, it has a lot of dark days. "
"358350","359030"," In Michigan."
