"start","end","text"
"63440","64640"," Good morning out there."
"64880","65740"," Hope you got me out of here."
"65740","67240"," It was time to take you out of here. "
"67760","70260"," Looks like everything is coming in."
"99700","102040"," Alright, let's just get right into it."
"104520","105500"," Good morning everybody. "
"105980","106220"," Welcome back."
"106220","108700"," End of quarter, June 30th."
"109000","110780"," One more day until the 4th of July weekend. "
"111820","115060"," We're going to switch it right over to the live stream here so you guys can see what's going on."
"115640","116040"," I haven't checked."
"116260","119900"," I haven't looked at the chat, but good morning to all of you out there right now. "
"121020","123520"," So we're going to take a quick look."
"123680","125880"," So this morning's numbers weren't that bad."
"126100","130039"," They weren't overall bad, but of course we have other things to be looking at. "
"130160","131560"," We'll take a look at that stuff today as well."
"132660","133660"," We talked yesterday."
"134020","136440"," Well, let's go through a few things here. "
"137560","142500"," So we talked yesterday about, well, in the morning, I think morning of the day before I posted"
"142500","147360"," about back here."
"147460","148280"," Let's look back here."
"148940","154880"," This drop that we had on Tuesday here and how unnatural this drop was, right?"
"155580","156900"," Based upon no news. "
"157080","159520"," We have the same thing happening happening again this morning."
"160180","161040"," That happens."
"161240","161560"," Alpha. "
"161940","162920"," I posted."
"163340","165240"," I made a post on last Sunday."
"166760","168340"," About where we should be headed. "
"168340","172380"," Well, this rally will fail, which of course it did right."
"172540","173700"," We had a failure of that rally."
"174960","176980"," And then also yesterday more. "
"177140","177900"," I think it was just a morning."
"178320","179480"," I'm not sure when I posted it."
"179540","180320"," Maybe it was on Tuesday. "
"181000","184360"," But I'm at least on Monday of days that we should see three 72."
"184640","187520"," I thought we'd see it yesterday and we hadn't."
"187900","193240"," And then yesterday I talked about how whenever we have these failures watch my cursor over here. "
"193980","199840"," I made a long post where I showed on the charts going back January that once we have this drop"
"199840","202900"," here that we continue to drop thereafter."
"203560","205040"," It's just a matter of time."
"205300","206320"," So that's on that captain's office. "
"206340","208080"," You can check out these posts."
"208360","211000"," It's the last two posts that I've made on that captain's office."
"211000","213660"," I made one last Sunday and then one again this week. "
"214620","220680"," And how this is not really truly news driven and not only that, but this morning is not truly news"
"220680","221460"," driven either."
"221740","222800"," Believe it or not."
"223600","224920"," This is not news driven. "
"225060","226040"," This is a bear market rally."
"226240","226840"," We had back here."
"227100","229640"," You can see the failure post of course. "
"230200","231540"," And where do we go from here?"
"231540","238980"," Now yesterday I did buy at the end of yesterday about some two dates for Friday January 1st 390s"
"238980","239340"," I'm holding."
"240060","246400"," And I've got a bunch of calls for July for dated farther away like the 15th and stuff like that."
"246760","251200"," But even so with those calls they're dirt cheap 60 cents or so that I have not sold those if"
"251200","251540"," you're asking. "
"252180","256779"," But even so with that we talked about how it's just a matter of time that we continue to go"
"256779","257240"," down here."
"257240","260200"," Now there's a couple key things I want you to be looking at today."
"260339","262120"," First is this previous slow. "
"262260","263880"," We discussed this previous slow yesterday."
"264480","266860"," We'll take a look back and see where it is."
"268040","272600"," And it was right in here on the 23rd so we can actually see we can get that. "
"273840","275600"," This is your first one right here right."
"275760","277440"," You can see we're now touching this previous slow."
"277940","280280"," We've got another one down below here at 368. "
"281260","281260"," 365."
"282320","284900"," We'll look at the book map and show you where the levels are down here."
"284900","287000"," The levels there kind of fucked up. "
"287580","292080"," There's a lot of just a volatility zone."
"292500","297580"," This whole area down here is going to be a grind to get through where it was like cutting through"
"297580","298140"," butter here."
"298460","300080"," There's a lot of stuff to get through. "
"300180","301800"," This is so messy today."
"302620","306740"," Now we also have this previous low back here to test at 36230."
"307240","309580"," We know the JPM callers down there as well. "
"310180","314580"," And believe it or not even below that is the 200 weekly moving average."
