"start","end","text"
"40460","44420"," We're very close to the Russia-Ukraine conflict with our Kazakhstan business."
"45060","50020"," We also are the primary supplier of natural gas in Israel and have offshore platforms that have"
"50020","52180"," been shut down during the conflict of the Middle East."
"52640","57600"," We've had ships that have been attacked by the Iranian Navy within the last few months in the"
"57600","58460"," Straits of Hormuz. "
"59540","64340"," We've got ships that transit through the Red Sea that we work very closely with the US Navy and"
"64340","67500"," other military forces to ensure safe passage of those vessels."
"67980","72260"," The reality of doing business around the world in our industry is we face these kinds of risks."
"73240","78160"," At Chevron's Mike Worth last night on last call talking about the geopolitical risks facing oil and"
"78160","81300"," gas producers, including Houthi rebel attacks on ships to the Red Sea. "
"81900","84460"," Numbers from one cargo booking platform highlight the impact."
"84800","91280"," Spot container rates for shipping goods from Asia to Northern Europe now have soared 173% since mid "
"91280","91760","-December."
"92300","96600"," Meantime, the IMF says the Suez traffic is down 28% in the last 10 days. "
"96600","100340"," You've got mass gym now, as we said earlier, going back to diversions."
"101100","102220"," This is starting to show up."
"102380","104360"," IKEA, ANF, talking about delays. "
"104640","112780"," I thought that Mike Worth few is that he's gospel and it's obvious that this mark is incredible"
"112780","113120"," turmoil."
"113680","116520"," We had those EOG comments that wouldn't go back to the perspective of the good companies saying"
"116520","118420"," there's going to be decline in growth."
"118600","123300"," Remember, it's not at the decline in growth in the U.S. I don't believe that, but I have to,"
"123560","125260"," I think that EOG is too conservative. "
"126040","129400"," But there is, but in all this, why isn't oil at 80?"
"129759","135180"," I mean, the market seems to be taking this stuff in stride for the moment."
"135480","136200"," It's really interesting."
"136440","141740"," Mike Worth is basically talking about almost everything being a suspect and yet they're still"
"141740","142780"," producing. "
"143420","148720"," As far as container rates, journal and great piece today about how some of the shippers are, the"
"148720","153480"," stocks are doing well because of these surcharges, but you've got so much capacity coming online"
"153480","154160"," this year."
"154620","157320"," 11% of the current fleet is going to offset some of that."
"157360","162260"," Well, that's why I was going back and forth yesterday with Herb Jordan Hanson for Nordic American"
"162260","162940"," Tanker. "
"163000","163920"," That should be the big winner."
"164200","166620"," The stock's been at four."
"166920","169120"," I mean, it's not doing anything. "
"169900","175300"," And I was saying, you know, look, Herb Jordan, I know that you're supposed to be the way to play"
"175300","176620"," this, but it's not moving."
"176960","178520"," He's obviously just saying just wait."
"178740","179720"," He talks to his book. "
"179880","180640"," I don't have a book."
"181280","184320"," But again, no one's making any money off this stock."
"184500","189240"," It's just we're just watching the geopolitical tension, typically geopolitical tension should mean"
"189240","189680"," something. "
"190280","191740"," But this is not 1973."
"191840","193500"," It's 2024."
"193960","194440"," Right. "
"194740","200200"," We do have a Blinken going back to the Middle East, his fourth trip there since the October 7th"
"200200","200360"," attacks."
"200820","207560"," Then you have sort of the larger, almost rhetorical battle against American companies, which is"
"207560","208660"," what McDonald's talked about."
"208760","209000"," Right. "
"209300","210720"," And I think that's remember that it's franchises."
"211960","214640"," I'll tell you, it's so difficult."
"215020","221680"," My travel trust home Starbucks and Starbucks doesn't have any stores in Israel, but is viewed as"
"221680","227340"," there was a TikTok post that basically implied that you're buying. "
"231600","237620"," I don't who the strident militant Palestinian faction doesn't want to buy from it."
"237700","238380"," It was not true."
"238580","239940"," And so far, I don't want to dignify it. "
"240060","243280"," But what what does matter is is that some of the stores had bad numbers."
"243660","248260"," And now people will hear what I just said and they'll say, Oh my God, that's all care about."
"248340","249900"," But as you said, the tape never stops. "
"250340","253180"," I'm not here to opine on what should happen."
"253180","254680"," I'm here to opine on what did happen."
"254960","255800"," And the impact on the quarter. "
"256060","256959"," It could be gap."
"257360","259820"," Here's here's what Chris Kamchinsky said."
"260180","264760"," Associated misinformation affecting brands like McDonald's disheartening and ill founded"
"264760","265520"," separately. "
"266080","269720"," I mean, Opie does cut McDonald's today to market perform."
"270140","274760"," That's largely about they think comps are going to be in line this year, pricing benefits start to"
"274760","275000"," fade."
"275300","284700"," I find that when you to to understand a stock like McDonald's, you just have to look at and you"
"284700","287800"," can see that the charge says, well, that's an unbelievable move. "
"288540","292420"," And that's a reverse, you know, it's reverse head and shoulder."
"292720","293900"," So all of me is going to be okay."
"294240","298620"," But right now, like a lot of companies, these really well, they're saying, listen, evaluation is"
"298620","298940"," peaking. "
"299340","301020"," I say you sell that stock at your own risk."
"301220","302580"," That's just a really great company."
"302860","304580"," And when it rolls over, you buy it. "
"304660","305500"," And that's what you do."
"305860","310880"," And look, if you really want to, you want to just combine chipotle, because that's not chipotle and"
