"start","end","text"
"38340","39680"," Oh, yeah, baby."
"39880","40820"," Get right into it."
"40820","41440"," We gotta get rolling. "
"94160","95040"," Good morning."
"97480","98760"," Are y'all doing out there?"
"100000","101220"," Oh, look at that, baby."
"103420","103920"," Look at that. "
"105760","108360"," Take a look at our levels this morning."
"111900","117420"," Get our one, our two, the big pivot over here, S1 over here, 40153."
"120040","120440"," 39833. "
"123500","123900"," 39671."
"126340","129699"," We know that this right here is top of the key, this yellow line right here."
"130860","133100"," We've got some previous highs we got to look at. "
"135720","138060"," You guys want to know what's happening off the bell this morning."
"138220","141180"," I bet don't you think we're gonna, you're gonna gap this up, don't you?"
"141760","143340"," Right off the bell is what you're thinking."
"143340","144560"," I know what you guys are thinking. "
"145720","146540"," Gap it, baby."
"152400","153540"," 25 BPS."
"157340","163220"," I mean, even if it isn't a slowing or a pause, certainly isn't what we expected, was it?"
"164920","168120"," In a previous low back here, I'll throw on there for you. "
"168300","170260"," And we're gonna right away off the bell."
"170360","171000"," Take a look at something."
"173600","176300"," Before you do anything here, think tight here. "
"187230","191390"," In a very low volume morning, this morning, that big green bar on the bell."
"192610","197170"," Low volume day, low volume pre market to some wild shit going on in the background."
"199290","202190"," I'm gonna have my eyes right now on Apple. "
"202190","205830"," Apple seems to be the key right now of all of big tech."
"207690","214270"," You got, you want to watch an apple right off this bell because we could explode higher right here."
"214410","217890"," Look at that big, huge white or I say white. "
"218390","220970"," I've got Christmas colors on this candle start."
"220970","221610"," I've gotten the background."
"223190","225650"," Huge green bars on Apple on the open. "
"226910","230290"," It's coming up to test and the hourly trigger is right below it."
"230530","233110"," We're probably going to explode higher right now."
"233630","234810"," You want to be watching. "
"235430","237170"," You want to be watching right here."
"237650","239110"," 144 11."
"239510","246670"," If we break it's all over like it's we're going to explode. "
"246670","250770"," It's going to be a face ripper rally and it ain't going to take long."
"250970","251890"," So we're going to watch right now."
"253890","255010"," See what's going on. "
"265610","269630"," See if we can squeeze these bears out these shorts out of the market right now."
"275540","276460"," Tesla baby."
"277580","279740"," It has taken profit right off the bell. "
"280380","280900"," Tesla."
"282060","283460"," I love to see it."
"284740","288020"," Like Tesla bulls have have shell shock right. "
"288160","289060"," They're just like give me the money."
"290480","292000"," Look at Apple baby."
"292560","293000"," Boom. "
"295020","296180"," Smashing off the bell."
"298080","301280"," If this continues right here it's going to be explosive right."
"301400","303020"," We talked about this yesterday right. "
"303880","305960"," Talked about this yesterday if you remember."
"309730","315470"," Trying to fade me inside of the trying to fade me inside of the stream yesterday like you fade me"
"315470","316050"," in the stream."
"316490","318910"," Get out of here with that fate and Captain Jim James. "
"319430","321570"," Look at that explosive move right there."
"321990","323490"," We want to see this continue though."
"323570","324730"," We don't want to see this stop. "
"325790","329310"," So there's a huge momentum underneath here coming up."
"330130","332010"," This is an hourly trigger that we're hitting."
"332110","333890"," We've got a four trigger cluster right here. "
"335890","340090"," And if this doesn't reject right here it's going to be it's going to be the moon."
"341390","342450"," It's going to be the moon."
"343030","344010"," That's what it's going to be. "
"348560","352360"," This was this was all happening yesterday and yesterday's stream in here."
"353540","355920"," What did I say yesterday I said it's only a matter of time."
"356100","357680"," I don't know if it's just before the close. "
"358380","359460"," If it's after hours."
"359740","362280"," If it's on tomorrow's open it doesn't matter."
"362520","362880"," It's happening. "
"363720","364640"," It's not coming back down."
"365100","366100"," It's kind of face rippers."
"366100","369660"," What's getting face ripper. "
"370120","372840"," You don't know what I'm talking about going yesterday's stream."
"373100","374120"," Go to the last 10 minutes."
"374580","376280"," Last hour of that stream. "
"377580","379340"," All I heard yesterday was distribution."
"381220","382860"," I love you guys that said that too."
"383180","384680"," I don't mind if you have a differing opinion. "
"386880","387620"," But look at that."
"387780","389400"," Just squeeze and smash in."
"390540","393320"," If this can hold above right here I'm going to show you right now. "
"394380","401320"," Well if we can hold above 144 13 and the hourly trigger comes screaming higher keeps coming up"
"401320","401560"," here."
"402100","403420"," It's going to be it's going to be a monster."
"403840","409420"," We're trying to quote about four momentum triggers coming up and just slamming into Apple up here. "
"414700","419040"," Now trading one forty four baby twenty three twenty thirty two."
"420640","421660"," Just smashing."
"426190","430010"," Meanwhile what are they doing a spy they're trying to pin spy right now. "
"430990","434330"," They're trying they're trying to pin Apple last night too."
"434710","439690"," You've got like these massive shorts on the market and then you've got a bunch of retail traders"
"439690","442410"," trying to jump in and time the the JPM caller."
"443050","445850"," So you've got these you've got these other mechanics in the background. "
"446830","448250"," It's almost like Elliott wave."
"448250","449330"," You know Elliott wave."
"449370","450890"," Sometimes you got to break out the erasers. "
"451170","453290"," Sometimes the only waveman nails it."
"453750","455090"," But when it doesn't nail it."
"455530","456790"," It doesn't right. "
"457030","461090"," And so you get you get jammed up in a in a trade or you know you're drinking the Kool "
"461090","461630","-Aid in a trade."
"462230","466370"," But the point behind what I'm saying to you is that people still trade to it."
"466450","472590"," So even if it breaks through or goes higher than what's predicted it's still like this the speed"
"472590","479330"," bump along the way right because you know that traders are trading to V-Wops and moving averages"
"479330","486050"," and Elliott wave theories and fucking triangles and expanding fucking megaphone wedges and all that"
"486050","486810"," kind of shit right. "
"489560","492640"," Yeah everything got people trading to the moon cycles out there."
"493260","496220"," Got people trading to Biden's speeches and stuff."
"497100","502960"," So you know we're watching that and involved in this but I'll tell you what we hold you look at"
"502960","505060"," right now I got another white bar and I keep saying white. "
"505440","511640"," I got to change the bars and this fucking thing because I got green bars and white bars."
"512039","512840"," I'll show it to you right here."
"514179","516960"," So I got Christmas colors up on this chart right here. "
"518080","522280"," So instead of calling it like a green candles I'm like yeah we got white candles."
"522960","524820"," So I'll change the candle color."
"525300","526040"," Pull out here. "
"527880","530080"," Let me see if I can figure out how to change it now."
"530220","532360"," I always forget how to fucking change the colors and this shit."
"535680","539800"," Maybe it's inside of a parent's. "
"547400","548920"," What am I looking for here?"
"549800","552000"," Symbol, body color."
"552420","552840"," We'll go green."
"552840","553800"," Make everybody happy. "
"553800","554480"," We'll make it normal."
"556740","560900"," Body color, color bars, borders, green."
"561920","564100"," We'll make the screen so it matches up so I'm not saying. "
"565480","566280"," Okay there we go."
"566400","567320"," We're back to normal colors."
"568420","574480"," Well we have fall colors and Christmas color, holiday colors and then we've got I don't know what"
"574480","575600"," spring colors would be. "
"576380","580560"," I'd have to come up with some like tulip colors for the bears like yellow and maybe we'll do like"
"580560","584260"," yellow and green or something for spring time."
"584680","586900"," So you want to see apple here just hold this."
"587040","593420"," Okay if apple can hold this blue line right here and you're gonna watch this green trigger come up"
"593420","598500"," this green trigger come up and this bad boy right here is just gonna come up and it's gonna get"
"598500","602480"," squeezy and there ain't nothing that can stop it if it can stay above here. "
"602600","609000"," So we're watching this very closely today to see what happens just so you can see it."
"609460","613440"," I'll put the mute or I'll hold on a second."
"613600","613980"," What am I gonna do?"
"614500","616400"," I'm gonna close the book map for a brief moment. "
"618280","621100"," I'm just going to show you this momentum that's been building behind here."
"621220","623200"," Okay I want to show you what's going on here."
"624400","630180"," See this velocity but down here you get this velocity that's this shit's going back a long time"
"630180","632580"," over here and it just keeps going. "
"632980","638540"," Talking about like so time has passed right we're down here messing around for the past year and"
"638540","641560"," it's like just coming up."
"642680","649920"," You got this one this is the early and as these things come from underneath right we're at this"
"649920","654440"," last one this is kind of like the the gate right here right it's like there's like one bear up"
"654440","660140"," here you know what I mean it's like one grizzly bear right here down here there was like two"
"660140","664640"," grizzly bears you know what I'm saying it's like two grizzly bears another grizzly two grizzly"
