"start","end","text"
"0","320"," Check."
"1740","2380"," Are we there?"
"2540","2920"," I think we're there."
"3960","5580"," Check won't be there yet. "
"12400","14040"," I've got a bunch of stuff that I've been here."
"19990","20390"," Check."
"34030","40440"," Check won't be there"
"40440","49480"," yet. "
"51110","62820"," Check won't be there"
"62820","62820"," yet."
"75360","78100"," Check won't be there yet."
"78100","80740"," Check won't be there"
"80740","90820"," yet. "
"102520","104460"," Check won't be there yet."
"115360","117500"," Check won't be there yet."
"118880","118940"," Check won't be there yet. "
"134440","140840"," Check won't be there yet."
"141300","144560"," Check won't be there yet."
"144560","148040"," Check won't be there yet. "
"152580","156740"," Check won't be there yet."
"171300","177140"," Check won't be there yet."
"182400","184420"," two and a three over here. "
"185400","189640"," There, there, there."
"190420","191920"," Good morning."
"192060","192860"," How's everybody doing out there?"
"193900","194460"," Welcome. "
"195960","199320"," Let me, I got a couple things I got to do here."
"199320","202420"," Here, live stream."
"203780","205840"," SPX Spy. "
"206640","209160"," Yes, yes, or hold on here."
"210160","211780"," Yes, then Q's."
"212580","213500"," Look at Tesla today. "
"214860","216620"," GME and AMC."
"216620","219920"," Oh, live stream."
"220920","222080"," See here. "
"223400","227120"," Then we've got a live stream up on this."
"237560","242760"," I need to start streaming on Twitter."
"243700","253640"," I wonder if, you know that we're supposed to start multi streaming and close that. "
"254680","256959"," Maybe that'll make Elon happy."
"259399","261600"," See if I can live stream up there."
"263100","265660"," Now, we've got a couple things to look at here. "
"266120","267180"," All this doom and gloom, right?"
"267460","269620"," Sell the news right on open here."
"271820","273180"," Let's take a look down here."
"273300","274460"," Look at that blasting down. "
"275740","276600"," Let's see here."
"278760","284960"," You know, 475 C's are still worth the ones for today are worth two dollars and 61 cents."
"285460","287140"," They probably opened this morning. "
"287460","291840"," I didn't look to see what they opened that should have, but I think that they're likely about three"
"291840","293700"," bucks or something like that in the open this morning."
"293700","297300"," So if you did hold calls into this morning, congratulations."
"299200","302400"," I got to put some levels in here for just a second. "
"303160","305660"," Well, we're going to talk about what to expect today."
"305980","313120"," Now, there should be some form of an unclenching of single ticker issues this morning."
"313380","323180"," So the idea here being you have a large amount of calls, some"
"323180","332460"," gamma and calls specifically that are on single tickers that are deep, deep, deep, deep in the"
"332460","332680"," money. "
"334580","340260"," And what's the effect here on our market?"
"341000","346140"," All these tickers were from Q4 in 2023."
"346600","352080"," That isn't all the call gamutants in the market, but on or on indexes, but on single issues,"
"352700","355220"," there's a ton of it rolling off today."
"355880","361340"," Now, I want to put a put spread on for the 31st. "
"361460","369640"," I thought the 30th, but yesterday, Andy Constand reached out and said, you want to own the vol into"
"369640","370960"," the actual 31st."
"371080","376300"," And so I think the point might have something to do with also have might have something to do with"
"376300","385560"," finding out or owning that ball, not necessarily through the event or through the"
"385560","391020"," event that's coming up on the end of the month, but riding into that event and getting rid of it"
"391020","392120"," before we get there."
"392360","397340"," So just accumulating that expected volatility into end of the month. "
"397520","404400"," Now, I don't know if that means I should be buying the VIX, possibly not a put spread, but it"
"404400","405120"," looks to me."
"405300","415080"," For me, from my perspective, I don't think basically early February."
"415760","416620"," That's my thesis. "
"416940","417680"," I'm sticking to it."
"418580","423140"," Now, I can't trade it with real money until I get some confirmation here."
"423320","427500"," So what am I looking for to place that trade?"
"428100","429840"," And right now we're on trend, right?"
"430000","430900"," This is the half hour trigger. "
"431500","432480"," This is the hourly trigger."
"433360","442620"," I can't take that trade with confidence unless price were to break below hourly trend"
"442620","447680"," and then confirm that we're reversing hourly trend."
"448140","452640"," So that would be what a break in price of the hourly trigger. "
"453480","458420"," I don't care how far down it goes, but I do care about the rejection above right here."
"459360","460360"," And then a new low."
"460800","465980"," So if that happens, if I can find that any kind of entry like this today, I will be Johnny"
"465980","468520"," on the spot with some put spreads. "
"468520","472440"," Now, I possibly could take them right here right now."
"472720","474620"," I was thinking about doing it just on the opening bell."
"474900","477240"," Be like, yeah, I'm where I am to get a pretty decent price. "
"477500","481820"," I can probably absorb a push even higher for that roll down anyways."
"482800","490120"," But you know, it being, being off X, I would not be shocked to see price go even up into"
"490120","490960"," the end of the day today."
"491260","492600"," Nothing would surprise me today. "
"493200","497380"," So my plan here is to either get some confirmation."
"498520","500360"," I can take that trade with confidence."
"501500","506820"," And if not, I'll be looking for some kind of high with some nice high on the rest of today. "
"506960","508940"," I mean, we do get the SPX all time high today."
"509760","510480"," That'd be kind of nice."
"511039","515760"," Matter of fact, that would be really nice for the idea of a roll down and then an even higher"
"515760","519880"," high in a week or two or a couple weeks. "
"521100","524600"," So we'll watch this and monitor this as it happens this morning."
"525320","527960"," I got to put change these levels up though quickly."
"528180","531140"," So, well, give me a few seconds here to just catch up. "
"532440","533960"," Is my stuff on this morning?"
"534380","534980"," Wait a minute here."
"535120","536240"," My voice sounds weird."
"536780","537740"," I'm losing my voice too. "
"542800","543760"," I wonder."
"545580","546020"," No, that's working."
"546780","546780"," Okay. "
"546780","546780"," Okay."
"550080","551440"," Give me one quick second here."
"555760","557700"," One quick second here. "
"559640","561380"," What am I looking for?"
"563180","564000"," There we go."
"565380","566560"," How are y'all doing out there?"
"567080","569380"," Are you all, let me ask you some questions out there."
"569540","573240"," What are you, what's your all position, position positioning into this morning?"
"573900","576000"," Are you looking to get long here this morning?"
"576260","580060"," Are you 475-32?"
"587000","589180"," Yeah, see, I'm feeling the same way about this. "
"591500","598680"," I'm just putting up the levels right now and I'm feeling the exact same way as the levels they're"
"598680","602800"," feeling here, which is there's your pivot, right?"
"603840","609160"," And I'm kind of looking for that below the pivot trade, right?"
"609960","613580"," I want to get underneath this pivot to place that trade."
"613940","616140"," So, until that happens, it's likely not going to."
"616480","622830"," 42, 42, 7."
"627140","638220"," Close enough for me, hand grenades and horseshoes, 479 "
"638220","639420","-96 for R2. "
"640140","642760"," And then R1 is 478-23."
"650060","651600"," So, there's your upside targets."
"652000","655080"," That's without STX cell or whatever that's supposed to be up there. "
"655720","657920"," And then, what do we got there?"
"659140","660600"," I guess we'll delete this one right here."
"662060","663520"," We have your pivot right here."
"663740","665260"," We're going to get underneath this pivot for sure. "
"665900","667740"," It's the plank here for bulls."
"668360","673740"," If we can get underneath this pivot and get some rejection going on, you guys see that right there,"
"673940","674000"," right?"
"674300","677740"," Something like that or I'll be able to drop better right here."
"677980","686160"," So, if I'm looking for something like this, a break of the hourly trigger, if that takes place, I'm"
"686160","689980"," then going to be looking for a retrace above and a rejection. "
"690860","695820"," If we can get below just this point right here, I am on that trade no matter what anyone out"
"695820","698360"," there is saying on FinTwit."
"698440","708220"," There's a lot of, there's a lot of, or in my view at least, there's a lot of, how should"
"708220","708700"," I say it?"
"708940","711160"," 7 or 473-59."
"719150","720790"," There's a lot of mixed messages. "
"721310","722430"," It's not just FinTwit either."
"722690","728710"," I saw some mixed messages on some of the news reporting that I saw yesterday."
"730070","740230"," It was all surrounding yield curve, rate cuts, what"
"740230","741170"," do rate cuts mean?"
"742530","748130"," I don't know if I, maybe I did post this two days ago, but if I didn't, I was going"
"748130","749210"," to post it, didn't. "
"749310","763080"," Maybe I didn't do it because I don't"
"763080","763680"," do it."
"764200","769560"," Someone made a great comment or a post yesterday about, we started the year with seven rate cuts."
"770040","771100"," Now we're down to like four. "
"772920","775400"," You know, and how quickly it changes, right?"
"777020","784620"," And, or your thesis or, you know, a few drop or a raise in price of SPX, how that impacts"
"784620","793960"," your, whether we're going to get rate cuts or rate, rate cuts, continue to pause or more rate"
"793960","794440"," increases."
"795040","800160"," And of course, you see the Fed in the little presidents, whether they're voting voters or non "
"800160","804460","-voters, you watch them and how they're acting."
"805520","812220"," And, you know, one day it's like, or even in the same interview, it is, well, I anticipate at least"
"812220","813420"," a few rate cuts this year. "
"813600","814580"," When do you anticipate them?"
"815740","818920"," No earlier than fall though, and it's data dependent."
"819800","820760"," It could be later."
"822280","826740"," Then the conversation continues and then about 10 minutes later, the little Fed president's like,"
"827120","834760"," well, we, you know, we could start cutting as soon as springtime, you know, so it's like, Neil's"
"834760","840020"," all over the place with the, of course, they're intentionally doing that, right?"
"842160","844860"," You got to soak up that soft landing time. "
"846060","854900"," It's like, we got a whole year here, and we're going to soak up our soft landing."
"855880","863000"," I think what is it that the actual soft landing periods last roughly one and a half years from the"
"863000","865280"," last rate hike somewhere in there."
"865320","868920"," Then there's a window in between that and the next recessionary period. "
"870720","872540"," So they're hamming it up right now in my view."
"872800","875560"," And I think some other people made some comments about that as well."
"879720","887900"," And I think Joe came out and said, you can stop using that word. "
"889600","890740"," What do they call it?"
"892920","894700"," Was it wasn't a transitory?"
"894980","897520"," I think it came out and said you can stop using the word transitory."
"898140","902300"," So now we're waiting for them to come out and say to one of the reporters, you can stop using"
"902300","903900"," the word soft landing."
"904520","905660"," It already happened, right?"
"910240","910640"," Right. "
"910780","911320"," Here we go."
"914630","915730"," Cues coming down to check."
"915890","918310"," It's a half an hour trigger and hourly trigger. "
"919370","927490"," Also another note here too, on your screen or down below here, we've hit our upside target"
"927490","927890"," yesterday."
"928930","934190"," And then we started to make a run for 4800 SPX."
"935110","943330"," And we also watched this right here, this candle yesterday on stream. "
"943370","945190"," We're watching this one right here."
"945630","949550"," And that one kind of gave us the indicator indication that we were going to blast up."
"950490","954610"," As soon as we slammed down here yesterday, I was like, oh, we're going all the way up, aren't we?"
"954870","964190"," And we tagged or we barely missed that gap, this gamma level by what?"
"966890","971610"," 4799.38. Geez. "
"972350","979570"," So we missed, we missed 4800 this morning by, you know, point one tick."
"979570","979630"," Okay."
"981610","991190"," And meanwhile, we've been like slow, like low grade edged or edging SPX"
"991190","998350"," for for an all time high on SPX for pretty long time now, right?"
"998710","1004750"," We've actually swung up there a couple times and rolled as well, trying to get that all time. "
"1004930","1005990"," It's like a tease."
"1007770","1010130"," But trust me, like I love SPX."
"1011030","1016950"," So there's like, I know there's a group of us out there on FinTwit that are have been watching this"
"1016950","1019510"," for months on end. "
"1019790","1022550"," Are we going to get the all time high or not on SPX?"
"1023730","1025810"," Looks like we're robbed of it this morning."
"1027250","1029050"," Yeah, I remember the transitory comments."
"1031490","1035210"," Everybody was like, transitory, transitory, not transitory, transitory. "
"1035810","1040329"," And then you're like, Jerome's like, okay, you can stop using it."
"1049000","1050240"," Okay, so that's done."
"1052020","1053680"," What else we got going on this morning?"
"1053800","1056260"," Let's see what else we, oh, dude, I didn't put the stream up, shoot. "
"1058120","1059660"," Hold on, I got to do the stream here."
"1059940","1065980"," I thought I posted the stream on FinTwit, but it looks like maybe I didn't."
"1066440","1067740"," Did I or did I not?"
"1071160","1072060"," No, I did post. "
"1072300","1072840"," Okay, cool, cool."
"1073120","1073760"," I did post it."
"1074580","1076660"," All right, close that right there. "
"1078220","1081340"," And we'll put CNBC live on in just a few moments."
"1082720","1087160"," Let me get some new levels here for SPX and see what it says."
"1087880","1089400"," Is anything magical going on?"
"1093050","1101470"," If anything has changed, it would be fascinating to to see the gamma picture next week. "
"1101490","1103850"," Doesn't look like anything's changed as of right now."
"1104210","1104930"," Oh, wait a minute."
"1105090","1105590"," Hold on here. "
"1107350","1113650"," Gamma flip is at 4760 on SPX."
"1114750","1122310"," So if you want to get really bearish where it's below the hourly and half hour, it's just above the"
"1122310","1125250"," hourly and half hour trigger on SPX."
"1125470","1126310"," So just be aware of that. "
"1129010","1137850"," And if you're looking to get bearish, you need to get underneath 4759 or 4760."
"1138230","1142810"," Let's just call it 4760 on SPX."
"1147690","1150770"," So 4760 is what we're looking for over there. "
"1151590","1158160"," That's three right there."
"1164860","1167120"," Yeah, SMCI, right?"
"1167560","1172200"," Did I see everybody talking about, so this morning I'm on social media and I'm like, oh, it's where"
"1172200","1174300"," Jonah's talking about SMCI."
"1174300","1178060"," A whole bunch of people out there talking about SMCI this morning. "
"1179440","1180700"," You want a quick second?"
"1180860","1181720"," I got some more stuff here."
"1182560","1183560"," Watch this here."
"1190220","1192160"," Goosell be saying what?"
"1192360","1194800"," The Fed is not facing an imminent threat from the labor market. "
"1195520","1199000"," If inflation progresses, I got to start back here with Gooseby."
"1199500","1200840"," I'm going to read you some stuff this morning."
"1201500","1203720"," Gooseby inflation data will dictate the rate path. "
"1204240","1204780"," Oh boy."
"1205320","1210380"," If we continue to make good progress and inflation, we need to factor that into policy rate."
"1211220","1211980"," Real restrictive. "
"1212380","1216680"," This matters to me as inflation comes down and opens the door for rate cuts."
"1217400","1217800"," Yep."
"1218260","1218640"," Yep. "
"1218780","1219100"," Absolutely."
"1219640","1222280"," Good price inflation back to normal levels."
"1222920","1227160"," There is surprising progress on services inflation as well. "
"1227440","1227960"," That's bullshit."
"1228640","1230880"," We need to see more progress and housing inflation."
"1231740","1235840"," That's not going to happen until 26 or shouldn't happen until 26. "
"1238000","1247020"," What else we got here from him or markets should be focusing on economic data."
"1247660","1249960"," Yeah, yeah, go on, go on."
"1253180","1256380"," If inflation reverses, could merit rate hikes?"
"1256680","1257260"," That's bullshit. "
"1257780","1259200"," Well, not."
"1259800","1266280"," So they should be saying if inflation, we should get rate hikes or pause or hikes."
"1266960","1272740"," But if we slam down into two percent, you're going to without a doubt, even if it's brief, you'll"
"1272740","1274480"," have the Fed come out and say mission accomplished. "
"1276480","1281500"," Now, if that we get that bounce off mission after mission accomplished, they are usually cutting as"
"1281500","1281740"," well."
"1283540","1286620"," The Fed is not facing an imminent threat from the labor market."
"1286620","1289960"," The next thing Goolsby said. "
