"id","start","end","text"
"KCeUwWuCllw","0","1560"," That's going to be one of the questions this week."
"KCeUwWuCllw","1560","5880"," Yeah, you know, earlier it said the big event is the Fed meeting on your graphic,"
"KCeUwWuCllw","5880","10320"," but is it a bigger event than getting the CPI number, which, I mean..."
"KCeUwWuCllw","10320","14520"," It's a big event, yes, because we get the projections for rates for next year,"
"KCeUwWuCllw","14520","17720"," which is going to be new and updated from their September thinking."
"KCeUwWuCllw","17720","19680"," We're going to get the tone from Powell."
"KCeUwWuCllw","19680","20640"," He sets the tone."
"KCeUwWuCllw","20640","25560"," Is he going to talk tough and try to reverse some of the looser financial conditions we've been seeing?"
"KCeUwWuCllw","25560","29840"," So I think it's important because he will also be able to react to CPI,"
"KCeUwWuCllw","29880","31720"," which is why we get a hot CPI number."
"KCeUwWuCllw","31720","33280"," The market is going to react to that."
"KCeUwWuCllw","33280","35160"," And the Fed might react to it, too."
"KCeUwWuCllw","35160","36160"," That's the thing."
"KCeUwWuCllw","36160","38680"," We got lower unemployment than expected."
"KCeUwWuCllw","38680","41560"," Right, 3.7% was a surprisingly good number."
"KCeUwWuCllw","41560","43360"," Wages were going strong."
"KCeUwWuCllw","43360","46840"," And then a firmer CPI could lead the Fed to talk a little bit tougher."
"KCeUwWuCllw","46840","49200"," That's one of the big risks this week, for sure."
"KCeUwWuCllw","49200","53520"," Fed meeting does come as the Dow and the S&P come off these fresh 52-week highs,"
"KCeUwWuCllw","53520","56000"," NASDAQ highest level since April of 22."
"KCeUwWuCllw","56000","59760"," All three major averages with this six-week win streak."
"KCeUwWuCllw","59760","61160"," Joining us on the news line today,"
"KCeUwWuCllw","61160","63800"," Warden School, the professor of finance, Jeremy Seagulls with us."
"KCeUwWuCllw","63800","65560"," Professor, it's great to talk to you."
"KCeUwWuCllw","65560","68400"," I was struck by the, nope, that's not the professor,"
"KCeUwWuCllw","68400","70120"," but we'll get to that in a second."
"KCeUwWuCllw","70120","77120"," This journal piece over the weekend said the Fed can't put off prepping for rate cuts,"
"KCeUwWuCllw","77120","82280"," because if you got productivity at four and wages, sorry, productivity at two,"
"KCeUwWuCllw","82280","85200"," wages at four, that kind of puts you near target."
"KCeUwWuCllw","85200","87600"," Yeah, absolutely."
"KCeUwWuCllw","87600","93360"," And I heard Roger Ferguson, who I respect a lot on the six o'clock hour."
"KCeUwWuCllw","93360","96360"," And he said, oh, that could be a problem for percent wages."
"KCeUwWuCllw","96360","100800"," But four percent wages is absolutely not a problem when you have two, three percent."
"KCeUwWuCllw","100800","105520"," And actually you had over five percent productivity growth there in the third quarter."
"KCeUwWuCllw","105520","110360"," So, yeah, the unit labor costs have been going down."
"KCeUwWuCllw","110360","113840"," So that should not be a problem for the Fed."
"KCeUwWuCllw","113840","119040"," And I absolutely do advocate that they start thinking about lowering it."
"KCeUwWuCllw","119040","122120"," I don't think I'm going to do it on January 30th, certainly."
"KCeUwWuCllw","122120","128400"," But, you know, they should think about uninverting the yield curve in their March meeting."
"KCeUwWuCllw","128400","133800"," What are the, why do you think, to what degree are the markets jitters about either a warm CPI"
"KCeUwWuCllw","133800","138760"," or pushback from Powell, are they justified to any degree this week?"
"KCeUwWuCllw","138760","142680"," Yeah, I mean, honestly, I think the dot plots are going to be hawkish."
"KCeUwWuCllw","142680","145960"," And I don't think they're going to be right."
"KCeUwWuCllw","145960","151080"," I think they're going to be dual-occupancy, but that could unsettle the market."
"KCeUwWuCllw","151080","154320"," Yeah, we will have to see CPI and DPI."
"KCeUwWuCllw","154320","157160"," Now, by the way, they've already submitted their dot plot."
"KCeUwWuCllw","157160","159320"," So nothing that happens tomorrow."
"KCeUwWuCllw","159320","162440"," When they're going to change the dot plot, they are not going to move."
"KCeUwWuCllw","162440","164440"," That's not going to change either."
"KCeUwWuCllw","164440","170720"," But you were right in talking, you know, a while back, it definitely would change the tone"
"KCeUwWuCllw","170760","175560"," of the news conference on Wednesday that, you know, the Powell does,"
"KCeUwWuCllw","175560","178560"," depending on what those two factors are."
"KCeUwWuCllw","178560","183040"," And by the way, he has covered the fact that the unemployment rate moved away from that"
"KCeUwWuCllw","183040","186520"," 4%, which I think would have been politically not the good thing."
"KCeUwWuCllw","186520","193800"," Down to 3.7 gives a more political cover and a way to be hawkish because unemployment"
"KCeUwWuCllw","193800","198800"," is still under that 4% level, which is, quote, politically acceptable."
"KCeUwWuCllw","198880","203600"," Speaking of politics, I've heard in a lot of, you know, cocktail conversations,"
"KCeUwWuCllw","203600","206760"," well, Powell's going to cut rates more and he's going to do it faster next year"
"KCeUwWuCllw","206760","209720"," because he doesn't want Trump to get elected again."
"KCeUwWuCllw","209720","212400"," I know that the Fed is very apolitical."
"KCeUwWuCllw","212400","214000"," They would never do anything like that."
"KCeUwWuCllw","214000","219760"," But there is an election and an election economy to be considered of whether you're"
"KCeUwWuCllw","219760","221320"," going to try it to Fed policy or not."
"KCeUwWuCllw","221320","224520"," And I do wonder how that's going to impact the markets next year."
"KCeUwWuCllw","224520","231520"," The Fed is a creature of Congress, created by the Federal Reserve Act."
"KCeUwWuCllw","231520","236520"," Congress can take away any of the powers of the Fed it wants to."
"KCeUwWuCllw","236520","239520"," And so, you know, they've got to be conscious."
"KCeUwWuCllw","239520","243520"," And truth be known, don't forget they still have a dual mandate."
"KCeUwWuCllw","243520","245520"," It's not just inflation."
"KCeUwWuCllw","245520","248520"," It is inflation and employment."
"KCeUwWuCllw","248520","252520"," So it isn't like he's abdicating all his responsibility."
"KCeUwWuCllw","253520","258520"," And when we take a look at commodity prices, as you mentioned earlier, going down,"
"KCeUwWuCllw","258520","264520"," I guess it's going to be some stubborn parts of inflation and core inflation that are going to continue."
"KCeUwWuCllw","264520","267520"," But, you know, if you'd ask the American public, what would you rather have, you know,"
"KCeUwWuCllw","267520","272520"," 1% left on the core over the next year or another half a million million people unemployed,"
"KCeUwWuCllw","272520","274520"," you know, I think the choice is clear."
"KCeUwWuCllw","274520","277520"," And I think he has to recognize what that choice is."
"KCeUwWuCllw","277520","281520"," So you think the market, which is now expecting 100 basis points of cuts,"
"KCeUwWuCllw","281520","288520"," no matter what the Fed forecasts in its dot plot this week, is more correct?"
"KCeUwWuCllw","288520","289520"," Well, take a look."
"KCeUwWuCllw","289520","297520"," You know, 12 weeks ago in September, a majority of the FOMC said we're going to have another race by December,"
"KCeUwWuCllw","297520","298520"," by this week."
"KCeUwWuCllw","298520","300520"," And now that was wrong."
"KCeUwWuCllw","300520","302520"," And that was just three months ago."
"KCeUwWuCllw","302520","307520"," So, you know, we're all going to take a look and shudder at, oh, my God,"
"KCeUwWuCllw","307520","310520"," they're only predicting two cuts or one part or three cuts."
"KCeUwWuCllw","310520","315520"," But the truth of the matter is, you know, do you think they're going to get it right over 12 months"
"KCeUwWuCllw","315520","319520"," when they got so wrong over the last three months?"
"KCeUwWuCllw","319520","322520"," You know, I want to talk to you about something away from the markets."
"KCeUwWuCllw","322520","327520"," But since you're at Wharton, the Liz McGill resignation, the Penn president,"
"KCeUwWuCllw","327520","331520"," which developed over the weekend, I'm curious what your reaction is to it,"
"KCeUwWuCllw","331520","333520"," which is the chair of the board stepping down."
"KCeUwWuCllw","333520","334520"," Yeah."
"KCeUwWuCllw","334520","338520"," I mean, I really, you know, I was very upset by the response."
"KCeUwWuCllw","338520","340520"," I think everyone was."
"KCeUwWuCllw","340520","342520"," I mean, it was more than tone death."
"KCeUwWuCllw","342520","347520"," I mean, she was given several chances to say genocide is unacceptable."
"KCeUwWuCllw","347520","348520"," I'm not in contact."
"KCeUwWuCllw","348520","353520"," And, you know, when you say that, I see no way to survive."
"KCeUwWuCllw","353520","355520"," You have to go on."
"KCeUwWuCllw","355520","359520"," I'm not going to speak to Harvard, you know, I'm not at Harvard or MIT."
"KCeUwWuCllw","359520","364520"," But it is a problem that has been encroaching the good,"
"KCeUwWuCllw","364520","366520"," elite universities for a long time."
"KCeUwWuCllw","366520","369520"," And, you know, I think they've been called on it."
"KCeUwWuCllw","369520","371520"," You think something deeper is broken?"
"KCeUwWuCllw","371520","374520"," I mean, it's a step to see her resigning."
"KCeUwWuCllw","374520","376520"," But I'm curious."
"KCeUwWuCllw","376520","385520"," I think the problem has gotten a lot worse over the last, you know, five, ten years."
"KCeUwWuCllw","386520","389520"," There is certain speech that's politically acceptable."
"KCeUwWuCllw","389520","391520"," Other speech that is not."
"KCeUwWuCllw","391520","398520"," And they don't, you know, you have to have a consistent policy on it."
"KCeUwWuCllw","398520","405520"," And, you know, maybe this will jolt the universities back into what they should have always been doing."
"KCeUwWuCllw","405520","407520"," I hope so, in any case."
"KCeUwWuCllw","407520","409520"," Professor Siegel, it's David."
"KCeUwWuCllw","409520","411520"," Do you see a change in the classroom?"
"KCeUwWuCllw","411520","414520"," Do you think twice before you say certain things or no?"
"KCeUwWuCllw","415520","418520"," I retired from active teaching two years ago."
"KCeUwWuCllw","418520","421520"," So I still do special programs at Penn."
"KCeUwWuCllw","421520","426520"," But, you know, I have not seen any changes in the classroom."
"KCeUwWuCllw","426520","439520"," But, and particularly, warden was not as affected as the other parts of the university in terms of, you know, what you could say, what you could not say."
"KCeUwWuCllw","440520","447520"," How we felt it was a little bit freer than perhaps other divisions of the university."
"KCeUwWuCllw","447520","451520"," Professor, I appreciate you entertaining those questions with a thoughtful response."
"KCeUwWuCllw","451520","453520"," Definitely a big topic of discussion over the weekend."
"KCeUwWuCllw","453520","454520"," We'll talk soon."
"KCeUwWuCllw","454520","455520"," Jeremy Siegel."
"KCeUwWuCllw","455520","456520"," Thank you."
"KCeUwWuCllw","456520","459520"," As we had to break our roadmap for the rest of the hour."
"KCeUwWuCllw","459520","464520"," Yield's pushing back higher today, what the bond market is expecting from the Fed, inflation, and rates."
"KCeUwWuCllw","465520","467520"," Plus big farmers fight against fraud."
"KCeUwWuCllw","467520","469520"," The big money that's involved and who's at risk."
"KCeUwWuCllw","469520","470520"," Got some details this hour."
"KCeUwWuCllw","470520","474520"," And after the break, an exclusive that you're not the one to want to miss."
"KCeUwWuCllw","474520","479520"," Delta CEO at Bastion will join us live from the Hope Global Forum in Atlanta."
"KCeUwWuCllw","479520","483520"," We have a lot more squawk on the street for you straight ahead."
