"id","start","end","text"
"KwoWW8RhjI4","0","14000"," That's if it works."
"KwoWW8RhjI4","14000","19000"," Boom."
"KwoWW8RhjI4","19000","21000"," Let's see if he can raise in here."
"KwoWW8RhjI4","46280","48280"," Oh yeah, someone's in here."
"KwoWW8RhjI4","49000","50000"," Sweet."
"KwoWW8RhjI4","50000","52000"," What up?"
"KwoWW8RhjI4","52000","54000"," What up, brothers?"
"KwoWW8RhjI4","54000","57000"," What up, Emerson?"
"KwoWW8RhjI4","57000","59000"," Let's turn that shit off."
"KwoWW8RhjI4","59000","61000"," Let's get rolling."
"KwoWW8RhjI4","64000","66000"," How's everybody doing? Welcome back."
"KwoWW8RhjI4","66000","69000"," Oh yeah, I got some work to do here for sure."
"KwoWW8RhjI4","69000","71000"," So some of your..."
"KwoWW8RhjI4","71000","74000"," Some of your stuff is cut off here."
"KwoWW8RhjI4","74000","75000"," Let's see if I can..."
"KwoWW8RhjI4","75000","78000"," Yeah, I can see what you're talking about now."
"KwoWW8RhjI4","80000","81000"," All right."
"KwoWW8RhjI4","81000","84000"," God, I don't know if I'm from the right place over here."
"KwoWW8RhjI4","84000","86000"," Maybe I should have brought something up."
"KwoWW8RhjI4","86000","88000"," We'll bring this up first."
"KwoWW8RhjI4","88000","90000"," Oh yeah."
"KwoWW8RhjI4","90000","93000"," Oh, we'll leave that up right there."
"KwoWW8RhjI4","93000","95000"," We'll start with this."
"KwoWW8RhjI4","95000","97000"," How's everybody doing?"
"KwoWW8RhjI4","97000","101000"," How's the yes?"
"KwoWW8RhjI4","101000","104000"," It's going to be good."
"KwoWW8RhjI4","104000","106000"," I got that."
"KwoWW8RhjI4","106000","108000"," You guys see that beautiful camera over there?"
"KwoWW8RhjI4","108000","110000"," See that thing over there?"
"KwoWW8RhjI4","110000","112000"," That's pretty nice."
"KwoWW8RhjI4","112000","116000"," I know it's been weeks."
"KwoWW8RhjI4","116000","119000"," This has been nothing but a nightmare."
"KwoWW8RhjI4","119000","122000"," Without a doubt."
"KwoWW8RhjI4","122000","125000"," I'll leave some of these streams up here for you."
"KwoWW8RhjI4","125000","130000"," How's everybody doing out there?"
"KwoWW8RhjI4","130000","132000"," Everybody's coming in right now."
"KwoWW8RhjI4","132000","134000"," Good to see everybody."
"KwoWW8RhjI4","134000","136000"," Yeah, we're going to be getting..."
"KwoWW8RhjI4","137000","138000"," We're going to be getting..."
"KwoWW8RhjI4","138000","140000"," We get a lot of shit coming through here."
"KwoWW8RhjI4","140000","141000"," It's going to be badass."
"KwoWW8RhjI4","141000","143000"," You guys are going to be stoked."
"KwoWW8RhjI4","143000","146000"," I'm going to put a live stream inside of the discord"
"KwoWW8RhjI4","146000","152000"," with the flow algo in there."
"KwoWW8RhjI4","152000","155000"," How's everybody doing?"
"KwoWW8RhjI4","155000","157000"," What just happened with the mix?"
"KwoWW8RhjI4","157000","159000"," Yeah, we should be selling off here just so you know."
"KwoWW8RhjI4","159000","162000"," We'll talk about that here in just a minute."
"KwoWW8RhjI4","162000","164000"," We should be right around here."
"KwoWW8RhjI4","164000","169000"," 28, 74, pretty decent place to sell off."
"KwoWW8RhjI4","169000","173000"," 4300, pretty decent place to sell off."
"KwoWW8RhjI4","173000","174000"," And we'll talk about it."
"KwoWW8RhjI4","174000","175000"," This is dispersion, right?"
"KwoWW8RhjI4","175000","177000"," This is what you call dispersion."
"KwoWW8RhjI4","177000","179000"," We have accumulation."
"KwoWW8RhjI4","179000","182000"," And then we've got the rise in price."
"KwoWW8RhjI4","182000","185000"," And then we're going to distribute it."
"KwoWW8RhjI4","185000","189000"," Even if we're continuing to go up, we're going to distribute it."
"KwoWW8RhjI4","189000","192000"," And then we'll make our next leg up if we continue to go up."
"KwoWW8RhjI4","192000","194000"," If not, and we start to roll the market over,"
"KwoWW8RhjI4","194000","199000"," then we'll turn that off."
"KwoWW8RhjI4","199000","202000"," And let me get to the live stream here."
"KwoWW8RhjI4","202000","204000"," It's kind of the same thing, right?"
"KwoWW8RhjI4","204000","205000"," But I'm going to switch this."
"KwoWW8RhjI4","205000","208000"," I want to talk to you guys about something, okay?"
"KwoWW8RhjI4","208000","209000"," Everything looks more clear."
"KwoWW8RhjI4","209000","211000"," Oh yeah, this should be dopeness now."
"KwoWW8RhjI4","211000","214000"," Like pure dopeness, there shouldn't be any more problems at all."
"KwoWW8RhjI4","214000","216000"," I shouldn't ever have any..."
"KwoWW8RhjI4","216000","218000"," If you guys are lagging at all right now,"
"KwoWW8RhjI4","218000","221000"," you guys can speed up your stream until you catch up."
"KwoWW8RhjI4","221000","224000"," And there should only be a delay of seconds."
"KwoWW8RhjI4","224000","226000"," Just press fast forward."
"KwoWW8RhjI4","226000","229000"," My voice will get weird for about 15 seconds."
"KwoWW8RhjI4","229000","232000"," And then the Vuo voice will smooth right out for you."
"KwoWW8RhjI4","232000","235000"," And you'll be just a few moments behind me."
"KwoWW8RhjI4","235000","238000"," Okay, it's almost like a real true live live stream."
"KwoWW8RhjI4","238000","240000"," So we're going to catch a little bit of a bit here."
"KwoWW8RhjI4","240000","242000"," We're going to talk about something real quick."
"KwoWW8RhjI4","242000","244000"," I don't know what positions are in out there."
"KwoWW8RhjI4","244000","247000"," But it's probably important for us to go through"
"KwoWW8RhjI4","247000","248000"," at this point today."
"KwoWW8RhjI4","248000","250000"," This is from this morning."
"KwoWW8RhjI4","250000","252000"," I was at all the volatile overnight session"
"KwoWW8RhjI4","252000","254000"," with futures currently trading at 40."
"KwoWW8RhjI4","254000","256000"," That was this morning, right?"
"KwoWW8RhjI4","256000","258000"," We looked for elevated volatility to continue"
"KwoWW8RhjI4","258000","261000"," as long as the S&P is under the 4300 strike."
"KwoWW8RhjI4","261000","263000"," There's a way to key into this right here."
"KwoWW8RhjI4","263000","266000"," As long as you're under 4300, we got volatility, baby."
"KwoWW8RhjI4","266000","269000"," Resistance lines appear at 4249, right?"
"KwoWW8RhjI4","269000","272000"," And we remember we opened this morning right here,"
"KwoWW8RhjI4","272000","274000"," and we traded above it, and we melted up all day long,"
"KwoWW8RhjI4","274000","277000"," and we're getting close to that 4300, okay?"
"KwoWW8RhjI4","277000","280000"," Support actually still lies down below at 4200,"
"KwoWW8RhjI4","280000","284000"," and believe it or not, true support's at 4076."
"KwoWW8RhjI4","284000","287000"," So we haven't even bypassed 4300 yet."
"KwoWW8RhjI4","287000","291000"," And until we get past 4300, find some support,"
"KwoWW8RhjI4","291000","294000"," we can't break past volatility, okay?"
"KwoWW8RhjI4","294000","298000"," So if you want to be bullish, it's over 4300."
"KwoWW8RhjI4","298000","301000"," As we approach 4300, you take your winnings, right?"
"KwoWW8RhjI4","301000","302000"," You take your money off the table,"
"KwoWW8RhjI4","302000","307000"," and you wait for the banks again to trade us higher, right?"
"KwoWW8RhjI4","307000","310000"," And this is also another spot that you put some protection"
"KwoWW8RhjI4","310000","312000"," on into the market, if you're a bear,"
"KwoWW8RhjI4","312000","315000"," this is where you want to lean into the market"
"KwoWW8RhjI4","315000","318000"," to trade us down to 4000, right?"
"KwoWW8RhjI4","318000","320000"," 76, and we're going to look at something here in just a minute."
"KwoWW8RhjI4","320000","322000"," That's important for you bulls out there that are saying,"
"KwoWW8RhjI4","322000","324000"," oh, fuck no, we're going higher here."
"KwoWW8RhjI4","324000","326000"," I got something to show all of you guys out there"
"KwoWW8RhjI4","326000","327000"," I want to talk to you guys about."
"KwoWW8RhjI4","327000","329000"," Some of you probably know about this,"
"KwoWW8RhjI4","329000","331000"," but it came up yesterday."
"KwoWW8RhjI4","331000","333000"," We flashed a crash yesterday,"
"KwoWW8RhjI4","333000","337000"," and the markets reaction this morning is not unexpected,"
"KwoWW8RhjI4","337000","342000"," and even in the crash being flashed,"
"KwoWW8RhjI4","342000","347000"," it's kind of mimics what happens in these movements, okay?"
"KwoWW8RhjI4","347000","350000"," Right where we are right now, we should see high volatility"
"KwoWW8RhjI4","350000","355000"," because of the market crash flashing, right?"
"KwoWW8RhjI4","355000","358000"," We should have swings that are violent up"
"KwoWW8RhjI4","358000","360000"," because we're going to probably most likely,"
"KwoWW8RhjI4","360000","364000"," but a high probability of some serious downward moves."
"KwoWW8RhjI4","364000","366000"," I know this sounds uber bearish,"
"KwoWW8RhjI4","366000","367000"," and the day's been super happy,"
"KwoWW8RhjI4","367000","369000"," and everybody's all stoked out there."
"KwoWW8RhjI4","369000","370000"," I'm going to show you a couple of things, okay?"
"KwoWW8RhjI4","370000","372000"," I want you guys to key into."
"KwoWW8RhjI4","372000","375000"," Like yesterday, the key range is framed by the large interest"
"KwoWW8RhjI4","375000","377000"," at 4,000 and 4,300, right?"
"KwoWW8RhjI4","377000","380000"," They want to burn all these puts down here at 4,000."
"KwoWW8RhjI4","380000","382000"," We know that as well, right?"
"KwoWW8RhjI4","382000","384000"," We look for volatility to reduce."
"KwoWW8RhjI4","384000","388000"," In between that range, we expect price action to remain fluid."
"KwoWW8RhjI4","388000","391000"," If markets get above 4,300 look for volatility to reduce, right?"
"KwoWW8RhjI4","391000","395000"," That would mean that you're going to then pick up this trade above 4,300"
"KwoWW8RhjI4","395000","396000"," if you're a bull."
"KwoWW8RhjI4","396000","399000"," But until then, you're going to take the money off the table, okay?"
"KwoWW8RhjI4","399000","404000"," We also see 4,400 as major resistance, right, into 3,16."
"KwoWW8RhjI4","404000","407000"," So if we get over 4,300, what do you do?"
