"id","start","end","text"
"L2ciyhZCwrM","0","9280"," Hey, traders, Kevin Jim James here with your daily brief for the week of August 23, 2021."
"L2ciyhZCwrM","9280","13360"," We are going to get started right away with the economic calendar that's upcoming for"
"L2ciyhZCwrM","13360","14360"," this week."
"L2ciyhZCwrM","14360","20240"," We have PMI numbers coming out on Monday, new home sales on Tuesday, durable goods on"
"L2ciyhZCwrM","20240","21240"," Wednesday."
"L2ciyhZCwrM","21240","26560"," And then we've got good old initial claims and continuing claims coming out on Thursday"
"L2ciyhZCwrM","26560","27560"," over here."
"L2ciyhZCwrM","27560","31880"," And on Friday, we've got a whole bunch of inflation stuff, personal income, consumer"
"L2ciyhZCwrM","31880","37440"," spending, the PCE, and then we've got the consumer sentiment index out of the University"
"L2ciyhZCwrM","37440","38440"," of Michigan."
"L2ciyhZCwrM","38440","45120"," All of this lines up with the Jackson Hole Symposium that begins on Thursday, Friday,"
"L2ciyhZCwrM","45120","47720"," to lead into a lot of volatility this week."
"L2ciyhZCwrM","47720","51000"," The volatility gang is kind of banking on this."
"L2ciyhZCwrM","51000","56360"," We did have some other news come out towards the end of last weekend over the weekend that's"
"L2ciyhZCwrM","56440","61120"," putting a slight damper on this volatility that we're expecting, and especially on the"
"L2ciyhZCwrM","61120","63960"," plans of dumping this market completely."
"L2ciyhZCwrM","63960","68720"," The one thing I want to talk about quickly is if you're a new trader, seasonally, this"
"L2ciyhZCwrM","68720","72240"," is when we start to close our long positions."
"L2ciyhZCwrM","72240","77560"," We start taking longs in March and May, and we hold them through the summer months into"
"L2ciyhZCwrM","77560","80120"," the end of August and September."
"L2ciyhZCwrM","80120","81880"," We start to de-risk."
"L2ciyhZCwrM","81880","84280"," So you're going to hear two things happening."
"L2ciyhZCwrM","84440","89120"," First, the bears have to be right at least once a year, if not twice."
"L2ciyhZCwrM","89120","93040"," So they are going to start to talk about market, doom and gloom."
"L2ciyhZCwrM","93040","98440"," They're going to talk about how this is the top and how we're going to have, I don't"
"L2ciyhZCwrM","98440","101600"," know, the face ripping, Armageddon."
"L2ciyhZCwrM","101600","104680"," You'll hear that every single year right around this time."
"L2ciyhZCwrM","104680","106240"," So they have to be right."
"L2ciyhZCwrM","106240","110680"," They'll say this is what proves that I'm right, and then you'll fall into the bear trap of"
"L2ciyhZCwrM","110680","112760"," we're going to decline further."
"L2ciyhZCwrM","112800","117800"," Now, you'll also start to hear bull saying, is this a bull trap?"
"L2ciyhZCwrM","117800","123960"," And the reason you're hearing that is because longtime investors want the market to go"
"L2ciyhZCwrM","123960","124960"," down."
"L2ciyhZCwrM","124960","131600"," So we've always spoken here about de-risking ourselves from the market at this point."
"L2ciyhZCwrM","131600","137360"," You should have no more long stock positions than big tech and companies like that that"
"L2ciyhZCwrM","137360","142680"," have gone up all year long, especially companies that have gone up all year long."
"L2ciyhZCwrM","143640","147560"," So if you are still in those positions, I don't know what to say to you at this point."
"L2ciyhZCwrM","147560","149800"," I got nothing else to say to you."
"L2ciyhZCwrM","149800","157880"," Even myself, it would be nice to see tapering rate increases coupled with a seasonal decline"
"L2ciyhZCwrM","157880","160680"," in the market so we can wrap them both up at once."
"L2ciyhZCwrM","160680","165840"," We won't get a Black Swan event next year or the year after so that we can buy cheap"
"L2ciyhZCwrM","165840","168440"," and go long once again, once spring comes."
"L2ciyhZCwrM","168440","172160"," So I think that's what the bull trap might be talked might be about."
"L2ciyhZCwrM","172160","173160"," That's two-sided."
"L2ciyhZCwrM","173160","177160"," You've got bulls that want the market to go down and you've got bears that want the market"
"L2ciyhZCwrM","177160","178160"," to go down."
"L2ciyhZCwrM","178160","180760"," Now, the only issue in this is timing."
"L2ciyhZCwrM","180760","185560"," The banks, the institutions do not want you to make money."
"L2ciyhZCwrM","185560","187920"," They want themselves to make money."
"L2ciyhZCwrM","187920","192080"," So if you're a bear, you have to time the market to climb."
"L2ciyhZCwrM","192080","193640"," Does it happen all at once?"
"L2ciyhZCwrM","193640","194640"," Probably not."
"L2ciyhZCwrM","194640","200480"," Will they have moments where it springs back up to catch people wanting to go long?"
"L2ciyhZCwrM","200480","206000"," And also, is there money to be made in there or do people not get the gains they were"
"L2ciyhZCwrM","206000","207000"," promised?"
"L2ciyhZCwrM","207000","211560"," So if you were a long apple and you said, I left too early, I went up to 170."
"L2ciyhZCwrM","211560","215200"," There was still too much risk for you to hold into 170."
"L2ciyhZCwrM","215200","217840"," The prudent thing to do would be to sell out of that position."
"L2ciyhZCwrM","217840","224200"," Well, that doesn't mean you can't play the runs between now and when the market actually"
"L2ciyhZCwrM","224200","228760"," declines and that will lead us into some other talk."
"L2ciyhZCwrM","228760","235440"," You know about Kaplan coming out and saying that he was open to more quantitative easing."
