"start","end","text"
"60450","62070"," Check 1-2 check."
"65730","66830"," Let's go around here."
"74510","75450"," Subscribe. "
"84430","84430"," Weird."
"111560","112460"," Alright."
"114780","116120"," Almost there. "
"117820","119540"," At least we're getting there."
"121260","123340"," I'll put a, uh, start a poll out there."
"126560","127539"," Will we get?"
"129460","130620"," It's an interesting morning. "
"136540","137660"," Will we get?"
"148460","149200"," Yes, no?"
"149780","150300"," No, okay."
"152940","153920"," Alright, turn that off."
"154140","154620"," Good morning, everybody. "
"154900","155660"," Hope you all had a great weekend."
"155780","156160"," Happy holidays."
"157260","163340"," And all I got, uh, was out with my wife this weekend doing some last minute stuff. "
"165720","170700"," Kids were all running around, family friends all around, so happy holidays to you."
"172180","173880"," Got some weirdness going on this morning."
"175220","177620"," Okay, let's go through some stuff. "
"177780","179540"," I hope I came on a slightly early."
"180300","186140"," We've got some stuff to talk about."
"186140","187000"," Oh, hold on a second. "
"187160","187880"," I got one more thing to do."
"191720","194080"," Never, never, never ends."
"194280","194600"," Does it?"
"195020","196180"," Weirdness going on this morning. "
"196580","197080"," Oh, hold on."
"197160","197760"," I got echo now."
"198960","200220"," I hope you link address. "
"203100","204700"," It's kind of weird hearing myself speak."
"223840","226260"," You know, this weekend, I heard the news."
"228920","230960"," From, uh, Elon. "
"232260","233580"," Let's see, uh."
"248530","252370"," I spent this weekend with some developers."
"254350","261210"," Because, uh, I'll bring this up for you, but you probably don't need to know too much about this. "
"261290","263830"," You probably do know something about this over the weekend."
"266790","271370"," Uh, you know, Twitter users will no longer be able to link to certain rival social media websites,"
"271370","275770"," including what the company describes Sunday as prohibited platforms, Facebook, Instagram, Mastodon."
"275770","279830"," He didn't, he didn't say there's some other ones that he listed. "
"280990","282250"," They didn't say YouTube."
"283310","286290"," So, but I know that some people had come out and talked about it."
"286430","288010"," So it was like panic weekend. "
"288870","290710"," Uh, we keep most of our content."
"291670","294110"," Uh, on Captain James.com."
"295370","301430"," For this reason, uh, if you've become de-platformed or if you, uh, if the, if the platform itself"
"301430","301970"," closes."
"301970","307820"," Uh, so we'll probably stop linking to live streams at some point. "
