"start","end","text"
"71240","72040"," Good morning."
"91300","92300"," Oh, yeah, baby."
"102290","126000"," We're doing this Running"
"126000","135930"," a little bit late this morning Got a lot going on for you guys today Have a lot to"
"135930","147380"," cover All right, boom sharing a screen there Close"
"147380","153900"," that off Okay, we've got Good options. "
"154340","156400"," If you guys are just joining us for the first time this morning."
"156480","162760"," We've got um, joyous and discord Where you can follow along with live options flow from Plurago"
"166080","166840"," Return this down."
"166840","167520"," We had a lot to go over. "
"167620","167760"," We got it."
"167800","170900"," We don't have a lot of time this morning Go turn this down."
"171020","172040"," We're gonna get right into it. "
"172240","175880"," Uh, so you guys are prepared for the open because the important day The open this morning is"
"175880","185220"," important And what you're positioning is We have a lot to talk about today Uh, so just on the"
"185220","186160"," economic counter real quick."
"186600","195640"," We have Chicago PMI That was the Friday the 29th We have Chicago PMI still out there for 945."
"196020","201640"," We've got University of Michigan consumer sentiment at 10 a.m These can lend some volatility in the"
"201640","207420"," beginning of the morning Also, we know it's end of month, right And we know the past couple months"
"207420","208020"," end of month. "
"208280","214300"," We've just burned it to the ground Uh, except for I think January we cranked it And that's the"
"214300","215100"," implication this month."
"215300","220640"," That's the question is do we crank it up end of month Put the window dressing on Or do we"
"220640","227600"," still have the looming debt crisis in Russia and of course FOMC meeting Coming on the fourth just"
"227600","230700"," note here that Uh, it's 29th, right?"
"230840","231280"," It stays Friday."
"231660","237780"," We've got I think two or three more sessions Until the fourth and fifth We'll take a look at that"
"237780","242040"," real quick on the bottom right hand side Say you got you get thursday the third and then we"
"242040","246480"," literally have literally have uh, one two sessions And then we get FOMC. "
"246660","251960"," So not so we're gonna have some compression in here Heading into that into that time period, right?"
"252620","259380"," Next week we've got uh PMI and monday Manufacturing index index construction spending Job openings"
"259380","266060"," quits and then the fourth, you know, adp Right you're gonna get we know they heading into monday"
"266060","272100"," tuesday wednesday that we are going to get Uh, you know that that drift sideways and down just"
"272100","278400"," expect it into Uh, the fourth right that sideways trap trade and then you you're just trading"
"278400","283820"," slowly down You know, it's kind of weird too It puts print to an extent but not really what they're"
"283820","290580"," really doing is teasing you in heading into FOMC And then they promise that they'll print for you"
"290580","295180"," and we all know what happens and we'll check that side of the trade Whenever the FOMC comes around"
"295960","300460"," We always see where everyone's positioned if everyone's positioned short this market."
"300780","304080"," We usually rip higher And we'll we'll that over the weekend."
"304220","307980"," We'll talk about or maybe today if it's slow enough at any point We'll talk about what the"
"307980","313240"," expectations are for next week with FOMC Now, uh, we haven't been doing the spot cam report. "
"313480","318040"," We're going to do it this morning seems like it's important And sustained rally is unlikely to"
"318040","319820"," record our current till May 4th."
"319840","320340"," Keep that in mind."
"320360","325880"," Okay, which holds uh FOMC and Russian default duties events volatility Uh, e-large puts are"
"325880","327600"," unlikely to be meaningfully sold. "
"327940","333100"," They're going to hold on to these no matter what these are large These are large uh holders of"
"333100","337160"," underlying Stock securities in our market, right?"
"337380","340400"," They own the spy This isn't you or I or some of that's a million."
"340400","345300"," These are billionaires are big banks This prevents an extended rise in equities a break of 420"
"345300","351440"," invokes our lower bound concept valid into Without keep the remember this part right here, right?"
"351840","354000"," Lower bound concept valid into five four."
"354160","357880"," We see substantial long-term sport at four visits four zero five zero down here. "
"358060","363800"," Okay Due to large open interest at four thousand That means there's buyers down there saying hey"
"363800","364320"," come to me."
"364640","369500"," This is where i'll buy it There's not a bunch of buyers saying i'm going to buy it."
"369580","376580"," Well, they were yesterday Uh, we blasted off yesterday futures are near 40 42 42 down from"
"376580","382220"," overnight highs of 42 80 Volatility estimates for today hold there 1.13 percent in line with that"
"382220","390200"," of recent days support shows at 42 10 So four two one zero to 4200 Resistance shows at 42 85. "
"390540","391980"," That's a ball trigger today."
"392080","398800"," Keep that in mind and then 4300 That's that escape velocity that bulls are looking for."
"399180","406760"," We also know at 330 and twos Yesterday we saw heavy call volumes at 43 or 4300 and 430 and"
"406760","413240"," put volumes in 420 Position for today's exploration seems rather concentrated in the four two five"
"413240","420480"," zero forty three hundred area as shown below the light gray area Okay, so the concentrations are"
"420480","426460"," down in between 420 and 430 We give a slight edge to markets closing in this range, but a break"
"426460","433460"," of 42 50 implies a close of 4200 This is a key Key metric for you to be watching this"
"433460","437280"," morning This is why you should be showing up in the morning is because of stuff like this right"
"437280","437500"," here. "
"437720","442640"," Okay Zooming out the game of ping pong continues largely as anticipated as we've outlined"
"442640","449480"," volatility and foot positioning appears Maxed out right greater or equal to 4200 But we cannot have"
"449480","455580"," or at least a vivy lower until five four events pass FMC Russian default therefore equity rallies"
"455580","458360"," are framed As short covering note on this too."
"458700","464520"," There are some shit bags out there in mainstream media Trying to raise china now, right?"
"465060","470320"," They want to keep this market fucking pinned even after FMC Therefore equity relays are framed as"
"470320","474520"," short covering and subject to quick and violent reversals Supporting this idea our here are"
"474520","479520"," indicators yesterday Or readings revealed traders elected to sell calls and by puts as the market"
"479520","485920"," moved into 4300 I posted on twitter yesterday said to you you can see that there's uh protective"
"485920","490660"," foot buying and set call selling right now In the market as we had headed up or started to head"
"490660","497360"," up towards 4300 You watched us roll over yesterday as he traded towards 4300 This suggests"
"497360","505140"," increased resistance Now add greater than or equal to 4300 We are increasingly warming up the idea"
"505140","510680"," of a post FOMC rally based on positioning instead of you into FOMC events Is that it releases event"
"510680","511260"," volatility?"
"511960","516340"," Which is supportive for markets further it appears that would mean that we need volatility to go up"
"516340","523020"," heading into FOMC right Further it appears the traders are underpricing right tail risk key point"
"523020","529300"," here Shown below is VIX options positioning you may note that call options interest blue is at"
"529300","533740"," highs rivalling march of 20 Okay, you can see it right down in here."
"533800","538680"," I think you can see it right down in here Right there at highs right now You can see it"
"538680","539900"," up in here as well, right?"
"541700","546740"," This makes sense given the environment VIX pushing one-year highs however, but open interest red"
"547360","548120"," Right here. "
"548280","554620"," This is the key part Is that lows which suggests that short ball crowd is sitting this one out?"
"556380","558420"," IE right today at this moment."
"558740","560960"," There's no ball crowds crowd saying fuck that."
"561120","564080"," We're not getting any volatility heading in the fourth We're in volatility. "
"564660","570100"," I am long volatility here even at 30 bucks It was only a few months ago that many traders will"
"570100","575280"," be jumping all over the opportunity to short ball We also see and that's a key point, right?"
"575440","582580"," You're gonna be looking for Four put positions involved coming up in the coming days When you start"
"582580","589060"," to see those put positions roll in you should see the market begin to roll higher So keep your eyes"
"589060","591240"," out on uvxy put stuff like that."
"591360","594260"," We also see put heavy readings in most single stocks."
"594560","601620"," That's this is no good Not when you see individual tickers that are put heavy and the indexes with"
"601620","606520"," what looks like anemic called man This point below is arrogant call put gamma for stocks and the sp"
"606520","612860"," 500 as you can see Put gamma red is increasing while call gamma green holds there one year lows If"
"612860","618320"," you flip through any of the major tech names and equity hub you'll see that put gamma is greater is"
"618320","624420"," greater than call gamma in all major names Okay, if the fed comes in with a neutral to less hot"
"624420","628600"," less hawkish stance and rush default issue does not flare up That could lead to a rather"
"628600","629240"," significant rally. "
"629620","633340"," We also feel that because the market is put heavy Invicts is so elevated."
"634000","639540"," The bar is set pretty high for an equities upset When ivy is so high it takes increasingly larger"
"639540","644120"," underlying moves for options to pay off We think it would take a true credit event for a massive"
"644120","649180"," deviation from fed expectations to bring another leg down in stocks To make that elevated ivy"
"649180","654640"," payoff keep in mind we hold short term views here generally in the longer than 30 days One admin"
"654640","659320"," though Now they're posting a video the tran or full transcript of the q&a session I'll try to find"
"659320","669010"," that later today for you guys to see we can post that somewhere so It is"
"669010","679010"," 931 What is the key here this morning knowing that right Key here and you can see it right"
"679010","686770"," here 4251 Well, you just see this right You don't want to be closing down below here this 4251"
"686770","695210"," right you wanted to open above here this morning at 4251 We did not right And you want the bulls"
"695210","702110"," to maintain this first of all you want to be maintaining at least this a larger channel here You"
