"start","end","text"
"130","4870"," Peter is provided to permit the projectionist to complete adjustment of focus and sound level"
"4870","6490"," before the film begins."
"63150","64370"," Check 1-2."
"71630","72350"," Good morning. "
"73690","74550"," Just a second here."
"78050","90360"," Hope you"
"90360","90980"," all had a great weekend."
"103820","105540"," Go right into it this morning. "
"106340","107720"," To me, just a second here."
"109380","111500"," I'm going to throw an ad in, so I apologize."
"111920","113540"," I should have done that earlier, but I didn't. "
"114860","120840"," I'm going to throw in just the beginning here."
"121400","122720"," All right, subscribers only."
"123780","124460"," Any duration. "
"126200","126680"," Save."
"128300","130580"," A bunch of wonky stuff I'm going to do here."
"130740","132100"," I'm running a little bit behind this morning. "
"136540","138200"," Good morning to all of you out there."
"139040","140260"," What is going on?"
"140880","141780"," It's like really weird."
"141780","144980"," I can't get top comments to go to any comments. "
"149560","150440"," Okay, whatever."
"150780","151280"," That's what it is."
"151780","152320"," There it is. "
"157750","158990"," News comments saved."
"159270","161050"," There's a ton of stuff I'm going to do in the background here."
"163570","168390"," What else is weird is that comments aren't coming up in the stream yet, and I don't know why that"
"168390","168950"," is either. "
"170150","171510"," Let me check that."
"172290","173470"," See what's going on with that."
"174230","175950"," Okay, it says it says it says it's above it. "
"176090","185530"," So we'll see if comments show up in the always show"
"185530","186230"," messages."
"187570","188130"," Hide delay."
"188510","189510"," I don't know what hide delay means. "
"194490","205340"," Save messages, turbo badges, chat box."
"205640","206340"," Let's see if that works."
"207160","216820"," I don't know why chat's not coming up. "
"217100","217820"," All right, we'll see why."
"221100","223840"," Still having some issues this morning, and I don't know why."
"227580","231500"," All right, so there's a little black box over here on the left hand side. "
"231700","236820"," Can you guys see comments on the left hand side of your screen for that black box is?"
"237940","246480"," I guess we'll let it keep doing its thing and see if it's a team clean hide delay."
"246640","247340"," Always show messages."
"248680","252460"," Hide delay, chat delay, same with message animations. "
"254180","256220"," I don't fucking know what I'm doing wrong here."
"258060","263000"," Text color is white font size background color."
"266580","267480"," Oh, there you go. "
"270220","271060"," Hold on here."
"271900","273060"," All right, hold on here."
"273900","275260"," Let me see what I'm doing wrong here. "
"285500","288900"," We got some chat box action going."
"289140","290920"," It looks like I got chat box action going."
"291160","292700"," Now, let me look at a bigger thing here. "
"294600","295740"," Oh, yeah, baby."
"295900","296820"," That looks like some chat box."
"296980","298580"," I can be wrong there, but it looks like it's rolling. "
"300400","301600"," Tell me I'm doing this right."
"303200","305320"," I think I got the chat box up."
"312380","313980"," Looks like a chat box rolling. "
"315140","318940"," We'll see how that thing works out this morning, see if it works or not, because I know some of"
"318940","323360"," you are not on a device where you can actually see the chat."
"324480","325860"," We'll see if this chat box works."
"327600","330040"," It looks like it's not rolling on my end. "
"331580","332500"," Hide delay."
"333040","334340"," I don't know what that means."
"335880","337260"," Always show messages. "
