"start","end","text"
"3780","9160"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"9160","10900"," before the film begins."
"176790","177630"," All right."
"178750","179950"," Roll that over there. "
"191130","191950"," Monday morning."
"192190","193870"," Nice day to let the market open up."
"193950","195070"," I almost came on late this morning. "
"196050","197850"," Well, I had some technical difficulties in the background."
"199470","204030"," No meetings, but the second reason would be to just let us open up on Monday."
"205090","205530"," Good morning. "
"205530","211130"," Have some supply down below some or excuse me, some demand down below some supply above kind of"
"211130","212310"," paint ponging around here."
"221500","224420"," See if you're a couple of things you got to do in the background here."
"226640","227300"," Good morning. "
"227300","227860"," How's everybody doing?"
"227900","228280"," Have a birthday."
"228380","231120"," Good to see you, brother."
"231880","233280"," We get a birthday over the weekend. "
"239560","241140"," We're going to come here."
"242800","250520"," So, as of as of Friday, just a few notes here for the market this morning."
"253780","257459"," Well, let me turn that back on. "
"258700","261019"," There are newsfeed going for you this morning."
"273340","279390"," So just for the open this morning, you can see over the weekend."
"280170","283030"," I didn't I left up these two little marks here. "
"284190","287990"," We talked about this yesterday on Friday."
"287990","293750"," I think on Friday's stream, I said to you, you know, would not surprise me to see us come up"
"293750","297110"," and sell off into today to the downside."
"299690","304250"," And that this channel right here, we put this channel in for you on Friday. "
"304890","307350"," And what I was looking for was into the minutes."
"308730","310290"," Some debt ceiling weakness."
"311950","317310"," Coming into this Wednesday here, not only weakness, but I like the idea of consolidation. "
"318730","325150"," I like the idea of consolidation taking time off this open."
"325530","327110"," It doesn't look like that, right?"
"327290","329350"," It looks like somebody delete this right now."
"329350","333970"," But you at least get the gist of it for today, right?"
"334230","335590"," And that's what we did to the weekend. "
"335590","341030"," So all the videos that are made over the weekend, all the craziness that was out there over the"
"341030","341590"," weekend again."
"342450","347350"," You know, what did it take us five minutes to go through this on Friday?"
"349050","351710"," And so we're right where we should be."
"354910","358350"," We know where real south side is, right?"
"358550","359530"," That's part of that conversation. "
"360490","366890"," So just up here, we knew that real cell side is somewhere up in here, right?"
"367890","371250"," Where the smart sellers are, you saw them step in again."
"372330","373230"," This morning, right?"
"373470","375270"," We're sitting right there."
"375430","376370"," They were sitting right here. "
"377170","379130"," You know, you get the young Jim Bros."
"379510","381230"," Then we've got the big, the old Jim Bros."
"381530","382130"," up here, right?"
"382310","388090"," Smart sellers are sitting above waiting to step in when it's appropriate, right?"
"388090","391170"," They're in this same appropriate place right here. "
"391530","392850"," Rimmick Herser is right here."
"393050","394690"," A node to the goat."
"396190","402690"," Right here is where they're stepping in before you even get to the open this morning. "
"402850","404490"," It's 9.20. I get 10 minutes to the open."
"405330","406610"," They're parked right here."
"407470","409370"," Right in pre-market. "
"409610","410830"," They want to send this back down."
"411630","415430"," We know we'll make a trip higher to close the gap from Friday."
"416370","418290"," This is what the bulls want, right?"
"419010","425030"," To get above and into that 4.20 and start trading that 4.20 to 4.30 zone. "
"426270","430270"," And cell side wants nothing more than a trap a bull on a Monday morning."
"431050","431970"," Send it lower."
"433270","435830"," You know, there's, you know, there's people out there. "
"436030","439610"," There are professionals out there that they want nothing better than to go back to like 360."
"441190","442670"," They missed the run in May."
"443010","444130"," They missed the run in October. "
"444130","446350"," They missed the run in December."
"446670","448230"," They missed the fucking run in March."
"449210","451990"," And now they want back in again all of a sudden. "
"452470","453570"," Move the goal posts."
"454290","455630"," No more 2,800."
"456290","457030"," No more 1,600. "
