"start","end","text"
"29180","30840"," All right, let's see if this is working."
"37140","38440"," Hey Ryan, can you hear me?"
"42140","43060"," Oh, yeah, baby."
"45760","48060"," Yeah, I've got a good morning. "
"48520","50120"," So I've got some issues this morning."
"50140","56080"," I have had a DMCA takedown notice on my account this morning."
"57980","60480"," Did you guys see that my account was locked on Twitter?"
"61400","63120"," Were you able to even see me this morning?"
"68260","74020"," Yeah, a DMC or something DMCA takedown notice of my accounts this morning. "
"74960","75820"," Not cool."
"77220","78340"," Whoever did that."
"80400","81140"," Beat it. "
"83120","84160"," Yeah, it's really weird."
"84280","88360"," I had a so I'm not going to do I didn't do an intro this morning."
"88880","91440"," I don't know if it was someone messing with me. "
"91900","93700"," Joe Donut said that this could happen to me."
"96760","97940"," So I either."
"98560","101820"," Well, I have a I had a DMCA takedown notice. "
"102060","103100"," I don't know what it was for."
"103580","105460"," So I skipped the intro this morning."
"105940","109100"," It's possible that it was the music I was using that it wasn't anything nefarious. "
"110680","113280"," But it locked me out of all my accounts this morning."
"114660","116520"," Yeah, DMCA or something like that."
"118520","121480"," So we're going to kind of do this more like a."
"122720","124020"," I have to keep the music out. "
"124420","125040"," I don't know."
"125260","126880"," It's weird because the music is licensed."
"128180","132540"," I don't know if it was just a robot on YouTube or because they got me on Twitter too. "
"133960","139520"," Had issues on YouTube this morning had issues on Twitter this morning."
"150520","154300"," Yeah, so I was locked out of my Twitter accounts locked out of my YouTube account this morning."
"154800","155820"," So no intro this morning. "
"155900","157520"," I got to figure out what it was for."
"158020","160560"," I haven't seen any notices inside my email yet."
"160880","162480"," Just like a lockout screens. "
"163180","164060"," That kind of stuff."
"166700","169140"," Yeah, we kind of we traded the exact way we thought right."
"169540","170960"," We slide right off this morning. "
"171540","172840"," We slid down right off the open."
"172840","174880"," We should trade sideways."
"175820","180600"," I do got do why you guys see that we are below resistance at this point. "
"190990","192450"," Yeah, Josh is still pissed."
"197230","197690"," Yeah."
"197790","198310"," Hey, Joe. "
"198910","199830"," I don't know if it's."
"200590","206610"," I don't know if I if someone reported me for the DMCA take down notice or if it was."
"208070","209570"," I don't know why I was taken down. "
"209570","211930"," So no intro this morning."
"212250","215010"," I have to take a look at it and find out exactly what is going on."
"215590","217030"," Look at how I got into trouble. "
"217250","219010"," What what I was using that got me into trouble."
"219430","225970"," I don't know if it was the the open the casino image or if it was the music."
"226370","229750"," The music is weird to because that was a that was a free use. "
"231330","236550"," Or if it was maybe the post that I made on Twitter using the movie."
"237630","240330"," Last time I posted something from apocalypse now."
"241330","242430"," I don't know if it was that. "
"242550","245930"," I don't know exactly how I got DMCA take downs this morning."
"252980","254000"," But I got to find out."
"254840","256339"," Or else they got to do this raw dog. "
"259560","261100"," Now this is important, right?"
"261480","262540"," You guys are looking at this right now."
"262580","264170"," This is not a good sign right here."
"264170","268810"," What was the last time we've seen something like this where we couldn't get above something for"
"268810","271150"," what we always seem to be sitting above some form of. "
"274690","275750"," Support, right?"
"276190","277810"," Right now we're just kind of playing around on."
"279830","280790"," The VWAP."
"282670","287030"," It's kind of odd because I've been watching the options chain this morning and that's not a pretty"
"287030","287810"," site either. "
"293040","299260"," And one of the things that keyed me in is I was looking at the 450 C's expiring today."
"301480","305480"," And even on the bounce up this morning, they were losing value."
"306800","308940"," Everyone is loaded up on puts right now. "
"310400","313500"," Everyone there's put flow out the air is right now."
"320240","321760"," You can't open your hair."
"322120","323980"," Bro, I got locked out of my accounts. "
"328080","329580"," Quinn, they got me, bro."
"330080","332640"," I don't know how they got me."
"332720","335400"," I don't know what it was exactly that locks me out of my accounts yet. "
"339750","346370"," But either someone was salty yesterday or maybe we had a few too many fans or something."
"346370","347770"," We have to make this live stream private."
"348250","353330"," I don't know exactly what we do to fix this, but what I wound up doing this morning was turning"
"353330","357530"," a bunch of shit off and had to reset my Twitter account, my YouTube account. "
"365210","366890"," Lone Wolf's like, don't leave me."
"367350","369930"," You know what else is worried about this too is I'm going to have to."
"370130","377470"," I was just talking about wife today because where I live once or twice a year, we also have"
"377470","379170"," internet downages for like a week. "
"380230","383970"," So I'm going to have to get like a hotspot or something like that just in case the internet ever"
"383970","384370"," goes down."
"385490","390450"," I need like a plan B and a plan C and I'm probably going to need to make an alt"
"390450","390730"," accounts."
"391050","396310"," What I'm going to do, I need to talk to you guys today about something is that there was a"
"396310","403230"," time last year where Quinn was locked out of his accounts and he had a backup account. "
"404190","410670"," So what I'm going to do is I'm going to do a third account, not at Captain's Alpha, not at"
"410670","411930"," Captain James."
"412970","415070"," I was locked out of my Captain James account this morning."
"415550","418550"," I'm not sure if I was locked out of at Captain's Alpha. "
"419610","425470"," So what I'm going to do is I'm going to make a third account with YouTube and Twitter and not"
"425470","428230"," use it, but I'm going to give you guys links to that stuff."
"428730","434990"," Or if I'm ever offline again, you guys just go to the website and I'll post wherever I'm streaming"
"434990","437530"," from or whatever in case I get this."
"437690","443090"," And in case this happens again, I'm assuming that somebody was salty, but it could have been"
"443090","444870"," anything could have been a bot out there. "
"445010","446070"," It might not have been somebody."
"449390","450490"," Yeah, I like Starlink."
"454530","456150"," Yeah, no, no big powder day. "
"456470","459950"," I was getting ahead of, I got locked out a bunch of counts this morning."
"462610","464430"," So we are moving up here to resistance."
"464850","466230"," This is concerning right here. "
"466670","469510"," Seeing something like this is pretty wild for me this morning."
"470650","472610"," We had that nice touch this morning too, didn't we?"
"472850","473910"," Bounced right down to 440."
"474850","476110"," So do you guys remember yesterday?"
"476810","480050"," When I said first stop 440, next stop 428. "
"480950","481910"," We tapped 440."
"482250","482690"," Congratulations."
"483350","484610"," Hopefully you guys took profit. "
"485490","488970"," The video last night, we talked about trading sideways."
"490570","493370"," This does look like a V shaped recovery, right?"
"493850","498010"," So I'm interested to see if we trade above this resistance."
"499250","506710"," If we don't trade above this resistance, the expectation would be just like back in March of 2020. "
"506710","508570"," We're going to resist here."
"508870","510770"," Then we're going to trade sideways for the rest of the day."
"511350","521309"," So let's pay attention to this moment and find out if we're able to actually trade above 446.68."
"521770","528250"," I would warn you at this point that if you are long to let the banks take us over this"
"528250","533850"," point, then pick it back up again, right where we are. "
"533850","538630"," Like I would be getting out and then get back in because there's a fat chance that we trade"
"538630","541930"," sideways from here, that this resistance is real."
"544990","547550"," If we are able to break above it, then we'll take it higher."
"573210","608820"," The next target above would be 447.76. Yeah,"
"608940","618860"," 447.82. We'll take a look right now"
"618860","619620"," at IWM as well. "
"619620","629560"," But there should be a short covering right at"
"629560","629780"," 440."
"630500","632540"," Question is, do we trade higher or not?"
"632620","633880"," Do we smash through this level?"
"634360","635240"," It seems like we are."
"635400","637360"," We didn't get, we didn't get stray rejected here. "
"646060","669250"," Let's bring it back slightly so we can see 446.91."
"670810","677710"," Okay, you're looking to see us break above 446.94, maybe 91."
"690870","700700"," So on your charts, just snap a line at 446.91. We'll look below"
"700700","701880"," just in case here."
"703120","704200"," All the way down to 4,400. "
"705180","705740"," It's weird too."
"705900","710900"," I almost bought calls on that bounce down below and calls are just being grinded up."
"710900","712360"," There's no interest in calls. "
"720720","723540"," And you call your next support 44010."
"734590","737350"," Snap two lines on your charts on the spy daily."
"743290","749910"," And if we break above this 446.91, pick up your calls once more. "
"750410","753470"," Otherwise, treat it like we're inside of a trading zone at this point."
"765200","766480"," Yeah, I missed 442."
"766740","767500"," I tried to buy it 440. "
"768860","771940"," Watch the grinding in the calls and then just stayed out of it myself."
"780780","790140"," Well, so the last night I made a video about the Opexes that took place during the COVID crash."
"790980","794200"," And both were around the monthly Opexes. "
"794580","799400"," We tended to trade a very range bound into that Monday, Tuesday."
"799400","805280"," And the first Opex, we ended up trading up slightly after the Opexes."
"805720","807540"," Then we ended up coming straight down. "
"808220","813940"," And then the next month's Opexes, we came up slightly, traded down, but then we swung higher."
"836400","840060"," So I think that this morning that we're going to trade sideways, it could be wrong on this."
"840740","844120"," There were some calls that came into the market this morning, but it's very light. "
"844820","846860"," We are 49% bearish."
"847960","857700"," We have a 2.45 to 1.42 bearishness to bullishness on the put-to-call"
"857700","858080"," ratio."
"861710","864410"," There are some calls coming into the market though this morning. "
"864850","867650"," There are calls coming into NVIDIA NVDA."
"868070","869770"," There's spy calls coming in."
"871510","874810"," So we can do is we'll see if we can break above this. "
"885950","889990"," 447.74. See if we can look above here and see what's above."
"907890","908410"," 474."
"917130","919370"," For all intents and purposes, we've got more buyers. "
"919730","921870"," We've got a great hero indicator."
"933890","935890"," NVDA has lots of calls on it."
"935890","938330"," January 28th, 255C. "
"939210","965590"," January 28th, 237.5C. January 21st, 242.5C. LVS"
"965590","967590"," is just blasting off here too."
"970160","971160"," They're squeezing."
"983590","985590"," Zillow traded down this morning, right?"
"985790","989810"," 50 bucks had that capitulation move and they just squeezed as well. "
"1000400","1036339"," Hood went down to $12.78. We"
