"start","end","text"
"230","1990"," Check 1-2 am I live?"
"2270","3890"," This is the second attempt to go live?"
"14720","45420"," Check 1-2 What"
"45420","58350"," upcoming Morning"
"60970","71510"," How y'all doing out there Good y'all take the money off the bell I Grabbed"
"71510","90390"," a fifty-seven cents off the calls overnight See"
"90390","97570"," here give me a second So we'll cycle through this morning."
"98250","104990"," There's a bounce off the hourly trigger off the opening bell here We were also at the top of the"
"104990","112130"," key here before the open on the daily trigger This was right before the open right here So right up"
"112130","119230"," in here Came right back down slamming down right now into the hourly trigger We'll talk about this"
"119230","124090"," too now here this morning You just one quick second here."
"124890","134230"," Just got to do some technical stuff in the background Let's see we'll go back here morning"
"134230","143090"," everybody happy happy fed day of course the last Cumulative no that's the last we still have end of"
"143090","152050"," month or end of quarter Kind of a big deal to like end of the month is Yeah, there's another"
"152050","160050"," argument here too Yesterday we're having a conversation about Good morning everybody good morning"
"160050","160250"," David. "
"160250","161710"," How are you good to see your brother?"
"162430","172710"," So yesterday we're talking about a Now end of month right and Like"
"172710","176270"," what's what do we have left on the docket into end of month after today?"
"177230","179010"," So we've got the expiration today."
"179010","186550"," We've got end of month today We've got a Lot of watershed moments right a lot of the bad news"
"186550","196190"," is out there and Something I want to point your attention to would be if you are on the bullish"
"196190","206150"," side of things I Sometimes Even if you know"
"206150","207310"," we'll leave we'll leave this open."
"207310","211990"," We're gonna leave the chat open today to Because it's fed day. "
"212110","212790"," We're gonna leave on YouTube."
"212890","221650"," We're gonna leave the chat open to G general public But you have to be a subscriber"
"221650","230810"," so that takes two seconds You don't have to be a member on YouTube today to Comment or chat on"
"230810","235430"," YouTube this morning I'm so gonna leave that open for you."
"235430","241070"," So just subscribe remote only so if you're not a member and you want to chat this morning I have"
"241070","248910"," to do is subscribe takes two seconds and You can join us in the chat now if you are on"
"251370","258950"," Team like we're going up to that caller You might be afforded an extra week to go to that caller"
"259269","265450"," So that doesn't mean the caller prints for this quarter Sometimes after quarter and you'll see an"
"265450","271310"," additional move in the same direction that the market was headed So I'm fast not always if we tag"
"271310","274490"," it before We tag that upside caller target. "
"274670","275590"," I wouldn't of course."
"275750","281490"," I'm not gonna expect more upside from there We'd sell the new quarter right away If we achieve that"
"281490","286310"," goal before though, I'd sell it so if we were to achieve that color before we get to the 29th"
"287650","289990"," I'm not gonna expect the extra week given to you."
"290250","297390"," It is possible that will go there the week after though if they burn all of The shit that was"
"297390","305610"," saying we're going there and within that within that time period within that quarter Yeah, good"
"305610","307170"," morning, but you guys I'll chat this morning. "
"307730","310110"," I've got a few more things to do here Just give me a brief moment."
"310290","311210"," We'll do a market overview."
"311710","318270"," I want to expect here this morning We won quick second here. "
"318990","321610"," I Continue I continue to forget to do this shit."
"321790","328710"," Well, not forget, but just I either forget other markets going crazy or something like that You"
"328710","340800"," just want quick second What"
"340800","349900"," are all of your thoughts on What are all of your thoughts on I've got some it's really weird I"
"349900","360010"," have some quite this isn't a fed day related 500"
"362730","374030"," Rome Powell Mc Great decision I"
"374030","382870"," Have a question for you all What are your thoughts on so last like"
"382870","392870"," like I don't know if you know this but I'm not really a fan of One here there we"
"392870","402550"," go I'm not really a fan of Well, I guess I'm partially"
"402550","409030"," a fan of some of the concepts behind what Twitter X is doing like some of it."
"409130","414330"," I'm like yeah, I get this and I get that I get this other parts of it My head is"
"414330","418710"," the little I'm scratching my head here and then other parts of it. "
"418730","427930"," I don't like it at all at all and And Hold on here one more quick thing I got to"
"427930","438740"," do It's really bizarre overall X Twitter is bizarre now they're going to Begin"
"438740","445100"," to or they're contemplating or I'm gonna assume at this point if you're going to be a user of"
"445720","454780"," Twitter or X whatever you prefer to call it All members or they want to charge all all users of"
"454780","464520"," Twitter a small fee It's bizarre I don't know what to think of it all See here"
"464520","471040"," So think about that we'll talk about that in just a few minutes cuz I just have some questions"
"471040","475460"," about it See what where everybody's take on it is More than all of you out there."
"475620","481740"," How are y'all doing happy fed day happy rate decision day Happy Jerome Powell flexes muscles day"
"483600","485780"," Fighting inflationism is a play on communism."
"486400","496380"," It doesn't mean anything It's more of like in 80s Reference to really bad or"
"496380","502740"," not really bad really funny 80s action flicks, so we're gonna switch over right now to we'll have"
"502740","509580"," the right decision live for you Love the interview live for you this morning That kind of stuff"
"510840","516880"," We're gonna go to we're first start with the weevil charts to the basic get the basic stuff out of"
"516880","526540"," the way To get the bounce on the hourly trigger this morning you can see it right down here We"
"526540","527940"," have the sell down on daily trigger. "
"528160","535920"," We already know that when price is below Below the hourly triggers and the prices down here, and"
