"start","end","text"
"2180","3780"," Check 1-2, Mike check."
"9470","13030"," Check 1-2, Mike check."
"69070","70730"," Good morning, Chaz, how are you brother?"
"71290","97680"," Good morning, everybody,"
"98060","98360"," quarter black. "
"102980","106000"," Hold on a second, I'm gonna make, uh, start this here."
"106660","108680"," Gonna make blind nessile, uh, moderator here."
"114270","114790"," Bam. "
"118010","119510"," Blind nessile, you are now a moderator."
"130780","133780"," Blind nessile, you are now a moderator inside of YouTube, brother."
"135160","137100"," I finally got to see you in here this morning. "
"145020","146940"," Alright, let's get right into it this morning."
"149180","152620"," I got a couple things I gotta do, that's some technical stuff in the background I gotta do."
"160960","163580"," Take tight one morning, one moment. "
"163840","167700"," Blind nessile, can you, um, make a comment in the YouTube chat?"
"169600","171720"," I want to make sure that I made you a moderator."
"181510","182530"," Let's see here."
"196320","199520"," There we go. "
"201120","204840"," There is the, um, post there."
"207420","208420"," Good morning, everybody."
"209320","211780"," Happy Fed Day, Fed Rate Decision Day. "
"213840","215440"," Uh, did I make you a moderator?"
"215960","219880"," Hold on, I gotta make, um, I thought he was in YouTube."
"220360","224360"," Hold on, let me check to see if I made blind nessile a mod here."
"226220","232470"," I'm gonna make him a mod. "
"235130","238310"," Oh shoot, how do I do this shit dude?"
"242610","244930"," No, not mod comments, there we go."
"246010","252570"," Okay, so mod, uh, let's see, discord mod."
"258339","268290"," Okay, I don't know how to get a second here guys, trying to"
"268290","269490"," get, make some mods here. "
"272890","276090"," See if, uh, blind nessile, good morning, how are you?"
"277170","280370"," Can you make a comment and then twitch that and I want to see if you're a mod now."
"286210","287270"," Sweet, you are a mod."
"287710","288410"," Alright, good, good. "
"288410","289810"," Good morning."
"290130","291170"," Good morning, everybody out there."
"291290","291850"," How's everybody doing?"
"292650","295710"," If you are just joining us, a couple things here. "
"297890","302270"," That's 9.30 coming off of the, first of all, we're coming right off the open here."
"302730","304250"," I want you to see something here."
"304390","306350"," There is, off this bell right here. "
"306870","308790"," There is a bear plane."
"309650","310930"," We don't have time, right?"
"311550","313030"," Right off this bell, they're not even waiting."
"315110","318470"," They're trying right here to right off the immediate bell to start selling. "
"319890","321850"," Just be aware of this cell right here."
"322990","323950"," They didn't even wait."
"324210","326710"," Boom, they're playing off the bell. "
"327630","331530"," You see the look down below, you see the little, uh, demand down there."
"332290","334190"," So you got a little bit of a carpet right here, right?"
"334270","335170"," A little bit of a rug here."
"336650","337810"," So I already tried it. "
"337870","338370"," They didn't even wait."
"338690","340610"," Immediately off the bell, they're trying to sell this."
"341330","346470"," A couple comments for you off this bell this morning. "
"347710","348650"," You see that bear?"
"350150","353090"," Mero plane right there, right off the bell, baby."
"354630","355370"," Nobody's business."
"355770","356450"," Hold on one second here. "
"368470","369890"," Right off the bell, man."
"370190","376650"," Bam, right at 9.30. They didn't even wait."
"376930","379230"," It was like, it was like, cap's trying to sell the bell. "
"379370","380010"," Let's start selling."
"385450","386570"," I was in discord."
"386690","388210"," I'm like, I'm trying to sell that fucking bell. "
"388370","389530"," I didn't even get a chance to sell it."
"398590","399070"," Hold on."
"399130","399550"," Here we go. "
"403790","405090"," I think I got a log out here."
"405210","405770"," Let me log out."
"413950","416350"," Says I have a bunch of puts. "
"416730","418190"," So on yesterday's clothes."
"418890","423410"," I actually did add actually did add some puts."
"424290","425270"," Hold on here. "
"425370","426950"," I got to reset my entire thing."
"430770","432390"," Actually, I didn't tell anybody."
"433230","434530"," I told two people. "
"434990","436210"," Hold on, trade the trigger."
"436810","437810"," Not trade the trigger out tasty."
"440670","442010"," Damn, wrong fucking. "
"442250","443010"," Let us take it here."
"443690","446470"," Try to do this on the wrong computer."
"448350","449910"," Seriously, let us take it. "
"462230","467890"," I'm having some tasty trade issues this morning."
"476880","477640"," Having some."
"486820","487260"," Portfolio. "
"492050","492790"," Okay, sweet."
"494010","495530"," Just take my portfolio here."
"495650","498330"," Hold on. "
"499950","501770"," So you do me a solid this morning."
"501990","506950"," If you're a follower, if you could do it if you're watching this program, if you would do me a"
"506950","507610"," solid today."
