"start","end","text"
"2850","5270"," All right, check my check."
"5430","7090"," One, two, three, four."
"11990","20470"," Get it prepped up for tomorrow. "
"28200","37080"," Good morning."
"39300","39600"," Good morning, good morning."
"39700","41800"," I start to see you guys pop in right now. "
"41940","42220"," Good morning."
"42860","45280"," I'm going to do a couple of quick things that I do here."
"45760","49140"," I'm going to do some great decision trapped today. "
"52320","54380"," Let's get right into it."
"58760","60060"," What am I going to do here?"
"62720","64220"," Sort by noose."
"66640","71260"," What am I doing here?"
"71440","72260"," I'm missing something here. "
"75640","79660"," This is something, this is something I don't know what I'm listening in."
"82240","88200"," Details, customization, and it's only monetization."
"90760","92980"," And what else we have here?"
"96980","98880"," Good to see you all. "
"100940","103320"," It's good board."
"103480","103920"," How's everybody doing?"
"103920","104840"," Let's get right into it."
"105680","106320"," I don't tap. "
"106500","108420"," Let me put my camera on for you."
"109160","112060"," Hang tight one second here and move some of this over."
"115540","117280"," Get my camera going here. "
"118180","119020"," Get rid of the color block."
"120660","121100"," Okay."
"121640","123520"," First of all, good morning to all of you. "
"123600","124900"," Thank you for being here today."
"125840","128820"," I'm with you here, but I'm not in stream a lot."
"129820","131320"," I apologize for that. "
"131440","133700"," I'm on this huge deadline for Friday."
"135520","138500"," And it requires, let me post this really quick."
"139380","140400"," One quick second here. "
"143820","146480"," What happens is this is on stream."
"146480","150800"," I'm on stream."
"151760","159540"," I get into the stream and then I'm not paying attention to these developers. "
"160060","160860"," I got a question."
"161140","162860"," If I don't answer it, it's like three hours later."
"163640","167060"," I answer it and then 12 hours later they get back to me. "
"167060","172340"," So if you're wondering why I'm not, the stream is up every day, but if you're wondering why I'm not"
"172340","173620"," here, it's because of that."
"173860","175960"," Basically, I have to be available."
"180660","183720"," So I'm going to tell you guys a few things off the right away. "
"184340","187660"," I'm likely not going to answer many questions."
"190680","195340"," So that I don't become sidetracked, not because I don't want to answer them anything like that."
"195880","199680"," It's more about I can't get sidetracked to have to get back to what I'm doing. "
"200120","209520"," So give me one quick second here and I'm going to give you guys a prep for tomorrow and what"
"209520","211740"," to expect that kind of stuff."
"213600","215740"," With the expectations are now."
"217820","219740"," I think I've got this on here. "
"219880","220140"," I'll take."
"220240","221420"," We'll take a look at something else too."
"221540","223620"," I think I have a bunch of rate decisions. "
"224800","227700"," And we'll chat about those previous rate decisions."
"228100","228620"," What happened?"
"230260","234880"," During those rate decisions, it's, you know, the thing about rate decisions of late."
"236600","246600"," Is they've been, they've been a benign, no up, no down, just benign. "
"247320","252440"," And we'll talk about that today because, or it's important to talk about that today because."
"253840","257220"," The market really is tied into."
"258600","263420"," The market really is tied into, as a matter of fact, right?"
"263580","264860"," I bought calls down here, right?"
"265400","269060"," I bought calls down here and they're just grinding me right now. "
"269260","270220"," It's kind of funny to watch."
"270460","273860"," I'm sitting in a bunch of calls here and we're going up and they're just grinding."
"275760","278640"," Hopefully you're buying in the money calls right now or puts. "
"279040","283520"," So if you're trying to go in a direction, whatever direction that is, make sure you're buying those"
"283520","287280"," calls or puts in the money like a strike or two."
"287280","292920"," Do not be buying calls that are 30 deltas, even 20 or 10 deltas on a turnaround."
"293600","295100"," Get them in the money to the upside. "
"295500","296760"," Make sure in the money deeply."
"297740","301140"," Otherwise, they're just destroying both sides of chains right now."
"301480","306260"," And I got some, I actually have some puts for Wednesday already. "
"306720","313780"," I've got a ratio spread for Wednesday and the puts are getting ground down right now."
"313780","317040"," They're all penny puts, but I'm fascinated by the fact that they're grinding them."
"317400","321000"," I'm like, when we were going down, as a matter of fact, when we were going down this morning, they"
"321000","321720"," were grinding them. "
"322060","323460"," So I was fascinated by that as well."
"323720","329240"," Just the mechanics of these options right now heading into this rate decision."
"332500","339360"," Now, we should talk about that this morning because there is a, there's a, if we broke about 460,"
"339840","349800"," 4600 and we're now stuck in this 4600 to 4650 on the week, I'm going to assume here that"
"349800","355840"," people are, they think it's going to go to 5000 this week or 1400 this week. "
"355860","356320"," It's possible."
"357120","362100"," But if we did, the expectation would be that we sell down in a massive way."
"364040","367980"," Pretty big violent moves down into end of year. "
"368380","369820"," So we'll trade it if it happens."
"370100","379720"," But even this rate decision, there's a high probability that they're not going to print"
"379720","380640"," either side."
"381260","387800"," My point here is that there's a high probability that just like an ER that they could, because"
"387800","393500"," there's so much interest in this rate hike, hike specifically, that they could just strap this"
"393500","397000"," market in, pull it back, you know, you get the downside or upside move. "
"397740","403060"," And then what they end up doing is, is pulling it back up for Friday."
"403820","410600"," So if you're looking for a range for this week, or for the rest of this week, let's say it's"
"410600","414420"," Tuesday already got Wednesday, we got one more day until we get that big move."
"414420","420920"," But even so, there's a very high probability of failure to the downside and the upside, and that we"
"420920","425080"," trade that 4600 to 4650 this week. "
"425280","434460"," So be aware of it that there's a magnet or a pin to this zone here into Friday."
"434820","440620"," Now, if we get a rate hike, we will break through that."
"440760","441680"," That ain't going to mean shit. "
"443640","452200"," We can definitely make a run to the downside if there is an unexpected rate hike."
"452760","454440"," We can talk about that today too."
"457260","461320"," So we've gone five months, coming on six months without a rate hike. "
"462340","464880"," I can't wait looking for it last night, I'll try to find it."
"464880","474800"," But I think it was from Traders Almanac where historically if we go five months without a rate"
"474800","475040"," hike."
"476220","481100"," And so this would mean that if he does not give us a rate hike, that is the end of"
"481100","481960"," the hiking cycle. "
"483500","486000"," Now I read some bullshit yesterday."
"486000","493020"," I read an article yesterday from some guy that said, well, you know, if they don't raise rates and"
"493020","498440"," they promise to hold rates here higher for longer, right?"
"499360","502740"," That it buys some time in that Goldilocks zone."
"504620","511919"," They can be saying that to you, but the truth be told we have not had a hike since July"
"511919","515159"," or I think it was the 28th of July. "
"515159","515919"," Don't hold me to that."
"516299","520020"," But I think it was right around the 27th, 28th of July was our last hike."
"520880","523280"," And so that means it's already been front run. "
"523880","529280"," Okay, so we've already got some months behind us in that Goldilocks zone."
"529500","531940"," And within that Goldilocks zone as well."
"533560","542760"," About two or three months before the first rate cut or expected rate cuts or whatever. "
"542760","549780"," We were normally hitting about two percent inflation by whatever fucking bullshit numbers they're"
"549780","550300"," putting out."
"550720","553520"," Unemployment should be ramping at that point as well."
"554200","558500"," And about two months before usually one month, two months before they expect to actually start to"
"558500","559660"," begin to cut rates. "
"560560","568080"," You should see a front running for a downside move that back checks wherever we are."
"568080","571700"," So price will matter here is the point that I'm trying to make."
"573160","574580"," We'll talk about that right now. "
"574760","577540"," I'll explain that simply for you, okay?"
"578600","579960"," We'll take a look at that right now."
"579960","582580"," So probably going to hold these fucking calls all day long."
"582780","587120"," That's what I've been doing is buying the money calls, hold them all day long, let the grind up"
"587120","587400"," happen. "
"587700","590780"," And then they sell, I don't know if that works today, but it's been working like a motherfucker."
"590940","593300"," So we'll see what happens today."
"594000","598680"," Find the debt, find the morning low, get some money calls, just hold them, let them grind it out"
"598680","599180"," all day long. "
"601060","604040"," They could possibly grind the sideways and down here today too."
"604400","606500"," We're one day away from the rate decision."
"607520","612100"," Now I'm going to discuss this and explain some of this stuff to you, okay?"
"614200","623820"," I was in a conversation late night last night and I was talking to I was talking to a friend"
"623820","627520"," last night about our two friends actually over the course of yesterday. "
"629340","636920"," We were discussing we were discussing, let's put this up on a daily here."
"637980","642780"," I'm not going to, I think I have this stuff here, but I think I can bring some of this"
"642780","643380"," stuff up."
"643640","645200"," Hold on here, let me see if I can bring something else up. "
"645400","646320"," Hold on, hang tight one second here."
"653500","657200"," And people are going to trade, some of this stuff, people are going to trade too."
"658480","662500"," Whether it proves right or wrong or not, but we're going to discuss this. "
"664580","667200"," And here, we're going to take a look at this real quick."
"667720","671340"," So the first thing to be thinking about here is a wipe off events."
"673440","676420"," And we have the initial sell down, right?"
"676660","677200"," We have the trough. "
"678660","682280"," We come above the trough, right?"
"682280","684000"," And we're off and running, right?"
"684180","686260"," People are wondering if that's where we are."
"687720","692380"," We also, these are accumulation wipe off models, of course."
"693140","697440"," And then these are the first two, these are the two of the accumulation wipe off models, but then"
"697440","699680"," we've got some distribution type stuff here. "
"701940","708640"," And let's say this was like March of, let's say this was January of 2022, even this was January of"
"708640","709140"," 2022."
"709960","712520"," This could be January, March, 2022, right?"
"712720","716320"," We'll come back up into test these previous highs."
"716940","718440"," This is a big one right here. "
"718920","722140"," So retesting these previous highs right here, right?"
"723180","723940"," It's important."
"724580","729960"," Number one, if you're a bull that we are able to get the new high, but then we back test"
"729960","731660"," this high and continue on."
"732320","733020"," Does that make sense?"
"734100","735220"," So we back test to continue on. "
"735220","742480"," It's also important that we do not get the new high and then begin to fucking sell, right?"
"742680","746020"," Down and have that last leg down to 3,500."
"747180","751280"," And then another issue here would be how deep does this go?"
"752340","761800"," And if we fail, actually fail the new high up here, it could mean real death and destruction to the"
"761800","762040"," downside."
"762040","769540"," So this whole area is going to be very important to the, to, to distribution accumulation models. "
"769820","771120"," Matter of fact, you can see this one here."
