"id","start","end","text"
"NCzAgeC_Pog","0","2000"," I'm dying on earth."
"NCzAgeC_Pog","4000","8000"," His whole business model is fuck earth, I'm leaving anyway."
"NCzAgeC_Pog","9000","13000"," If you want all you want, thank me with you like I'm blowing the balls."
"NCzAgeC_Pog","15000","17000"," Let them kind of pussy they got up there."
"NCzAgeC_Pog","17000","19000"," That's what we'll be doing."
"NCzAgeC_Pog","22000","24000"," Andy Graham, me titty-fuzz,"
"NCzAgeC_Pog","24000","28000"," followed me during his mission to money to stroke all over the room."
"NCzAgeC_Pog","30000","41000"," Thanks for, uh, thanks for having me on the stage."
"NCzAgeC_Pog","41000","44000"," Are you kidding? I wouldn't miss this opportunity."
"NCzAgeC_Pog","47000","50000"," The first comedy club on Mars, that should be mine."
"NCzAgeC_Pog","51000","53000"," A deal for deal, Oscar."
"NCzAgeC_Pog","54000","55000"," That's not it."
"NCzAgeC_Pog","58000","59000"," You know, yeah man."
"NCzAgeC_Pog","59000","63000"," You make us can go all we want is they gave me a jet tank last Christmas."
"NCzAgeC_Pog","66000","70000"," Fly around to the house, make a booty's nuts, and we'll try to make it happen."
"NCzAgeC_Pog","72000","75000"," That's how we like to chill, we do ball on the ship."
"NCzAgeC_Pog","80000","81000"," Dad, what should I say?"
"NCzAgeC_Pog","84000","85000"," Don't say nothing."
"NCzAgeC_Pog","86000","87000"," Okay."
"NCzAgeC_Pog","87000","90000"," At a lonely spoil the moment, you hear that sound, Elon?"
"NCzAgeC_Pog","90000","93000"," That's the sound of pending still unrest."
"NCzAgeC_Pog","97000","101000"," I've got a way to sing this story that's made next, motherfucker."
"NCzAgeC_Pog","101000","104000"," You knew you'd shut the fuck up, which it was."
"NCzAgeC_Pog","105000","107000"," That sounds better than you can do."
"NCzAgeC_Pog","107000","109000"," Who would have thought the best thing you knew?"
"NCzAgeC_Pog","110000","113000"," Try it, baby, to make it what you wanted to be."
"NCzAgeC_Pog","114000","115000"," I have you out alive."
"NCzAgeC_Pog","116000","124000"," I wish everybody in this auditorium peace and the joy of feeling free."
"NCzAgeC_Pog","125000","128000"," And your personal happiness make you happy."
"NCzAgeC_Pog","129000","130000"," Amen."
"NCzAgeC_Pog","130000","131000"," Thank you very much."
"NCzAgeC_Pog","131000","133000"," Thank you very much, Elon."
"NCzAgeC_Pog","133000","136000"," No sunny on Earth, but thank you very much."
"NCzAgeC_Pog","137000","138000"," Thank you."
"NCzAgeC_Pog","138000","139000"," Good night."
