"id","start","end","text"
"NEnO6o9Z7bQ","0","3960"," All right, back on again."
"NEnO6o9Z7bQ","3960","6920"," God damn, I don't know what happened just then."
"NEnO6o9Z7bQ","6920","9280"," I lost the internet connection or something."
"NEnO6o9Z7bQ","11880","12720"," Bizarre."
"NEnO6o9Z7bQ","30000","45000"," Still here."
"NEnO6o9Z7bQ","45000","53000"," Just second here, I got to make sure I can get this back up real quick."
"NEnO6o9Z7bQ","60000","66000"," Really bizarre, huh?"
"NEnO6o9Z7bQ","66000","70000"," Hold on here."
"NEnO6o9Z7bQ","70000","73000"," Part two."
"NEnO6o9Z7bQ","73000","74000"," All right, we'll try this."
"NEnO6o9Z7bQ","74000","76000"," Part two."
"NEnO6o9Z7bQ","76000","79000"," Part two."
"NEnO6o9Z7bQ","79000","82000"," You're just second here."
"NEnO6o9Z7bQ","82000","85000"," You know, it did happen last night was."
"NEnO6o9Z7bQ","85000","88000"," I'll tell you some, not funny, but."
"NEnO6o9Z7bQ","88000","92000"," So last night."
"NEnO6o9Z7bQ","92000","97000"," I got to make sure we keep up the Russian only fans."
"NEnO6o9Z7bQ","97000","99000"," Bots that like to come in."
"NEnO6o9Z7bQ","99000","103000"," We just second here."
"NEnO6o9Z7bQ","103000","105000"," We won second."
"NEnO6o9Z7bQ","105000","108000"," Um."
