"id","start","end","text"
"NWfPMhzPAzA","0","10960"," Good afternoon traders, welcome to a weekend brief, this is Captain Jim James, I usually"
"NWfPMhzPAzA","10960","15120"," stay away from the internet over the weekend if I can, but I did notice that there was"
"NWfPMhzPAzA","15120","22400"," a lot of bear sentiment as usual, and we are open here to the SPX chart, and this is looking"
"NWfPMhzPAzA","22400","23400"," very toppy."
"NWfPMhzPAzA","23400","29080"," All I keep hearing about is the VIX, the VIX, UVXY, or UVXY."
"NWfPMhzPAzA","29080","33640"," Everyone's talking about lockdowns, the Delta variant, whenever things get this bearish"
"NWfPMhzPAzA","33640","36440"," on the weekend, I always take pause."
"NWfPMhzPAzA","36440","39400"," So I just want to quickly go over the S&P 500."
"NWfPMhzPAzA","39400","45360"," Of course things can change on Sunday futures, pre-market on Monday, but here are some things"
"NWfPMhzPAzA","45360","48800"," to consider coming into the, or coming into Monday."
"NWfPMhzPAzA","48800","55480"," I always see, to me it always looks like SPX gives a fair hint as to where we're actually"
"NWfPMhzPAzA","55480","56480"," going."
"NWfPMhzPAzA","56480","64320"," It tends to move slightly slower in the charts, not as jagged as ES, and I've been paying attention"
"NWfPMhzPAzA","64320","65960"," to SPX for that reason."
"NWfPMhzPAzA","65960","70520"," It tends to show tops a little bit more clearer, which right now it looks like we're at a top."
"NWfPMhzPAzA","70520","75040"," It looks like the market is rolling over from the viewpoint of SPX."
"NWfPMhzPAzA","75040","84080"," Heading on over to ES, I just want you to see this trip top, this resistance tread line"
"NWfPMhzPAzA","84160","89640"," here, and this support trend line here."
"NWfPMhzPAzA","89640","101520"," And this is from way back in July of 2020, and if you look right here, this is the 31st."
"NWfPMhzPAzA","101520","109760"," We, on the 30th we topped, and we found some support along this established trend line"
"NWfPMhzPAzA","109760","111960"," end of July heading in September."
"NWfPMhzPAzA","112000","121320"," Now, if you were a bear on July 31st of 2020, this certainly looked like it was coming down"
"NWfPMhzPAzA","121320","133720"," that we were correcting, but as you can see, we found support and rocketed to be, this"
"NWfPMhzPAzA","133720","138520"," is like a, it looks like it's not quite an ascending triangle, but it's looking like"
"NWfPMhzPAzA","138520","139520"," one, right?"
"NWfPMhzPAzA","139760","150160"," So we ended up finding support, bounced up and over, and continued on until September"
"NWfPMhzPAzA","150160","159160"," 2nd, you can't tell me that there aren't bears from last summer that did not get salty"
"NWfPMhzPAzA","159160","164080"," as all fuck last summer between August and September."
"NWfPMhzPAzA","164080","167880"," Now, does that mean we do this again this year?"
"NWfPMhzPAzA","167880","175200"," Because we do, you know, one of the atages on Wall Street is over and over and over."
"NWfPMhzPAzA","175200","178200"," We do the same things and you still fall for it."
"NWfPMhzPAzA","178200","180280"," Will that hold true this year?"
"NWfPMhzPAzA","180280","188400"," It's hard to say, but I want you to remember this pattern here for what I'm going to show"
"NWfPMhzPAzA","188400","191680"," you here in a little bit, okay?"
"NWfPMhzPAzA","191680","195160"," So we're going to scroll back over to what's going on right now."
"NWfPMhzPAzA","195160","197200"," This is on ES, the mini."
