"start","end","text"
"8580","12340"," Okay, really odd."
"12580","13580"," Hold on here."
"15480","17440"," I guess we've got some walkiness. "
"20180","21380"," Twitter API."
"23540","24180"," Docker."
"28120","28760"," Content. "
"32450","33090"," Love."
"36750","38390"," Is anybody in here right now?"
"39190","40330"," Can you guys all see me right now?"
"40330","40390"," Yeah."
"43670","45050"," You guys can all see me out there. "
"47750","48230"," Cool."
"48530","48610"," Cool."
"49570","53780"," Can you hear me?"
"54400","54860"," How about that?"
"55000","55660"," Can you hear me out there?"
"57060","63110"," All right, good. "
"63610","67710"," Twitter API for reposting these videos is broken this morning."
"70370","71310"," Good morning, everybody."
"103220","104040"," Good morning. "
"104820","107600"," You guys can see the scrolling text and stuff, right?"
"109220","110520"," You guys see the scrolling."
"110760","113420"," You guys can see like the welcome to."
"113500","113820"," Okay. "
"113960","114200"," All right."
"114300","114360"," Cool."
"114480","114520"," Cool. "
"135070","136230"," Good morning out there."
"137310","143010"," So I've got some, uh, we have some issues here with like a Twitter API, baby."
"143750","148890"," Uh, no longer functioning with, uh, streamlabs. "
"149650","150390"," Okay."
"151770","154770"," I guess that's what it is."
"155530","157410"," That's an Netflix spy cues. "
"158290","159350"," Boy, oh boy."
"159550","160150"," Oh boy."
"160410","160990"," This morning. "
"161390","163030"," What is going on out there?"
"163730","165990"," What the fuck is going on?"
"166670","168790"," Oh, wow."
"170110","170550"," Shocker."
"172110","172830"," Boy. "
"173210","173990"," Oh boy."
"174070","176430"," Lots of talk yesterday and fin to it."
"177730","179250"," Proof in the pudding. "
"180710","181810"," And yet."
"184970","188650"," The proof in the pudding has nothing to do with."
"190210","192330"," We have range expansion today. "
"193050","198430"," We are now, we now in pre market have a high higher than yesterday."
"198430","202390"," Trade in four fifty four ninety four."
"205030","208270"," Emotions running high out there. "
"209670","212230"," Even worse, if you get it right."
"213710","217730"," Then if you make the wrong call out there."
"220920","223120"," Because you're pissed people off. "
"224720","225560"," Okay."
"226860","228580"," I hurt your feelings."
"231180","231700"," Okay. "
"231920","232320"," I get it."
"232840","233900"," That's what it is."
"234360","235180"," Good morning. "
"235380","236160"," I saw CV day."
