"id","start","end","text"
"NgRbB27cIQI","0","6400"," the film begins"
"NgRbB27cIQI","6400","9880"," second one"
"NgRbB27cIQI","9880","13680"," this leader is provided to permit the projectionist to complete adjustment of"
"NgRbB27cIQI","13680","15520"," focus and sound level"
"NgRbB27cIQI","15520","22520"," before the film begins"
"NgRbB27cIQI","30000","37000"," the"
"NgRbB27cIQI","60000","67000"," the"
"NgRbB27cIQI","90000","97000"," the"
"NgRbB27cIQI","120000","136720"," and"
"NgRbB27cIQI","136720","140160"," all right we're going to get right into him and his area that's fine I think we have linked a little bit late"
"NgRbB27cIQI","140160","161920"," I'm going to get into the discord really quick and see where everybody is."
"NgRbB27cIQI","191920","213760"," Hey, Nintendo Master 66."
"NgRbB27cIQI","213760","214760"," How are you?"
"NgRbB27cIQI","214760","221760"," I think it's actually take a moment and say hello to people."
"NgRbB27cIQI","221760","227760"," Good, good, good."
"NgRbB27cIQI","227760","228760"," Good evening."
"NgRbB27cIQI","228760","229760"," How are you doing?"
"NgRbB27cIQI","229760","234760"," By the way, it's been just going to the talking directly to viewers."
"NgRbB27cIQI","234760","236760"," How are y'all doing out there?"
"NgRbB27cIQI","236760","239760"," Don't get to do this too often, do we?"
"NgRbB27cIQI","239760","241760"," Joe P. Good evening."
"NgRbB27cIQI","241760","244760"," How are you?"
"NgRbB27cIQI","244760","245760"," John Dickus."
"NgRbB27cIQI","245760","248760"," I think everybody can chat right now."
"NgRbB27cIQI","248760","250760"," So I don't know if you're a member."
"NgRbB27cIQI","250760","258760"," This should not be on Twitter or Twitch and this should not be public."
"NgRbB27cIQI","258760","261760"," I think everyone can chat right now."
"NgRbB27cIQI","261760","266760"," So I think you guys are all good right now."
"NgRbB27cIQI","266760","268760"," Hey, Chan, how are you?"
"NgRbB27cIQI","268760","270760"," Matter of fact, I never get to say hello to people."
"NgRbB27cIQI","270760","273760"," So hi, Joe P. Hello, John Dickus."
"NgRbB27cIQI","273760","276760"," Good to see you, brother, by the way."
"NgRbB27cIQI","276760","279760"," Diana, good to see you."
"NgRbB27cIQI","279760","280760"," Chan, how you been, brother?"
"NgRbB27cIQI","280760","281760"," Ryan Morris."
"NgRbB27cIQI","281760","283760"," Good to see you."
"NgRbB27cIQI","283760","285760"," Jay, Benny Max in the house."
"NgRbB27cIQI","285760","286760"," Nintendo Master."
"NgRbB27cIQI","286760","287760"," What's going on?"
"NgRbB27cIQI","287760","288760"," What'd you say?"
"NgRbB27cIQI","288760","289760"," Doing great."
"NgRbB27cIQI","289760","290760"," Good to see you."
"NgRbB27cIQI","290760","291760"," Good to see you."
"NgRbB27cIQI","291760","292760"," Good to see you."
"NgRbB27cIQI","292760","293760"," Good to see you as well, brother."
"NgRbB27cIQI","294760","297760"," I don't know if I'm saying that right, but then 27."
"NgRbB27cIQI","297760","298760"," Ricky T."
"NgRbB27cIQI","298760","299760"," What up?"
"NgRbB27cIQI","299760","300760"," Joe P."
"NgRbB27cIQI","300760","302760"," Says pretty good, brother."
"NgRbB27cIQI","302760","304760"," Thanks for hosting any time, brother."
"NgRbB27cIQI","304760","305760"," Hello."
"NgRbB27cIQI","305760","306760"," Howdy, Stephen."
"NgRbB27cIQI","306760","307760"," How are you, man?"
"NgRbB27cIQI","307760","308760"," RWA."
"NgRbB27cIQI","308760","309760"," What's going on?"
"NgRbB27cIQI","309760","310760"," Yeah, we're having one."
"NgRbB27cIQI","310760","312760"," Chaz Wilson, my brother."
"NgRbB27cIQI","312760","319760"," Chaz, I was thinking about posting the link to the cat captain's alpha handle,"
"NgRbB27cIQI","319760","321760"," but I don't want that many people here."
"NgRbB27cIQI","321760","326760"," I want a small group or whoever's aware of this and tells their friends that kind of"
"NgRbB27cIQI","326760","327760"," stuff."
"NgRbB27cIQI","327760","335760"," Kind of keeping a close knit group, but it's up to you."
"NgRbB27cIQI","335760","336760"," What are you guys?"
"NgRbB27cIQI","336760","337760"," I don't know what you guys think."
"NgRbB27cIQI","337760","338760"," Pupa."
"NgRbB27cIQI","338760","339760"," I love that name."
"NgRbB27cIQI","339760","340760"," Hello, Pupa."
"NgRbB27cIQI","340760","341760"," Sean Reese."
"NgRbB27cIQI","341760","342760"," What's going on?"
"NgRbB27cIQI","342760","343760"," Peter G."
"NgRbB27cIQI","343760","344760"," Good to see you."
"NgRbB27cIQI","344760","345760"," Dustin Bailey."
"NgRbB27cIQI","345760","346760"," Rave."
"NgRbB27cIQI","346760","347760"," What's going on?"
"NgRbB27cIQI","347760","351400"," As a matter of fact, if you're a moderator, I'm going to make some of you guys moderators"
"NgRbB27cIQI","351400","352400"," right now."
"NgRbB27cIQI","352400","357400"," Add his moderator."
