"id","start","end","text"
"NxKhiMdI8uA","0","3320"," It's like, it's like a half an hour to get the show off."
"NxKhiMdI8uA","3320","5320"," At least."
"NxKhiMdI8uA","5320","8320"," Well, on Mondays it is."
"NxKhiMdI8uA","8320","10320"," Get the stuff rolling here."
"NxKhiMdI8uA","10320","11320"," Look at that."
"NxKhiMdI8uA","18040","19640"," It's at least a half an hour."
"NxKhiMdI8uA","19640","24520"," It's probably like, figuring them up at like six in the morning"
"NxKhiMdI8uA","24520","26680"," and then like by seven bros starting to get ready."
"NxKhiMdI8uA","26680","28160"," Like big shower and stuff."
"NxKhiMdI8uA","30000","40000"," We actually, you guys see me on, uh..."
"NxKhiMdI8uA","40000","55000"," You chewed this morning, it's like, yeah, we'll do our own thing here."
"NxKhiMdI8uA","55000","58000"," That's my legion."
"NxKhiMdI8uA","58000","73000"," Dave, good morning out there, how y'all doing?"
"NxKhiMdI8uA","73000","74000"," Good morning, uh, just stay right."
"NxKhiMdI8uA","74000","75000"," Good to see you this morning."
"NxKhiMdI8uA","75000","78000"," Check once you almost there, boys and girls."
"NxKhiMdI8uA","88000","100000"," Let's burn this shit to the ground."
"NxKhiMdI8uA","100000","105000"," I don't know if that's happening here, but we'll check into it."
"NxKhiMdI8uA","105000","107000"," But I am expecting some volatility."
"NxKhiMdI8uA","107000","110000"," So, we're going to press the camera on."
"NxKhiMdI8uA","110000","117000"," Let's tell me the camera's on."
"NxKhiMdI8uA","117000","123000"," Power round, boys and girls."
"NxKhiMdI8uA","123000","124000"," Power round."
"NxKhiMdI8uA","124000","127000"," Maybe I can post the links everywhere."
"NxKhiMdI8uA","127000","128000"," Let me see spy."
"NxKhiMdI8uA","128000","131000"," We're looking at BDA."
"NxKhiMdI8uA","131000","134000"," There's some Anakin bowls or something."
"NxKhiMdI8uA","134000","135000"," Oh, yeah."
"NxKhiMdI8uA","135000","137000"," Good morning, everybody."
"NxKhiMdI8uA","137000","139000"," How y'all doing out there this morning?"
"NxKhiMdI8uA","139000","140000"," I've got a few things I've got to do."
"NxKhiMdI8uA","140000","141000"," I've got to set some stuff up here."
"NxKhiMdI8uA","141000","146000"," We're going to go right into the market brief here and start talking."
"NxKhiMdI8uA","146000","148000"," Shit chatting away."
"NxKhiMdI8uA","148000","149000"," Spyend video."
"NxKhiMdI8uA","149000","154000"," We'll do IWM and we'll do, uh, what else will we do this morning?"
"NxKhiMdI8uA","154000","162000"," Uh, we'll do the Qs, QQQ, live stream."
"NxKhiMdI8uA","162000","165000"," Did you guys see the, did I get the thumbnail up there this morning?"
"NxKhiMdI8uA","165000","168000"," I've got the, uh, bring out the volatility bear thumbnail."
"NxKhiMdI8uA","169000","171000"," Uh, so we'll talk about that today."
"NxKhiMdI8uA","171000","173000"," We've got a bunch of stuff to go over."
"NxKhiMdI8uA","173000","178000"," Uh, from the market briefs from yesterday and probably from Friday too, if we can."
"NxKhiMdI8uA","178000","182000"," Uh, the one that was for Friday and then the one that was for yesterday."
"NxKhiMdI8uA","182000","185000"," I got to do one quick thing here."
"NxKhiMdI8uA","185000","187000"," Uh, what am I looking for?"
"NxKhiMdI8uA","187000","188000"," There we go."
"NxKhiMdI8uA","188000","192000"," And then, uh, what do we got on this one here?"
"NxKhiMdI8uA","192000","197000"," But we're going to take a look this morning at, uh, to start with."
"NxKhiMdI8uA","197000","199000"," Um, CNBC."
"NxKhiMdI8uA","199000","201000"," I know you guys hate CNBC."
"NxKhiMdI8uA","201000","202000"," I do too."
"NxKhiMdI8uA","202000","203000"," Don't get me wrong."
"NxKhiMdI8uA","203000","205000"," I'm not a fan of CNBC."
"NxKhiMdI8uA","205000","209000"," Uh, but this is, you know, a lot of people do care about CNBC."
"NxKhiMdI8uA","209000","211000"," Not, you know, not just me."
"NxKhiMdI8uA","211000","213000"," Uh, I care what they say."
"NxKhiMdI8uA","213000","214000"," I care."
"NxKhiMdI8uA","214000","219000"," Actually, I was talking to a ball whiz and he said that."
"NxKhiMdI8uA","219000","226000"," He sometimes will read CNN, uh, news about the stock market."
"NxKhiMdI8uA","227000","232000"," Just to see what, uh, they're feeding to regular people on Main Street."
"NxKhiMdI8uA","232000","236000"," There is some, some, some need for CNBC."
"NxKhiMdI8uA","236000","245000"," Um, because you do know that old men, uh, or at least by, I don't know if you're watching Wolf of Wall Street or some of these guys, one of those movies, they all watch CNBC, like we're just guys or whatever."
"NxKhiMdI8uA","245000","247000"," I don't know if they actually do that, but."
"NxKhiMdI8uA","247000","252000"," They probably doing it so they can see each other up there begging for free money."
"NxKhiMdI8uA","253000","257000"," Uh, stock futures fall after Dow's worst week since October."
"NxKhiMdI8uA","257000","259000"," Doom."
"NxKhiMdI8uA","259000","264000"," Uh, we don't have the big painted red stuff up there though."
"NxKhiMdI8uA","264000","267000"," So we're not quite in markets and turmoil yet."
"NxKhiMdI8uA","267000","269000"," And I don't expect that either."
"NxKhiMdI8uA","269000","275000"," I'm going to expect the market to be bought this morning and for us to trade to about 516."
"NxKhiMdI8uA","275000","277000"," Um, and then I think we're going to go higher."
"NxKhiMdI8uA","277000","280000"," I think we're going to go up to 520, believe it or not."
