"start","end","text"
"6580","9560"," Let's see what we're"
"9560","17700"," going to put on."
"39150","40010"," How are you, Black Friday?"
"40230","40290"," Everybody?"
"40450","40750"," Good morning."
"42310","45390"," Can we just second here and try to get everything up and running?"
"48830","49230"," Okay. "
"49570","60840"," So give me just a second here."
"60840","64220"," I'm going to kind of bring, this is a 15 minute chart just if you guys want to know."
"64820","66720"," Anyone that's here right now, good morning everybody. "
"67800","68420"," Good morning."
"68620","69160"," Good morning."
"69340","69540"," Good morning morning. "
"70920","71960"," Hold on a second here."
"72780","74180"," So we're going to go over a few things."
"74640","82280"," I've got the news up for you this morning to be able to hear the news, this is a 15"
"82280","82940"," minute chart. "
"83640","86900"," I don't know if I can get a nice, maybe I can get a nice five minute chart up, I"
"86900","88620"," can squeeze it all in."
"89400","90620"," Yeah, I don't think so."
"90860","91100"," Maybe. "
"91920","93920"," Let's see if we can get a 15 minute chart in there."
"94540","95800"," There's a five minute chart here."
"95920","96360"," This might help. "
"97640","98300"," Hold on here."
"101220","102840"," Yeah, that's pretty good right there actually."
"105780","107420"," Are you guys want a one minute chart?"
"107680","109380"," We could do a one minute bar chart possibly too. "
"109580","110720"," Let's see what we can get in here."
"114920","117200"," Let's see if we can get a one minute bar chart for the day."
"118860","119440"," This is kind of cool. "
"119560","120240"," We can probably do this."
"121660","122580"," Hold on a minute."
"127130","128789"," That's almost perfect right there. "
"129509","132130"," That's a one minute bar chart for the day."
"132430","134870"," This is our here's our three or two."
"135170","137010"," I didn't put in any of the previous lows. "
"137310","142130"," So in your own charts, you probably want to put on, you know, some previous lows and stuff."
"144490","149770"," But this chart does have at least our support the s threes down the bottom right over here s two"
"149770","151790"," s one pivot points."
"152310","153950"," We're still above the pivot point at this point. "
"155790","161830"," So I'll leave this chart, this paper chart up for you so you can relate it to the book map"
"161830","165350"," chart and see where real support is that kind of stuff."
"165990","168910"," You can kind of see where I cursor is this 400 down here."
"169410","171170"," This is kind of a magnet down here. "
"171890","176030"," So just by looking this morning, it looks like there is, you know, like some kind of a magnet down"
"176030","176450"," at 400."
"179030","181130"," Maybe that's where we get our three today."
"182650","186610"," We certainly don't want to break this line down here. "
"186730","189550"," If you look on book map, you can see that solid yellow line down below."
"190210","195310"," And we can see that have these sellers on book map as well, much higher up here, right?"
"195970","197670"," So I want you to pay attention to that today."
"199750","201110"," I'm going to leave up. "
"201690","205390"," So I have a bunch of stuff I have to do for next week for the stream and for the"
"205390","205730"," newsletter."
"206650","212290"," So we can, I can kind of streamline this stuff and let it, let it come out every week or"
"212290","212990"," not more."
"213070","214450"," Just consistently for you. "
"216450","219850"," So you'll have that done for me from me by Monday."
"223220","226000"," So today, if there's anything huge, I'll stop in."
"226700","232700"," If I have the time, I'll try to stop in and comment if it deserves a comment this morning. "
"235340","236600"," Who else is it going to see?"
"236600","241680"," If you want, I can quickly, well, I'll say good morning, everybody."
"241880","243720"," If you're all joining us right now, good morning to you."
"244180","250200"," So this stream, if ever have something else to take care of on a day, you'll see something similar"
"250200","250560"," to this. "
"250560","253640"," You're going to get a better book map version of book map as of next week."
"254280","256760"," And you're also going to get trade the news as of next week."
"256820","258339"," So you're going to get the best news service. "
"260899","262560"," So remember not here, okay?"
"263840","266360"," So just for today, this is a little be up."
"266980","268760"," You can listen to the news in the background."
"269360","272520"," It'll pop on and off as the news comes on. "
"272700","274160"," I would expect a light volume day today."
"274920","278400"," Just like I expected that too on Wednesday, but we didn't get it."
"278540","285080"," But today, it's a small, short day, only till 1 p.m. They could pin this market sideways right into"
"285080","285760"," the clothes too. "
"286640","289600"," Just to make sure that spreads prints for banks."
"291160","292300"," So be aware of that."
"293440","295840"," And this should correspond quite well right here, right?"
