"start","end","text"
"520","1380"," Back one, two."
"55140","55760"," What's going on?"
"55900","56620"," Poke the jukebox?"
"57040","57360"," Juicebox?"
"57540","57780"," Good morning."
"82670","84990"," 4-7 Global Business Radio Platform. "
"85310","87370"," This market regime is going to come with more volatility."
"90090","91350"," Turn that off, give it to you guys."
"91530","92710"," Give me just one sec quick second here. "
"92830","93570"," I got a couple things you got to do."
"102730","104650"," Let's get some technical stuff in the background."
"104850","105670"," I got to take care of it. "
"106150","107770"," I got some weirdness going on this morning too."
"107910","116330"," I've got setting up a new studio and I've got a lot of wonkiness going on."
"132790","133450"," Good morning. "
"133610","135830"," How's everybody's weekend, by the way?"
"137790","140210"," I don't know what is going on with this."
"141110","145110"," Oh, maybe more."
"145470","145950"," I need more. "
"161180","162800"," That's kind of helping."
"163660","164420"," That's pretty good."
"166140","166860"," Good morning. "
"166960","167260"," Good morning."
"177460","178920"," Just one second here."
"197360","199220"," What am I missing here?"
"200440","201120"," Missing something. "
"202300","202880"," There we go."
"204280","205220"," Let's see if that..."
"207980","209820"," You know, good morning."
"210040","210940"," Hold on to the second here. "
"211040","212040"," I got a couple more things you got to do."
"212600","218760"," I'm setting up a new office space in the Bank of England, guilt sale results for the week."
"220100","221240"," I couldn't hear that. "
"225220","235160"," So just keeping an eye on the opening moves as well here."
"235360","237420"," S&P 500 erased that opening move."
"237620","239440"," It's still up, zero spot, four percent on the session. "
"240780","244480"," We're going to talk about the S&P right now, right where it's at."
"244480","247900"," What does it mean?"
"250140","252220"," I can burn this out a little bit."
"256740","261100"," Got some gaps to close down below from the open this morning right down here. "
"261200","263540"," I don't know if you can see them on your screen or right there and there."
"264280","265440"," Some quick gaps to close."
"266420","269720"," I'm going to turn this into it. "
"272200","274520"," This stream is sponsored by Tickshrike."
"275120","279400"," Tickshrike allows you to actually hear water flame futures, forex and stock instruments."
"280300","282620"," Get a free trial at tickshrike.com."
"291220","292480"," I think I'm going to lose this. "
"294280","302100"," I ordered some new monitor holders."
"302620","303440"," They're not here right now."
"303880","305640"," I've got monitors but no monitor holders. "
"308360","309440"," So that's all wonky."
"309520","314160"," The Bank of England sells 790 million pounds of bonds in an auction, receiving one spot to five"
"314160","318540"," billion pounds in bids with an APF guilt sale operation cover ratio of a one to 58."
"319120","320240"," So bear with me today. "
"320640","321980"," Bear with me with the camera and the microphone."
"321980","331410"," The microphone is like whacked out of the way and I've got screens that are like I got a"
"331410","339310"," screen on like whatever comes in."
"339430","340030"," Hold on one second here. "
"356740","362140"," Apple selling off on the open this morning, further selling off in Apple."
"362140","363920"," Looks like pretty pretty ugly right now."
"365020","369140"," Now we want to talk to you about our Friday clothes here. "
"370640","372140"," Let's get back over here."
"376020","381080"," So in the Friday clothes, remember we had the hourly trigger."
"387770","390530"," We sold off on this hourly trigger somewhere up here. "
"391170","393990"," I don't exactly remember where but it's somewhere up here."
"394950","399230"," We knew that the hourly trigger would march down over the weekend, right?"
"400070","406690"," Kind of match up to the open this morning."
"406690","416490"," We expected the weekend to get bought and we're also expecting some cells off the hourly"
"416490","416990"," trigger. "
"417330","425240"," Now there's there's something to talk about here with this hourly trigger."
"425540","432020"," Now we're going to talk about this hourly trigger and its importance and what the attempt is here."
"437610","440410"," We're going to switch over to the trigger screen. "
"441010","447650"," Now there's something in progress here, right?"
"447870","452310"," So you saw the hourly trigger was way up here following my cursor and we knew the hourly trigger"
"452310","453950"," would come back down over the weekend."
"455110","457570"," So far the spy is holding."
"459190","462050"," Given that, there's a couple of things to say here. "
"462330","467090"," Remember what, it's not that easy to drop the S&P 500 to spy."
"468450","471810"," We're having a pullback or correction either."
"473670","479130"," It's still not an easy thing to, you know, create a turn of correction to a crash. "
"480770","485430"," Actually, I'm actually really far away from the whole crash."
"492290","494530"," So we're watching this right now."
"497530","503270"," So I got some new monitors so it can get that better. "
"505590","511409"," The first thing is this, whether we have the pullback or the correction, the S&P 500 is not one"
"511409","512010"," company, right?"
"512110","514030"," It's not Tesla, it's not Apple, anything like that."
"515710","517630"," And there's two notes to make here."
"518450","521230"," We can rotate into other sectors. "
"521669","524570"," We'll take a look at some sectors this morning as well."
"525590","530310"," As some sectors have been murdered, they're straight down at like three to five percent push"
"530310","531450"," stocks."
"531570","538170"," There could be some rotation but also to a key point here to know it would be, as they come"
"538170","542470"," down on this daily trigger, it still has not given it up yet. "
"543450","546810"," And the hourly trigger has not crossed below the daily trigger."
"547090","550890"," So this is something that we're looking for that has not happened yet."
"551110","558810"," So if we're going to just show you the daily trigger here and see the daily trigger is marching"
"558810","559250"," higher. "
"559870","566770"," You can also see that the hourly trigger is not crossed below the daily trigger yet with price"
"566770","571750"," leading the way to the downside on the S&P 500."
"572170","577630"," To turn this in from, we actually still haven't confirmed a correction at this point."
"578030","578870"," I know it sounds crazy. "
"579510","580670"," I know that you want it to be."
"580930","582890"," I kind of want it to be two to some extent."
"583730","588010"," We'll talk about that later too because I have to make a decision if I'm going to sit around here"
"588010","590050"," for two or three months or not. "
"590270","597350"," But at this point, there still has been no confirmation, no three trigger, four trigger cluster to"
"597350","599350"," the downside yet on the S&P 500."
"599670","601050"," At least on spy, there hasn't been."
"601230","605590"," And we'll look at ES and SPX as well. "
"605590","609670"," So as far as this looks right now, we're still not there."
"610530","613210"," Now, this is all in the Bears Court, right?"
"613410","616650"," Bears are selling off of this daily trigger."
"617410","620070"," And they're attempting to sell off it again today. "
"620290","621350"," This is what they want to do."
"622070","623590"," I don't know if they're going to be successful."
"623810","628410"," I don't think they're going to be successful until possibly Wednesday or Thursday. "
"630250","631650"," If they are going to be successful."
"631810","638650"," I don't think they're most certainly is."
"640910","648030"," So if they're right, if they're right, now that we're getting a correction, we're going to know it"
"648030","648950"," pretty quickly. "
