"start","end","text"
"36870","39010"," Good morning, stonks, anonymous."
"39290","40090"," Good morning, Philip."
"40950","42450"," Morning, Jill, Dragon Wolf. "
"43750","47370"," OT, Christo, Rataj, Gerald, Endless, Jasmine."
"48230","49310"," Good morning, everybody."
"49650","50410"," Good morning, your wife's boyfriend. "
"51530","52370"," Can you all hear me?"
"59090","59690"," Good morning, Binky."
"59990","63670"," Good morning, Joe, Konstantinos, Matthew, Kirk."
"63950","64630"," Good morning, all of you. "
"65730","67010"," Good morning, Angie."
"68090","68590"," Morning, JJ."
"75990","77530"," Morning, Brad, you guys can hear me. "
"77790","78330"," Good morning, Joey."
"78710","81290"," Hey, I, Desperado, everybody's here hot case."
"81850","83790"," Look at this, everybody's showing up to the morning stream. "
"84190","86890"," Everybody knows what's going on this morning."
"90280","93520"," Who knew slowly home prices were a negative catalyst for the morning?"
"94400","96720"," Yeah, so Ben, good points."
"97460","102260"," So even prior to today, we knew that there was declining home prices. "
"103520","113020"," When we had the new home starts, that number came in bad, it showed a decline"
"113020","116940"," in price due to a slowed out of new home starts."
"117520","121920"," So I don't know that this news, is that, is it coming off as negative this morning?"
"122860","125520"," Can you talk about that some more in text?"
"126000","126680"," Whoever brought that up?"
"127060","132640"," Because it'll be used as a negative catalyst, though we already knew about this earlier this past"
"132640","133000"," week."
"133540","138720"," So Benjamin, can you say, if they're making this negative or positive news, as it can be used on"
"138720","139020"," both sides of the morning?"
"139020","139620"," sides. "
"141160","142080"," Morning, Kark Kerry."
"142220","142700"," Good morning, Chris."
"142940","143820"," Good morning, look, it's Kirby. "
"144000","144580"," Good morning, Denny."
"144740","145480"," Good morning, Mr. Bragg."
"145660","146100"," Good morning, Alan. "
"146560","147660"," Morning, Zio, Rick."
"148180","148920"," Hit Mikey."
"151220","155120"," Okay, so we have to, I only have a few minutes to talk to you guys about this before we"
"155120","158680"," start the Danny Janet, understand what's going on from this point forward, okay?"
"159320","166060"," Why you understand that yesterday, we did not know if when we, we knew we were going to hit 4,"
"166080","168300"," 7, 8, 0, but we don't know when, right?"
"168480","174000"," Is it going to happen in the overnight, sometimes in those liquid markets, we will have a short"
"174000","178820"," operation, try to run a cell job on our price target, right?"
"178940","184680"," If there's not a lot of room, we're seeing that somewhat happen right now into the open. "
"185040","189360"," It didn't take place in the overnight, but it is taking place this morning where we are right now."
"190240","197360"," Now, we are trailing back to where the closing price was for the opening bell coming up here, and"
"197360","200120"," we are seeing some sellers come in at the bell."
"200260","203720"," If you guys are looking up here, you can see these are sellers above here. "
"204060","210100"," I want you to realize that, what you guys have to press upon you guys, that we are targeted to"
"210100","216680"," hit 4, 7, 8, 0, and we're being placed here to make that look above right at the bell, okay?"
"217240","221220"," So, we're going to pin to this number, maybe slightly lower, bounce around until we break through"
"221220","222480"," and absorb sellers."
"222980","229740"," If it becomes a trick where we're selling down at the bell, we will know by using, by watching"
"229740","236360"," BookMap, and you want to be looking for that, that supply of sellers at the bell, and you want to"
"236360","238340"," see the buyers not showing up."
"238400","244480"," If you see the buyers are not showing up, if you see this river on the buy side, disappear, you'll"
"244480","246680"," want to look to see where they do reappear. "
"246860","249140"," How far down do they want to buy the dip today?"
"249720","254160"," Now, I'm adding in the hero indicator this morning, and I want you to understand what you should be"
"254160","255500"," looking for in the hero indicator."
"255880","258959"," Down here at the bottom of your screen, you're going to see this purple line."
"259600","267920"," It won't react until we're in the actual cash market, but once it reacts, it is separate from the"
"267920","270000"," order flow on your top right hand side here. "
"270760","280720"," What you're going to be looking for before it happens is a change that"
"280720","284660"," we are not only just going down slightly, but we're going to go down heavy in the future."
"285080","290980"," If you see a steep incline in the hero indicator before we move up or make any major moves, let's"
"290980","296220"," say we're grinding away at that wall at 4780, yet the hero indicator starts to go up."
"296300","301880"," It'll show that the order flow is coming in for options saying we're going higher. "
"302280","309180"," If you start to see that we're grinding at this wall above us, and you start to see massive put"
"309180","314580"," flow before we sell down, before the dealers start to buy or sell, right?"
"314760","320060"," So if we get lots of calls, they're going to buy equities, and that'll produce itself later on in"
"320060","320480"," the market."
"321180","326340"," So you'll see, I guess what I'm trying to say to you is if you see the stock price going"
"326340","331800"," down and the hero indicator going down at the same time, it doesn't really work as an indicator."
"332480","339720"," It only works as an indicator if you see the price say staying kind of flatish, yet the hero"
"339720","346300"," indicator goes flying way up, or if you see it staying flatish, the stock price, and then you see"
"346300","350660"," the hero indicator go far, far down before there's movement. "
"351440","352820"," So be conscious of that."
"352980","355840"," It doesn't work when it follows the stock price."
"356180","361080"," It really works better when we see massive inflows of puts or calls. "
"361560","366060"," You guys understanding all this out here as we come into the open, we check and see."
"367680","371180"," So I just want to make sure you guys understand the hero indicator as we trade it."
"371480","376140"," It may or may, sometimes it works by showing you what you need to see, and sometimes it doesn't. "
"376300","382540"," So do not rely upon it unless you see the stock price, let's say you see the stock price today"
"382540","388120"," at 4780, and you see that hero indicator going up, but the price hasn't moved yet."
"388660","393100"," That is when you're looking, that's what you're looking for to go long to that 4825."
"393100","395780"," I'm pretty, I'm pretty clear. "
"396100","401340"," Spot Gamma has that same number tagged 4825 is what they're looking for."
"401620","405100"," We are pinned in a call wall right now at 4780."
"406240","410100"," So we are looking for hedges to come off on the put side. "
"410380","416760"," We're looking for a call, a hedging and call call, our dated calls are short or long dated,"
"417280","418640"," depending on the market at the open today."
"418920","425300"," You can see there is some sell side activity above here right now, right at 4780, and you'll also"
"425300","427680"," see it, you see this sell side above here."
"428640","430760"," This is kind of important to be seeing, okay. "
"431180","433640"," There are sellers showing up today, unlike yesterday."
"434140","438060"," There is some resistance, but there are some dip buyers down below here."
"438320","444820"," I want you to see that there's also buy side at this 477 number and lower into 476. "
"445520","446800"," So there are buyers lining up."
"447060","452340"," You know that sometimes these, these buyers and sellers can disappear after the bell."
"452620","456960"," I want you to be paying attention to this white line right here, this vertical white line, I want"
"456960","461980"," you to be paying attention because you will see the buyers or sellers disappear before it hits the"
"461980","463600"," tape over here, okay. "
