"id","start","end","text"
"P5MFN3UD4Xs","0","4720"," It's good to see Jim we're all trying to make sense of these what seem like fantastic numbers"
"P5MFN3UD4Xs","4720","9000"," but then again set offset against what you think the Fed may or may not do and how you"
"P5MFN3UD4Xs","9000","12840"," think that's going to impact markets over time."
"P5MFN3UD4Xs","12840","17040"," I think this is really, really good market for this really good numbers for the stock"
"P5MFN3UD4Xs","17040","22040"," market Andrew here it is just one number and they tend to be volatile so you got to take"
"P5MFN3UD4Xs","22040","26620"," it with a grain of salt but what this did I mean I think a real concern was building"
"P5MFN3UD4Xs","26620","31580"," with the bond yield collapsing towards 1% on the 10 year here earlier this week as we"
"P5MFN3UD4Xs","31580","38900"," were down to 1.12 or now almost up to 1.29 this morning that is a huge turn I think technically"
"P5MFN3UD4Xs","38900","44740"," that's going to raise a lot for a lot of people that bond yields are done going down and maybe"
"P5MFN3UD4Xs","44740","51900"," head it up again and what this does more than anything is it causes a big shift in the leadership"
"P5MFN3UD4Xs","51900","56760"," of this stock market you can see this already where the Nasdaq is off a lot this morning"
"P5MFN3UD4Xs","56760","63260"," and small cap stocks their futures are way up the recipe is not doing much but the undertow"
"P5MFN3UD4Xs","63260","69340"," here is shifted towards cyclicals and smalls maybe even international markets to some degree"
"P5MFN3UD4Xs","69340","75100"," those more sensitive to the economy and away from defensive and growth stocks which have"
"P5MFN3UD4Xs","75100","79380"," been leading for a while here and you know I think that's the undertow I think the other"
"P5MFN3UD4Xs","79380","85180"," thing this does is sort of calm down these covid fears a little bit and reminds people"
"P5MFN3UD4Xs","85180","91080"," that there's still an incredible fundamental story here going on not only being reported"
"P5MFN3UD4Xs","91080","97940"," by company earnings but now on Main Street as well in calm some of those fears yeah tightening"
"P5MFN3UD4Xs","97940","102300"," is going to come at some point but I'll tell you what when we're when we're growing earnings"
"P5MFN3UD4Xs","102300","108460"," like we're growing them and we have a you know a sub 1.3% 10 year treasury yield Andrew"
"P5MFN3UD4Xs","108460","111900"," I think we've got to get some tightening of the system before this stock market is"
"P5MFN3UD4Xs","111900","116860"," going to run into real trouble."
