"start","end","text"
"37680","38660"," Check one, two, baby."
"40920","42160"," That's a little loud, isn't it?"
"75580","76320"," Good morning."
"80610","81610"," Let's get right into it. "
"81650","82310"," We gotta get moving here."
"119940","122760"," That's the cues they probably want to look at today, too, right?"
"124020","124980"," And WM."
"133500","144850"," Let's get right into"
"144850","145270"," it this morning. "
"145470","146750"," Good morning to all of you out there."
"148670","151210"," Let me just say I'm going to make sure that everything lined up here."
"151790","153330"," We're in a little bit late this morning. "
"153330","162850"," I was trying to sleep in this morning because I was trying to short the market last night."
"163590","165950"," I was up until like 1.30 in the morning, 1 o'clock."
"166130","168250"," I think it was 1.30 in the morning. "
"169110","172470"," I was trying to short the market last night, and I got so tired."
"172610","173250"," I just fell asleep."
"173470","174070"," What did fall asleep?"
"174250","175250"," I was like, I ain't waiting for this. "
"176070","180710"," And then I woke up this morning and I'm like, it started dropping finally."
"181010","185470"," When I went to bed last night, Quinn was like, I'm going to bed."
"185770","187210"," I'm like, okay, I'm going to bed, too. "
"188470","191590"," So I wasn't able to actually short the market last night."
"191650","192690"," I'm kind of pissed off about it."
"192770","193450"," Just traded sideways. "
"194470","196170"," And eventually the hourly trigger came down."
"196310","197630"," We finally dropped in the overnight."
"202030","203590"," Just a second here so I can get ready here. "
"208480","209080"," Good morning."
"209200","209920"," How y'all doing out there?"
"210440","216420"," So I did miss the short, not sure about the selling last night."
"217560","219160"," It was a week on. "
"219880","222140"," I was awake the day, the night before."
"223160","224540"," And I made some money that night."
"224820","227300"," And then the last night I'm like, fuck this. "
"227580","230680"," I haven't slept in like 36 hours or 48 hours."
"231600","234080"," Like Sunday was dead and then Monday was good."
"235680","238220"," And then Tuesday and Wednesday I was like, hell no. "
"241750","243450"," To go around and I'll be all of you guys out there."
"243510","243910"," How's everybody doing?"
"244310","246170"," And I had a lot of those on last night."
"246510","247450"," They're getting torched. "
"247570","249090"," So I think I bought them at 18 cents."
"249410","251170"," They're at 18 or 20 cents."
"251610","253130"," They're at 4 cents right now. "
"253610","255589"," So I'm like, oh shit, those are gone too."
"259790","262010"," So we're sitting at the daily trigger."
"262110","266670"," Let's give you a quick, fast market overview and update here, right?"
"267610","272990"," I haven't put the hourly trigger here yet either because that came down in the overnight. "
"273150","273910"," Is that 4?"
"273910","278890"," 4 15, 4 15, 33."
"280890","283270"," So that came flying down last night too."
"283390","285050"," I was waiting for this to come down last night. "
"285310","286290"," Couldn't get it to come down."
"289590","292410"," I did a bunch of work on the discord last night too."
"292510","293730"," We'll talk about the discord today. "
"295370","298790"," And so we're having like a token theft."
"300170","302810"," So what happens in this token theft thing is."
"307290","308570"," 15, 27. "
"313160","314280"," That's for you guys."
"315660","318400"," What happens on token theft is."
"327840","329000"," A scammer. "
"329100","331720"," Well, they do this on YouTube and on discord."
"332760","335660"," It's like they're it's like they're they're emo right now."
"335800","339720"," So what they'll do is they'll they'll create a clone of a moderator. "
"342720","347300"," And they will like they make a clone and then the moderator, let's say, will send me a DM."
"348660","350880"," And they'll and it seems very innocuous."
"351060","352200"," You don't always check. "
"353960","359720"," You'll get a DM saying something like, Hey, can you do this or Hey, can you do that."
"361800","364280"," And or can you look at the let's say this cap?"
"364460","365680"," Can you look at this bot for me?"
"366120","367100"," Click through and check this bot?"
"367100","373660"," And of course, like the labeling is an innocuous and how they get to is you automatically assume"
"373660","374520"," it's someone that you know."
"375140","380400"," It's not like it's a DM from an unknown person or someone trying to be your friend. "
"381480","382660"," Any of that kind of stuff."
"382780","387160"," It's someone that you think you think closely of an admin, a moderator, stuff like that."
"387600","389000"," Same happens on YouTube. "
"390140","395400"," So I'll click through that link and then the the logger infects my computer."
"396300","400360"," From there, you call them the keys to the castle, right?"
"400500","403520"," So if you have like Discord or YouTube or Twitch."
"404580","408900"," You have these keys and they're kind of like these secret things, right?"
"409400","415320"," The next time that I log into YouTube, log out or in or log out or in or discord, they"
"415320","416880"," now have a copy of the keys. "
"417440","421600"," They go in, log me out and they re log back in and change the key."
"422240","424020"," And they hijack your server."
"424260","425740"," They hijack your YouTube channel. "
"426740","432800"," And that's basically what's going on inside of our discord."
"433360","435420"," It just happened recently to."
"438180","438900"," What's his name?"
"439000","441220"," I forget his name right now, Linus Tech. "
"442540","446080"," Through one of his moderators, it started there and then it started infecting their fucking"
"446080","447240"," computers and all that kind of shit."
"447360","448580"," They're on the same network and that was it."
"448580","449620"," It was over. "
"449960","453900"," Matter of fact, that's when you see the Elon YouTube videos, YouTube live streams."
"454880","458380"," From from from high follow accounts and you're like, Oh, there's you."
"458900","459520"," Elon's up. "
"460080","462120"," You like, there's a million people watching right now."
"462140","463040"," They've got a million followers."
"463180","466580"," That's a hijacked of account on YouTube. "
"468480","470400"," So we're dealing with that right now in the background."
"470580","472760"," So I was up doing that crap last night as well."
"476950","477350"," Okay. "
"477670","481630"," So on this open right here, we're going to we're going to look back to Friday."
"481950","482150"," Okay."
"482710","488870"," So if you go back into Friday's live stream, there were a few points that I made to you on"
"488870","489830"," Friday's live stream. "
"493480","497120"," We're going to look at we're going to look specifically at Friday's live stream."
"497220","498900"," We're going to talk to you guys about Friday's live stream."
"504680","508580"," So during Friday's live stream, we were coming down. "
"508820","510680"," This is where the hourly trigger was."
"510880","511320"," Oh, shit."
"511500","514620"," We're going to start the day off with this. "
"518179","519080"," Just say in here."
"527730","529170"," So on Friday's live stream."
"530470","531850"," This is where the early was. "
"531870","533530"," We came back down and checked it, right?"
"534210","538950"," And just before we went up here, I had said to you, we're going to enter this trade here."
"539170","540510"," We're going to get out of this trade here."
"540750","548330"," And we're going to get the comments in the chat will ask, should I buy here, right?"
"549090","553450"," And we're going to say, no, we're going to exit up here before we get there, right?"
"553910","558310"," So we actually did exit here and people were asking in the chat here. "
"558810","560450"," Should I get long for 430?"
"561170","564890"," We actually did still get those bulls asking us, do you get long there?"
"564890","571730"," Now, we did buy some, we did throw some profit in here for one more squeeze higher into the"
"571730","573290"," following day, but it was dirt cheap."
"573430","575110"," It was like 30 cents or something like that."
"575450","579710"," We actually got paid, I think, I think we paid 60 cents or something like that. "
"579770","582550"," We got paid on this trade to go over."
"582690","589350"," But even so, as we had come into doing it, the dates right here are the dates wrong or like"
"589350","590210"," the days wrong."
"590210","592430"," Yeah, so we can't, yeah, exactly. "
"592610","594410"," So we came in a Friday right here this Thursday."
"595050","601090"," As we came into Friday here and we were exiting, as we were exiting on Friday, we had spoken about"
"601090","608310"," making, having a cooling off period down into Wednesday."
"609510","613370"," Now, I didn't expect this to roll over yesterday. "
"613410","615650"," I was expecting this to roll over today."
"615770","616790"," You can see it right here."
"616790","624690"," I was expecting us to trade down into this zone right here and then have your capitulation move for"
"624690","626770"," the Fed minutes. "
"626770","631670"," Like panic, we talked about this on, I believe, Friday or Monday."
"631890","637290"," Whenever this started here, like on this date, we started talking about setting this up for"
"637290","640470"," capitulation into the Fed minutes, right?"
"640870","645490"," Bad news, bad news, no pause, rate hike 50 BPS."
"645490","647690"," We got it a day early here. "
"647830","649610"," I'm not really too concerned with this."
"649790","653430"," I did send some people over the weekend."
"653430","660670"," I sent some people this target down here and it actually was for the 23rd. "
"660930","665490"," So any of you out there that got that email over the weekend, if you're watching this broadcast, it"
"665490","667950"," actually was for the 23rd, not the 24th."
"668910","672850"," So it's a day early, but at the same time, we kind of knew going in."
"672990","674830"," I sent you a chart in DMs, I think. "
"675170","680550"," I think I sent it to Joe Donut and Jay Roll, a bunch of other people."
"681110","687430"," I kind of expect this move down into Tuesday, not Wednesday, but either way, whether we got it"
"687430","689910"," yesterday or today really isn't important."
"691090","697210"," But that we did get that volatility we were looking for, we did get the pullback that we were"
"697210","697790"," looking for. "
"698750","704890"," What's fascinating is that coming down here, there's some notes to make about this move down."
"705570","710750"," The first of which is on market breath, you guys, I know you guys check market breath in the"
"710750","710990"," background."
"711230","715770"," I'm going to look at it right now because the data wasn't out yet this morning. "
"715770","719790"," So I was waiting for it before the open this morning and the data hadn't been out yet."
"719810","720830"," I wanted to see it."
"723190","724970"," I wanted to see market breath. "
"725210","726970"," So I'm going to show you guys some of this stuff briefly."
"727810","732910"," We got time here, we shouldn't, we shouldn't see too much death and destruction, that kind of"
"732910","733190"," stuff."
"738960","741020"," The second here, I'll bring this stuff over for you. "
"748740","750840"," So we're still down here, right?"
"750980","757460"," We've got 35, we've got 33.6% on market breath, right?"
"758380","761460"," Price has not followed breath down at this point."
"762980","767000"," And even on zigzag channels, we're still in an upward trend."
"767520","771620"," I do want you to see that we're still an upward trend here. "
"771840","772720"," Nothing has changed."
"773480","775720"," These dips have all been bought here."
"775880","778620"," One, two, three back here. "
"778760","781080"," This goes all the way back to October, believe it or not."
"782140","786420"," And so even with the panic that's in the market right now, price hasn't followed."
"786600","793660"," And that's a key point is that even as breath goes down here, there's some risk here to a full"
"793660","794300"," liquidation. "
"794900","799800"," But even with that full liquidation, if we were in a bear market, you would have seen price already"
"799800","801180"," down here."
"801180","803220"," Let's say at 400, maybe even 395."
"804180","805680"," And then you'd see the liquidation. "
"806080","806580"," Does that make sense?"
"806760","811500"," You just see that bloodbath that you're looking for if you're a bear, your collapse bear, crash"
"811500","811940"," bear."
"812980","814400"," Because FCX is down."
"814780","817080"," We're going to take a look at FCX and copper this morning as well. "
"817860","820000"," And I know that you're being pumped full of stuff."
"820460","824680"," I told tell you that sometimes I watch CNN and see what they're telling people."
"825280","829720"," I want to see what they're telling Bob on Main Street and Sue on Main Street. "
"829720","831400"," And they were like, everything is fine."
"831640","834720"," But then yesterday, they got real like bearish."
"834820","839960"," They were like, oh, by the way, if we get a debt ceiling fix, the market is in doom as"
"839960","840140"," well. "
"840140","843120"," And they weren't saying that up into yesterday."
"844140","848880"," Another thing that we noticed yesterday was that they were closing puts in the money."
"849460","855380"," We also noticed that with the first time in weeks, we had double the normal zero date puts come"
"855380","855880"," into the market. "
"855880","865020"," Normally, it's like 200,000 300,000 yesterday, zero dates maxed out like five, 30, 540,000 zero"
"865020","866860"," date puts that closed in the money."
"867020","870180"," Those are all like key points indicators that you want to be watching."
"872060","875560"," On a weekly here, weekly timeframe, I just want you to see this briefly. "
"879150","880810"," On a weekly basis here."
"882550","884090"," They can get rid of this for a minute."
"886350","889170"," You can see right here to do want to show you this. "
"889570","894090"," So when we get these capitulation moves, you can see one right there, right?"
"894250","897670"," You can see one right there and we're kind of heading towards that right now."
"898310","900730"," So we're going to be looking for that as we head higher."
"901050","903030"," Is that at that 400 down here?"
"903170","903730"," Does that make sense?"
"903950","905910"," Do you see that breath on the weekly?"
"906890","910850"," And we have not rolled over at this point as well, right?"
"910850","913530"," We're still climbing here as well this morning. "
"916820","918560"," Right on right on, baby."
"919000","919460"," I see that."
"919580","920480"," I see that tweet. "
"921040","921980"," I see that text."
"925220","927940"," So I got we've been blown up by a good friend of mine."
"931220","933200"," So just on weekly here too. "
"933360","935820"," I want to show you something else on weekly trend here."
"936620","938540"," You guys get panicked out there."
"941440","945080"," Just on weekly, we fought down in this double bottom down here. "
"945820","948000"," We're coming above right here in PPO."
"949060","953160"," And we don't normally see when we on a weekly basis, we come up on PPO."
