"start","end","text"
"81570","82350"," Check 1-2."
"86690","87970"," All right, I'll get right into it."
"91360","92580"," Check 1-2, good morning. "
"93460","98560"," I've got a couple things I've got to do here real quick, and we'll get right into it."
"103620","110240"," I've got something for, hopefully, if Winky shows up this morning, we'll have something for him."
"123390","127030"," Not much has changed this morning. "
"127970","134520"," It's a title of this morning's stream."
"135980","138740"," I'm assuming that everyone woke up this morning pumped."
"139640","142720"," The close yesterday looked really good. "
"144520","147300"," Well, I've got that up there."
"149820","153740"," Yesterday's close was extremely bullish."
"154080","156040"," So yesterday I had, first good morning. "
"156860","157820"," See who's here?"
"160360","162820"," Yeah, it was off yesterday."
"163580","168680"," I took that early morning off to go back to the orthodontist, but then I came home and the power,"
"168820","170440"," not the power, the internet was out."
"170760","174460"," I was really weird too because I'm like, they're not going to believe this. "
"174840","176560"," I'm like, there's no way they're going to believe this."
"178060","180480"," And so I got home and the internet was out."
"180640","189140"," There was a car accident over on telegraph, and Detroit was on telegraph and Grand River or"
"189140","192340"," something, and knocked out the internet. "
"193540","198380"," And then, of course, they were like 1230 to be back on, and then it didn't come back on until"
"198380","205380"," late that night, but I didn't want to trade yesterday without the internet."
"205380","206480"," I didn't want to turn on my phone."
"209120","214600"," Let me see. "
"214740","215260"," So good morning."
"215400","221880"," In the meeting at China reported his current situation of its late in COVID prevention and control."
"222320","224000"," I've got nonsense fed speakers. "
"224320","226300"," Just diarrhea shit thrown on the walls this morning."
"227060","228100"," Morning, wakey."
"228820","230080"," Yeah, I got braces. "
"231580","236060"," No, I get bread and water, not the braces."
"238240","239320"," Good morning, Herushi."
"239480","239760"," How are you?"
"239940","240440"," Good morning. "
"243440","244700"," Market makes big moves."
"246460","250020"," Good morning, baking, morning, dean, morning, Otis, morning, Tony."
"250940","255920"," To me, a whole lot hasn't changed here in the market, which is kind of crazy because the morning is"
"255920","256160"," sweet out. "
"256680","257660"," That daughter's great."
"257880","258399"," Everybody's fine."
"258740","260899"," It's more just discomfort, that kind of stuff. "
"263270","263990"," And then availability."
"265430","271690"," So you'll get some unplanned morning event to get an unplanned morning event to get stuff done."
"273810","276350"," So not a lot changed yesterday either, though, right?"
"276790","278830"," We're going to show you a couple things this morning. "
"279550","281450"," I want to kind of show you where the market is still."
"286130","288090"," I think we talked about this on."
"290650","294050"," I think we talked about this on when was it?"
"296730","299010"," On the third two days ago, we talked about this. "
"299170","300590"," So we're going to talk about it again this morning."
