"start","end","text"
"80710","82090"," All right, good morning."
"83210","84710"," Check 1-2."
"86550","88190"," Check 1-2. "
"91810","92710"," Okay, let's see."
"93090","93610"," Let's take it in."
"93970","94650"," It's kind of weird morning. "
"95050","96170"," Some weird stuff."
"97650","98730"," Hey, I'll do it out there."
"98790","99090"," Good morning. "
"100550","101370"," Happy holidays."
"102810","109640"," I got my coffee this morning, so I'm gonna let us see who's here right now."
"114120","121420"," As it's the holidays, should we keep the Russian bot huckers and the pumpers out this morning, or"
"121420","122060"," should we leave them in?"
"122820","131580"," You know what, it did not put those words in there yesterday for certain people. "
"132000","134020"," I don't mind doing..."
"134640","137180"," I'm not like opposed to..."
"137180","139880"," I've tried a day I'm seeing the past."
"140840","142300"," It's like I'm not willing to do that."
"142400","144140"," It's just when the constant pumps come in. "
"144220","146380"," It's just kind of killing me here."
"147240","149000"," And I agree with Winky on that for sure."
"151400","152840"," I know we don't want to clog up the stream. "
"156740","158260"," I got a couple things here."
"158460","159580"," We got to enable some stuff."
"160140","161540"," You know, I was just thinking about Winky. "
"162300","165420"," I made a post on Twitter last night in the middle of the night."
"166400","168280"," So I got alert last night in the middle of the night."
"168320","172580"," I wake up and sure enough, market's selling off. "
"174220","176520"," We're having a market crash in the middle of the night."
"177420","182100"," And I wake up to short the market down."
"182100","191820"," And the first thing that clicked my mind was yesterday, Winky and I were like, I think I was like,"
"192080","198060"," I had some zero dates and then I grabbed some calls for today or something. "
"199300","201200"," No, is it today or the next day or something?"
"201600","205900"," And anyways, the market kept going up so I turned them in, took my money and ran."
"205900","211140"," And I think that Winky did the same thing yesterday."
"213680","214880"," So good morning. "
"216060","217120"," How are y'all doing today?"
"219680","222680"," So I think most of you closed them out yesterday."
"223900","227500"," And then, of course, I'm up last night at the middle of the night."
"228220","229660"," Oh, my God, I short this shit down. "
"230140","233120"," It was just an excuse to get to be honest with you."
"233120","239860"," We can talk about the end, but the truth is the market's just looking for any excuse."
"240760","243720"," To at least to try to get us down to the gap fill. "
"244160","247900"," So let's take anything and they ran with it last night."
"249140","258640"," And so I went, I traded it, traded a Globex last night and then I was like, you know"
"258640","263100"," what I'm done?"
