"start","end","text"
"4740","5700"," Check one two."
"7160","9600"," Check one two."
"10020","18990"," Did you do good morning?"
"22380","24080"," Good morning. "
"25080","26020"," Wrong way."
"26260","26940"," Wrong way."
"29160","33380"," Wrong way. "
"39560","40320"," Wrong way."
"40400","42080"," Wrong way."
"42500","58950"," Is it"
"58950","60550"," going to change or something like that or something like that?"
"66360","66780"," Sure. "
"71240","75150"," Good morning."
"75370","75830"," Good morning."
"77970","81510"," Look at us. "
"81930","83770"," Maybe we'll work on some of that stuff this weekend."
"89080","92360"," We'll probably talk about Elon today too."
"93560","94120"," Elon. "
"103100","103980"," Last stream."
"108320","109620"," I'm hearing my face too."
"109860","110780"," Good morning out there. "
"110780","111620"," How's everybody doing?"
"112120","114060"," Hope you're all doing well out there."
"122370","123470"," All right here."
"125470","126390"," Good morning everybody. "
"126570","126990"," How y'all doing?"
"128389","129530"," Get right into it."
"131410","133350"," Hope everybody's doing well out there."
"133590","134770"," Got some weirdness going on. "
"137470","139550"," Straight hairs or something like that."
"141210","143630"," Okay, so let's get started together here."
"143770","151490"," Get free daily points, Fibonacci and market profile levels by signing up to the tick.com."
"151730","158950"," Looks like we got bought with the mark up on the low down here in the overnight somewhere. "
"161390","163610"," Not to be not unexpected either."
"164390","166550"," We have some stuff to talk about this morning."
"167950","170430"," I got a couple things we got to do. "
"171350","175470"," We got to make sure the Russian trolls don't come in at some point today."
"178330","179630"," A couple things."
"180430","183090"," Every day it's like they could make this stuff simple. "
"183090","187030"," But they don't like all comments."
"187030","188170"," No, not all comments."
"189250","190210"," Sort by newest. "
"192850","194490"," We have some stuff to talk about today."
"194590","195110"," Some cool stuff."
"197090","198690"," We've got a problem. "
"198870","200470"," If I can get to it today."
"200770","203210"," We do need to be diligent on risk management."
"203530","209810"," If I can get to it today, we're going to talk about risk management with banks. "
"211950","213030"," Good morning, everybody."
"213110","213930"," How's everybody doing out there?"
"214330","215590"," We have some stuff to talk about."
"215710","216890"," We're going to talk about a role. "
"217290","219050"," If there is a role, how bad is it?"
"220170","224750"," When do you expect it every month in normalizing markets with low vol?"
"225070","228350"," It's on whether unemployment must rise to cut CPI."
"229450","237830"," I saw a fish and market hype on Twitter this morning posted about us being in a low vol situation."
"237830","241090"," Just heads up on open 924. "
"242110","246570"," I'm going to expect that we go down here and clear up some of these gaps that we have down"
"246570","246810"," below."
"248510","249830"," Though it's not required."
"251310","257070"," If we're going up into a close, we usually close the upside too, so that's possible as well. "
"257690","259130"," Personally, I'd like to see us close."
"260050","262450"," This gap down below, we've got some previous lows."
"262890","266170"," We can tag those right now and I'll give you some levels here in a moment. "
"267170","269250"," There's a previous low from the overnight."
"269410","271970"," I haven't checked the yes yet to see where that line is."
"272030","275470"," I'm assuming it's slightly lower down in here. "
"276730","279050"," I'll take a look at that at some point this morning."
"280010","282490"," We also have hidden in this yellow box."
"282650","284610"," I'll get rid of this yellow box real quick for you too. "
"286430","288630"," This is just your weekly expected range."
"289250","290290"," We talked about this yesterday."
"291610","293870"," There's some previous low stuff down here. "
"293870","296610"," You can see it back here if you're a bear and you're looking for new lows."
"296770","297650"," That's down there."
"297650","301750"," If there were to be a serious global financial event and markets froze. "
"303630","308210"," Yeah, this is going to be the talk that's going to be talked about by bears nonstop garbage"
"308210","308710"," talking."
"310290","311690"," It's going to be nonstop."
"312290","315010"," The official market hype though, this morning made a very good point. "
"315190","320070"," We've talked about this in our program, which is we're in a low-ball environment."
