"id","start","end","text"
"PhRszo8Gx_I","0","14000"," Good morning traders this is Captain Jim James with your daily brief I hope you're all were able to all of you were able to sleep in this morning get some rest after the wild day we had yesterday."
"PhRszo8Gx_I","14000","29000"," I'm going to keep this one short and to the point there is one other topic I'll talk about and that's just about entries and exiting how to enter and exit plays so that they are all well not always but mostly going in your direction."
"PhRszo8Gx_I","30000","38000"," First up this morning the ADP numbers are not expected to be material all eyes are on Friday."
"PhRszo8Gx_I","38000","53000"," We absolutely know that from yesterday's action and yes in the spy and SPX specifically the CDC reinstated the eviction moratorium whether that holds or sticks or the devil is in the details on that plan."
"PhRszo8Gx_I","53000","67000"," It doesn't really matter what matters is that it is hope for people that are affected by by the pandemic infrastructure deals back on the table and we're basically only missing another stimulus check."
"PhRszo8Gx_I","67000","77000"," Now I know earlier in the week we talked about those things being off the table and that they can be back on the table at any time and that's what that's just what happened yesterday."
"PhRszo8Gx_I","78000","87000"," So this is probably a pump for bad numbers on Friday. We also have the 10 year down yesterday with those a second tap on on lows on the 10 year."
"PhRszo8Gx_I","87000","94000"," So I would expect that they're going to try to pump this up for the rest of the week. The fed did show its hands yesterday."
"PhRszo8Gx_I","94000","106000"," You can call that bid on SPX and spy and NASDAQ whatever you like but surely Apple was bid up Amazon was bid up as well as the major indexes."
"PhRszo8Gx_I","107000","114000"," So at this point we do know that 46 or 436 10 is a no go zone."
"PhRszo8Gx_I","114000","124000"," Now the market and I want to stress this again the market likes to go in the path of least resistance where the sellers are or where the buyers are."
"PhRszo8Gx_I","125000","133000"," So I would expect today that we either go sideways and this established trading range that we have or we make a move up."
"PhRszo8Gx_I","133000","149000"," We will probe higher numbers. Now when we sold off back here on July 26th and July 29th most of this here is due to fair being too high in the market."
"PhRszo8Gx_I","150000","164000"," After being told yesterday nope we are at the bottom of the market over here at 436 10 the next logical step would be to build up a push for higher numbers or to go straight there to new all time highs."
"PhRszo8Gx_I","164000","173000"," Now we did do this last year in 2020. So don't be putting out that shocked Pikachu face if we do do that."
"PhRszo8Gx_I","173000","188000"," I just said do do twice. No shocked Pikachu faces if we start to look for this higher 440-44 or 445-59 and attempt to push it even higher."
"PhRszo8Gx_I","188000","193000"," Some people are talking about 450 as a price target now."
"PhRszo8Gx_I","193000","204000"," Last night I made a video and I was showing the bearish flag turning to a bull flag and I kind of got my lower support."
"PhRszo8Gx_I","204000","214000"," I got my lower support kind of wonky. What I really wanted to show you was this part of the bull flag that was developing as of last night."
"PhRszo8Gx_I","214000","219000"," So we're going to put this one in again one more time so you can see it. And there it is."
"PhRszo8Gx_I","219000","224000"," When I showed that spy chart last night two different spy charts it was actually this one right here."
"PhRszo8Gx_I","224000","231000"," So this white flag here has now turned into a very bullish setup. The question is where do you buy in."
"PhRszo8Gx_I","231000","240000"," Do you buy or do we gap up immediately take a rest and shoot up or do we come down here and bounce off of let's say 43801."
"PhRszo8Gx_I","240000","244000"," That will be decided today I can't predict the future on that."
"PhRszo8Gx_I","244000","249000"," I would not expect this though to trade below this 437.90 number."
"PhRszo8Gx_I","249000","257000"," And I am not bearish until we go below 430 star today. It would be 435.95."
"PhRszo8Gx_I","257000","262000"," Unless we cross below this number I'm not bearish."
"PhRszo8Gx_I","262000","268000"," Now I have had some bears tell me that they got burned or upside down yesterday."
"PhRszo8Gx_I","268000","275000"," One thing you have to consider whether you are a bull or a bear is when you are beginning your positions."
"PhRszo8Gx_I","275000","283000"," You can see here back in the 27th. Again let's say the 26th if you were a bull this was a signal to go long."
"PhRszo8Gx_I","283000","294000"," Same here in the 27th. And somewhere down here what you would have missed but we should have known that we were headed in this direction on the 30th."
"PhRszo8Gx_I","295000","299000"," Same thing goes as a bear you should be grabbing these tops here to come down."
"PhRszo8Gx_I","299000","306000"," So that same would hold true for today anywhere from this 440 to 442."
"PhRszo8Gx_I","306000","317000"," Now we did have a momentum change here yesterday which leads me to believe that the minimum we will attempt to tag this 442."
"PhRszo8Gx_I","317000","325000"," So consider this area here no man's land for bulls and bears in this area here no man's land for bulls and bears today."
"PhRszo8Gx_I","325000","328000"," Another issue is what exactly are you grabbing?"
"PhRszo8Gx_I","328000","335000"," If you are grabbing put spreads they are much safer and you can go outside of the money."
"PhRszo8Gx_I","335000","345000"," So if you were to grab a bear put spread up here let's say 441 they are not going to burn even if we bump up into this area up here 442."
"PhRszo8Gx_I","345000","349000"," When the same goes for bull call spreads over here."
"PhRszo8Gx_I","349000","355000"," Now if an established trend develops let's take a look at the 5 day."
"PhRszo8Gx_I","355000","362000"," You can see down here we did bounce off 436-10 and you can see Claire's day bull flags."
"PhRszo8Gx_I","362000","370000"," You should be looking for 1-2-3 taps and grabbing these bottoms here if you are going to be playing FDs or weeklies."
"PhRszo8Gx_I","370000","374000"," The same goes for bear flags on the way down bears."
"PhRszo8Gx_I","374000","389000"," Now one more thing is this when I enter my positions and you should too your position wherever you are grabbing them should within the first few minutes maybe 15 at most be going in your direction."
"PhRszo8Gx_I","389000","393000"," Let's say up here you are seeing a bull flag here."
"PhRszo8Gx_I","393000","398000"," This is on what the fourth I think the second."
"PhRszo8Gx_I","398000","403000"," Let's just pretend we thought this was a bull flag."
"PhRszo8Gx_I","403000","411000"," Let's say we are day trading here and we are saying to ourselves this thing is going to break up."
"PhRszo8Gx_I","411000","414000"," This is a great example right here especially for bulls."
"PhRszo8Gx_I","414000","419000"," Let's say we open the day and number one we are at 11.45 in the afternoon."
"PhRszo8Gx_I","419000","425000"," We already know that the middle of the daytime stocks and ETFs tend not to go up."
"PhRszo8Gx_I","425000","428000"," People take lunch right we talk about that every day."
"PhRszo8Gx_I","428000","431000"," That joke is about exactly that."
"PhRszo8Gx_I","431000","437000"," That's your first key indicator that we are not climbing in the middle of the afternoon."
"PhRszo8Gx_I","437000","443000"," The second indicator would be if you were to buy here and it falls off."
"PhRszo8Gx_I","443000","453000"," You could do this on the inverse as well if you were a bull or if you were bear and a bear flag fella or started to climb."
"PhRszo8Gx_I","453000","465000"," If your trade is not going your direction you need to wait for the first bounce back up and get out of it and rethink your timing of reentering that trade."
"PhRszo8Gx_I","465000","471000"," You've been a bull here, stayed in this trade, you never would have recovered from it."
"PhRszo8Gx_I","471000","474000"," It would have just kept burning you and burning you."
"PhRszo8Gx_I","474000","488000"," Even by coming back up here a day later so much time has passed and the intrinsic value of whatever option you had purchased had also burned off with time decay."
"PhRszo8Gx_I","488000","492000"," There is no real recovery had you bought calls in here to this point."
"PhRszo8Gx_I","492000","499000"," It's possible you would have come to maybe a 70% getting, let's say you get 70% of your money bag."
"PhRszo8Gx_I","499000","504000"," Especially on dailies that are FDs or weeklies."
"PhRszo8Gx_I","504000","513000"," Now if you had bought a monthly or a three month contract yes this would recover but it's most certainly not on these short dated call and put options."
"PhRszo8Gx_I","513000","523000"," So when you're playing a stock or an ETF on these short timeframes ensure that the movement is going in your direction immediately."
"PhRszo8Gx_I","523000","534000"," Now even then let's say you were playing FDs, let's say you're playing an FD on yesterday a call FD moving up into this close."
