"id","start","end","text"
"PkEz76Y0Dkk","0","15960"," All right, let's see if we're back on again or not just kind of fucked up like I don't"
"PkEz76Y0Dkk","15960","25040"," know what the fuck is going on here, but I want to restore pages."
"PkEz76Y0Dkk","25040","29760"," I do want to restore pages not those pages."
"PkEz76Y0Dkk","29760","44080"," We're listening to trade the news that's 24 hours a day, but still can't hear."
"PkEz76Y0Dkk","44080","49680"," Smashing in fashion."
"PkEz76Y0Dkk","49680","56280"," Yeah, I'm still having, I'm having, I'm still having issues."
"PkEz76Y0Dkk","56280","64480"," I'm still having technical fucking difficulties still."
"PkEz76Y0Dkk","64480","70000"," My last chance is going to be, my last chance is going to be a new power supply."
"PkEz76Y0Dkk","70000","81120"," Winky was saying earlier that he had to take his glass case off."
"PkEz76Y0Dkk","81120","83480"," So maybe that's what I'll do."
"PkEz76Y0Dkk","83480","92360"," Maybe I'll take the glass case off and see if it's just getting too hot in there."
"PkEz76Y0Dkk","92360","95120"," Maybe that's why it's turning off, but if it isn't, it's probably the power supply,"
"PkEz76Y0Dkk","95120","96120"," which is going to fuck me."
"PkEz76Y0Dkk","96120","101960"," Not fuck me, but I'm going to drop it off and have him put a power supply in for me."
"PkEz76Y0Dkk","101960","102960"," So let's see what's going on here."
"PkEz76Y0Dkk","102960","103960"," I'll take a quick look."
"PkEz76Y0Dkk","103960","111680"," We got a bounce here, right, bounce here below, bounce, bot right away."
"PkEz76Y0Dkk","111680","115280"," We know we have some resistance above here at R2 at 445."
"PkEz76Y0Dkk","115280","120080"," You can see his resistance here."
"PkEz76Y0Dkk","120080","124080"," Yeah, plus this like whole CVP and COP."
"PkEz76Y0Dkk","124080","129040"," This is all fucked up."
"PkEz76Y0Dkk","129040","134880"," Current order book."
"PkEz76Y0Dkk","134880","159200"," Not timing sales, but some weirdness going on here, not on the Y."
"PkEz76Y0Dkk","159200","182000"," This price I got above is 444.63 current order book, extended show aggregate."
"PkEz76Y0Dkk","182000","183960"," There we go."
"PkEz76Y0Dkk","183960","187120"," There we go."
"PkEz76Y0Dkk","187120","188120"," That's better."
"PkEz76Y0Dkk","188120","191360"," Spires are in control right now."
"PkEz76Y0Dkk","191360","199240"," We are looking for a price target above a 444.70."
"PkEz76Y0Dkk","199240","205280"," And then all the way to 446."
"PkEz76Y0Dkk","205280","209200"," We'll show that back over here."
"PkEz76Y0Dkk","209200","211880"," So right up here, right up in here, this is your first wall here."
"PkEz76Y0Dkk","211880","213480"," Bottom wall is 446 above it."
"PkEz76Y0Dkk","213480","217400"," This next blue line."
"PkEz76Y0Dkk","217400","224160"," Going right back here, level of support."
"PkEz76Y0Dkk","224160","226160"," We're looking for this zone here."
"PkEz76Y0Dkk","226160","232520"," So I can show it to you on a larger timeframe."
"PkEz76Y0Dkk","232520","234480"," You can see some resistance right here."
"PkEz76Y0Dkk","234480","239900"," If you do get a break, so there's some resistance here and there's resistance here."
"PkEz76Y0Dkk","239900","247620"," If we do begin to sell down, you'll be looking to buy this right here."
"PkEz76Y0Dkk","247620","258540"," Now if we break through, if we break through this here, right, one, two, next move higher"
"PkEz76Y0Dkk","258540","262540"," to 450."
"PkEz76Y0Dkk","262540","268100"," So I'll bring this, we'll make this smaller here."
"PkEz76Y0Dkk","268100","270300"," You can already see we're testing."
"PkEz76Y0Dkk","270300","272660"," Yeah, buyer's just stepping in right now."
"PkEz76Y0Dkk","272660","275460"," Here indicator is green or yellow."
"PkEz76Y0Dkk","275460","280340"," A little bit of curling over some more put buyers stepping in right at 935 some put buyers."
"PkEz76Y0Dkk","280340","281900"," I noticed it too."
"PkEz76Y0Dkk","281900","293860"," I do want you to be aware that I noticed some put buyers are loading up on April 13th,"
"PkEz76Y0Dkk","293860","297100"," 437Ps."
"PkEz76Y0Dkk","297100","303140"," They're going for 59 cents right now."
"PkEz76Y0Dkk","303140","309180"," I don't know that I'm ready to buy puts right now."
"PkEz76Y0Dkk","309180","314500"," It doesn't look to me like the bears are in control currently."
"PkEz76Y0Dkk","314500","320140"," Now expect some profit taking from call buyers as we approach higher here."
"PkEz76Y0Dkk","320140","325820"," You'll see, you'll see right in here some resistance."
"PkEz76Y0Dkk","325820","329940"," Let's see it's showing up right here as I bring this down."
"PkEz76Y0Dkk","329940","337100"," You see this resistance down in here, but it's still not overpowering, right?"
"PkEz76Y0Dkk","337100","348260"," The bears really want to be selling above 4, 4, 6, 5, somewhere up in here, 4, 4, 6, 5,"
"PkEz76Y0Dkk","348260","360580"," somewhere up into this vicinity and even then, there's 450, it's a real seller's"
"PkEz76Y0Dkk","360580","363580"," are, 452."
"PkEz76Y0Dkk","363580","377780"," Yeah, somewhere in there, a line in the sand, 456, so if you want to go real high, 456."
"PkEz76Y0Dkk","378780","386620"," So we'll take a look at that again real quick."
"PkEz76Y0Dkk","386620","389220"," So you get that mark right here, 450 or so, right?"
"PkEz76Y0Dkk","389220","391620"," So this would be R3 here."
"PkEz76Y0Dkk","391620","400260"," You can draw that."
"PkEz76Y0Dkk","400260","403860"," R3."
"PkEz76Y0Dkk","403860","409460"," And then 456 is the upper bounds."
"PkEz76Y0Dkk","409460","414340"," So if you had like a sell the news kind of a thing, you're like, I'm out of here, right"
"PkEz76Y0Dkk","414340","419420"," here."
"PkEz76Y0Dkk","419420","428340"," That's the take the money and run number right here, 456, put that one there, so you guys"
"PkEz76Y0Dkk","428340","431820"," can see it, R1, R2, R3, R4."
"PkEz76Y0Dkk","431820","439300"," If it's a good day, you're getting a 456, a little bit higher, there you go."
"PkEz76Y0Dkk","439300","444620"," So if you're a bull, if you're a bear want a position, 1, 2, 3, 4, right?"
"PkEz76Y0Dkk","444620","455100"," A, B, C, or A, maybe A, B, and then off, fuck the squeeze and then down."
"PkEz76Y0Dkk","455100","464820"," Oh, yeah, baby, pump it, pamper, baby."
"PkEz76Y0Dkk","464820","479420"," Uh, Winky, do you think, uh, maker, I'll get you a discord invite, Winky, do you think"
"PkEz76Y0Dkk","479420","483300"," that the case, you think it's the case glass that's keep, that's shutting it down or you"
"PkEz76Y0Dkk","483300","501580"," think it's the power supply?"
"PkEz76Y0Dkk","501580","504380"," Do I think that Baba trade is dead?"
"PkEz76Y0Dkk","504380","508300"," Uh, no, I think Baba's got a good chance of squeezing."
"PkEz76Y0Dkk","508300","511100"," I think about Baba's market conditions."
"PkEz76Y0Dkk","511100","514460"," I think it's generally just market conditions."
"PkEz76Y0Dkk","514460","517380"," I think here we'll look at Baba real quick."
"PkEz76Y0Dkk","517380","524220"," Let's see, we'll take a look at Baba."
"PkEz76Y0Dkk","524220","550380"," Let me just say it, oh, I'll give you one minute here."
"PkEz76Y0Dkk","550380","559660"," It's a good question."
"PkEz76Y0Dkk","559660","573940"," I saw those K web calls coming in too."
"PkEz76Y0Dkk","573940","586340"," I'll take a look at both of them, bring this up for Winky's, man."
"PkEz76Y0Dkk","586340","596860"," So let's look at, uh, let's look at Baba, then you can see that, uh, firm demarcation"
"PkEz76Y0Dkk","596860","603820"," right February 21 firm demarcation takes part, right, but then, but it doesn't take"
"PkEz76Y0Dkk","603820","605340"," part in the second part."
"PkEz76Y0Dkk","605340","606780"," I want to show you this right here."
"PkEz76Y0Dkk","606780","618740"," I want you to see this right here, so right here."
"PkEz76Y0Dkk","618740","625020"," So whenever the market is, uh, oversold, it participates in the first part of that trade,"
"PkEz76Y0Dkk","625020","629940"," but it doesn't participate in the second half of that, um, that roll over."
"PkEz76Y0Dkk","629940","631420"," This is the rotation in the market."
"PkEz76Y0Dkk","631420","636660"," I want you to see this if you're a trader out there, an investor, and we have an oversold"
"PkEz76Y0Dkk","636660","643340"," condition in the market over here, okay, uh, October 5th, 2021."
"PkEz76Y0Dkk","643340","649620"," And so Baba participates, right, and then the rotation trade, right?"
"PkEz76Y0Dkk","649620","652460"," So I'm going to talk about the rotation trade real quick."
"PkEz76Y0Dkk","652460","656260"," And so you see this, we've done pretty quite well here, right?"
"PkEz76Y0Dkk","656260","657260"," Participated there."
"PkEz76Y0Dkk","657260","659540"," We're starting to roll over now."
"PkEz76Y0Dkk","659540","661380"," Is that trade over?"
"PkEz76Y0Dkk","661380","665620"," The good thing that I want to tell you is that the market is rolling over and Baba looks"
"PkEz76Y0Dkk","665620","668620"," like it has finished its corrective phase."
"PkEz76Y0Dkk","668620","670380"," It looks like it."
"PkEz76Y0Dkk","670380","675500"," It's in line right now, uh, with the market, where the market's moving."
"PkEz76Y0Dkk","675500","679700"," Um, so do I think the Baba trade is over?"
"PkEz76Y0Dkk","679700","681420"," Uh, no, not necessarily."
"PkEz76Y0Dkk","681420","686140"," But what I do think is that it wrote that what I do think is that, uh, you wrote right"
"PkEz76Y0Dkk","686140","693300"," now we were rotating in to Baba whenever the market breadth is low and that's rotated into"
"PkEz76Y0Dkk","693300","701700"," and out of, um, so that would mean that, uh, you need to take profit every time, especially"
"PkEz76Y0Dkk","701700","703860"," with it continuing to trade down, right?"
"PkEz76Y0Dkk","703860","705500"," We're still trading down here."
"PkEz76Y0Dkk","705500","711380"," Uh, so if I were to look at Baba here, I would think that the trade is over for, um,"
"PkEz76Y0Dkk","711380","718380"," let me get a second here."
"PkEz76Y0Dkk","718380","732980"," Yeah, I think, I, I, I, I'm looking at it right now and it's still, do I think you can go"
"PkEz76Y0Dkk","732980","733980"," up today?"
"PkEz76Y0Dkk","733980","735460"," I think it's a rotational trade."
"PkEz76Y0Dkk","735460","741060"," I think we're in the part of the rotation of the stock market, uh, where it's not"
"PkEz76Y0Dkk","741060","742060"," participating."
"PkEz76Y0Dkk","742060","748740"," I think it's participating in the, in the, every time we, we, you know, like the market"
"PkEz76Y0Dkk","748740","754900"," goes up, we'd participate in the first part of that trade, because I participated in this"
"PkEz76Y0Dkk","754900","755900"," part."
"PkEz76Y0Dkk","755900","760460"," Um, it didn't really participate, did it, just started rolling over, right?"
"PkEz76Y0Dkk","760460","764740"," So it's still in that, that phase, uh, so the Baba trade is on every time the market"
"PkEz76Y0Dkk","764740","772260"," capitulates till, uh, until it starts to, until it starts to, uh, I don't know, will"
"PkEz76Y0Dkk","772260","778020"," it ever really, I don't know, maybe it'll, it'll snap back forever."
"PkEz76Y0Dkk","778020","782460"," I see that how bullish it looks right now, uh, but so doesn't spy like bullish right"
"PkEz76Y0Dkk","782460","791300"," now as well, but I think spy is still gonna roll at some point."
"PkEz76Y0Dkk","791300","798020"," We are fucking cranking, aren't we?"
"PkEz76Y0Dkk","798020","799020"," Fuck yeah."
"PkEz76Y0Dkk","799020","800020"," Do you guys butt?"
"PkEz76Y0Dkk","800020","801020"," Do you guys bet?"
"PkEz76Y0Dkk","801020","802020"," Do you guys buy that, buy that clothes yesterday?"
"PkEz76Y0Dkk","802020","808780"," Do you guys sell those puts yesterday at the clothes and buy some fucking calls?"
"PkEz76Y0Dkk","808780","814220"," No worries, wink."
"PkEz76Y0Dkk","814220","820860"," So what it's doing is what it's happening is Baba is participating every time we hit"
"PkEz76Y0Dkk","820860","827540"," a bottom, but it doesn't maintain does it?"
"PkEz76Y0Dkk","827540","829580"," It just starts to roll over."
"PkEz76Y0Dkk","829580","832180"," So I guess you would say, bye Baba."
"PkEz76Y0Dkk","832180","838740"," And then, and then during the rotation trade, you know, after the initial oversold trade,"
"PkEz76Y0Dkk","838740","848020"," once again, the rotation trade, you're going to switch to a news driven trade for Baba."
"PkEz76Y0Dkk","848020","854100"," So if you are long here, right?"
"PkEz76Y0Dkk","854100","855980"," Take the money and run."
"PkEz76Y0Dkk","855980","856980"," Talked about this."
"PkEz76Y0Dkk","856980","857980"," Right?"
"PkEz76Y0Dkk","857980","858980"," 446."
"PkEz76Y0Dkk","858980","861500"," Take the money and run."
"PkEz76Y0Dkk","861500","865580"," We'll come back here again."
"PkEz76Y0Dkk","865580","871420"," Take the money and run."
"PkEz76Y0Dkk","871420","879420"," We're going to look right here."
"PkEz76Y0Dkk","879420","883900"," It's a little bit of seller stepping in right up here."
"PkEz76Y0Dkk","883900","884900"," 446."
"PkEz76Y0Dkk","884900","886700"," 5.0 we talked about."
"PkEz76Y0Dkk","886700","904460"," A little blue line that we showed, like a three hour trade."
"PkEz76Y0Dkk","904460","916020"," If you wanted to do a Baba trade today, I would say wait for, let's say wait for confirmation"
"PkEz76Y0Dkk","916020","919340"," down here in S1."
"PkEz76Y0Dkk","919340","924140"," Wait for a bounce."
"PkEz76Y0Dkk","924140","930220"," I mean, it could bounce here, but I'd be looking for like a bounce down here or a bounce down"
"PkEz76Y0Dkk","930220","931220"," here."
"PkEz76Y0Dkk","931220","943140"," And maybe take that three hour trade here or here, but I see your point, Baba's not really"
"PkEz76Y0Dkk","943140","946740"," participating at the moment, is it?"
"PkEz76Y0Dkk","946740","950660"," Yeah, it is."
"PkEz76Y0Dkk","950660","953660"," It is by shit bounce right after 99.40."
"PkEz76Y0Dkk","953660","957660"," It's now trading at 101.8."
"PkEz76Y0Dkk","957660","965420"," It's a pretty fucking sweet bounce on Baba."
"PkEz76Y0Dkk","965420","967580"," Three hour trade."
"PkEz76Y0Dkk","967580","971060"," Why not?"
"PkEz76Y0Dkk","971060","973860"," I like the trade."
"PkEz76Y0Dkk","973860","974860"," I mean, look at that."
"PkEz76Y0Dkk","974860","980980"," One, two, how many days is it down?"
"PkEz76Y0Dkk","980980","987940"," Three, one, two, three, four, five, six, seven, eight, nine, ten, eleven."
"PkEz76Y0Dkk","987940","990340"," It's fucking do, isn't it?"
"PkEz76Y0Dkk","990340","993980"," Nice consolidation in here."
"PkEz76Y0Dkk","993980","995700"," Little volume pump."
"PkEz76Y0Dkk","995700","1001020"," Yeah, you can take the trade."
"PkEz76Y0Dkk","1002020","1007460"," And the fucking bull's are buying calls like mad man today."
"PkEz76Y0Dkk","1007460","1013940"," Bull's are balls deep in Nvidia too."
"PkEz76Y0Dkk","1013940","1016420"," Don't close it."
"PkEz76Y0Dkk","1016420","1017420"," Don't fucking close it."
"PkEz76Y0Dkk","1017420","1020300"," Oh, you already got 60%."
