"start","end","text"
"35910","86220"," Check one to check Good morning"
"86220","86600"," out there."
"86680","87200"," How's everybody doing?"
"88460","89220"," How y'all doing?"
"89220","90060"," Hope you all had a great weekend."
"94820","95780"," That's Joe doing it. "
"96440","100680"," I don't think he knows that I put his picture on there though."
"101860","103180"," I don't know what he's going to say."
"103420","104480"," Maybe somebody should tell him. "
"105880","106680"," What does I get?"
"109220","111060"," I got a what I got to do there."
"114550","117330"," I got to make sure the bots don't come in today."
"118730","120370"," Okay, subscribers only. "
"122190","123090"," Any duration."
"123810","126030"," Okay, so it's just subscribers be able to comment this morning."
"126790","130130"," If you're just doing this for the first time, please like, subscribe if you want to make comments. "
"133430","134830"," You got to subscribe, I guess."
"135150","135850"," It keeps the bots out."
"135990","137870"," We get these Russian chicks in here. "
"138330","144650"," They find all the everyone in chat hot and they want these guys to and these girls to these them's"
"144650","147990"," and they's to check them out."
"151010","152250"," Okay, right over the live stream."
"152910","154750"," I'm going to waste any time this morning is a long weekend. "
"157100","158940"," Let's see what you guys are saying this morning."
"159900","160820"," First off, good morning."
"161000","161740"," Hope y'all had a great weekend. "
"162800","164540"," Do that blast off this morning."
"165960","167840"," We did slam through a level though."
"168060","169140"," We did slam through level one. "
"169180","170100"," They bought it right back up."
"171060","174700"," How long this lasts is to is yet to be seen."
"175660","180220"," I'll go over some some places of interest for you if you're a bear. "
"180820","183460"," There's probably another cell signal coming up."
"185940","193870"," I'll give you a level here to be looking for maybe 4063."
"197840","200340"," That's not showing up on book map at this moment. "
"202060","204340"," But we're running an algo in the background and algorithm."
"204560","205840"," We're going to see how this works out."
"206940","207780"," Could be lower. "
"208220","211340"," I've got it here at 403, but it doesn't it doesn't track exact."
"211720","212460"," It could be that 404."
"213220","215580"," That top that top of the key right there. "
"215840","216780"," That pivot point."
"217140","219840"," We'll go into it and how to interact with it and."
"222400","226200"," How predictive predictive it is and how good the predictions are for us. "
"226240","231900"," The predictions are to meet OPEC closer because oil producers stopped injecting crude into"
"231900","234160"," pipelines to you guys are talking about."
"234940","235600"," Good morning."
"235760","236720"," Good morning, Dylan. "
"236720","240280"," Good morning, Dean, Jay Cortino, Joe Nutello, or Hitolo."
"240840","241580"," Good morning, X."
"241820","242320"," Good morning, Sue."
"242420","242780"," Good morning. "
"243460","245000"," R squared 89 Bikies in the house."
"245880","247160"," El Marino, Meliella, Winky."
"247840","249020"," What up, Winky?"
"249320","254500"," We're currently able to meet OPEC closer because oil producers stopped injecting crude into"
"254500","254780"," pipelines. "
"255980","259320"," You know, I've got so winky is Winky's trying to break off from Twitter."
"260040","268520"," So we're going to move the newsletter over to the website so that a winky can get access to it."
"268660","272020"," People that join us just on YouTube can gain access to it. "
"272580","275560"," Joe and I are working on making that happen over the next week or so."
"276660","281660"," So you guys can have safe haven no matter what social media platform you're on."
"281740","286300"," If you only use YouTube, we're going to be streaming, I think, some on some other platforms as"
"286300","286500"," well. "
"286500","293780"," So depending on how you find us, you'll have one place to go to consistently not never have to"
"293780","296460"," worry about how to find the information we put out."
"299140","301680"," I wish Winky could have seen that stuff this morning."
"301740","303140"," He probably has no idea we're talking about. "
"303980","309180"," So I'll try to get that stuff to him at some point so that he's always in the loop."
"310740","311360"," Good morning."
"311460","311740"," Real high. "
"311800","312020"," Good morning."
"312160","312240"," Go."
"314420","317700"," We can apply that to any ticker that you like fishing. "
"317920","319260"," Good morning fishing with pan fish."
"319320","319900"," Good to see you, Dan."
"320140","321020"," I haven't seen you in a while. "
"321040","322500"," Have you been working or have you been on vacation?"
"323620","324400"," Scott Connolly."
"324400","324760"," Good morning."
"324960","326640"," Elite with 1987. "
"326640","328040"," Mel yellow indices."
"328140","329560"," We trust Tony Cheese in the house."
"330700","331420"," Wilson Connor. "
"332520","333240"," John Smith."
"333460","333620"," Everton."
"333780","334180"," Patrick. "
"334660","336180"," You guys got a bunch of in here."
"336180","336760"," D Crosby."
"337120","338080"," There's a whole bunch of people in here. "
"338620","339120"," Don mafia."
"339380","339640"," Good morning."
"340160","341160"," Thanks for hitting that like button. "
"341200","341740"," I appreciate that."
"341780","342180"," Don mafia."
"344500","345940"," The blots won all your money. "
"346060","346300"," Roha."
"346600","347140"," How are you, brother?"
"348160","350560"," So Roha is asking, what about the blast up?"
"350760","353340"," I think that you should first go back into."
"353900","356940"," Well, first you have to have the context of the blast up. "
"357100","360100"," Let's talk with Roha real quick because I think that people's expectations."
"362600","367700"," Six month bills total three spot eight billion dollars and fed bids for three month bills total"
"367700","369300"," four spot six billion dollars."
"369400","370700"," I think the people's expectations. "
"371760","373360"," Are they here what they want to hear?"
"373520","378300"," So I think you have to consume or take the entire picture into if you watch my posts on at"
"378300","378940"," Captain's Alpha."
"379580","385320"," If you watch the live stream specifically on Friday at the end of the live stream, I had spoken to"
"385320","389960"," about what I would like to see over Friday and into Monday Tuesday."
"390740","391700"," Which was a decline. "
"393040","401300"," Now we did go up and clean out on Friday, the gaps that were above, but we continued down and"
"401300","401700"," today."
"402440","407620"," So there's a there's this concept of longer timeframes, shorter timeframes."
"407840","410800"," What are you asking for to happen in those timeframes?"
"410980","414140"," So I want you to be clear with you. "
"415060","419580"," And I want you to be clear with me on which time frame you're speaking of so that we're not"
"419580","424220"," or muddling what exactly is going on."
"424600","429180"," So if you follow the Captain's Alpha, you'll see every morning you'll get my take on what to expect"
"429180","430940"," and then the live stream is the same thing."
"431540","436700"," And then when I post on Captain Jim James, you want to look on that time frame as well. "
"437380","439240"," Nothing is straight up straight down."
"439240","443980"," I guess that's my point in general."
"444240","447980"," So when you're looking on different timeframes, you're going to expect different outcomes. "
"449640","453420"," And every day I should be putting out some kind of a daily brief view or most days I try"
"453420","453660"," to."
"454700","458420"," So you can get a feel for what's going to happen or my expectations are at the end of the"
"458420","458860"," day as well."
"459520","462780"," And you can see that that is lined up very well. "
"463640","467940"," In the past couple weeks, maybe, maybe longer."
"471200","472980"," So, okay, so that's answering his question."
"473640","475180"," Howdy cap, good morning, cooked sweet D."
"475360","475600"," How are you?"
"476200","479700"," Jean Torres, Molly, Ryan Morris, good morning, Liam. "
"482240","482960"," Good morning, Omar."
"483300","483660"," How are you, brother?"
"484880","486240"," Let me see what you guys are saying in here."
"489340","490000"," Good morning, Mark. "
"490160","491220"," Mark, we're able to see you too."
"492440","493520"," Yeah, Winky, I got your brother."
"493520","494520"," I got you covered. "
"496420","497240"," RXT got hacked."
"497500","500120"," Usually that brings the stock down for a day or two and then it recovers."
"500780","501940"," Don't know if that will happen this time. "
"502080","502560"," Just pointing it out."
"502700","503460"," Thanks for the heads up link."
"504800","506060"," So you've been working pan fish. "
"507260","508040"," To be in and outs."
"508760","509640"," I appreciate that brother."
"510140","510740"," Appreciate it, Dan. "
"515419","518500"," So, Roha is asking our wrong."
"522919","525320"," So, let's go back to."
"526480","528940"," I'm on for one day. "
"532400","533480"," Good to see you, Omar."
"533700","535260"," I saw that comment from you this morning as well."
"536780","538200"," So, let's look at a few things. "
"538460","539220"," We'll look at a few things."
"539580","542460"," So, let's look at a larger time frame here."
"542660","546860"," Print crude futures turned negative after earlier rising over two dollars a barrel. "
"547600","550020"," Let's look at the book map."
"550200","551480"," Let's get rid of book map here."
"553840","557040"," And we'll take a look at a larger time frame, right?"
"557040","558520"," This is sponsored by To the Tick. "
"558920","565400"," Get free daily points, Fibonacci and market profile levels by signing up at ToTheTick.com."
"566280","568060"," We ended up taking some puts in here, right?"
"568220","568760"," You guys remember that?"
"568760","572900"," And then remember I think it was Jim James or I caught himself."
"573100","574740"," I closed for profit on the open, right?"
"575460","576100"," Right down here."
"576120","577300"," So, we closed for profit on the open. "
"578900","583120"," We came up here, as a matter of fact, I think I got out of stream somewhere around here to"
"583120","583700"," leave on Friday."
"584340","589180"," And I gave you my synopsis for what to expect for this week and what I wanted to see to"
"589180","590580"," make this constructive into this week."
"591060","592560"," And you can go back and just watch on the tape. "
"593240","594020"," All this shit's on the tape."
"594240","597860"," Like, everything that I say to you out there publicly, it said before it happens."
"597860","605940"," You'll never see me come out on any social media platform and say, after the fact, hey, look, you"
"605940","607000"," think of any kind of a fucking nonsense?"
"607320","608060"," This is great, you know. "
"609480","614400"," I'm trying to give you my best guess educated opinion as to what's going to happen."
"614840","620180"," And so, in here somewhere, I told you that I'm looking for the market to roll over into Monday and"
"620180","623460"," Tuesday, possibly even further into the week."
"623460","630280"," At 11.30 a.m. Eastern time, the U.S. sells $54 billion in three month bills, prior bid to"
"630280","634560"," cover, 256, high rate, four spot, two, eight, five percent. "
"635300","641040"," U.S. sells 45 billion dollars in six month bills, prior bid to cover, two to 90, and prior high"
"641040","642580"," rate of four spot, five percent."
"643740","649240"," Now, of course, of course, yes, Friday, when I got off, we end up coming up here and I posted"
"649240","650180"," on Twitter about this."
"650820","652100"," I think we hit both of these. "
"653260","654300"," I think it was this one."
"654480","657420"," This was the first gap with some way here and the second gap was somewhere right here."
"659240","660520"," One more quick push up. "
"661820","668300"," And then I'd ask the question on Twitter, do you think we can close on the high for previous"
"668300","668560"," Thursday?"
"669000","672600"," And I put a post and said the bears are saying no fucking way."
"672600","679500"," And I agree with that statement that there's no fucking way we're getting a new higher high on"
"679500","680200"," Friday."
"680960","683480"," And earlier in the day in Friday, I said the same thing about VIX. "
"683520","685820"," You need to have the VIX go up a little."
"685960","686440"," You can't really."
"688400","690360"," You can't expect just this. "
"691660","693060"," And it just never ends."
"693260","693500"," You can."
"693680","699000"," There are melt up situations that we can't expect in a certain environment, but in a larger time"
"699000","700220"," frame, you're not going to expect that. "
"700220","702900"," We can actually expect this when we're in negative gamma, too."
"703380","707320"," If you guys know if we're in negative gamma, you'll see rips that are straight up."
"708720","710020"," When you're in positive gamma. "
"712020","713840"," Sorry, I just use this."
"714060","716120"," I just cleaning out some dust from my computer this morning."
"716520","719700"," In positive gamma, you're going to see a move higher down. "
"720040","722200"," It'll be like a slow mover move up."
"722480","724840"," So you're not going to expect straight up."
"725000","725840"," So you wouldn't expect that. "
"725840","733620"," And as a matter of fact, in negative gamma, when we sell off, you'll see straight up rips until"
"733620","734720"," they sell back off again."
"735200","736960"," So just different environment."
"737540","739220"," You're not going to expect that to happen. "
"739220","741340"," And that wasn't my expectation that we would get ultimized."
"741580","744540"," And you wouldn't expect that in a positive gamma environment at all."
"744840","745420"," Sometimes you get it. "
"745920","750720"," If you sell off enough in a positive gamma, you'll slingshot back up."
"752000","754780"," But it's just not characteristically a part of that."
"755020","756240"," What to expect in that environment. "
"757140","759600"," So this is constructive for you."
"759760","763300"," So just if you're a bull out there, this is very constructive for you."
"764280","769780"," You want to see a consolidation trade down into the next coming days, at least. "
"770960","772460"," You'd like to see this."
"772620","777360"," You'd like to see us have an orderly sell off the VIX to climb a little bit."
"777360","783920"," And then hopefully be able to position yourself for at least some kind of a move up. "
"784680","788760"," Into end of week, possibly Monday, Tuesday, let's say."
"789060","790640"," We have a J pow."
"791660","793840"," Coming up was the next week right on Tuesday. "
"794440","795900"," Make sure I get the dates right over here."
"795980","796220"," Hold on."
"799980","801880"," Let's look at a larger time frame here. "
"807540","812580"," So we've got some J pow over here on the 14th, right."
"816000","818200"," Here's J pow's pressure coming up here, right?"
"819200","824240"," And this is Monday, Tuesday, Wednesday, Thursday, and Friday right here."
"824960","832340"," So a lot of Monday, Tuesday, Wednesday, Thursday, Friday right here. "
"833000","838880"," So you kind of want to, what I would like to see is some kind of, some kind of moment"
"838880","840720"," where we're able to come down, right?"
"841020","841980"," You can buy as a bull."
"841980","846960"," You can kind of buy a dip down here and at least catch this move up into Friday."
"846960","847720"," Does that make sense?"
"848980","854780"," So you're able to catch a move down, ride this up, kind of risk, risk, risk, risk, risk free. "
"855780","857220"," This could even be higher, right?"
"858500","861120"," You don't want to be buying this right on the bell this morning."
"861680","867360"," I think the model that I sent to you, if you were to go to Captain's Off this morning, even"
"867360","872680"," the model that I sent to you this morning, predicted the sell-off right off the bell, right?"
"873060","873880"," You guys know that, right?"
"874220","879520"," Many of you guys that were on our Captain's Off could read that it said to expect the sell off"
"879520","885660"," the bell this morning, which we continue to get off the open this morning."
"886180","887400"," And so you're looking for that, right?"
"888000","893180"," As a bear, you were looking for that this morning as well, the sell-off the bell to take this"
"893180","894360"," part of the trade right here. "
"894360","901620"," You know on a larger time frame, if we're looking at a month, let's say, that I always tell you"
"901620","903760"," to trade the levels no matter what, right?"
"903960","907300"," No matter what an algo tells you, you want to trade the levels."
"907900","909680"," We've talked about trading this level."
"909940","911940"," We've talked about trading this level. "
"912360","914660"," And then we've talked about the meaty one down here, right?"
"914740","919160"," If you want to start getting bearish, it's not until you get some confirmation down here."
"919240","919840"," Does that make sense?"
"920420","925000"," As you trade each level, you use the algo to predict where we're headed."
"926340","930200"," And then if you're a bull, where are you really looking to buy a dip right now is somewhere down"
"930200","930540"," in here. "
"930560","931100"," Does that make sense?"
"931360","934640"," It's a 66 prior high rate of 4 spot, 285%."
"934640","940780"," U.S. sells $45 billion in six month bills, prior bid to cover of 2 to 90, and a prior"
"940780","943420"," high rate of 4 spot, 5%, 5%."
"944700","951040"," Yeah, I'm starting to like, when it comes to news, I'm getting like, I'm getting even more and more"
"951040","952580"," like I really don't care about the news. "
"954540","955900"," I really don't care."
"956220","964180"," I was talking to Joe this morning and I had sent him some Tesla predictions from yesterday, and"
