"start","end","text"
"5420","6440"," Check 1-2."
"9000","14380"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"14380","16080"," before the film begins."
"104660","106900"," All right, we're almost there, baby. "
"107040","107920"," Let's do it."
"113300","115420"," Spy yes, yes."
"115960","119800"," We got some testable throw in there today. "
"119980","121180"," We'll throw some apple in there."
"123240","125960"," Once we got in there, NVIDIA, everybody likes that right now."
"126060","127720"," They probably got the meme stonks too. "
"135160","136380"," Hello, good morning."
"138880","140140"," Fed day, baby."
"141680","144120"," Got my weird hairs acting all weird this morning. "
"145020","145460"," What do we got?"
"145620","146120"," We got the Fed."
"146120","148840"," Fed day."
"150860","152500"," Jerome Powell. "
"155610","157190"," Great decision."
"159240","160810"," And we got meme stonks."
"161990","163570"," I think we got meme stonks. "
"163710","164650"," I'm assuming someone wants."
"167130","169130"," Okay, live stream."
"172570","173110"," Boom. "
"177050","179210"," Oh boy."
"184530","185490"," Send now."
"187890","189310"," How's everybody doing out there?"
"189910","197810"," What's going on?"
"201560","201980"," Good morning. "
"201980","219580"," All right, good"
"219580","220260"," morning out there."
"221260","222180"," Switch right over."
"223440","224240"," All right. "
"225140","227460"," We got a bunch of stuff to go over this morning, of course."
"230200","231800"," Another day in the market."
"232120","233740"," Another drama film. "
"235380","236040"," Day in the market."
"238580","239260"," All right."
"239860","241300"," We got a whole bunch of stuff to do this morning. "
"242620","243540"," As usual."
"245120","245960"," Good morning."
"245960","248020"," Let's say hello to everybody that's here this morning. "
"248180","248760"," Let's start with that."
"249340","250860"," Let's take it nice and slow as."
"256000","257800"," We'll slam some ads in. "
"259380","259899"," Okay."
"260320","261540"," Good morning, Jay Cortina."
"261660","262620"," Good morning. "
"262620","262840"," James."
"263100","264620"," Good morning."
"264620","265600"," John Saperita. "
"265720","265940"," What up?"
"266720","267220"," Chaz."
"267420","267720"," Good morning."
"268060","268960"," Pat Pendergrass. "
"269420","270240"," Good morning."
"270760","272240"," R.S. Dave Feralt."
"272260","272720"," Stocks anonymous. "
"272920","273380"," Stunks anonymous."
"273680","275560"," R.S. Day John, baby."
"275820","276540"," Cooked Sweet D."
"277160","277820"," Vicky G."
"279680","281060"," Sweet Al, where we roam?"
"281440","281820"," CSM jazz. "
"282620","284160"," Kobe, Matt Koel."
"284680","285700"," Black Beauty Machine."
"287360","288020"," What's out there?"
"288160","289420"," Fernando Oskar. "
"289840","290400"," Dario."
"290400","292140"," Matta Coby's in the house."
"292400","292900"," Matt Koela. "
"293100","293720"," Who else is out there?"
"293840","294220"," Fernando."
"294380","294860"," Jared King."
"294960","295740"," DJ 2012. "
"296360","297300"," Trevor VLCH."
"297740","298480"," CSM jazz."
"299300","300760"," J.D. Richard Blanchett. "
"301480","302160"," Justin Eli."
"302520","302620"," Patrick L."
"303340","303340"," Sean."
"303460","303720"," Haran. "
"303860","304440"," Mark Torzi."
"305340","305600"," Drew Turner."
"306740","307440"," Alexander Kovacs. "
"307640","308200"," Poor Badger."
"308320","308800"," Good morning."
"310140","310820"," Benny Mac. "
"311220","312080"," Dave Tarralt."
"312260","312520"," What's up?"
"312740","313060"," Good morning."
"314500","315320"," How's my Twitter?"
"315740","317100"," Twitch peeps doing?"
"317820","319440"," See who's in the house right now. "
"319820","321160"," Dejan's on both sides."
"321280","323480"," It may be some time before equilibrium sets in."
"323720","329580"," Vig, the Viking, Derek, Pan, Doug E.D. Thisted, Theta Slayer, Bull for Trading. "
"330840","333100"," Griff S.T.L. Cosmo, Not Project."
"333940","335820"," Young Traveler, Bull Crater, Dark Molly."
"336080","337200"," He at Waterflame Futures. "
"337380","339240"," Bubble died, don't do it zero."
"339240","340160"," Don't do it zero."
"340800","341700"," Take strike, don't count. "
"341700","343020"," Call up Karen."
"343620","344780"," Legends in the house."
"344820","346820"," Hold it down for cap this morning. "
"347440","348160"," Mad 248."
"349220","350700"," Career low made the move."
"351840","352980"," Oh yeah, baby. "
"353500","354500"," Made the move."
"354780","356160"," Good morning Duke 5064."
"356420","356760"," How are you?"
"358080","360020"," Phone on 99s in the house. "
"360680","361720"," Good morning Duke."
"362700","363440"," All right."
"363600","364240"," Who else we got in there?"
"364400","365560"," Gave up my mod, right?"
"366860","368720"," And only relevance this world for you. "
"369100","370300"," Will you want to be a mod again?"
"370300","370880"," Career low."
"371180","371400"," Hold on."
"371440","372680"," Let me see if I can make you a mod, man. "
"373240","374600"," I'm not good at this yet."
"375380","377280"," Oh, you did the prime gaming too?"
"378180","379200"," Let me see if I can."
"379360","380840"," I don't know how to do this or not. "
"381700","384060"," I got yelled at the last time I tried doing this."
"385800","386540"," Hold on."
"388360","389660"," Mod career low. "
