"id","start","end","text"
"QV7Ooh7RY0M","0","7000"," You're back."
"QV7Ooh7RY0M","7000","8000"," No."
"QV7Ooh7RY0M","8000","10000"," You've never met the person standing before you."
"QV7Ooh7RY0M","10000","11000"," What?"
"QV7Ooh7RY0M","11000","12000"," Jason is not back."
"QV7Ooh7RY0M","12000","16000"," I, a new man, am arriving here for the first time."
"QV7Ooh7RY0M","16000","17000"," Cool."
"QV7Ooh7RY0M","17000","20000"," So, how was Burning Man?"
"QV7Ooh7RY0M","20000","23000"," How was Burning Man?"
"QV7Ooh7RY0M","23000","28000"," What's wrong?"
"QV7Ooh7RY0M","28000","30000"," Good morning, traders."
"QV7Ooh7RY0M","30000","32000"," Captain Jim James here with your daily brief."
"QV7Ooh7RY0M","32000","36000"," I know that you've all been patiently waiting for one of these."
"QV7Ooh7RY0M","36000","40000"," I've been gone west on a trip that I took for Labor Day the week"
"QV7Ooh7RY0M","40000","45000"," and I just got back without having slept for many hours."
"QV7Ooh7RY0M","45000","47000"," I would actually not it off."
"QV7Ooh7RY0M","47000","49000"," I don't know, maybe 6 a.m. or so."
"QV7Ooh7RY0M","49000","52000"," And my brain woke me up at like eight."
"QV7Ooh7RY0M","52000","57000"," So I quickly opened my eyes and then I did a quick chart for Spy"
"QV7Ooh7RY0M","57000","61000"," so that I could try to do some day trading yesterday and just sit high on Twitter."
"QV7Ooh7RY0M","61000","64000"," And most of you folks said high back, which was really cool."
"QV7Ooh7RY0M","64000","70000"," But I hadn't really had a chance to do any research or anything while I was gone."
"QV7Ooh7RY0M","70000","71000"," But I did."
"QV7Ooh7RY0M","71000","74000"," My last video that I made for you all, I said a few things to you."
"QV7Ooh7RY0M","74000","79000"," First, I talked about closing all of your lungs, which you should have been able to do."
"QV7Ooh7RY0M","79000","82000"," That would have been two weeks to one week ago."
"QV7Ooh7RY0M","82000","84000"," Played the market that's in front of you."
"QV7Ooh7RY0M","84000","88000"," But to also expect, you know, for us seasonally to start to head down."
"QV7Ooh7RY0M","88000","96000"," We also talked about IWM heading down first and then for the Spy and NASDAQ to follow."
"QV7Ooh7RY0M","96000","104000"," And to actually find some support in IWM or the RUT sooner than you would in NQ and Spy, right?"
"QV7Ooh7RY0M","104000","106000"," ES over time."
"QV7Ooh7RY0M","106000","109000"," And those things seems like they're still playing out."
"QV7Ooh7RY0M","109000","117000"," It's kind of ironic because I was looking for I think 4.53 and I got it right before I left."
"QV7Ooh7RY0M","117000","121000"," And then it was at 4.53 or around there I think on Friday."
"QV7Ooh7RY0M","121000","123000"," So nothing really changed."
"QV7Ooh7RY0M","123000","128000"," It was more about rotation trying to find a way to start to get short in this market."
"QV7Ooh7RY0M","128000","135000"," And to rotate into stocks that we've already talked about ad nauseam about going up,"
"QV7Ooh7RY0M","135000","138000"," even though the market's starting to slightly roll over."
"QV7Ooh7RY0M","138000","140000"," Or at least seasonally roll over."
"QV7Ooh7RY0M","140000","144000"," So you had Tesla outperform yesterday."
"QV7Ooh7RY0M","144000","147000"," You had Apple outperform yesterday."
"QV7Ooh7RY0M","147000","151000"," I think two weeks ago I told you this would happen."
"QV7Ooh7RY0M","151000","154000"," And that's what you really want to be focused on."
"QV7Ooh7RY0M","154000","158000"," We're going to take a look here in a minute at the ES chart."
"QV7Ooh7RY0M","158000","166000"," And it's really easy for let's say a bull in springtime to say the market's going up."
"QV7Ooh7RY0M","166000","168000"," That's not really rocket science."
"QV7Ooh7RY0M","168000","177000"," And it really isn't rocket science for a bear to say, hey look I told you the market's going down in September or October."
"QV7Ooh7RY0M","177000","183000"," What you really need to understand about seasonal changes is the nuances in them."
"QV7Ooh7RY0M","183000","193000"," So when you see let's say had you shorted Apple Friday into Tuesday you'd be toast."
"QV7Ooh7RY0M","193000","194000"," And we already talked about that."
"QV7Ooh7RY0M","194000","200000"," Some of these stocks are going to continue to go up even though seasonally we'll start to go down."
"QV7Ooh7RY0M","200000","202000"," We talked about Tesla too."
"QV7Ooh7RY0M","202000","205000"," And those are two specific ones that we nailed in the head."
"QV7Ooh7RY0M","205000","211000"," And I'm sure that these these fucking bears probably thought they were going down."
"QV7Ooh7RY0M","211000","218000"," So you really want to pay attention to individual stocks from now into December."
"QV7Ooh7RY0M","218000","223000"," That will continue to go up even if the market trends downward right."
"QV7Ooh7RY0M","223000","225000"," And you can still play those."
"QV7Ooh7RY0M","225000","229000"," Another good one would have been Airbnb performed stellar yesterday."
"QV7Ooh7RY0M","229000","233000"," And we talked about how when I talked about where the bull trap was."
"QV7Ooh7RY0M","233000","236000"," I said it was much higher and it is much higher."
"QV7Ooh7RY0M","236000","237000"," It has become much higher."
"QV7Ooh7RY0M","237000","239000"," You can see Apple showed much higher."
"QV7Ooh7RY0M","239000","244000"," You can see Tesla did and actually a bunch of the Fangmans were popping off yesterday as well."
"QV7Ooh7RY0M","244000","249000"," And they were trying to grab of course liquidity for the market to go down."
"QV7Ooh7RY0M","249000","256000"," But also to close out positions at these banks and the funds and institutions are in that profit."
"QV7Ooh7RY0M","256000","258000"," And which is what they're beginning to do."
"QV7Ooh7RY0M","258000","262000"," Even when the market is going to seasonally go down they've made the money they need to make."
"QV7Ooh7RY0M","262000","265000"," The dent into those stocks won't be as bad."
"QV7Ooh7RY0M","265000","271000"," And some of them will actually tend to continue to go up as they move forward into winter."
"QV7Ooh7RY0M","271000","277000"," Now one of the things to think about is the bearish stance right now."
"QV7Ooh7RY0M","277000","282000"," And the Armageddon stance and the markets going to crash once more."
"QV7Ooh7RY0M","282000","293000"," I have in the past drank that Kool-Aid and I can promise you can lose lots of money falling into that thought process."
"QV7Ooh7RY0M","293000","301000"," The only time in my career trading that I've been successful was having a bullish outlook most of the time."
"QV7Ooh7RY0M","301000","310000"," Even if we go down quarter after quarter let's say or over the course of a year there are many opportunities as a bull to play the bull side."
"QV7Ooh7RY0M","310000","320000"," You know and actually yesterday on Monday I was looking at the premium on puts and outside of playing breads of some kind or some sort of theta play."
"QV7Ooh7RY0M","320000","329000"," There really wasn't a lot of there's not really a lot of money in it 300 to make 300% on a position that you have to hold for three, four, five days."
"QV7Ooh7RY0M","329000","332000"," I'm not really interested unless it's protected spread."
"QV7Ooh7RY0M","332000","336000"," I'm not interested in just holding puts for a week or a month."
"QV7Ooh7RY0M","336000","339000"," Anything like that for the premium that you have to pay."
"QV7Ooh7RY0M","339000","348000"," And if anything I can make more money on the bull side of these plays as there's no premium every time that we bounce back just day trading."
"QV7Ooh7RY0M","348000","353000"," But that doesn't mean that I don't buy put spreads I do buy them about some yesterday."
"QV7Ooh7RY0M","353000","362000"," In that middle of the day kind there was a moment in the middle of the day yesterday where there was some shifting in sentiment."
"QV7Ooh7RY0M","362000","368000"," So is that actually able to grab to I guess you'd call it sellin' a rip."
"QV7Ooh7RY0M","368000","369000"," Sorry I'm drinking my copy here."
"QV7Ooh7RY0M","369000","377000"," I just woke up actually was gonna buy some calls yesterday into clothes and fell asleep and sucked all through the night as it just hit me like a brick wall."
"QV7Ooh7RY0M","377000","381000"," Coming back my throat's a little dry as well as you can probably tell."
"QV7Ooh7RY0M","381000","384000"," There was smoke and dust everywhere."
"QV7Ooh7RY0M","384000","391000"," So just getting back to what you need to be thinking about right now is you're gonna have news events."
"QV7Ooh7RY0M","391000","397000"," There are going to be your economic calendar news events are going to trigger downward pressure."
"QV7Ooh7RY0M","397000","401000"," It's not going to go straight down no matter what anybody tells you."
"QV7Ooh7RY0M","401000","403000"," I am not sold."
"QV7Ooh7RY0M","403000","412000"," And there are no indicators that say that we are going down into a recession or market crash or anything like that."
"QV7Ooh7RY0M","412000","418000"," And I wouldn't play those I wouldn't play that perspective unless we were to prove that either."
"QV7Ooh7RY0M","418000","423000"," And that would take a substantial downturn over a long period of time."
"QV7Ooh7RY0M","423000","428000"," You're talking about some time into next year for me to get that bearish."
"QV7Ooh7RY0M","428000","433000"," Keep that in mind as we move forward from now into winter so that you can stay nimble."
"QV7Ooh7RY0M","433000","437000"," Get bullish when you need to get bullish and not drink that bear Kool-Aid."
"QV7Ooh7RY0M","437000","442000"," It is the surefire way for you to blow your account to become bearish."
"QV7Ooh7RY0M","442000","451000"," And if you have to you ignore these people the snark and all of these I told you so they really aren't."
"QV7Ooh7RY0M","451000","456000"," I'm going to show you here why here in just a second because we've already talked about this as bulls."
"QV7Ooh7RY0M","456000","460000"," We've been discussing this for weeks ad nauseam."
"QV7Ooh7RY0M","460000","465000"," So none of us should have gotten caught in this downward movement that we took on Tuesday."
"QV7Ooh7RY0M","465000","467000"," So today we do have the beige book."
"QV7Ooh7RY0M","467000","471000"," We've got job openings at 10 beige book at two consumer credit at three."
"QV7Ooh7RY0M","471000","479000"," I think we have some some fed chairman you know sitting on a bridge like trolls today at some point later in the day."
"QV7Ooh7RY0M","480000","484000"," And then Thursday we've got initial jobless claims and then continuing claims."
"QV7Ooh7RY0M","484000","487000"," Those are important for some downward moves."
"QV7Ooh7RY0M","487000","491000"," I do think today we might have a we might recover slightly today."
"QV7Ooh7RY0M","491000","493000"," So we'll take a look at that as well."
"QV7Ooh7RY0M","493000","495000"," For where the economic calendar is."
"QV7Ooh7RY0M","495000","497000"," In Friday we've got PPI."
"QV7Ooh7RY0M","497000","499000"," We've got wholesaler matrices through vision."
"QV7Ooh7RY0M","499000","507000"," I will start to pay less slightly less attention to the economic calendar as we move forward and rely mostly on my chance for where we are."
"QV7Ooh7RY0M","507000","516000"," Where when we're going up when we're going down most of the news right now will be used as catalysts to drop the market or raise the market."
"QV7Ooh7RY0M","516000","522000"," And you're more or less going to need to start comparing the economic news that you are going to see."
"QV7Ooh7RY0M","522000","532000"," You're also going to compare the bullshit news that has dropped into the market for you to consume and always check that against where we are in the chart."
"QV7Ooh7RY0M","532000","537000"," I posted yesterday about Coinbase coin the stock going down yesterday."
"QV7Ooh7RY0M","537000","546000"," And we've been playing coin which is funny because I heard that the web I think I read that the website was down or something."
"QV7Ooh7RY0M","546000","556000"," It's funny because it was right at where resistance is right where you should be selling the manipulation in the market is it never ceases to amaze me."
"QV7Ooh7RY0M","556000","561000"," It's mostly why I tend not to listen to market news too closely or too in depth."
"QV7Ooh7RY0M","561000","565000"," I use it as an indicator that yes it was time to sell."
"QV7Ooh7RY0M","565000","571000"," But I do pay attention to it when it's something that's unknown for its immediate effect on the market."
"QV7Ooh7RY0M","571000","575000"," Those are the things where there's usually lots of opportunity to make money."
"QV7Ooh7RY0M","575000","581000"," Where it's something where we didn't know no one else knew this wasn't something planned behind the scenes."
"QV7Ooh7RY0M","581000","587000"," So we're going to take a look real quick at ES. We're just going to talk about we're going to talk about seasonally right."
"QV7Ooh7RY0M","587000","593000"," We've already talked about seasonally that the market should start to pull back."
"QV7Ooh7RY0M","593000","601000"," We talk about this seasonality and you hear a bear that talks like they found the Holy Grail or something in reality they didn't."
"QV7Ooh7RY0M","601000","607000"," You can see here this is September 3rd of 2020 and we made our way down."
"QV7Ooh7RY0M","607000","617000"," You'll probably see bears post some kind of a chart with this downward move into the 11th or 15th and then a spike up and then another spike down."
"QV7Ooh7RY0M","617000","624000"," They were literally stale these charts from just last year and say expect this here."
"QV7Ooh7RY0M","624000","627000"," They won't tell you about this here in October how we come back."
"QV7Ooh7RY0M","627000","635000"," This right here is a huge move in October of 2020 and then we come back down into the soft ones more in late October."
"QV7Ooh7RY0M","635000","640000"," And you'll see that into December we have a nice holiday rally in here."
"QV7Ooh7RY0M","640000","644000"," So this is seasonally what happens in September and October."
"QV7Ooh7RY0M","644000","646000"," None of this is rocket science."
"QV7Ooh7RY0M","646000","650000"," It happens every year, not every year but most years."
"QV7Ooh7RY0M","650000","654000"," We can look at in 2019."
"QV7Ooh7RY0M","654000","656000"," We have the same thing."
"QV7Ooh7RY0M","656000","662000"," We have this move up here in early September and then we have a move down from the middle of September I believe."
"QV7Ooh7RY0M","662000","667000"," 12th it starts to roll over down into the first week of October."
"QV7Ooh7RY0M","667000","679000"," But we do make this big huge move up here into January and the 2019 2020 is usually how it goes this time of year."
"QV7Ooh7RY0M","679000","688000"," You have seasonally downtime in September October and then November parts of October and parts of November can be a toss up."
"QV7Ooh7RY0M","688000","693000"," It can actually get very bullish in here or it can be bearish once more."
"QV7Ooh7RY0M","693000","699000"," This is where things will get tricky for us this year is mostly October and November."
"QV7Ooh7RY0M","699000","704000"," Do we get a later holiday rally or do we just rally straight through October?"
"QV7Ooh7RY0M","704000","707000"," And you can see here this is October 7th."
"QV7Ooh7RY0M","707000","717000"," And if you go back even into we can look back into 2018 here and you'll see this is we continue to rally up into September into October 1st"
"QV7Ooh7RY0M","717000","721000"," and then we had a huge sell off into December."
"QV7Ooh7RY0M","721000","723000"," We got no holiday rally here."
"QV7Ooh7RY0M","723000","731000"," So you can see that no one's really going to predict what's going to happen coming into the fall and winter."
"QV7Ooh7RY0M","731000","737000"," Although there are expectations from your previous year that will follow that same trend."
"QV7Ooh7RY0M","737000","743000"," And this is what leads me to let you know that you have to be nimble in how you're trading."
"QV7Ooh7RY0M","743000","756000"," When you look at 2018, 2019 and 2020, all three years were different and gave you three basic setups for the fall and winter."
"QV7Ooh7RY0M","756000","761000"," So any bear that's telling you how this is going to play out they don't know what they're talking about."
"QV7Ooh7RY0M","761000","765000"," Any bullet tells you how it's going to play out."
"QV7Ooh7RY0M","765000","767000"," They don't know what they're talking about."
"QV7Ooh7RY0M","767000","779000"," You can say though that seasonally we are starting we are going to start to go down right that typically we tend to sell off in September, October at least."
"QV7Ooh7RY0M","779000","782000"," Parts of October, November are toss up."
"QV7Ooh7RY0M","782000","785000"," So we were anticipating this this selling down."
"QV7Ooh7RY0M","785000","787000"," The question is how much do we sell down."
"QV7Ooh7RY0M","787000","789000"," How far do we sell down."
"QV7Ooh7RY0M","789000","795000"," And do we recover and how much do we recover right does that take place all through winter."
"QV7Ooh7RY0M","795000","798000"," And then we will also want to talk about individual stocks."
"QV7Ooh7RY0M","798000","801000"," How far up do they go how long do they go up."
"QV7Ooh7RY0M","801000","806000"," The thing you want to consider about individual stocks as we move forward through the fall and winter."
"QV7Ooh7RY0M","806000","812000"," Is you want to be looking for stocks that have been beaten down since February."
"QV7Ooh7RY0M","812000","819000"," Some time in February if you look at if you if you find that your stock was beaten down all year long."
"QV7Ooh7RY0M","820000","823000"," There is a fair chance that it is going to go up."
"QV7Ooh7RY0M","823000","829000"," Even if it has minor pullbacks from now until December you will find that those stocks."
"QV7Ooh7RY0M","829000","832000"," Those individual stocks will go up through December."
"QV7Ooh7RY0M","832000","836000"," That happens every single year pay attention to those."
"QV7Ooh7RY0M","836000","844000"," I think I've shown you on Finviz in the past videos how to search stocks there below their 200 ma."
"QV7Ooh7RY0M","845000","849000"," That I've hit their 200s if you see a stocks that have hit their 200s right."
"QV7Ooh7RY0M","849000","852000"," A 200a ma's or just recovering from the 200a ma's."
"QV7Ooh7RY0M","852000","856000"," Maybe they've been up past few weeks of the past few months."
"QV7Ooh7RY0M","856000","858000"," You'll see those continue to go up."
"QV7Ooh7RY0M","858000","861000"," That's why we were able to predict Tesla going up."
"QV7Ooh7RY0M","861000","865000"," That's why we were able to predict that Apple would continue to go up."
"QV7Ooh7RY0M","865000","872000"," These aren't any insights that I make from anything other than looking at their charts."
"QV7Ooh7RY0M","872000","877000"," We called the same thing on Airbnb and many other stocks where we said,"
"QV7Ooh7RY0M","877000","881000"," hey, look, this stock has gone down all year long for an entire year."
"QV7Ooh7RY0M","881000","886000"," When you see a stock go down for a year you want to start to see if there's any life in it."
"QV7Ooh7RY0M","886000","891000"," Unless a stock goes down longer than a year typically there's something wrong with the company."
"QV7Ooh7RY0M","891000","893000"," They're not in favor anymore."
"QV7Ooh7RY0M","893000","900000"," They haven't introduced any kind of new technology or services that we're unaware of."
"QV7Ooh7RY0M","900000","903000"," We're able to look back here on ES."
"QV7Ooh7RY0M","903000","908000"," We know that seasonally we tend to go down from this period into October."
"QV7Ooh7RY0M","908000","913000"," We know that it's a little bit more of a toss-up in October through November and December."
"QV7Ooh7RY0M","913000","921000"," We also know that we sometimes don't get a holiday rally depending upon how strong September and October is."
"QV7Ooh7RY0M","921000","929000"," If we do start to sell down from now into October we know that we can start to get nice and long,"
"QV7Ooh7RY0M","929000","933000"," preferably typically in November."
