"start","end","text"
"41420","42540"," Good morning, Philip."
"42820","43640"," Good morning, Dragon Wolf."
"45020","47520"," Good morning, John, Gerald, Philip, and Steven. "
"49440","50780"," Good morning, G-10."
"51420","53120"," Happy New Year to all of you out there."
"53540","54360"," Hope you're all doing well. "
"62410","63750"," Happy New Year to you, Steven."
"65110","67550"," Good morning, Matt and Chaz and Spieler."
"67930","69030"," Hey, Zeus, good morning. "
"69270","69730"," Happy New Year."
"72850","73570"," Frantra, Patrick."
"74110","74910"," Good morning to all of you. "
"75030","75750"," Happy New Year to everybody."
"82850","84710"," Happy New Year to all of you, Jafar."
"85990","87890"," F1, Alex, Rick, Jasmine. "
"88010","89130"," Good morning, Dougie, Blinky."
"90410","91450"," Good morning to all of you."
"91590","92230"," Happy New Year to everybody. "
"93350","94570"," You're all safe and alive."
"95750","96210"," Good morning, X."
"96910","98730"," Good morning, Jasmine, Charlie, Mikey, Ricardo."
"101390","102290"," Travis, good morning. "
"102290","102430"," Good morning."
"104210","106150"," Good morning, I lost the toad."
"106670","108230"," I love that username. "
"110910","113290"," Good morning, AKA and BDN."
"114270","117550"," Happy New Year to all of you guys too, just joining at this time."
"118290","119210"," Good morning, Angie. "
"119610","119750"," Hello."
"120570","121670"," Happy New Year, Angie."
"122490","124050"," Happy New Year, Goat Gail. "
"128100","129460"," Good morning, Henry."
"130220","131940"," That's great for that Tesla numbers."
"132760","133840"," Happy New Year, Tesh. "
"134440","135160"," Happy New Year, Henry."
"139430","140670"," Happy New Year, Bloodstarch."
"140890","142570"," Happy New Year to all of you that are joining us this morning. "
"143190","147690"," If you haven't chimed in the chat box and you just a wallflower or whatever, Happy New Year to you."
"147750","148810"," Hope you're feeling well this morning."
"150190","151590"," Well, you're safe this morning. "
"152010","152850"," Good morning, Nail."
"156090","157090"," Morning all the way."
"157910","160730"," If you're listening to this, this cast this morning, this stream. "
"161490","162010"," Hope you're safe."
"163150","167370"," Hope that you're with family or friends or even if you're alone that you're going to enjoy part of"
"167370","168390"," this day and tomorrow."
"171090","173330"," Thank you for hitting the like button, Mikey. "
"174330","175410"," Appreciate that this morning."
"177010","177930"," Appreciate all of you."
"178710","179770"," It's been a good year. "
"180870","184030"," There's been some tough times and good times, of course, you know, with any year."
"186150","191330"," It's past couple years have been tough for everybody right around the world."
"192290","194350"," Morning Joel Trevor hit Mikey. "
"197150","199410"," Looks like Tesla's opening up right on."
"199590","200150"," I haven't looked yet."
"200250","200870"," We're going to look at Tesla. "
"201590","203510"," I guess some really neat stuff this morning."
"206150","211970"," Yeah, we're going to talk about the straddle in the market kind of a thing and see how that plays"
"211970","213930"," out today and into tomorrow."
"214030","216590"," We're going to talk about tomorrow, not tomorrow, but Monday. "
"218670","219430"," Morning speed."
"220610","221470"," Yeah, we're going to talk."
"221590","224610"," We should be able to talk about this today because today should be an interesting day. "
"224790","231290"," It's actually worked out closer to our initial thoughts, right, than anything else."
"231990","232510"," You kind of talked"
"232510","243970"," about"
"243970","243990"," it."
"244590","245990"," We're going to talk about that today. "
"246730","248030"," We're going to talk about that, too."
"248630","249230"," Good morning, everybody."
"249470","249970"," Good morning, John. "
"252150","253110"," Yeah, we'll talk about Amazon."
"253390","254530"," We'll talk about everything this morning."
"255350","258070"," And we'll talk about the entire context of the market this morning. "
"258370","261010"," It hasn't been as surprising as we think it has, right?"
"261370","266730"," Except for maybe the speculative growth stocks ripping yesterday, which was a nice to see, of"
"266730","268730"," course, is a lot of us were in those stocks."
"270210","274590"," There might be some still some selling down today and some stocks."
"274650","276690"," We're going to talk about that here in just a moment. "
"278130","279010"," Jarken, good morning."
"279570","280510"," Happy New Year, Jarken."
"282050","283450"," Good morning, boy, JP. "
"284630","287470"," If you're just joining us, we haven't talked about much just yet."
"288330","289570"," We're going to make it a simple day today."
"290770","292990"," I don't expect, well, we'll talk about it. "
"293010","294530"," We're going to go through it all this morning as."
"294530","298370"," As before I open."
"301870","304030"," And I'm going to look up one thing. "
"304130","308490"," The one thing you guys want to be doing this morning is keep your eyes out."
"309550","310910"," For do like a."
"312010","313890"," Keep your eyes out for the JPM."
"315350","315830"," Collar. "
"316910","318610"," Maybe I'll do a search for it."
"318790","320350"," See if anyone's found it."
"331390","335910"," So I'm assuming I'm assuming there's enough people out there watching for it this morning. "
"336050","338410"," I saw a big giant green bar this morning on the spy."
"339110","341710"," I wasn't sure if that was it."
"341770","343970"," It should be coming on SPX at some point. "
"349340","354340"," So yeah, the MMS have to buy back the short yes for the new collar that's going on."
"355900","357140"," Happy New Year to all of you."
"357300","358160"," I hope you're all safe. "
"358400","358820"," I hope you're all."
"358820","364340"," I just want to say, I don't have to say this, but if you do go out, please be safe."
"364720","368620"," Please use an Uber or don't drink and drive or drug and drive or whatever. "
"370360","373900"," There's no, you know, I always call days like today, amateur hour."
"374860","376820"," You know, I could, St. Patrick's Day."
"377060","382120"," I'm from Boston from my mother's from South Boston and from Southie, the old Southie, right?"
"382120","388600"," And my parents and I, when I was young, they always call it amateur night because there's so many"
"388600","390820"," people that get into so much trouble, right?"
"391200","395720"," And then I think the biggest day of the year for DWIs isn't New Year's Eve. "
"395900","396620"," It's New Year's Day."
"397140","399880"," The cops will try to catch it like 9, 10 o'clock in the morning."
"400580","401260"," So just stay safe. "
"401380","402660"," None of you guys want a DWI."
"403080","404260"," Those things are horrible."
"406600","407920"," Good morning, Bob. "
"408900","418140"," So Bob Walsh is saying it should trade between 9.45 and 10.30 a.m. About collar roll being"
"418140","419900"," overblown and having no market impact."
"420620","424200"," You know, I didn't see Chems Rants last night."
"426160","432760"," And I don't, so I think we had a conversation about six months ago, and we were making fun of"
"432760","433140"," each other. "
"433360","434840"," And I think he blocked me and I blocked him."
"434980","438580"," I think he came into one of my threads and said something's not going to happen."
"438580","439200"," And then it did. "
"439380","440620"," And then I went back and laughed at him."
"440680","441380"," So he blocked me."
"441560","443440"," And then I wound up blocking him. "
"443780","445300"," I think I should unblock him or something."
"446480","448000"," I don't know how the conversation went."
"448200","449640"," I can't recall exactly how it went. "
"450380","451180"," And I like him."
"451320","452300"," He's a very smart guy."
"453700","455420"," And I didn't, I didn't track him last night. "
"455540","455880"," I will though."
"456100","459920"," I'll go into today and check that doesn't have a big impact, but it does."
"459920","462800"," It does because people are waiting for it. "
"463060","464600"," Other hedge funds are waiting for it."
"464680","465760"," Banks are waiting for it."
"466220","473240"," They move the market so much with the expansion and contraction of volatility of gamma in the"
"473240","473580"," market. "
"474280","477820"," You know, the banks pretty much we think we decide."
"478140","479280"," Well, let's say this."
"479400","483000"," We have a lot of unknown stuff that of course we can't impact the market with. "
"483400","488560"," But you know the banks plan for the market to go certain places in a year or in a three"
"488560","488980"," month period."
"488980","490260"," You can't deny that."
"490880","496400"," And they open and close gamma volatility ranges within the market themselves. "
"497260","498320"," So he's on the right track."
"498500","499140"," He shouldn't."
"499140","501380"," He shouldn't have to cover so much for what he says. "
"501520","502140"," I like what he says."
"508090","511390"," Some doubt that a vibe we see was correct in regards to the color effect."
"515250","516669"," Your wife's getting upset chase. "
"517130","518210"," Tell her I said Happy New Year."
"519190","522490"," My kids are mad at me because they just kicked them off the Internet and try to figure out this"
"522490","523030"," Internet thing."
"523470","526510"," I just sign up for the best Internet and then I got to like separate it all or something. "
"527610","529750"," So yeah, I've got some upset failures this morning."
"530010","533350"," So what we're going to do before the market gets open here this morning is want to run through this"
"533350","533590"," stuff."
"534810","536790"," If any of you haven't said hello this morning. "
"537290","538250"," Good morning to you."
"538450","539690"," Happy New Year to you."
"539950","542090"," Hope you're safe and happy these next couple days. "
"542630","545850"," Hope that we can put last year behind us and look forward to New Year."
"546350","549810"," We're going to talk mainly about what's going to happen today."
"550750","556330"," What we should expect next week and some just some forward looking into next week. "
"557210","561870"," We're going to have I'm going to have a live stream on Sunday."
"562270","566610"," Hopefully prepared for you for some expectations into the new year."
"567730","570050"," And we'll see how those play out for 2022. "
"570050","570610"," Right."
"571330","574590"," Now for today we have nothing on the economic calendar."
"574950","578370"," I do want to highlight for you though that next week. "
"579310","583270"," The important events are basically jobs."
"583670","583670"," Right."
"584090","585830"," Jobs are big for us next week. "
"586870","589390"," We have openings and quits on Tuesday at 10."
"589650","595450"," We have the ADP employment report on Wednesday at 8.15. We have some FOMC minutes on Wednesday."
"596090","598090"," Well, we all know that's usually a non event. "
"598710","601030"," We do have claims and continuing claims on Thursday."
"601710","605090"," Non farm payroll is the biggie on Friday in employment rates."
"605090","606710"," So next week is all about jobs. "
"607570","612090"," We know that sometimes jobs roll off as we head into the New Year."
"613070","616070"," The part time temporary workers kind of go away."
"616930","619510"," But that's the big thing for next week to be looking forward to. "
"620210","622230"," That's all I've got for you in the economic calendar."
"622710","628330"," We're going to look briefly at the volume profile for the market."
"628330","630370"," And this is the ES chart. "
"630590","631790"," The spy chart is very similar."
"632410","634690"," And you'll see there at the bottom of this note here."
"634770","635810"," This iceberg right here. "
"635970","636050"," Right."
"636410","645310"," You can see that the value area low is 462.23. And we've got some some space here to fill"
"645310","645510"," in."
"645610","645710"," Right. "
"646070","649050"," So I think normally you would say to yourself."
"650030","651670"," I think normally you would say to yourself."
"652310","653830"," We're probably going down today. "
"653830","654070"," Right."
"654430","655490"," If we were going to the norm market."
"655490","658030"," I would say we're going down to 4720 easy. "
"658370","660450"," Maybe start grinding through these numbers."
"660950","667130"," And I'm going to show you the move the moving averages to and how it relates to this down here"
"667130","667390"," later."
"667990","671150"," But for today you're probably going to see some buying today. "
"671850","677370"," And there's a fair chance right that you'll see this iceberg get eaten through into end of day to"
"677370","679270"," that 480 pin that we keep talking about."
"679270","681610"," Now when we are eating through here."
"681850","685730"," Let's say you get some some large volume share trading. "
"685990","686050"," Right."
"686690","688770"," And then it goes away."
"689390","693870"," You'll see moments of volatility where we drop down in this area because we have we don't really"
"693870","695490"," have a lot of space in here. "
"696030","700930"," So think I think my projection for today is that we're going to try to pin 480 at some point"
"700930","701250"," today."
"702330","705430"," There could be moments of volatility where we fall through you guys."
"705670","706490"," It'll be similar. "
"706850","712310"," I think to normal O pecs is on a Friday where you see really jagged movements in the candlestick"
"712310","712550"," charts."
"713690","714770"," So that's all I've got for you."
"714850","718130"," Yes, you know, in a normal day, I would tell you buy some puts and hold. "
"718390","718450"," Right."
"718690","720070"," That's what I'd be telling you for today."
"720770","722930"," We're going to look at the E.S. or excuse me. "
"723010","724370"," We're going to look at NQ real quick."
"726270","728410"," And you know, NQ is really a neat chart."
"728890","729190"," Wait a minute. "
"729390","729790"," Hold on here."
"729850","730510"," I get the wrong chart."
"733130","735670"," So on the NQ chart, I want to show you this. "
"735770","736390"," So this is kind of neat."
"738530","743730"," You guys like these charts because you can sometimes bet that we move much, much higher here."
"744230","750670"," If we move above this iceberg right here today, it would be very, very possible that we trade up to"
"750670","753330"," that 16, 900 or 17,000 number. "
"753330","759270"," You want to pay attention to the volume profile today, as if we don't trade up here, we're going to"
"759270","765110"," make a pretty, pretty significant move down to this 16,000 into next week, possibly Monday."
"765710","773030"," We'll talk about the volatility as well and how that plays into this move today and into Monday."
"774230","776690"," Next, I want to show you is RTY. "
"777910","780750"," You guys can come back and pause this video later."
"780750","782650"," I'm going to sign off here at some point."
"783250","786870"," And you can get these levels, these value area lows and value area highs. "
"787410","790250"," I think this is 15 minute on a 10 day."
"791190","797090"," And what's interesting is the chart for IWM for the Russell looks slightly better, right?"
"798090","802470"," Where if we got a bid in RTY today, we might muscle over this 225."
"802470","808030"," And we know that we can get, if we break past this 228, what happens then?"
"808510","811370"," We know that we're going to set, we're going to squeeze some shorts. "
"811730","817210"," So I'm still interested in all of this consolidation here on RTY on IWM."
"817850","824710"," I don't know if it happens today or next week, but I really am interested in this in the recovery"
"824710","826010"," of IWM in small caps."
"826010","832070"," And we already know that we've looked down here and this, this value area low down here to 16 to"
"832070","834730"," 13, these levels down here. "
"835170","838310"," We kind of know that there's a significant bottom down here."
"838790","841230"," And we've looked below down here three times."
"841610","842850"," We know that we've beaten up. "
"842950","844010"," We've had this stealth correction."
"844770","845690"," You know, it's interesting."
"845930","847030"," I was looking at the charts for spy. "
"848070","850630"," And we've had a stealth correction under the market."
"850630","852770"," Like S and P since May."
"853250","855050"," And I'll show you that briefly on that chart. "
"855530","860470"," It's just when you start to look at the correction that's gone on in IWM and in the spy and"
"860470","862090"," everyone's saying we're going sideways in a 2022."
"862870","866530"," It's kind of odd because and then they're saying we're going to dump in late summer."
"867170","872690"," When you start to look at the curling over the rolling over of spy, it's really been taking place"
"872690","873310"," since May. "
"874510","876450"," And no one really talks about that."
"876490","878490"," Everyone's talking about that it's happening right now."
"878490","884050"," And everybody talks about all time highs, but our all time highs are us going sideways and making"
"884050","884710"," all time highs. "
"884990","887810"," In reality, we've we've left this channel since May."
"888070","889450"," So we'll take a look at that here in just a minute."
"890070","892690"," I'm just interested in that and we've got something on Tesla. "
"892690","893370"," It's kind of neat."
"893590","896250"," At the end of the yesterday's podcast, we were talking about."
"896810","904590"," We were talking yesterday about if we we need to make this move above about above 10 80, right?"
"904590","906390"," I was talking to you last night. "
"906690","907930"," We need to get over this iceberg."
"908290","912950"," If we can't get over this iceberg, the next move down is quite severe."
"913670","920530"," You can see the 939 down here is the first target, but we could see a sell down in Tesla"
"920530","922330"," to the 758 hundreds. "
"922830","929310"," Now, I'm a Tesla bull, but I just want you to be aware that as we head into into this"
"929310","932590"," new year, if you were to see any kind of selling for profit."
"933450","935990"," Into the new year last day of the year."
"936510","939250"," This is a dangerous place for for Tesla. "
"939550","941390"," And we'll look at the Tesla chart here this morning."
"942190","943550"," For any of you Tesla gang out there."
"943930","947430"," I just want to show you that there is some danger here for Tesla. "
"948030","949930"," I took some calls yesterday in Tesla."
"950390","953170"," I don't know if they're going to burn today if they're going to go up into clothes and make some"
"953170","953410"," money."
