"start","end","text"
"4680","5640"," Check 1-2."
"11030","22260"," You know,"
"22400","40700"," it keeps getting burned in"
"40700","41080"," there."
"66540","67860"," This, this, this. "
"84050","85010"," Good morning."
"86650","88370"," It's a weird disco around, dude."
"92560","93520"," Alright, let's go. "
"103510","104450"," You know, it's kind of weird."
"104590","105870"," I don't even know if my, uh..."
"107290","108910"," My monitor is gonna be right here."
"111390","112030"," Find out. "
"117980","119440"," I didn't check you out this morning."
"119580","120060"," Hang tight there."
"121620","123060"," Alright, good morning. "
"124140","125480"," I'm running a little bit behind here."
"125600","126200"," Just give me a second."
"132920","134060"," Good morning, everybody. "
"135340","139120"," I'm a little tired this morning, and I've got a, um..."
"140280","142000"," I have some stuff that I have to do this morning."
"144160","144760"," Um..."
"144760","146240"," While we're on stream."
"153920","162840"," I went out last night and then didn't get home until late. "
"163880","170260"," Although, you know, what's cool is that I've got a, I was given a handwritten recipe for..."
"171760","173460"," I believe Chick-fil-A."
"173460","174700"," I forget this right here."
"177360","180120"," A handwritten recipe for Chick-fil-A chicken nuggets. "
"181820","183760"," I didn't get a chance to make them last night."
"187340","191640"," But I do think I can make them tonight."
"193360","193700"," Good morning. "
"193820","194260"," How's everybody doing?"
"196120","200540"," Uh, coming into the open right now, I do have, I have not put the levels up yet at this"
"200540","200800"," point."
"201340","202840"," I was running a little bit late this morning."
"203440","207920"," Uh, I stayed up late, kinda late last night trying to short the market until like midnight or"
"207920","208200"," something. "
"208940","213140"," Uh, so I'm just, I'm just dr- not dragging ass, but just falling behind this where I normally am"
"213140","215780"," up at 4, 5, 6 in the morning somewhere in there."
"216580","218420"," And I slept through all that stuff this morning."
"220920","222100"," Just give me a minute here. "
"229820","231180"," I'm not shorting, selling the market."
"236540","239620"," Okay, so, uh, pivot point for this morning."
"241520","243020"," We'll do this together here. "
"247620","249880"," No audio on YouTube, you guys don't have any audio."
"250740","252220"," Are you sure you don't have any audio out there?"
"253420","254940"," Someone's saying that we don't have any audio."
"256100","258760"," Can you, can anyone confirm on YouTube that we don't have any audio?"
"268120","271160"," Can someone, yeah, so my, so my mic is fine, right?"
"272500","274280"," Yeah, can you hear me on YouTube?"
"280540","281760"," Can anyone check YouTube?"
"281760","285740"," I've got a YouTuber saying, so YouTube does have audio. "
"286260","287500"," Uh, Binky, you sure, man?"
"293010","295610"," Okay, so there is, there is good audio."
"295970","296650"," Audio is fine on YouTube."
"296910","296970"," Okay. "
"299670","302450"," Give me a second here and we'll get the levels up for you."
"302590","310010"," So the pivot point this morning is 4.12. Um, and I'm still, I've got, um, 4.15 C's that"
"310010","314390"," I got at the belly yesterday at bottom for 26 cents yesterday."
"314730","315810"," 26 or 24. "
"316190","317790"," I haven't looked to see somewhere in there."
"318270","321190"," They went up to like 33, 35 or something like that in the bell."
"321730","324630"," They're now at nine cents right now, so they are down. "
"325810","331150"," And I bought them on a, uh, I bought them on, uh, February Opex."
"331450","334090"," We, I'll be a second here."
"334790","341990"," 4.12.22. February Opex, we gapped up overnight. "
"343370","345190"," And I was fascinated by that."
"345230","349810"," I was fascinated by that, uh, that statement and."
"351550","353110"," It's very similar to. "
"353990","355730"," I'm still holding those, by the way."
"355850","357430"," I'm going to explain right now why I'm holding them."
"357570","359210"," Usually, like an overnight hold. "
"360230","362250"," I will take money and run."
"364110","367150"," Uh, I don't hold, like if I'm in a winning position."
"367150","374670"," And normally a losing position to, if I'm down like two pennies or I have it. "
"374770","376110"," Let's say I hold, let's say I buy a position."
"376330","380370"," It's 30 cents or 40 cents overnight, right?"
"382090","387110"," And, uh, they're flat when I, when the market opens, I'll normally close them and renegotiate."
"387190","389390"," Let the market open up renegotiate the trade. "
"389990","393670"," If the, if the trade is down too much where, let's say it's like a 30 cent."
"393670","402910"," So last night, I think it was 26 cents, the 35 cents into the close at 4.15. And they're"
"402910","404770"," down like they're eight cents right now."
"405770","406970"," So I'm going to sell those. "
"407330","407650"," Fuck."
"407710","409590"," No, I'm going to leave them, leave them as they are."
"410290","413870"," Uh, in the past, I would add to that position on an opening bell like this. "
"414310","415770"," I'm not going to do that at this point."
"415770","425180"," And there's a bear plane here in the five minute, just above right here."
"426220","428480"," So I want to see how this plays out right here. "
"429500","434660"," If it's a matter of testing this bear plane or if we're able to break out and close this gap"
"434660","435360"," above here."
"436200","440560"," If I can get up there, I'll sell them and reposition myself then."
"443300","446180"," Now your pivot point right now is 412, 22. "
"447180","450220"," We're going to go back and talk about the February Opex."
"452400","455460"," Uh, because it, it kind of fits my narrative."
"456540","458360"," Well, it kind of fits it. "
"459060","460440"," 414, 22."
"464820","466000"," Yeah, no worries, Bink."
"466080","466540"," I got your brother. "
"468540","472040"," And we're going to talk about that February Opex this morning."
"472040","475940"," It's kind of an important one to look at and what's really cool about it."
"476000","478660"," I think we're going to have on 414, 22. "
"479360","486280"," I think at some point this morning, we're going to either have on or chat with Chase Winter."
"487800","491180"," And what's fat, we had a great conversation after the belly yesterday."
"492160","497900"," And it's centered around the February Opex R2s at 415, 42. "
"497900","504140"," And I think I don't, don't hold me to this, but I think I remember."
"506760","508740"," That February Opex, right?"
"508960","511460"," We'll go over it more in depth, but I remember that."
"513159","516840"," Like in hindsight, people are going to say, oh, February Opex was great. "
"517740","521159"," But February Opex, uh, into March blew out."
