"start","end","text"
"5640","7100"," All right, good morning."
"9480","14520"," Check one, two, mic check."
"27830","38470"," Check one,"
"38870","39030"," two. "
"41310","44170"," Even his face is all cut to the side."
"57100","60440"," One minute remaining, I'll leave with the US S&P manufacturing PMI."
"98250","99030"," Ten seconds. "
"104710","105650"," What up, Bill?"
"105950","106610"," Oh, golf day."
"109350","109870"," 40."
"110010","111490"," Did we get rain this morning?"
"111790","118130"," The forecast is 4.5 US S&P services PMI flash 54 spot one, 50 four spot one, hiding the"
"118130","124510"," forecast of 54, composite PMI flash 53, 53, low in the forecast of 53 spot five, seeing it with a"
"124510","127289"," website, a website, whoops soaring, apologies in the Dixie. "
"131470","132850"," See what I got going on here."
"133530","134510"," There's a couple things I got to do here."
"138420","139900"," Just flip it right in right now. "
"140360","142340"," Just one quick second area, a couple things I got to do."
"143840","145640"," It's like getting this show up some mornings."
"147080","152660"," I can't I have to shut down my setup right. "
"152900","158100"," So, well, first it's really hot right now, so I'm shutting down my office every night fully."
"159580","169480"," And when I turn it back on, it uh, listen here to resets"
"169480","169920"," everything."
"172300","176080"," Windows 11 wants to reassign a bunch of stuff every day. "
"177300","186040"," I'm turning it off because my HVAC in my house is not completely set up to deal with the heat."
"187060","190800"," So, I've got a series of fans now blowing air air into this room."
"196450","204890"," So, then the time that it takes me to get the get ready in the morning is it's like taking"
"204890","206670"," me 45 minutes to an hour every morning. "
"212350","217630"," So, all the screeners that I have up all, everything that I have up after re-opin, re-organize,"
"217830","219010"," make sure everything is where it's supposed to be."
"221980","224660"," And we got rain last night, so"
"224660","237960"," let's"
"239660","249600"," pick up some cool, um, well, first of all, the selling"
"249600","249980"," overnight."
"250700","253020"," Let's look at the selling that happened that occurred overnight. "
"254240","255060"," Start there."
"255399","256700"," First of all, good morning to you."
"256740","257279"," Happy Friday. "
"257980","258440"," Happy summer."
"258579","258980"," Happy Friday."
"262800","264440"," Damn, I almost bought this too. "
"264740","268180"," I almost bought this open right here a few minutes ago and I didn't."
