"start","end","text"
"120","500"," The film begins."
"7340","8720"," Is that one up there?"
"9600","14720"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"14720","16480"," before the film begins."
"17000","17500"," Yeah, I can. "
"26980","34970"," Good morning."
"35410","36230"," I hope you're not there."
"38670","40130"," You all did well there. "
"40410","76850"," Hope your friends"
"76850","77910"," do well there's more."
"85400","86420"," Turn that up."
"95620","96560"," PX, baby. "
"99920","100440"," Yes."
"101300","105940"," A little rough this morning."
"108640","110860"," The voice is a little rough this morning. "
"112540","114240"," I'll switch right over to you guys and have at it."
"116640","117160"," Okay."
"117980","119200"," Good morning out there. "
"123740","124880"," And VDA."
"125340","129060"," Love stream."
"134760","137300"," That didn't pay for a right. "
"137660","139120"," That didn't pay."
"139280","140320"," I turned off my."
"141900","142980"," Twitter blue subscription. "
"144440","146940"," And it ran out on the fourth yesterday."
"149660","151920"," And I got this right."
"151920","152000"," Right. "
"156740","157760"," Uh, live stream."
"158600","158740"," Okay."
"160920","161280"," Pea ratios. "
"162060","162980"," We got all this right here."
"163620","163960"," Good morning."
"164080","164460"," How y'all doing?"
"165420","166480"," Everybody doing well this morning?"
"167860","168960"," Makes sure everything's going on. "
"169100","172120"," I got a bunch of stuff here to do in the background as you guys drop in right now."
"172400","173140"," Yeah, good morning everybody."
"178220","180440"," Yeah, so you could see last night. "
"181760","185080"," You could see last night that they bought overnight."
"185860","187120"," And then of course, hedge the market."
"187780","188920"," Let me bring this back here. "
"190240","191580"," Overnight, they bought it right."
"192220","194940"," And then you've got the dealers doing this kind of stuff last night."
"195240","197540"," And then of course they drop it again this morning in cash market. "
"198260","200320"," First chance they had above here in this liquidity."
"200700","201400"," We're heading down."
"201760","204780"," We should head down to summer around four thousand. "
"204780","206460"," I'm hoping for four thousand today."
"207180","209040"," It might take another day to get down there."
"210020","213840"," Somewhere down in here maybe for maybe three ninety six by Friday if possible. "
"217740","218440"," Excuse me."
"218600","221640"," Someone out last night to a football game football match."
"223220","226060"," Not hung over anything but a little sore. "
"226580","231000"," And my voice of course is torch because they had smoke going everywhere or whatever."
"232880","236020"," I'm going to send some triggers up for you just to get started here."
"237660","242580"," You know, I got to do I have to leave that up right there because I have to talk about"
"242580","243760"," that this morning. "
"247800","248760"," I'm tired."
"250940","255300"," But anyways, I turned off my turn off my my what."
"256800","258399"," My Twitter blue now. "
"260120","265180"," This is going to be some I don't know if it's a conspiracy theory, but."
"268120","273840"," This has been my experience, so I guess it's anecdotal, but I did not I was not a."
"274200","281080"," I was not a I was not a Twitter blue person, so I was I never used Twitter blue."
"281480","287420"," My Twitter experience as they started began to monetize it became worse. "
"291550","295590"," My Twitter experience became worse overall technically."
"296610","300590"," So the early trigger is four or eight fifty seven."
"301390","302270"," That's a right here. "
"303070","305010"," Early triggers right here for seven."
"305010","308890"," They sold right off on it right as we open this morning to see you guys can see this."
"309710","312650"," So just right away on the opening bell this morning. "
"312790","316930"," They teed right off on the early like it was nobody's business sold right down here."
"317290","320550"," And the our first real support the market."
"321710","325850"," So if you're just just heads up here this morning, so we got a bearish cross over here in the"
"325850","326190"," one minute. "
"327990","334530"," To be heading down in our first real support the market like not this but not like pivot supports."
"335230","337710"," And we'll go back and look at some other stuff down here."
"338110","339530"," There's a pop in. "
"341350","342650"," Previous low right here."
"343530","346730"," Previous low from yesterday that we're trading down to right now."
"346730","347710"," I'll show you this back here. "
"348950","350330"," Yesterday pivot right here."
"352710","356990"," Haven't made that new low just at this moment, but I expect us to make that new low."
"359720","361420"," Let me check the next one for you. "
"362400","364760"," We have one more down here."
"365100","367540"," Yes S2 is a previous low as well."
"369420","375160"," And the next previous low as S3 and you guys already you guys ready to wipe my party's target down"
"375160","375640"," below here. "
"376820","381360"," Nothing's changed on that just a matter of time to get down there so far less something changes."
"382440","387200"," There's no difference here in terms of just a matter of getting down there."
"387300","389980"," How long it takes to get down there with it being a short week. "
"390040","392040"," Maybe we get down there by by Thursday."
"393220","395300"," I hope that we can get down there right there."
"395380","396940"," We have a lot to talk about with that too. "
"398380","403320"," They saw an LA waiver this morning make a post on thin twit about."
"404960","406200"," Trend where we're headed."
"409980","411220"," We're in the third wave. "
"411640","412760"," Third corrective wave."
"413400","415480"," Then there's different people that have different thoughts on that."
"415920","417640"," So we'll talk about that today as well. "
"417960","419000"," We'll talk about we're going to talk about."
"419540","421060"," Pe ratios."
"421860","425380"," We're going to talk about where we should be headed. "
"425380","431500"," And hopefully that we had we need to get the VIX higher right to make a move higher unless we"
"431500","432760"," melt up the entire way."
"433380","434800"," And no one wants to trade that."
"435920","438900"," So right now we have this nice sell off here on this hourly trigger. "
"438900","444200"," This hourly triggers now acting as resistance not support at the moment to least."
"445240","447740"," And the expectation is that we go lower in the market."
"448460","450180"," I don't know how long this takes. "
"450500","452320"," It takes all week to go lower or not."
"453100","454580"," But hopefully we can get down there."
"454660","455560"," We can get down to that 400. "
"456140","459000"," Let's just look on a larger time or a longer time frame here."
"459200","460300"," Let's go to SPX real quick."
"468670","471930"," So in reality here we don't want to be riding up. "
"472590","475690"," The bones are bands all the way upright just grinding and grinding."
"476450","478690"," We'd really like to get a viable bottom down here."
"478890","481190"," We see 390 82 on SPX. "
"481970","484290"," We know that traditional chatting doesn't mean anything."
"484750","487050"," But to an extent until it fails it does."
"488530","490530"," Or it can I guess. "
"490970","495130"," So just inside here we're still in an uptrend which is what we want to see."
"496290","498550"," We're going to expect this uptrend to continue."
"500150","502570"," We've got no issues here with an uptrend continuing. "
"503010","509090"," And I've got no issues here with us picking this up and squeezing up higher and start needing to"
"509090","510050"," break through above here."
"510050","515030"," I showed you in yesterday's stream how a trend is carried."
"515230","519390"," We need more support to break us through this resistance above here. "
"519470","520830"," Let me see if I can show you this."
"524840","526980"," Let me just quick second here."
"529280","530200"," Show you this way. "
"530620","532300"," The SPX on a daily chart."
"533080","537920"," I've showed you yesterday how we shouldn't trade down here to like 385 or any kind of nonsense like"
"537920","538140"," that."
"538440","540000"," We should get picked right back up. "
"540080","541000"," We've got daily trend."
"541000","542740"," And this is kind of like the key here."
"542960","544300"," This is the key yesterday too. "
"545000","547500"," Is that trend is below us."
"547920","553160"," So I'm assuming that there's people out there that are like yeah we're going to trade down to this."
"553280","554560"," Here's 4000 right here. "
"554660","556780"," I kind of like this as the deepest we go."
"557140","558020"," Just right down here."
"558640","561820"," It's picked right back up and we start breaking breaking above. "
"562240","568140"," Even if we have to fight for it to break this descending resistance here."
"569060","571880"," So we can actually get up here and start tagging some of these highs."
"572420","574960"," And as long as we and this is the key point I'm trying to make here. "
"575580","577320"," This is the key point if you're following me."
"577880","579520"," You're listening in right now out there."
"580520","582160"," If you're an Elliott waiver out there. "
"583260","585040"," As long as this trend is maintained."
"586240","587420"," This is all valid up here."
"588340","590800"," Nothing has changed to invalidate this at this point. "
"591740","592640"," Nothing at all."
"592820","598000"," And there's major trend underneath major velocity underneath for this to continue to play out."
"598880","600900"," I've got no issues with this playing out. "
"601000","601840"," No matter what anybody's telling you."
"601880","603360"," I'm going to give a fuck about the JPM caller."
"604400","604800"," Honestly. "
"605340","606020"," The fucking Jay."
"606140","608140"," I hear some shit about JPM caller yesterday."
"608140","608460"," I'm like. "
"609860","611740"," If we trade up anywhere up in here."
"612060","613220"," The JPM caller."
"613480","615460"," We're not bound to shit at that point. "
"615600","616860"," As long as that hedge is paid for."
"617160","617940"," We can continue higher."
"618680","619200"," There's nothing. "
"620440","621880"," They can stop us from going higher."
"622100","623380"," So anyway I'll talk about that."
"623500","624660"," Maybe I'll talk about that later today. "
"626280","628700"," Like last six quarters last eight quarters."
"628780","632120"," I'm like yeah but talk to them about the fucking previous quarter quarters where."
"632700","635960"," Once the hedge was bought we had no reason to go down. "
"636500","637380"," From that point."
"637620","637760"," So."
"638560","640640"," Just the heads up for your Elliott waiver out there. "
"640820","642660"," All this is still structurally intact."
"642760","643880"," This way three."
"644440","645060"," Take it up here. "
"645480","647260"," If it does extend to four sixty four."
"647340","648440"," I have no fucking idea."
"648820","650560"," But there's ways for us to see that. "
"650760","651300"," And there's ways."
"651680","652780"," The key point here is that."
"653440","654500"," If this breaks. "
"654960","657080"," There's ways for us to see if it breaks."
"657260","658620"," There's ways for us to know."
"659520","662440"," If the market breaks down and you should become fearful. "
"663560","666780"," That we're going to have our last plunge to the depths of hell and."
"667660","670760"," I don't know bonds are going to finally fucking print for gun lock."
"673420","675580"," Any of that like doom doom and gloom. "
"676020","677160"," We'll know before it happens."
"677160","677920"," So."
"678340","682080"," And I'm going to show you the easy way to see if it's going to happen. "
"683840","685700"," So here I'll bring this up for you real quick."
"686060","686880"," And just on a."
"688520","690280"," Just go to a thirty minute chart here."
"690540","693060"," So if your Elliott waiver out there and you're like hey is this is this. "
"693340","694400"," Is there any point where this."
"695240","696820"," With this wave three is over."
"703030","704250"," Sorry my voice is more. "
"704330","704970"," It's all fucked up."
"705150","708430"," They've had a screaming and yelling and singing and all kinds of stupid shit last night."
"708850","710070"," I'm like why am I doing this. "
"711450","712910"," Should have been on the other side of the field."
"713370","714170"," And the game was great."
"714410","714530"," So. "
"715770","717030"," I got some pictures for you guys too."
"717650","718110"," But my."
"718810","720430"," You guys tip yesterday about my daughter. "
"721190","722270"," Put the at with a."
"724390","726330"," Like ball thing on top of it."
"726470","728030"," I got some pictures of my phone."
"728110","728630"," I've heard doing that. "
"728770","729650"," So maybe I'll just show them to you."
"729890","732010"," And if Mohammed's out there this morning."
"732390","733370"," Who is your friend. "
"734410","735790"," Mohammed that is on the team."
"736070","736690"," If you're out there Mohammed."
"737690","740530"," Let me know the name of the guy because I think I took a picture of him last night. "
"740890","743050"," I was going to talk to him last night and the shit."
"743570","746990"," Everything got crazy last night because they were winning and blah blah blah."
"747330","750350"," There were big fights happening on the field and stuff like that between the players. "
"751150","752410"," Someone's sportsman like shit."
"754710","756510"," But what I want to show you guys here is this."
"756790","758950"," So if you're if you're an Elliott waiver. "
"760670","762230"," Just for this stuff right here."
"762250","763250"," So like here's 400."
"764190","766270"," Here is 3972. "
"766850","769450"," Here's 396 38 right here."
"769710","771050"," And these at these trend."
"771050","771970"," These aren't trends. "
"772170","772630"," These are velocity."
"773290","775810"," And when they're moving up like this right."
"777250","778470"," Changes to yellow here. "
"779470","782370"," And just pretend I'm drawing the orange one of the blue one."
"782870","787530"," Now you start seeing these trends come up here in price stays above."
"789930","791270"," This daily trend. "
"792470","793990"," That way three is still good."
"794210","797410"," You want to see extensions and as long as we train above this daily trend we train above this"
"797410","797870"," hourly trend."
"798990","800550"," There's no fear at that point. "
"802110","806270"," Now you're monthly is not going to track the same time frame of course."
"807590","808030"," So."
"809450","811130"," You know this stuff can stay down here. "
"812750","814450"," And this blue one can stay lower."
"815430","816430"," It's not going to track."
"816630","818550"," It's going to take months for this to come up. "
"819410","821790"," But if price stays above this stuff."
"822110","822670"," No matter."
"822850","824570"," I mean a bear can fucking cry me a river. "
"825070","825650"," I'm honest."
"825850","826450"," I'm being honest here."
"826750","828130"," Bear can cry me a fucking river. "
"828710","830010"," The crash collapse bear."
"830230","831530"," Cry me a fucking river."
"831910","833930"," As long as we as price stays above. "
"834410","834510"," Right."
"834990","837510"," No matter what kind of shit they spell to you."
"837610","839010"," I mean it's not like you can't be short here. "
"839490","839890"," Right."
"840190","842450"," Or you shouldn't be short here trying to make some money here."
"842510","845030"," But anyone trying to tell you like we're getting a crash. "
"845950","846930"," Bonds are going to print."
"847150","848270"," And that kind of fucking nonsense."
"848490","849770"," As long as price stays up here. "
"850030","851170"," They don't have a fucking story."
"851630","853130"," And they really can't tell you that story."
"854110","857770"," They can't tell you that story unless price starts to break down. "
"858470","860210"," And even if it does start to break down."
"860610","863990"," You're talking about having a warning at like three ninety five."
"864350","867190"," I mean we're all talking about fucking crashes out there and I'm like. "
"868130","872590"," I mean I got to wake up tomorrow fucking morning and see us down to like three ninety."
"874650","876710"," And not that we can't just."
"877410","878850"," You know three fucking ninety. "
"879570","881770"," Three fucking eighty three seventy."
"883110","886130"," Three fucking forty five was the fucking bottom."
"886850","888470"," In twenty twenty two. "
"888690","889030"," So."
"889650","891970"," I mean what am I supposed to be a fucking afraid of here."
"892730","894510"," I don't know what that is. "
"895050","897470"," It's kind of like that Zamboni from."
"898010","899810"," It's kind of like that Zamboni from."
"901650","904130"," Austin powers like what can you do. "
"904310","907010"," Let's say we say we got tomorrow we're down three hundred points."
"907550","909150"," Fuck my what do I care."
"910990","913110"," Can I jump on it if it happens. "
"913450","913610"," Yeah."
"914270","914390"," So."
"915510","917530"," There's no real like there's no risk. "
"917530","918950"," Like people think there is."
"920010","920470"," So."
"921150","923710"," You know if you're along an apple on the last bottom on Apple. "
"924070","927110"," Like what do you think you're going to wake up tomorrow and Apple's going to be down fucking seven"
"927110","928170"," thousand points or something."
"928170","930110"," I'm exaggerating here of course but."
"931490","935130"," You know it's not like you can't get your money out of the market with the market. "
"935710","936690"," It's so bizarre."
"937090","938910"," It's like it's all fucking bizarre."
"939950","942670"," So if that happens and you want to pull the parachute you do it. "
"943190","945110"," You want to hedge the market you hedge it right."
"945290","946710"," Good time to hedge the market right here right."
"948930","953230"," You know you want to take like a three or six month out hedge in the market to protect yourself. "
"953490","953630"," Sure."
"953630","957550"," But all it's like all this talk that I see is just fucking pure nonsense."
"958730","962830"," Although there is a part of the market right now because there is no liquidity or where this mad"
"962830","963470"," Russia's right. "
"963790","964910"," We're all rushing into tech."
"965090","965950"," We're all rushing into gold."
"966110","967010"," We're all rushing into this. "
"967630","970450"," As a matter of fact right now everybody's rushing into bonds right."
"970670","973170"," We heard gunlock made a post on Twitter about this."
"973650","974870"," We go here was pissed off. "
"975030","977050"," You see Jamie Diamond and all his bullshit right."
"978110","979090"," They all buy bond."
"979290","980210"," They're all buying bonds right. "
