"id","start","end","text"
"RsCujrLQU3E","0","8640"," Good morning traders, this is your daily brief with Captain Jim James."
"RsCujrLQU3E","8640","13580"," I did post the daily brief that was comprehensive this morning on Twitter."
"RsCujrLQU3E","13580","20760"," This would be a companion piece so that you can understand what I'm putting out there"
"RsCujrLQU3E","20760","27560"," and also learn how to basically do your own daily brief, your own trading plan for the"
"RsCujrLQU3E","27560","34520"," week and also for the month, for the year and every day."
"RsCujrLQU3E","34520","42680"," So you can always check back to compare notes or at least set up a charting system so that"
"RsCujrLQU3E","42680","49040"," you can chart for yourself if I don't post one or I disappear one day, you at least have"
"RsCujrLQU3E","49040","56240"," this information and you can also base it off what other people say when you are watching"
"RsCujrLQU3E","56280","62080"," a YouTube channel or watching posts on Twitter, you want to be able to have a baseline for"
"RsCujrLQU3E","62080","70400"," what you think to compare to other people and not just trust people on the internet."
"RsCujrLQU3E","70400","78600"," So we are looking at the RUT but furthermore I'm looking at a trading view, I like to use"
"RsCujrLQU3E","78600","89600"," trading view for my research charting and then I carry it over to let's say Weebell."
"RsCujrLQU3E","89600","93920"," I also use other charting software but this one is free."
"RsCujrLQU3E","93920","102560"," What I like about trading view is that they carry more tickers unlike Weebell."
"RsCujrLQU3E","103560","109520"," What I like to do my research charting on the futures charts, you'll hear traders say"
"RsCujrLQU3E","109520","117120"," do traders say futures don't matter, that is incorrect, all of your research or my belief"
"RsCujrLQU3E","117120","123280"," is that my research begins in futures and then extends into the cash market."
"RsCujrLQU3E","123280","129040"," You can get a trading view account for free and we're going to chart out on a year, the"
"RsCujrLQU3E","129520","139920"," RUT, the Russell RTY, we're going to carry that over into a cash market for IWM and"
"RsCujrLQU3E","139920","147480"," I'm going to also show you the SPY which is ES or the ES Mini which you can also find"
"RsCujrLQU3E","147480","153840"," here in trading view and carry those charts over into a SPY chart."
"RsCujrLQU3E","154240","160960"," My only issue with using trading view during the cash session is that unless you pay for"
"RsCujrLQU3E","160960","167680"," an account the market data is delayed by 15 minutes and I know that the market data on"
"RsCujrLQU3E","167680","173680"," Weebell is live market data that's free."
"RsCujrLQU3E","173680","178840"," I'll do my research on these charts and then I'll carry these numbers over to Weebell and"
"RsCujrLQU3E","178840","183360"," it'll work for me and I can adjust them as the days progress throughout the course of"
"RsCujrLQU3E","183360","190640"," week so without further ado we're going to look at the Russell here and this is I believe"
"RsCujrLQU3E","190640","198080"," yeah this is a one-year chart and there's a few things I want to know when I'm setting"
"RsCujrLQU3E","198080","205120"," my major support and resistance lines and the first thing I'll check is a website called"
"RsCujrLQU3E","205120","211840"," the equityclock.com seasonality or a backslash seasonality and specifically if we're to look"
"RsCujrLQU3E","211840","219120"," at the major indexes sectors industries commodities what else I find neat about this"
