"start","end","text"
"10120","11100"," Check 1-2."
"12200","14860"," I want to see if this actually works."
"21630","23310"," That was the other thing that I was missing here. "
"41800","43020"," Let me just second-air it out."
"43940","45100"," We got to adjust some stuff."
"46040","46860"," How's everybody doing?"
"47800","48900"," Hell yeah, it's my birthday. "
"51140","52520"," Thanks for all the birthday wishes."
"53160","53780"," Good to see you, Emerson."
"54240","56540"," Your wife's boyfriend, Gil, Iden, Dougie. "
"57860","58260"," Beatty."
"58260","58880"," Kind of weird."
"59040","61040"," I got a new setup going on over here. "
"62700","64220"," So I did some work this morning."
"64960","65920"," Thanks for having birthdays."
"65920","66580"," I appreciate it. "
"67040","67780"," Everybody's doing well."
"67880","68920"," Can you guys hear me well out there?"
"69840","73140"," I've got a trade the news back on for you today."
"74280","79000"," So you should be able to hear some of that this afternoon or coming into the afternoon at 12 o "
"79000","79300","'clock. "
"80940","82400"," I canceled Ben Zinga."
"82400","83980"," This is the second time I canceled Ben Zinga."
"84060","86840"," I think of all the news sites. "
"88020","89900"," Trade the news is going to have to be the one."
"90020","91960"," There isn't a better one, which is kind of shocking."
"93100","99300"," You could just buy a Bloomberg terminal for 20 grand a year and read off the news and make a"
"99300","100300"," ton of money. "
"100300","103360"," Believe it or not, well, it's not really the news."
"103620","106380"," There's a, there's like a tech system on Bloomberg news."
"106400","107500"," That's where they get their news. "
"108460","109540"," So we're going to do."
"109640","114460"," We're going to stick with trade the news because just between the delays and the emphasis and"
"114460","115000"," what's important."
"115760","117640"," I can't find anything better out there. "
"118840","121400"," Yeah, thanks for all the happy birthday as I appreciate it."
"121880","122680"," Good to see all of you."
"122820","123940"," Good to see all of you here. "
"123940","127100"," This is a frickin phrase ripper this morning."
"127539","131360"," I wasn't even paying attention to the market and then I was trying to get all this stuff set up."
"132020","137520"," And so I put, I plugged in the the flow this morning and then I'm like, well, I'm going to"
"137520","139040"," change some of the stuff around. "
"139220","144180"," I wanted to put some screens up higher and like one over another and that kind of stuff so that"
"144180","146980"," I have better eyes aren't looking everywhere."
"149680","154200"," So right now, we, so we did, it looks like we hit a top at 449 70."
"154500","155780"," I'm going to talk to you briefly. "
"156240","161600"," Now, spot camera this morning said, I think they said, let me go to what spot camera said actually."
"165240","171120"," They just give me a quick second here because they did give some support levels if you are long."
"171120","175140"," And we'll take a look at book map currently right now. "
"175220","181240"," We know we've got VWAP down here at 448 32 and then we'll look lower for more support."
"181460","183280"," There seems to be some ice down here."
"183600","186200"," There was also a previous support down below here at 447. "
"188220","189420"," We'll try to take a look here."
"189580","194860"," There's a little bit of a gap in here too big supports that 441 32."
"195260","198020"," I don't know if we go down that far at the moment. "
"200520","203340"," We did just we just did just test support though at 450."
"205260","208260"," And then spot gamma gave some notes this morning."
"208640","210200"," I briefly read through them. "
"210580","214520"," Let me take a look at them real quick and see what they let gave us support for the day."
"215840","217240"," I haven't paying too much attention."
"217860","224320"," I had a breakfast with my family this morning, so I'm a little out of a little out of touch"
"224320","224800"," at the moment. "
"224800","230500"," Okay, so support lies at 4456 and 441 mark that on your charts."
"230580","233080"," I haven't even charted this morning out yet."
"233100","234740"," So I have to do that for myself as well. "
"236260","238220"," I'm gonna have to actually get off to do that right now."
"239020","240420"," Let me just a quick second here to get set up."
"293990","298070"," Which I'm actually quite surprised if you're looking at the chart for today. "
"298070","303630"," The resistance is at 4480 and 4500."
"304810","308110"," So I'll try to bring this chart up for you guys right now."
"308310","311710"," And we'll take a look at the chart for the day from spot gamma. "
"312170","316010"," There was another point in their note this morning that we want to be looking at."
"319770","321010"," Let me see if I get this one."
"321210","324070"," This one right here. "
"324070","324890"," 4456."
"325310","327290"," Okay, so we'll bring this over real quick."
"327870","332250"," So this right here, 441, 44310, I believe is the other one. "
"332350","333210"," So right in here."
"333670","335250"," See this yellow line that I have."
"337030","339110"," This is considered support here. "
"339450","341130"," Just regard this white line right here."
"341530","342850"," And then your second support."
"343150","344150"," I'll put them in right now. "
"344410","348370"," So you've got S1 down here."
"349330","352550"," We've got a small S there."
"354730","356730"," So this is S1 right here. "
"357030","363330"," And then S2 is right here."
"366390","368930"," And then R1 is 4487."
"370870","371770"," Let's see if I get that right. "
"374810","376290"," Put a 4480."
"377670","384790"," So 4480 above, which is outstanding above our first resistance line here."
"394470","398710"," And then R2 is right where we stand right here. "
"407850","415690"," And we have an implied move today of 0.82%. We're already trading outside of our implied move of"
"415690","419230"," the day at 1.03%. So this has been a very excellent day."
"419510","425870"," We also have some nice consolidation here from 1030 this morning into the 12 o'clock hour."
"426310","429090"," When we're this bullish, typically we have a little bit of a rollover later in the day. "
"429270","433910"," That lunchtime rollover between 1 and 2pm and then we rip higher."
"435070","438270"," So the question becomes, are we going to trade higher than 4450?"
"438270","445350"," We also saw today, if you were watching Flowago this morning, I scrolled through briefly and you"
"445350","447490"," could see the bid in the market."
"447790","455510"," Yesterday on Twitter, I posted a link to the number of calls that were placed across the market"
"455510","458790"," starting on the 18th until yesterday. "
"458790","466850"," And it was one of the largest call buying streaks in the history of the stock market was the past"
"466850","468370"," three to four days."
"468690","474750"," I'm asking just saying that the crisis is likely to spur digital currency considerations globally."
"476630","482570"," And what that leads to is a so someone asked me yesterday, I said, what do you think of it?"
