"start","end","text"
"44120","45520"," Good morning, Omar."
"46840","47560"," Morning Eric."
"49320","50640"," Morning, your wife's boyfriend. "
"50780","51320"," Good morning, John."
"51680","52080"," Nick Ryan."
"55650","58250"," Omar, I was thinking about you all night long, brother. "
"60130","61190"," Good morning, Ryan."
"61550","62290"," Binky, Emerson."
"63610","65370"," Morning, Tegan, Dan. "
"72540","74620"," Let's get this, let's start at least, let's get started."
"74880","76400"," Muzzurvey piles in there this morning."
"76400","76500"," Good morning. "
"84880","85820"," Good morning, Charles."
"86100","86960"," Good morning, P.D. Carpenter."
"87420","87860"," Good morning, Joe. "
"88760","89760"," Good morning, Eustery."
"91200","95420"," Well, I was thinking about you, Omar, because of, I didn't, did you follow along with that"
"96680","97080"," straddle?"
"97560","99460"," Good morning, Lone Wolf."
"99720","100300"," Good morning, Tuggy. "
"101020","101920"," Morning, Euro Boomer."
"102800","103660"," Morning in my production."
"104120","104780"," It's good morning, John. "
"106020","106940"," Good morning, son."
"109160","110620"," Ah, ah, Josh."
"111440","112700"," Good morning, Captain Ron. "
"113220","113980"," Good morning, Paul."
"118360","119080"," Morning, Travis."
"120220","121240"," Are you all doing this morning?"
"122060","122740"," Everybody's doing well?"
"124040","124920"," Right on, right on. "
"125620","126580"," We've got a few things for you."
"127360","131580"," Um, we're going to do some morning, uh, Profits and Henry, good morning."
"131740","132000"," How are you?"
"133200","134060"," They're all doing this morning. "
"134940","135820"," I'm freezing right now."
"135900","136820"," I just stick my dogs out."
"138480","139380"," Good morning, Danny. "
"144140","144760"," All right."
"144760","146140"," So we're green this morning, right?"
"148380","150560"," I wonder if Emerson's in here at any point."
"150840","151400"," Good morning, Danny. "
"151540","152060"," Good morning, Ben."
"152600","153480"," How's everybody doing this morning?"
"154160","154940"," They're all doing well."
"158100","159060"," Good morning, Charlie. "
"159240","159680"," Good morning, Rick."
"160260","160680"," Morning, Jordan."
"160900","161080"," For sale. "
"163280","163840"," All right."
"164680","165520"," We're going to take a look."
"165820","167840"," Again, I want to talk to you guys early this morning for a reason. "
"170420","173620"," So we're going to head on over here shortly, make sure everybody's here."
"174640","175200"," Oh, yeah."
"175340","176080"," The anticipation music. "
"177620","178720"," Good morning, Belgian."
"179300","180760"," You got to actually like that song or no?"
"181200","181840"," Bill Bowles."
"181960","182660"," Good morning, Jordan. "
"183300","184220"," Hell yeah, brother."
"185080","186160"," We have to talk about that."
"186280","187340"," That's why we're going to have a chat this morning. "
"188080","189260"," Good morning, Scott."
"189660","190120"," Good morning, Stan."
"190300","191900"," Good morning, BTCC, KK. "
"192660","193340"," Good morning, Ray."
"193760","194160"," Good morning."
"194820","195820"," Is it Ria or Ray?"
"195900","196280"," I'm not sure. "
"197560","198360"," Morning, Stephen, Emerson."
"200600","201380"," Jordan, for sale."
"207360","208940"," Good morning, Daddy Sue. "
"209340","216600"," You know, yesterday we talked about trading a, we're going to move over here in just a minute."
"217780","224720"," We're going to switch over and see if we can get this right this morning or not of that interlude."
"226000","226580"," All right. "
"226680","227800"," Everybody seems to be here this morning."
"227960","228360"," Good morning, Richard."
"228600","229160"," Good morning, Binky. "
"229160","230700"," Good morning, Papa Smurf."
"231280","233900"," You know, yesterday into the, into the clothes we talked about."
"235640","237020"," Talked about what we talked about. "
"237260","237700"," Good morning."
"240400","242420"," Liking spy calls over 459."
"242640","243260"," Good morning, GP. "
"245100","248100"," Almost getting there, trying to get that production value up."
"248260","250760"," You guys have been sticking around, so I figured out my end."
"250880","251620"," I have a ton of work to do. "
"253780","255079"," That's straddle, baby."
"256500","258140"," That's straddle, right, baby?"
"258140","259459"," That'd be straddle, Omar."
"262460","264300"," Oh, he didn't get the straddle. "
"264920","266080"," Oh, no."
"266900","268140"," Good morning, Bobcat."
"268820","269880"," Good morning, Troy. "
"270220","270820"," How are y'all doing?"
"273560","274280"," Yeah, Emerson."
"274960","277440"," So look at what Emerson's saying."
"280260","285000"," And we'll take a look at the, we'll take a look at the NQ daily 200 here in just a"
"285000","285280"," moment. "
"286320","287340"," Emerson's got a good point."
"287340","291440"," I want Emerson here this morning because we have a lot to talk about."
"292520","294940"," And I'm going to bring this up real quick here. "
"295380","299980"," I want to see your main display."
"300820","301980"," Okay, we're going to switch it over here."
"303120","307540"," And we're going to take a look at, we're going to get started here. "
"307680","308260"," Good morning, everybody."
