"id","start","end","text"
"SJKPE0jHdeo","0","12000"," This leader is provided to permit the projectionist to complete adjustment of focus and sound"
"SJKPE0jHdeo","12000","15000"," level before the film begins."
"SJKPE0jHdeo","42000","52000"," Let's get this moving on."
"SJKPE0jHdeo","72000","90000"," So again, manufacturing forecast is 48 spot two on the prior 47 spot nine with a range of 49 to 47 spot one expected for the services PMI flash the forecast is 50 spot seven on the prior 50 spot five with a range of 52 spot five to 50 expected"
"SJKPE0jHdeo","90000","98000"," and the composite PMI flash forecast 50 spot four prior 50 spot two"
"SJKPE0jHdeo","98000","102000"," Good morning, everybody. How's everybody doing out there?"
"SJKPE0jHdeo","102000","113000"," We've got a lot to go over this morning. It was a nice little stream is sponsored by Tickshrike. Tickshrike allows you to actually hear water flowing futures forex."
"SJKPE0jHdeo","113000","118000"," Yeah, this stream is not sponsored by Tickshrike."
"SJKPE0jHdeo","119000","124000"," There's no two as well. There's some people have hundreds of parents games. It's an upstairs spot 2% on the session now."
"SJKPE0jHdeo","124000","131000"," Yeah, it was nice to see the bump in the overnight, but there's more to look at here."
"SJKPE0jHdeo","131000","136000"," So we've got before I get into some other stuff."
"SJKPE0jHdeo","136000","141000"," Let me just do one quick thing here. Hold on here."
"SJKPE0jHdeo","142000","147000"," So the title of today's video is."
"SJKPE0jHdeo","147000","152000"," The title of today's video is is this a trap."
"SJKPE0jHdeo","152000","156000"," It's fascinating that."
"SJKPE0jHdeo","156000","160000"," I got to do a few things in the background."
"SJKPE0jHdeo","160000","169000"," I have a friend of the show text me this morning and says and said this feels like a trap and I said it is a trap."
"SJKPE0jHdeo","170000","174000"," Before the open this morning."
"SJKPE0jHdeo","174000","180000"," And so we'll look and find out."
"SJKPE0jHdeo","180000","185000"," There's two traps here. We'll talk about both of them."
"SJKPE0jHdeo","185000","193000"," And you guys you guys know how I do things. Take the money and run on the open."
"SJKPE0jHdeo","194000","201000"," We're giving one quick second. I got to do some housekeeping some stuff for YouTube on live streams in the background."
"SJKPE0jHdeo","201000","203000"," So I just need a moment."
"SJKPE0jHdeo","203000","212000"," It just takes about 30 seconds. Maybe a minute to get this done."
"SJKPE0jHdeo","212000","217000"," Sort by newest."
