"start","end","text"
"42500","43640"," Good morning."
"44220","45380"," How's everybody doing out there?"
"46180","47100"," Morning, Dougie Dee."
"47440","50240"," Good morning, Becky. "
"51400","52200"," Morning, you asked my boyfriend."
"52460","53900"," Good morning, John S."
"54500","55720"," Morning, good morning, Ed."
"56460","57400"," Winking my brother. "
"57980","58180"," What up?"
"59180","59860"," Brian, John S."
"60280","60820"," All ass."
"61940","63060"," How's everybody doing out there?"
"63959","64360"," I'm Dylan."
"65380","65900"," Steven. "
"66780","66880"," Gavin."
"68780","69240"," Our SHP."
"70540","72560"," And this is, we trust, good morning. "
"73240","75660"," Morning, John asked the coolest, baby."
"76520","77320"," I like seeing it."
"77640","78660"," Thank God for a good morning. "
"80320","81720"," Europe, boomer, good morning."
"82240","82520"," Juney."
"82860","83580"," Good to see you, Frank. "
"84720","84940"," Fisted."
"86020","86960"," Bobcat Dude, what's up?"
"87840","88520"," Dragon Wolf, CB."
"88920","89620"," How's everybody doing this morning?"
"90360","91100"," Gavin, good morning. "
"94040","94920"," Hell yeah."
"96260","97600"," We got a lot to talk about this morning."
"99260","100820"," We got a few things to talk about. "
"101240","102460"," We're going to get this started here."
"102840","103560"," We're going to turn this down."
"104300","106380"," We're going to slide over. "
"108840","110300"," I don't know if I'm doing this right."
"110500","110620"," Wrong."
"110940","111160"," I don't know. "
"113140","114120"," I turn that too loud."
"114280","114960"," We'll turn this off."
"116100","117040"," Good morning, everybody. "
"117700","118260"," Mr. J."
"118480","118640"," Rambo."
"119220","120160"," Jill, good morning."
"127300","128100"," Good morning. "
"128180","128180"," Good morning."
"129520","130620"," How are y'all doing this morning?"
"130880","131400"," Everybody doing well?"
"132300","134020"," I hope everybody's doing well this morning."
"134960","137360"," Okay, so we're going to talk about some stuff right away. "
"137500","140420"," We're going to get some stuff out of the way here and get moving."
"141980","142980"," It was crazy, right?"
"143140","144480"," Because we're up right now, what, three bucks?"
"145100","149040"," And if you're actually about that dip, we were talking about that last few minutes of the clothes"
"149040","149560"," yesterday."
"150160","155080"," Well, we actually put two bucks on the board before we even closed yesterday. "
"155440","157200"," So I think we're up three dollars or something like that."
"157340","161520"," So we're already up 50 points or something crazy on this move so far."
"162240","167540"," So this move down below here was actually almost as deep as the low of the day. "
"168580","170280"," So the move is actually way down here."
"170280","172460"," It was down here for four to eight point zero six."
"173360","176780"," And we're now above here at four three two ninety three baby. "
"176780","179920"," That's 50 points doing nothing overnight."
"181440","181840"," Right?"
"183400","184960"," So we're going to talk about some this morning."
"184960","186220"," Okay, we got we got some issues. "
"187180","190180"," I want to be aware of this for the open and before you take this any further."
"190420","190600"," Okay?"
"191400","196140"," There are sellers hiding above at four three five zero."
"197300","199260"," Now you're going to hear people say we're going to four forty. "
"199560","201840"," We're going to hear people say we're going to four fifty somewhere."
"202060","203640"," We're going to trade higher and above and over."
"204340","209220"," We do have volatility tomorrow and we do have volatility on Friday no matter what you want to hear. "
"209320","209460"," Okay?"
"210220","213860"," And specifically on Friday, we've got some stuff with going on."
"213860","215220"," But I do want you to be aware."
"215440","215560"," Okay?"
"216020","220280"," That if you held this here in any kind of shape or form. "
"221680","223440"," You're going to take profit at some time this morning."
"223760","227500"," The next thing I want you to know is we can trade higher than forty three fifty."
"227960","231520"," But I'm telling you this seller's there and they're going to be some short stick. "
"231620","233400"," Make it squeeze the yada yada right?"
"233860","238040"," But I would do want you to understand that what you do is you take profit and we trade what's"
"238040","239800"," in front of us to the right always right?"
"240440","244480"," So if we're going to trade higher today, we can trade this to forty three fifty."
