"start","end","text"
"59910","63010"," I can't you guys might be able to hear me right now with a shitty microphone."
"69930","74470"," You guys might be able to hear me now with the shitty ass mic that I have."
"77050","78570"," Now I got my shit in a ponytail. "
"82760","83700"," No, no sound."
"85260","86420"," You hear me now, right?"
"88260","90440"," Okay, so my microphone is fucked up."
"90640","92780"," It's like I've got a fucked up mic right now. "
"96260","97860"," Yeah, it sounds like a tin can, right?"
"100900","105960"," Yeah, it's because it's not my it's not my fucking it's not my mic."
"105960","107560"," It's my camera microphone."
"113050","115430"," Hold on here. "
"115570","116290"," Give me just a second."
"116530","117030"," See you guys here."
"117390","118190"," Just you guys can know. "
"118330","125110"," I know my voice sounds like dog shit right now, but my mic sucks right now."
"125150","125830"," I can't believe it."
"126890","128250"," I think I know what it is. "
"128490","129949"," I've had this happen before."
"137400","138480"," You guys hear me now?"
"138760","141920"," No, check this one real quick."
"144800","147140"," Alright, so I'm gonna give you guys, I'm gonna hang up with you, right Chas?"
"147480","149280"," Because I gotta get through this stuff for everybody. "
"150400","152680"," I appreciate it, man."
"153360","154120"," I'll clear it back."
"155960","163780"," Alright everybody out there, this sucks because I've got a mic problem and it's not the first time"
"163780","164860"," I've had this mic problem. "
"164860","166360"," I forget what the reason is."
"168160","169020"," No, wait a minute."
"169700","170440"," Hold on. "
"173140","174040"," Disabled, disabled."
"175140","181880"," Kind of pissed off, but I forget the reason why this is, but we're gonna go with what we've got"
"181880","182380"," going on."
"182620","183180"," Fuck this mic. "
"184400","187940"," So we're gonna go with what we have happening right now."
"188660","190380"," So I want you guys to see out there."
"190720","193260"," There's a couple of important things I want you guys to be looking for right now. "
"193920","195520"," First off, how's everybody doing?"
"195520","196940"," Hope you're all doing well."
"198020","201640"," Yeah, so the mic sounds raw because I've got a mic issue."
"203120","206520"," It's something with that resets and they're gonna go back in a reset. "
"206700","208560"," It's just stupid fucking OBS shit."
"208920","210480"," I didn't come here."
"210640","211920"," I forgot my shit in a ponytail. "
"213180","214300"," So we're gonna take a look here."
"214440","217580"," I want you guys to see that there are buyers down below down here at 380."
"217580","220140"," 380 to 50 or so. "
"220980","222760"," You'll see buyers as well."
"228580","229940"," You guys hear all that?"
"232480","238040"," We're gonna go through some stuff here, some important stuff that we haven't had a chance to talk"
"238040","238360"," about."
"239700","242020"," So I did buy this bottom just so you know. "
"242280","248880"," I bought calls here at 380 to 50 and I'm gonna add more calls at 380 flat."
"251760","257480"," So if you're out there and you're wondering if you should have bought that bottom or not with Chaz"
"257480","260220"," on the phone I did buy some calls at 380."
"260820","265840"," There were 385 C's expiring today and I'll add some more here at 380. "
"268840","274200"," If we trade back down retest the low possibly and you can see these buyers down below and you can"
"274200","278560"," also see we've actually had real money buyers all day long on the spy."
"279900","283860"," The spy though has had rolling puts coming into it."
"284240","285640"," So we're gonna talk about that stuff. "
"285820","287000"," We're gonna talk about where we're headed."
"287700","290460"," I'm gonna start off, I'm gonna start off with you guys."
"290720","292060"," We're gonna take a look at some charts here. "
"293640","296560"," And I need to get through this today if I can."
"296740","305840"," You know as a matter of fact I'm gonna do, I think I need to give me what I'm gonna"
"305840","306320"," do is this."
"306320","310180"," I'm gonna turn the stream off one more time. "
"310180","312580"," I really apologize for this for having a bad stream."
"313100","318680"," I'm gonna turn this stream off one more time and I'm gonna reset this fucking OBS studio bullshit"
"318680","321040"," because I know exactly what's going on with it."
"322680","325400"," But I have to turn off the stream to do it. "
"326580","330080"," But I do at this point know what's going on and why my mic is muted."
"331760","336100"," So I'm gonna turn the stream off one more time but I do want to tell you first of all"
"336100","336280"," this."
"336920","341580"," It's important that I get this information out to you guys today because we're gonna talk about, I"
"341580","343840"," want to talk to you guys on a larger time frame. "
"345740","354860"," I need to be talking with you guys about, I need you talking to you about why, let me say"
"354860","356620"," I'm gonna bring this to a larger time frame here."
"360900","365380"," Let's see I'm gonna bring this over here and kind of show you where we're headed."
"367180","369900"," So this original channel that we're in above here, right?"
"370020","373180"," We started to break down inside this wider channel here. "
"373680","375160"," I want you guys to see that, okay?"
"375280","379020"," We started to make lower highs within this larger channel here."
"381080","384140"," And you can see the rejection we had back here on the 17th, okay?"
"384140","391620"," Now today, my expectation today was that we would train up today tomorrow or today on a Monday"
"391620","393800"," possibly up to this 400 level."
"394720","398380"," But the other, we have some issues with front running in the market. "
"399720","405260"," That's really what I wanted to talk to you about this morning was when does that front running"
"405260","405460"," begin?"
"406480","410300"," Under normal circumstances you wouldn't see it until June."
"411300","417740"," There was talk on social media that you would see it in May 25th, let's say."
"418000","421980"," And then this past week there was talk that you would see it by Monday. "
"422900","425360"," And you can see that the drop is already happening."
"425700","429900"," You can see today that there's no waiting any longer, right?"
"429900","437340"," Then there's no wait right now for, under normal circumstances June, there's no wait anymore for"
"437340","440000"," the minutes on FOMC."
"440500","443340"," And there's no wait anymore even until Monday. "
"443980","445640"," And this is what's called front running."
"445920","451280"," What's happening is there are larger market players that are front running this market down."
"452160","456820"," Now you need to be aware of this front running that's taking place, right?"
"457760","462560"," And this is, I wanted to bring this is the live stream that I wanted to do today before this"
"462560","463200"," even happened. "
"463780","465460"," And of course we're not getting that, right?"
