"id","start","end","text"
"T55UeygGctg","0","1600"," Check 1-2, Mike check."
"T55UeygGctg","3600","4800"," Is it still up for now?"
"T55UeygGctg","4800","12400"," This leader is provided to permit the projectionist to complete adjustment focus and sound level before the film begins."
"T55UeygGctg","12400","15400"," Sound a little dehydrated."
"T55UeygGctg","18200","20000"," I don't know if I'd like to share either."
"T55UeygGctg","21000","25000"," This leader is provided to permit the projectionist to complete adjustment of..."
"T55UeygGctg","25000","43200"," Sound a little dehydrated."
"T55UeygGctg","43200","49600"," Sound a little dehydrated..."
"T55UeygGctg","49600","65780"," to"
"T55UeygGctg","65780","70060"," wonder people took their"
"T55UeygGctg","70060","85340"," good morning, good morning"
"T55UeygGctg","85340","90580"," is going out there, how's everybody doing out there good morning"
"T55UeygGctg","90580","98100"," yeah hello everyone hey so this is so if you're you don't if you've never met"
"T55UeygGctg","98100","104220"," David in person or be a video or you've just heard of him this is David AMS now"
"T55UeygGctg","104220","109540"," he works with book map and he's a long time or I don't know long he's been"
"T55UeygGctg","109540","117580"," trained at least five years maybe maybe longer but I met David now he can talk"
"T55UeygGctg","117580","124140"," about this in a minute I met David three or five years ago and we were in a"
"T55UeygGctg","124140","128260"," trading group together a private trading group in a private room I think it was"
"T55UeygGctg","128260","131900"," 600 or a thousand bucks a month or something and saying what is all said"
"T55UeygGctg","131900","135740"," and done it was like thousand bucks a month or something and David and I traded"
"T55UeygGctg","135740","139380"," together right yeah he'd wait you David trade the nighttime and I'd trade the"
"T55UeygGctg","139380","143380"," morning to get together in the morning and discuss what he thought the nighttime"
"T55UeygGctg","143420","148540"," was and I'd say what I expected during the day and I would he would like it was"
"T55UeygGctg","148540","152060"," like a morning brief from David and then we'd check in with each other"
"T55UeygGctg","152060","156260"," sometimes in a day as well I'd try to send him a DM and he'd send me DMS and"
"T55UeygGctg","156260","160780"," well in these trading rooms if there was a pit it was usually him and I in that"
"T55UeygGctg","160780","168220"," pit trading together and I said no idea what they were doing I think it was"
"T55UeygGctg","168220","176580"," weird and so that's how we got to know each other and we fell apart and I"
"T55UeygGctg","176580","179460"," didn't we I didn't become I wasn't no longer a part of that trading group I"
"T55UeygGctg","179460","183940"," ended up going on my own years a year later I was like man if he can ever come"
"T55UeygGctg","183940","188180"," our way so I reached out to my thinker I forgot to I didn't couldn't find his"
"T55UeygGctg","188180","191660"," name and then I finally found his name like a year or two later and I was like"
"T55UeygGctg","191660","195660"," we can get David with us with our group it's gonna be fucking nothing but net"
"T55UeygGctg","195740","200340"," positive and he reached back out to me and I was like I gotta get out my hands"
