"id","start","end","text"
"TJlTQ4K-NEA","0","7940"," Good evening, traders. Captain Jim James here with your daily breathe. I haven't made"
"TJlTQ4K-NEA","7940","14900"," a video in a little bit here, but I did say I wanted to put a video out as we are, you"
"TJlTQ4K-NEA","14900","19780"," know, at a point in the market where people start to get anxious, a little bit of fear"
"TJlTQ4K-NEA","19780","24100"," in the market possibly. As you know, well, first we're going to look at the E-mini. This"
"TJlTQ4K-NEA","24100","30900"," represents, you know, the S&P 500, the spy. It's a slightly different chart than SPX and"
"TJlTQ4K-NEA","30900","37940"," spy, but it's the most complete in terms of the complete moves that are made in the day"
"TJlTQ4K-NEA","37940","47460"," and in the overnight. In past videos, I've talked about how you could use this chart"
"TJlTQ4K-NEA","47460","56020"," with basic resistance and basic support lines to know when to make entry in the market."
"TJlTQ4K-NEA","56020","61380"," Now, as you know, small caps can somewhat move on its own. It'll sometimes, you know,"
"TJlTQ4K-NEA","61380","68100"," move independently of the spy and the cues as well, Nasdaq, but this is a pretty complete"
"TJlTQ4K-NEA","68100","76220"," composite that still represents the top heavy indexes, indexes, which means, you know, there"
"TJlTQ4K-NEA","76220","81980"," are only so many stocks that actually move an index. And most of those stocks are included"
"TJlTQ4K-NEA","81980","90620"," to some extent in all three indexes. So to look at the S&P, the 500 is fine. You know,"
"TJlTQ4K-NEA","90620","93900"," we don't have to look at the other indexes tonight. So if you're in another, if you're"
"TJlTQ4K-NEA","93900","100580"," in a specific stock, if you're in an Apple, if you're in Tesla, even though Tesla does"
"TJlTQ4K-NEA","100580","107300"," move on its own, Tesla can also move with the market when the banks want it to. So this"
"TJlTQ4K-NEA","107300","111060"," is a good indicator to use for we are right now. Now, and you know, you know, in the past that we've"
"TJlTQ4K-NEA","111060","116900"," talked again, we've known the past that we've talked about where you can make your long entries"
"TJlTQ4K-NEA","116900","122580"," on a chart like this, right? And you know when to get out of your long entries in a chart like this."
"TJlTQ4K-NEA","122580","129540"," We could probably make anywhere from eight, nine, 10 longs in a year and probably five,"
"TJlTQ4K-NEA","129540","137860"," six shorts in the year and would be 100, 100% win rate using just a chart like this. And I went"
"TJlTQ4K-NEA","137860","145140"," all the way back to March of 2020 for a reason. And that's because we broke below this channel"
"TJlTQ4K-NEA","145140","151300"," over here in the bottom left. And we came, we fought our way back up with, you know, infinite QE."
"TJlTQ4K-NEA","151940","156900"," And I wanted to show this part of the chart to you. Because if you look below here, right?"
