"start","end","text"
"23460","26760"," I've got to change that to the delivery back in the delivery, I guess."
"28360","30040"," Good morning, your wife's boyfriend."
"31340","34460"," Good morning with Tast, Omar, Teagan, Jeremy. "
"36200","37300"," Good morning, Dougie."
"37300","39160"," Morning Chez, Brian."
"41600","42360"," Good morning. "
"42920","43980"," Morning Ryan, how are you?"
"44120","44420"," How are you?"
"44420","44700"," How are you?"
"44900","45780"," Good morning."
"46100","46480"," Good morning."
"46880","47180"," Good morning. "
"48620","51000"," Have to hold me until everything's going to be alright."
"52160","52960"," See you hilarious."
"53960","54740"," Hey, all good. "
"56280","57320"," Joshua, how are you?"
"58300","58700"," Monkey."
"60020","60400"," Doll Queen."
"60940","61000"," X."
"61840","62260"," Mr. Joe. "
"62540","62740"," John."
"63700","63879"," Miha."
"63879","65140"," Belgian J."
"65420","65500"," Richard. "
"65500","66200"," Good morning."
"66440","66700"," Justin."
"67040","67240"," Don. "
"67520","69220"," God, prove my brother."
"69920","70480"," Michael S."
"70980","71460"," Chris P."
"72220","72920"," Mal S."
"73100","73220"," W."
"73540","73560"," San."
"73760","74220"," Casey Hanson. "
"74480","74580"," Wizard."
"75380","76100"," John C."
"77400","78160"," Good to see you all."
"78280","78600"," But Tast. "
"78900","79260"," Rick P."
"79780","80800"," Henry's in the house."
"82420","83260"," What's everybody doing?"
"85980","87340"," Right on Johnny Five."
"87900","88940"," Stay alive, baby. "
"89260","90220"," G.P. Sport K."
"91100","92720"," Chris yields to the moon."
"92940","93280"," Good morning."
"93660","94680"," Talk about this morning. "
"95140","95980"," Morning Lone Wolf."
"96380","97280"," Morning Willie Smoked Meat."
"97640","98560"," Yield to the moon. "
"99520","100640"," Lion Nastelle."
"101060","101780"," Ryan Trevor."
"102320","102800"," Betty Mac, baby. "
"103060","103680"," Good morning, brother."
"105660","106560"," Everybody's doing here?"
"107800","110420"," The jobs numbers were like this this morning."
"110920","117800"," I mean, it just shows, it just totally shows the clown show, right?"
"118180","118440"," It does. "
"119120","119840"," Even C."
"119900","121200"," NBC was a clown show about it."
"122720","123280"," Good boy."
"123780","124640"," Willie Smoked Meat. "
"124740","125040"," How are you, brother?"
"125480","125540"," Frank?"
"125740","126100"," You three?"
"126760","127060"," Faison?"
"127300","127860"," Good morning, Josh?"
"128080","128300"," Good morning."
"129039","129780"," Let's talk about that."
"130400","132460"," We're at an interesting moment in the market right now. "
"133340","138080"," So what I'm going to do is, before we get started here, I'm going to bring something up behind the"
"138080","139300"," screen that you're looking at right now."
"139460","140000"," Just give me a second."
"140640","141920"," So I'm going to get everybody in the room real quick. "
"143700","144440"," E.V. Good to see you."
"145280","149920"," My Eskimo brother at HP, Faison Aussie, Doug Sofa."
"150320","151440"," Christopher, you're a boomer. "
"151520","151800"," Good morning."
"151940","152260"," How are you?"
"152800","153780"," Dylan, good morning."
"153900","154180"," How are you?"
"154800","156700"," So we're going to give you a second here. "
"156800","160820"," I'm going to do something here this morning."
"163400","165660"," We're at an interesting place in the market this morning."
"166060","167940"," First off, the jobs numbers, right?"
"169160","169700"," It's hilarious. "
"170160","172540"," There were articles across the country yesterday."
"174420","179040"," Stating the jobs numbers are going to be awful this morning."
"179840","181720"," And, you know, would there be doom and gloom over it?"
"181820","184280"," You can see that the jobs numbers weren't actually that bad. "
"185840","186860"," They were actually good."
"187080","192300"," They were better than what was expected in terms of, you know, how bad they were going to be."
"192740","194300"," Anyways, it's a whole, all a disaster. "
"194920","201240"," The takeaway, though, is that it's important because there are other markets that rely upon making"
"201240","202520"," money off of the market."
"202520","207720"," The jobs numbers, particularly currencies, gold, metals, things like that."
