"id","start","end","text"
"TcHcD_r6hxk","0","12240"," Let's see if we're live here."
"TcHcD_r6hxk","12240","20920"," I don't know if we're live or not."
"TcHcD_r6hxk","20920","30000"," I think we're live."
"TcHcD_r6hxk","30000","31000"," Sweet."
"TcHcD_r6hxk","31000","45520"," We've got one of you guys out there watching."
"TcHcD_r6hxk","45520","49200"," I might have to reset this."
"TcHcD_r6hxk","49200","56640"," I don't know if I can see all this."
"TcHcD_r6hxk","56640","65840"," Hey guys, I think that I have to plug into a hard line."
"TcHcD_r6hxk","65840","66840"," Just hang tight here."
"TcHcD_r6hxk","66840","69200"," I'm going to redo this one, okay, this feed."
"TcHcD_r6hxk","69200","72600"," Hey, can you guys hear me?"
"TcHcD_r6hxk","72600","74080"," Right on, right on."
"TcHcD_r6hxk","74080","82520"," When I'm cutting my screen, my screen is kind of jumping, right?"
"TcHcD_r6hxk","82520","89680"," My hair, my hair is looking pretty nice, isn't it?"
"TcHcD_r6hxk","89680","96360"," Is there a, do you have a land connection over there that I can plug into real quick?"
"TcHcD_r6hxk","96360","97360"," Aaron?"
"TcHcD_r6hxk","97360","100360"," How are you all doing?"
"TcHcD_r6hxk","100360","102360"," Is there a land connection?"
"TcHcD_r6hxk","102360","107000"," I steal your land connection for just a moment."
"TcHcD_r6hxk","107000","108000"," Hang tight guys."
"TcHcD_r6hxk","108000","110160"," I'm going to try to get a better connection."
"TcHcD_r6hxk","110160","120760"," I'm on Wi-Fi right now and I probably need to be on some form of a, oh, it doesn't unwrap."
"TcHcD_r6hxk","120760","122560"," Take it over there."
"TcHcD_r6hxk","122560","126520"," It's all wound up or something."
"TcHcD_r6hxk","126520","127520"," Everybody here?"
"TcHcD_r6hxk","127520","130200"," Yeah, the hat's pretty terrible."
"TcHcD_r6hxk","130200","137160"," I have a, I've got, I've got two daughters, they love hats and neck scarves and all this"
"TcHcD_r6hxk","137160","143880"," kind of craziness and so I figured out, I figured I wear a hat every week when I did"
"TcHcD_r6hxk","143880","148920"," the Let's Drink a Bear segment and sorry for the noise of the background."
"TcHcD_r6hxk","148920","156720"," We're going to try to get some, we're going to try to get some a, a hard, our land lines"
"TcHcD_r6hxk","156720","161040"," so that I'm not so jumpy on camera."
"TcHcD_r6hxk","161040","170800"," I still, so I have, this is my, I've got two offices right now and I need to put together"
"TcHcD_r6hxk","170800","174960"," a more permanent office space with a studio or something I think I'm not sure."
"TcHcD_r6hxk","174960","178880"," I need something so I can set up multiple cameras you guys can look at."
