"start","end","text"
"48840","49940"," Get right into it."
"53180","53960"," Good morning."
"54240","58460"," You're just joining us right now Here get a few things. "
"58500","59680"," You got to take care of here for you."
"60640","62180"," We are open at this point."
"62420","73680"," We put on a book map real quick for you So what's going on here It's"
"73680","81580"," interesting we've got the JPM caller above just where our three is this morning Let me post this"
"81580","93640"," real quick to Everybody's weekend going hope you guys all a great weekend I'll"
"93640","100080"," tell you what this is a good time the opens are always a good time to place Flies and condors"
"101960","111480"," This week seems like It's going to be a focal part ER is going to become a focal point we're"
"111480","121680"," gonna talk about some tips stocks this morning That are Reporting with High"
"121680","133520"," V on them large expected moves So we'll chart some of those out today All"
"133520","140820"," right How's everybody been God free how are you brother?"
"141120","142100"," I've been me in the call you man. "
"142180","149680"," I haven't had a chance to call you I've been very extremely busy We'll talk about my personal life"
"149680","155940"," today, too We'll talk about what cap's been doing to if you have a boring day ahead of you You"
"155940","157000"," can probably listen into me today."
"157600","166390"," I'll just blab your air off all morning Hope you all had a great weekend out there Let me see"
"166390","173470"," here trying to catch up at the moment One more thing to do and then we'll be right there."
"173710","180870"," I have to make sure you make sure we don't have the Russian the Russian porn bots in the stream"
"180870","190640"," today Well, okay, let's see Turn that off"
"190640","190900"," there. "
"191080","194440"," Okay So good morning if you're just joining us."
"194480","199800"," Hope everybody's doing well out there We get a bunch of stuff to go over for the week here"
"200240","205120"," Hopefully we can get through all of it this morning or today for what's coming up this week first"
"205120","211140"," Let's say hi to everybody that showed up this morning so far Let's go through It has so much to"
"211140","214520"," do to get a live screw up and run Good morning, Matias Otis."
"214660","222820"," Good morning Dean J money Johnny Moog's baby then God freeze in the house A.M. Alliams in the house"
"222820","227420"," each trading shorts I mean the contact you and I have an intense contact you there's a whole bunch"
"227420","232380"," of you guys out there that I'm trying to get to and I'm trying to reach out to you guys"
"232380","238800"," to have a chat and I have not had the time it has been Non-stop burning the candle at"
"238800","240700"," all ends Pinky G."
"240980","241820"," Good morning Benny Mac. "
"242060","243960"," Good morning Eric grandstrom."
"244060","245180"," Good morning Lisa Cullen."
"245400","250380"," Good morning Create the green and blue trendlands and Tesla and trading if you may know how to do"
"250380","250620"," that. "
"250840","257140"," Yes, we'll talk about that today Faze on Chris Sherry or Kureshi."
"257360","261900"," Good morning Garrett cap shock good morning Yeah, then I'm all over brother."
"262060","266420"," I'm gonna get you a shot, bro And we haven't talked we haven't talked since last Christmas or"
"266420","271000"," Thanksgiving I think right I was up at the lake house and we had a little a chat like a"
"271000","278680"," first fireside chat So I miss talking to you man Tesla's blasting off so Tesla hasn't expected move"
"278680","286820"," this week of 5% and they're already up 3.5 9% right now It'll be interesting to see"
"286820","293540"," if they can get higher What do you got here Really risky. "
"293740","297360"," Yeah, we still have a I used to so the back end here I can make some I can leave"
"297360","303120"," it so only subscribers can comment and Before I was I just let anybody comments and we'd have like"
"303120","308800"," Russian bots show up And they'd they try to get you to I had like hookers on the chat that"
"308800","313780"," chat or something Morning Victor, how are you my kiss?"
"315220","316080"," Macley us good morning."
"316280","317820"," How are you Macley us me know?"
"318340","325380"," California Brother morning BD more than David Tran Morning our ass good morning Steven Hunter my"
"325380","333260"," brother Hope you had a great weekend Steven Hey, I did some stuff with my kids this weekend in the"
"333260","341840"," city of Detroit is a great weekend Yeah, it's been crazy Jorge good morning collash."
"342020","342340"," Good morning. "
"342740","351340"," I'll play to the mayor's good morning Harry good morning Patrick X Winky good morning Yeah, we got"
"351340","355340"," to talk about MS right we got we got to talk about Banks their report."
"355600","356000"," Oh shit."
"356140","357260"," You know what I hold on a second. "
"357300","357820"," Let's check something."
"360810","363130"," I Had a bank that I was interested in."
"363210","364550"," Oh, they don't report until tonight. "
"365130","370770"," We'll talk about them later We're gonna go over some tickers this morning We might have we might"
"370770","376870"," have like Winky's unicorn corner going on this morning because Think that the although you guys"
"376870","384590"," think that the market's gonna move I'm telling you that It might But there's a fair chance that fan"
"384590","385530"," of gangs coming out."
"385570","391890"," They're gonna ruin your party at least in the indexes You're probably gonna get You're probably"
"391890","396730"," gonna gonna have a bad day bad week if you're if you're trading indexes this week I'll give you the"
"396730","397010"," numbers."
"397090","404970"," I think I posted them on Twitter a couple times what you want to get underneath or above For some"
"404970","411870"," real action in the movie and the movie in the market this week Otherwise you're gonna see that"
"411870","418410"," again come out in rain on some parades interesting though JPM collars right up here in our three"
"418410","427130"," today and These levels here they were only expecting like I think it's 403 and 396 So we're"
"427130","435770"," expecting a range somewhere in here This week and that that's this is the implied move Wow for this"
"435770","437310"," week, so not so much, right?"
"438030","446950"," Good morning will and you know it's the other thing was interesting was they were gonna short a"
"446950","452570"," they were gonna short GS one way or Another weren't they GS wasn't getting out alive between the"
"452570","453190"," apple card. "
"453270","454850"," Did you guys read about the apple card?"
"455610","459630"," I got friends here that have talked to me about the apple card and then I read a whole bunch"
"459630","468830"," of shit about it About how it was being abused and misused It's like perfect if you buy apple"
"468830","478450"," products, but you shouldn't use it anywhere else Good morning bezel was that is it but how do"
"478450","480810"," I how do I pronounce it in Greek in Greek?"
"481690","486090"," It's a bit second a bit sounds sexy But good morning bands good morning Steven."
"486390","486750"," Yeah, brother."
"486990","487670"," How you doing Steven?"
"489190","495070"," Make five four eight seven you ice boyfriend was telling me about that stuff was telling about the"
"495070","495590"," apple card. "
"498090","500790"," Oh So the interns didn't post the levels this morning."
"501410","510350"," Oh I didn't know that they didn't oh, you know what I did get an alert this morning Hold on"
"510350","520010"," here I got an alert this morning Something about a doctor's appointment,"
"520049","528410"," but I will find out what's going on I'll find out why the levels are not up Let me let"
"528410","532790"," me check real quick and make sure we see why the levels aren't about let's check with the interns"
"532790","542590"," and see what they say Yeah Yeah, we can look at Tesla you guys when we get Tesla"
"542590","552350"," facilities in Greek Basil's yet, so it's not Brazil or What I used to go to our puzzle I"
"552350","562290"," forget a size to pronounce it, but The syllabus is in Greek it's a great name It's"
"562290","569670"," back Emma's saying that it makes sense to buy February puts that one 20 opeks likely pin around 396"
"569670","570150"," 402."
"570290","575320"," Yep, that sounds right to me too 400 call. "
"575520","575700"," Oh, yeah."
"576020","577500"," Yeah, I believe all that tastes pretty much."
"577820","586760"," I pretty much agree with face on Spock Emma this morning Yes, more upwards movement would require"
"586760","587640"," call expansion. "
"587900","593920"," We'll talk about that as well this morning Puts appear to be rolling in all ready for February."
"594060","600120"," We'll talk about why that is and how those might not print Why we can't go up with those favorite"
"600120","602840"," puts rolling in We'll look at Apple as well."
"602960","607540"," If you like we'll do Apple and Tesla right away But we had ABCLF. "
"607840","612120"," We'll talk about the and the Elden version today That didn't get to that last week."
"612180","613180"," You got a whole bunch of stuff."
"613300","620680"," Oh, I'm right on the stuff down Let me do a quick notepad. "
"620780","632960"," We've got a ton of crap to go over Give"
"632960","635620"," me a second I'm gonna bring a keyboard over here so I can type this stuff out."
"635740","648320"," So I don't waste any paper hold on here We got Tesla Apple yield in version Call"
"648320","658660"," wall Puts We'll talk about expected move We'll"
"658660","663560"," talk about Volatility rising the first week of February."
"663760","670320"," We'll actually look at how that happens and what the expectation is Well, what else are we gonna"
"670320","676580"," look at we else you guys are gonna look at this morning Our Pazal baby. "
"676900","678360"," Yeah, bizarre right our bazelle."
"678540","678740"," That's right."
"679040","679660"," I'm miss for now. "
"679760","684440"," I used to go to what Evan go into it in years That's a good time Stephen That is if"
"684440","685340"," you guys have never been there."
"685440","690560"," It's a big archo Down in Florida, and then I think EDC is around the same time."
"690960","696140"," No, it's not Oh, no for our pizzelles in the winter and then EC's in the spring, right?"
"696820","700820"," Right around the same time that Coach cello takes place. "
"700820","707860"," I think could be wrong We've had three bad options going through the crash slow grind lower"
"707860","713960"," sideways moving You know Chase I'll talk I want to a taste last night."
"714040","716920"," I was going to respond to you Or continue the conversation."
"717580","718280"," I didn't have a chance. "
"718680","725040"," I got into a meeting But I wanted to so we're gonna talk about cat Say as well."
"725200","730060"," That's an important one to talk about Yes, sideways is the worst for traders."
"730820","737400"," Oh, we're gonna talk about some ER Some ER's to be looking at this week where we're talking about"
"737400","737620"," those. "
"738080","741640"," Yeah, our personality happened right happened like a month ago, right?"
"741860","747360"," Something like that That's like starting this week."
"747440","748100"," So we'll be interesting."
"748720","750720"," I'm interested in the Disney earnings, too. "
"751320","760680"," We should talk about that at some point Yeah, the Miami one is more popular Mm-hmm Okay, so let's"
"760680","761120"," start here."
"761140","770000"," We're gonna start with Tesla this morning It's interesting because yeah JPM got smacked this"
"770000","770360"," morning, too."
"770500","770980"," I saw that now. "
"771140","775040"," That's an interesting let's start there So first thing you should be doing this morning."
"775200","780080"," Okay, if you're if you're a polar bear, it doesn't matter Let's start with something here."
"780220","787980"," Okay It's actually a good day for this It's a good day around the board for something we're gonna"
"787980","794580"," do Oh Shoot can't quite do it here. "
"794580","795120"," Maybe I can."
"796060","796420"," Okay."
"797200","802540"," I can't believe I'm doing this Okay, so we're gonna look at something real quick. "
"802680","804360"," Okay, wait a minute."
"804460","804560"," Nope."
"804760","804760"," Nope. "
"805100","814720"," I don't want to do that We're gonna do something so If you are a If you are a bull"
"818580","828000"," We We're gonna go to Where are we looking at here if you're a bear or a bull I want"
"828000","835020"," to show you guys something, okay Okay, good morning."
"835780","836820"," Thank you for joining us."
"836880","844180"," We're gonna go over a couple things there so This is a good morning to be looking at market breadth"
"844720","850440"," Okay And I'm gonna explain this to you in a better and a better time frame So the best thing"
"850440","851740"," to do is put it up on a daily chart. "
"851820","853320"," Okay do a daily chart."
"853800","860480"," We'll do auto And what you're this is what you're concerned with down here in the I'm gonna explain"
"860480","863560"," to you why okay On a better time frame."
"863560","869940"," I'm gonna explain to you why So I want you to be looking at When we came down here, right"
"869940","877400"," when we originally came down we sold off over here And we came in a balance, right People like say"
"877400","885400"," oh, we were in balance now people said here, right So we were down here right here And we started"
"885400","893020"," selling off you could see that we were We were losing breath in the market But I want you to"
"893020","899380"," notice that price didn't follow right Together are there instances where we actually we actually"
"899380","906840"," bloodbath it down right bloodbath it down Big price drop right came back up more bloodbathing down"
"908780","913780"," And where we are right now, well, we'll expand upon this why we thinking about this right here, but"
"915280","923600"," What you're looking for is Rebound or more rebalancing in here over the next week, okay You want to"
"923600","933360"," see Bread come down A ton believe it or not And we already saw some rebalancing this this"
"933360","940440"," morning And you want to be checking the sectors within s&p 500 And you don't want to see"
"940440","943360"," rebalancing into Risk off sectors. "
"943520","952520"," You don't want to see like a big pump in xlu xlp consumer discretionary Utilities stuff like that"
"953880","959800"," Energy has been a hot a benefit as well when we're in risk off type environments You don't want to"
"959800","961200"," see price come lower as well."
"961380","969400"," You want to see price hold here Rather than price begin to drop with with this rotation so that you"
"969400","974660"," can so that you can I learn to identify So here we were in this big risk off moment, but"
"974660","982700"," what happened was notice how price didn't change And we started to see accumulation in here Right"
"983500","990040"," This is showing you a different story Uh, then then this initial move up here, right and then the"
