"start","end","text"
"55750","61700"," All right, good morning."
"65140","66560"," Let's see what's going on here."
"72090","76970"," Good morning out of suit, good morning to Taz, James, Chaz, B.D., Dylan, B.K., Tack. "
"77790","78710"," Morning, B.K., how are you?"
"78890","79490"," I haven't seen you in a while."
"80070","81010"," Carly, cowboy starfish."
"81190","81610"," Good to see you. "
"82290","83490"," Flying their style all the way."
"84570","85530"," Maz, Maz, your wife's boyfriend."
"85870","86270"," What's going on?"
"87750","87890"," Nice. "
"89090","93250"," That's getting better in there, your wife's boyfriend, right on NBC, one day at a time."
"96630","98830"," Mac Foster, which turned this down over here."
"100090","103530"," Feeling a little in the weather this morning, I don't know why. "
"103630","106010"," I think I might have ate something that didn't agree with me."
"107930","109570"," My camera's not on either, huh?"
"111550","115150"," Oh, there we go, another down camera day, hold on a second here."
"126220","127100"," Looks like it's working. "
"127960","128580"," All right."
"129880","131860"," Good to see everybody this morning, how are you all doing?"
"134420","135060"," Let's see here."
"140260","141660"," Yeah, I don't have everything up and running. "
"141840","142720"," I think I have everything up and running."
"142720","143300"," I think I have everything up and running right now."
"143340","147200"," I have some issues this morning with hardware. "
"152180","153560"," All right, so we're going to turn this off here."
"156900","158400"," We're going to switch right over to the live stream."
"161220","165820"," And there's not too much going on right now in the market, so we'll take a look real quick. "
"165960","167420"," I posted this on Twitter earlier."
"168460","169560"," And here's your R1."
"169560","172160"," Over here for this morning, we'll go over there. "
"172260","182260"," If you haven't, if you hadn't seen it, your support, or excuse me, support one is down here"
"182260","184980"," at 45, 750."
"186560","190500"," And then support two is down here."
"190520","196580"," We're going to talk about this, what's going on right now in the market because I was on Twitter"
"196580","198680"," briefly checking to see what people had to say. "
"200360","206980"," And this morning, so basically we're going to talk about this because of, so you have a feel for"
"206980","212220"," what's going on in the market this morning, so like below, below, below, over here."
"217280","218740"," Let's wear it again, some feedback."
"220000","221740"," I don't know where that feedback's coming from. "
"224440","226740"," All right, this is our two up here, right?"
"229920","234880"," And we're going to talk, you know what I'll do is I'll bring up the spot camera report."
"236840","241000"," But I just want to give you a visualization of what's happening right now, okay?"
"242060","246420"," Now the bears are expecting some kind of a rollover where we trade down to the depths of hell down"
"246420","246640"," here."
"251720","256680"," You know, that's a expectation, right?"
"257279","258640"," As soon as the rally's done. "
"258899","264740"," And you can remember as if you're a bull out there, a fair in the market, the moment that a"
