"start","end","text"
"35870","37210"," Good morning, Evan."
"38210","46070"," Good morning, Philip, Chaz, Ryan, Nada See, Dougie, Eustree, E John, E John, John, Ask Brother,"
"46550","56210"," Brandon, Wizard, Spelius, Joshua, Good morning, Euro Boomer, Mornin' Joe and Ben."
"57030","57910"," Hot, hot, hot, hot. "
"59110","62970"," Indices we trust, multi-gen blueprint, bested, good morning."
"63510","64150"," How's everybody doing?"
"65750","67030"," Y'all doing well this morning?"
"70090","70950"," Hell yeah."
"72590","73670"," Howdy, Pete Crohn. "
"74750","75690"," Dylan, good morning."
"75690","75770"," How ya doing, Evan?"
"77530","78370"," Good morning."
"79010","85930"," Good morning, Egg, Eay, Jacey, Eay, Jacey, Eay, Jacey, And I'm ready for you to have a family that"
"85930","87550"," I don't think is gonna prank with my call. "
"89210","91590"," He, Hi, Cara, we're a lot ahead of us this morning."
"92390","93950"," Good morning Thomas, good morning model Jen."
"95250","95810"," Another busy week. "
"96490","97270"," No sleep."
"98650","101970"," Tell you what, hi, and s-s-c, how are you?"
"103270","105110"," Joe, another pizzy day."
"105850","107750"," They're allowed to get through the corner this morning. "
"108010","111610"," I came in and said, excuse me, if that's what I want, I'm going to use a super investor."
"111910","112970"," I said, dude, come on in."
"115530","117550"," Everybody's rolling in here right now, right now, right on. "
"117750","122470"," I'm also going to see the 10,000 to 10,000, and the 2.6% of kids' extinction."
"122470","124830"," A lot of people are going to make some again this morning."
"125430","126270"," One-and-a-half million dollars. "
"126510","127430"," One-and-a-half million dollars."
"127430","132710"," I see a few research LRCX introducing a suite of selectors."
"133050","133650"," I'll put that at this one. "
"133710","135950"," We'll keep selling the four-wheeler, three-wheeler roadmaps."
"136610","137190"," We'll move through."
"137190","138730"," One more trial, the X-ray. "
"141180","142740"," All right, here we go."
"143980","145060"," I'm going to switch over."
"145200","146500"," Good morning, Benny Mack. "
"148850","152250"," All right, we've got a lot to get through this morning, so if you're just tuning in."
"152490","154850"," Arrowjet rocket9, AJRD."
"155330","160770"," They're solid rocket motor technology technology supporting the U.S. Army's LC term program here. "
"162190","166210"," When I mute this because we got a ton to get through this morning, and especially if you're holding"
"166210","170570"," short and anything like that, I want to talk to you guys about that as well this morning."
"173220","174540"," We've got a ton to get through."
"176660","177420"," How's everybody doing?"
"178220","180220"," Good morning, BTCC KK. "
"180820","182040"," More in Teagan, how are you?"
"182820","184040"," We got a lot to get through this morning."
"185120","186860"," I want to make sure they get everything correct."
"187720","191280"," All right, so we're going to start with the economic calendar today. "
"193940","194960"," Bread on Bloodstun."
"195080","196300"," Bloodstun just a heads up too."
"196600","201060"," On today's economic calendar, it's not listed on this calendar, but we also have oil inventories, I"
"201060","203700"," believe at 10, 11 o'clock. "
"203980","207800"," So be careful with your trading in oil this morning."
"207980","208700"," Good morning, Kari."
"208940","209580"," Good morning, Daniel. "
"210320","216780"," Yeah, be careful with the oil trade between them around 10, 30, 11 o'clock comes out."
"216880","218680"," I always forget what time it is on Wednesdays."
"219180","220120"," Good morning, Jake, you. "
"220520","222240"," All right, so we got to get some roll in real quick."
"222440","224980"," Maybe really fast about this economic calendar for today."
"225920","230600"," We've got wholesale inventories, a revision at 10 a.m. We've got a couple of Fed speakers today. "
"231700","236320"," Where we are in the market, it could be impactful around that 10, 30, and 12."
"237000","238920"," Other than that, it's a pretty smooth day, right?"
"239280","246770"," We've got CPI coming in tomorrow morning, and you know that there'll be volatility with that."
"248710","255310"," Now, you know, if if volatility comes in at what the expectation is, might be known, right?"
"255570","259070"," So the market might take that hit, let it roll over. "
"259269","266950"," But last night at the close, we had at 4 p.m. A huge hedge welcome in after after 4"
"266950","273210"," p.m. And IWM, that might be something to do with the CPI report coming out on Thursday."
"274610","277910"," It was a bad time to put it in, of course, but I'm going to be aware of that as"
"277910","278110"," well."
"279710","281770"," And so Thursday is a big day for us, right?"
"281870","285270"," We also at the end of today have a lot of big tech earnings. "
"285890","286750"," I want to show you that."
"287150","293050"," And like yesterday, we didn't really have too many heavy hitters that banks aren't in, but we also"
"293050","296970"," know that, uh, uh, excuse me, reports like Walt Disney."
"297630","300130"," We know Walt Disney always is a scam trade, right?"
"300550","303910"," We know that you have to buy the clothes and then sell it right at the bell on the open. "
"304350","306670"," You have to take long trades in Disney."
"307230","308170"," Proopers, another one."
"308310","314570"," We've got Twilio, Zinga, uh, wouldn't worry too much about Mattel and Sonos, but MGM Resorts is"
"314570","315270"," another big one. "
"315830","317410"," Well, Riley is usually a pretty safe trade."
"318050","320810"," We'll also have some positioning for Twitter on Thursday."
"321670","326670"," And then we've got a data dog, the dog food company on Thursday at the open. "
"327310","329610"," Many of you guys didn't know that data dog does dog food."
"330250","334370"," And, uh, we've got some other, uh, biotech kind of stuff in here."
"334450","338050"," Yeah, I was going to call it should tame the market. "
"338410","343910"," And the one other good thing though, about the reports today after the bell."
"343910","349630"," And I believe even Thursday as we've got a couple hundred almost, I want to, I want to say it"
"349630","352450"," somewhere between anywhere from 150 to 200 per day right now."
"352450","357630"," So there should be some stability, uh, in the market the next couple of days at the end, at the"
"357630","362170"," end of the day and tomorrow, but still there are some heavy hitters in here that people get"
"362170","364490"," aggressive with as we head into the end of the day today. "
"365690","369710"," Now I'm going to go through the spot gamma report as well this morning for you."
"370010","372990"," And I'm going to give you something I want to talk to you about what my take on the market"
"372990","374210"," at before where we are this morning."
"375150","376870"," Just going to read it off together this morning real quick. "
"376990","381690"," We've got a huge as a push higher to 45, 45 model still show up here about volatility potential"
"381690","382050"," today."
"382450","388970"," So the one day implied a move of 1.2 points or 1.26 percent, which is quite high."
"389530","395530"," Now the SP 500 spent the back half of yesterday's session pin to that large by 450 line 45 20"
"395530","396230"," for SPX. "
"396290","399730"," We now see this area as a key support as above the strike."
"399950","404770"," We're in positive gamma should creep in, evoking support of daily flows as per Monday's note, put"
"404770","409530"," wall metric has shifted to 100 handles higher, which has been correlated to rallies in the market."
"410090","414270"," Now the put wall metric means the wall has come up from a lower level, right?"
"414690","419330"," We know that it was much, much lower was down around 40, 40, 40, 400. "
"420490","430110"," Then we've got a 460 spy and 4600 spy SPX is the target area above and based on indicative E"
"430110","434110"," S price is 45 45 in our volatility forecast 1.2 percent."
"434530","439190"," And once once their deviation move that 4600 area pairs achievable today."
"439530","443650"," I want you to think about this real quick, okay, is when we look at the charts this morning, I"
"443650","448310"," want you to realize that even if we tag 4600, there's a fair chance that we're either going to sell"
"448310","452610"," down off the bell and then head up to 4600 or if we tag 4600 that we're going to sell"
"452610","453570"," off from there as well. "
"454030","455550"," But just be conscious of that today."
"456110","457430"," I think it's slightly lower."
"457570","462490"," I think it's like 45 85 or something. "
"462710","463950"," I don't think it's quite at 46."
"464210","467750"," If everybody knows that 4600, there will be sellers at some point."
"467750","470930"," There's also going to be some bulls that are going to want to get in and they're not going to"
"470930","473750"," want to buy the bell and trade it straight up. "
"473790","475310"," They're going to be looking for a dip, right?"
"475730","479990"," You're also going to have overnight holders that are going to want to sell their positions to take"
"479990","480350"," profit."
"480650","485290"," Not everybody, but just be conscious of that if we green bar it straight up, there's a fair chance"
"485290","487450"," that we're going to ricochet off, okay?"
"487950","493130"," And the second issue would be do sellers come in before we even get to 4600, right?"
"493610","498090"," Do we get to 45 or 85 or something like that or even near there?"
"498550","499170"," And we sell off."
"499270","500290"," Look at the charts here in just a minute. "
"500710","501710"," We're only to be aware of that."
"501850","506710"," And then for such a heavy move up from last night, there's a fair chance that we sell right at"
"506710","507090"," the bell."
"507750","512850"," There was a supportive green bar in pre-market with a green tail on it. "
"512950","518630"," And typically we red bar it down off those in previous trading sessions over time."
"519049","521570"," Just be conscious of that as we head into the open this morning."
"523130","524950"," We also got more for you guys. "
